Accession	Gene	Discription	Comparison 4	5	Treatment
X57437	Hdc	histidine decarboxylase	-2.76	1.56	Chronic P4 Treatment
AF029261	Igk-V8	immunoglobulin kappa chain variable 8 (V8)	2.84		Chronic P4 Treatment
M15520	Igk-V8	immunoglobulin kappa chain variable 8 (V8)	2.3		Chronic P4 Treatment
M19911		Cell-line F.495-54-2-1 Ig kappa light chain variable region mRNA, partial cds	1.98		Chronic P4 Treatment
AI842667	Ctsc	cathepsin C	1.89		Chronic P4 Treatment
AI849615	Gas5	growth arrest specific 5	1.89		Chronic P4 Treatment
AF016271	Cdh16	cadherin 16	1.88		Chronic P4 Treatment
U25691	Hells	helicase, lymphoid specific	1.8		Chronic P4 Treatment
M12731	Nmyc1	neuroblastoma myc-related oncogene 1	1.71		Chronic P4 Treatment
AW120786	Cxcl14	chemokine (C-X-C motif) ligand 14	1.59		Chronic P4 Treatment
AI849928	Ccnd1	cyclin D1	1.52		Chronic P4 Treatment
AI852919	Catnd2	catenin delta 2	1.45		Chronic P4 Treatment
U52925		Adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730026K03 product:coagulation factor V, full insert sequence	1.45		Chronic P4 Treatment
AI122538		RIKEN cDNA 2810417H13 gene	1.44		Chronic P4 Treatment
X59252	Msx2	homeo box, msh-like 2	1.42		Chronic P4 Treatment
X99347	Lbp	lipopolysaccharide binding protein	1.41		Chronic P4 Treatment
AI846023	Arl7	ADP-ribosylation factor-like 7	1.37		Chronic P4 Treatment
M31885	Idb1	inhibitor of DNA binding 1	1.36		Chronic P4 Treatment
AI153421		CDNA clone MGC:67258 IMAGE:6413648, complete cds	-1.34		Chronic P4 Treatment
AI591977		Hypothetical LOC328660 (LOC328660), mRNA	-1.34		Chronic P4 Treatment
U70068	Kcnq1	potassium voltage-gated channel, subfamily Q, member 1	-1.35		Chronic P4 Treatment
AF003695	Hif1a	hypoxia inducible factor 1, alpha subunit	-1.36		Chronic P4 Treatment
AA929348	Mbtd1	mbt domain containing 1	-1.42		Chronic P4 Treatment
AF021345		16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130094K06 product:unknown EST, full insert sequence	-1.43		Chronic P4 Treatment
AV348528	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	-1.52		Chronic P4 Treatment
AI842734	Slc39a4	solute carrier family 39 (zinc transporter), member 4	-1.56		Chronic P4 Treatment
AF058318	Slc23a1	solute carrier family 23 (nucleobase transporters), member 1	-1.57		Chronic P4 Treatment
AW011791	Map17	membrane-associated protein 17	-1.61		Chronic P4 Treatment
W51672		expressed sequence W51672	-1.61		Chronic P4 Treatment
X68378	Ctsd	cathepsin D	-1.64		Chronic P4 Treatment
AA986395	Folh1	folate hydrolase	-1.65		Chronic P4 Treatment
AB000713	Cldn4	claudin 4	-1.71		Chronic P4 Treatment
AV057837	Cldn3	claudin 3	-1.74		Chronic P4 Treatment
V00835	Mt1	metallothionein 1	-1.78		Chronic P4 Treatment
AF028071	Calb3	calbindin 3, (vitamin D-dependent calcium binding protein)	-1.84		Chronic P4 Treatment
K02236	Mt2	metallothionein 2	-1.97		Chronic P4 Treatment
AV037012	Calb3	calbindin 3, (vitamin D-dependent calcium binding protein)	-2.02		Chronic P4 Treatment
AF006741	Coch	coagulation factor C homolog (Limulus polyphemus)	-2.16		Chronic P4 Treatment
AV373378	Clca3	chloride channel calcium activated 3	-2.32		Chronic P4 Treatment
AF026073	Sult1d1	sulfotransferase family 1D, member 1	-2.48		Chronic P4 Treatment
AW259788	Lrp2	low density lipoprotein receptor-related protein 2	-3.11		Chronic P4 Treatment
M17327		RIKEN cDNA C920004C08 gene		3.09	Chronic P4 Treatment
M17327		RIKEN cDNA C920004C08 gene		2.91	Chronic P4 Treatment
M12347	Acta1	actin, alpha 1, skeletal muscle		2.82	Chronic P4 Treatment
AI839615	Kcnd2	potassium voltage-gated channel, Shal-related family, member 2		2.11	Chronic P4 Treatment
M26005		Clone IMAGE:5123675, mRNA		2.11	Chronic P4 Treatment
D67076	Adamts1	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1		2.05	Chronic P4 Treatment
X16740	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)		1.94	Chronic P4 Treatment
X88903		Monoclonal antibody FB3 to cardiolipin, Ig light chain variable region mRNA, partial cds.		1.92	Chronic P4 Treatment
AI642389	Kdelr3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3		1.65	Chronic P4 Treatment
AA655199	Col3a1	procollagen, type III, alpha 1		1.64	Chronic P4 Treatment
AF045024	Igk-V8	immunoglobulin kappa chain variable 8 (V8)		1.61	Chronic P4 Treatment
X14943	Cntn1	contactin 1		1.61	Chronic P4 Treatment
X00651		BALB/c anti-glycophorin A type M, antibody M2A1 mRNA, partial cds.		1.59	Chronic P4 Treatment
X78936	Pthr1	parathyroid hormone receptor 1		1.58	Chronic P4 Treatment
AW048394		transformation related protein 53 binding protein 1		1.58	Chronic P4 Treatment
AI841303	Gap43	growth associated protein 43		1.55	Chronic P4 Treatment
AI842192	AW548124	expressed sequence AW548124		1.54	Chronic P4 Treatment
AF017639	Cpxm2	carboxypeptidase X 2 (M14 family)		1.54	Chronic P4 Treatment
D45889	Cspg2	chondroitin sulfate proteoglycan 2		1.53	Chronic P4 Treatment
AA596710	Ltb4dh	leukotriene B4 12-hydroxydehydrogenase		1.5	Chronic P4 Treatment
AB017349	Igk-V8	immunoglobulin kappa chain variable 8 (V8)		1.49	Chronic P4 Treatment
AI845009	Asl	argininosuccinate lyase		1.47	Chronic P4 Treatment
AI853332	Gdf10	growth differentiation factor 10		1.44	Chronic P4 Treatment
AI131982		RIKEN cDNA 2700089E24 gene		1.44	Chronic P4 Treatment
AW122114	Btbd14a	BTB (POZ) domain containing 14A		1.44	Chronic P4 Treatment
AI849109		RIKEN cDNA 2310076D10 gene		1.43	Chronic P4 Treatment
Z38015	Dm15	dystrophia myotonica kinase, B15		1.43	Chronic P4 Treatment
AI852661		RIKEN cDNA D430019H16 gene		1.39	Chronic P4 Treatment
U03419	Col1a1	procollagen, type I, alpha 1		1.38	Chronic P4 Treatment
M18194	Fn1	fibronectin 1		1.36	Chronic P4 Treatment
AW122536	Pfn2	profilin 2		1.35	Chronic P4 Treatment
X66449	S100a6	S100 calcium binding protein A6 (calcyclin)		1.33	Chronic P4 Treatment
AW122911	Ssx2ip	synovial sarcoma, X breakpoint 2 interacting protein		1.33	Chronic P4 Treatment
AB024538	Islr	immunoglobulin superfamily containing leucine-rich repeat		1.32	Chronic P4 Treatment
AA867778	Strm	striamin		1.29	Chronic P4 Treatment
AF101440	Bmp10	bone morphogenetic protein 10		-1.34	Chronic P4 Treatment
AV255366		ornithine decarboxylase, structural		-1.36	Chronic P4 Treatment
X58216	Igk-V8	immunoglobulin kappa chain variable 8 (V8)		-1.37	Chronic P4 Treatment
AI848201	Pacrg	Park2 co-regulated		-1.51	Chronic P4 Treatment
