clone	rp	M	fdr	gene_symbol	ensembl_id	description
201893_x_at	81.7916	-2.219605904	0	DCN	ENSG00000011465	Decorin precursor (Bone proteoglycan II) (PG-S2) (PG40). [Source:Uniprot/SWISSPROT;Acc:P07585]
206007_at	82.7631	-2.544560985	0	PRG4	ENSG00000116690	Proteoglycan-4 precursor (Lubricin) (Megakaryocyte-stimulating factor) (Superficial zone proteoglycan) [Contains: Proteoglycan-4 C-terminal part]. [Source:Uniprot/SWISSPROT;Acc:Q92954]
206172_at	84.3429	-2.070360474	0	IL13RA2	ENSG00000123496	Interleukin-13 receptor alpha-2 chain precursor (Interleukin-13- binding protein) (CD213a2 antigen). [Source:Uniprot/SWISSPROT;Acc:Q14627]
212912_at	87.3608	-2.04572923	0	RPS6KA2	ENSG00000071242	Ribosomal protein S6 kinase alpha-2 (EC 2.7.11.1) (S6K-alpha 2) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3) (MAP kinase-activated protein kinase 1c) (MAPKAPK1C). [Source:Uniprot/SWISSPROT;Acc:Q15349]
218729_at	102.6612	-2.052894948	0	LXN	ENSG00000079257	Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Tissue carboxypeptidase inhibitor) (TCI) (MUM). [Source:Uniprot/SWISSPROT;Acc:Q9BS40]
223723_at	104.4485	-1.979373349	0	MFI2	ENSG00000163975	Melanotransferrin precursor (Melanoma-associated antigen p97) (CD228 antigen). [Source:Uniprot/SWISSPROT;Acc:P08582]
210143_at	107.1459	-2.023269779	0	ANXA10	ENSG00000109511	Annexin A10 (Annexin-14). [Source:Uniprot/SWISSPROT;Acc:Q9UJ72]
232122_s_at	110.0375	-1.89485834	0	VEPH1	ENSG00000197415	ventricular zone expressed PH domain homolog 1 [Source:RefSeq_peptide;Acc:NP_078897]
228335_at	115.7666	-1.827256483	0	CLDN11	ENSG00000013297	Claudin-11 (Oligodendrocyte-specific protein). [Source:Uniprot/SWISSPROT;Acc:O75508]
206796_at	117.3103	-1.988504361	0	WISP1	ENSG00000104415	WNT1-inducible signaling pathway protein 1 precursor (WISP-1) (Wnt-1- induced secreted protein). [Source:Uniprot/SWISSPROT;Acc:O95388]
1554474_a_at	120.1472	-1.882039047	0	MOXD1	ENSG00000079931	monooxygenase, DBH-like 1 isoform 1 [Source:RefSeq_peptide;Acc:NP_001026869]
227059_at	123.6269	-1.833413086	0	NA	NA	NA
201787_at	124.5022	-2.109047529	0	FBLN1	ENSG00000077942	Fibulin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P23142]
222043_at	130.9191	-2.108425275	0	CLU	ENSG00000120885	Clusterin precursor (Complement-associated protein SP-40,40) (Complement cytolysis inhibitor) (CLI) (NA1/NA2) (Apolipoprotein J) (Apo-J) (Testosterone-repressed prostate message 2) (TRPM-2) [Contains: Clusterin beta chain (ApoJalpha) (Complement cytolysis [Source:Uniprot/SWISSPROT;Acc:P10909]
202995_s_at	143.2213	-2.266038337	0	FBLN1	ENSG00000077942	Fibulin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P23142]
219049_at	148.0807	-2.053493701	0	CGAT1_HUMAN	ENSG00000147408	Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1 (EC 2.4.1.174) (beta4GalNAcT-1). [Source:Uniprot/SWISSPROT;Acc:Q8TDX6]
204731_at	148.6573	-1.888968688	0	TGFBR3	ENSG00000069702	TGF-beta receptor type III precursor (TGFR-3) (Transforming growth factor beta receptor III) (Betaglycan). [Source:Uniprot/SWISSPROT;Acc:Q03167]
210997_at	152.1104	-1.721182597	0	HGF	ENSG00000019991	Hepatocyte growth factor precursor (Scatter factor) (SF) (Hepatopoeitin A) [Contains: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain]. [Source:Uniprot/SWISSPROT;Acc:P14210]
207510_at	159.9826	-1.857782638	0	BDKRB1	ENSG00000100739	B1 bradykinin receptor (BK-1 receptor) (B1R). [Source:Uniprot/SWISSPROT;Acc:P46663]
218451_at	160.754	-1.646563782	0	CDCP1	ENSG00000163814	CUB domain-containing protein 1 precursor (Transmembrane and associated with src kinases) (Membrane glycoprotein gp140) (Subtractive immunization M plus HEp3-associated 135 kDa protein) (SIMA135) (CD318 antigen). [Source:Uniprot/SWISSPROT;Acc:Q9H5V8]
238478_at	162.8039	-1.757793851	0	NA	NA	NA
210026_s_at	165.9876	-1.677148876	0	CARD10	ENSG00000100065	Caspase recruitment domain-containing protein 10 (CARD-containing MAGUK protein 3) (Carma 3). [Source:Uniprot/SWISSPROT;Acc:Q9BWT7]
238669_at	169.6507	-1.852563041	0	PTGS1	ENSG00000095303	Prostaglandin G/H synthase 1 precursor (EC 1.14.99.1) (Cyclooxygenase- 1) (COX-1) (Prostaglandin-endoperoxide synthase 1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1). [Source:Uniprot/SWISSPROT;Acc:P23219]
213790_at	170.5196	-1.759746738	0	ADAM12	ENSG00000148848	ADAM 12 precursor (EC 3.4.24.-) (A disintegrin and metalloproteinase domain 12) (Meltrin alpha). [Source:Uniprot/SWISSPROT;Acc:O43184]
204051_s_at	176.2969	-2.559791925	0	SFRP4	ENSG00000106483	Secreted frizzled-related protein 4 precursor (sFRP-4) (Frizzled protein, human endometrium) (FrpHE). [Source:Uniprot/SWISSPROT;Acc:Q6FHJ7]
212543_at	178.0154	-1.734563104	0	AIM1	ENSG00000112297	Absent in melanoma 1 protein. [Source:Uniprot/SWISSPROT;Acc:Q9Y4K1]
226769_at	180.9763	-1.676226436	0		ENSG00000176971	similar to RIKEN cDNA 1110018M03 (LOC387758), mRNA [Source:RefSeq_dna;Acc:NM_203371]
209708_at	187.5958	-1.635763769	0	MOXD1	ENSG00000079931	monooxygenase, DBH-like 1 isoform 1 [Source:RefSeq_peptide;Acc:NP_001026869]
202202_s_at	193.9752	-1.651994259	0	LAMA4	ENSG00000112769	Laminin alpha-4 chain precursor. [Source:Uniprot/SWISSPROT;Acc:Q16363]
209355_s_at	193.9868	-1.673462652	0	PPAP2B	ENSG00000162407	Lipid phosphate phosphohydrolase 3 (EC 3.1.3.4) (Phosphatidic acid phosphatase 2b) (Phosphatidate phosphohydrolase type 2b) (PAP2b) (PAP- 2b) (PAP2-beta) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP). [Source:Uniprot/SWISSPROT;Acc:O14495]
207177_at	203.0146	-1.676687582	0	PTGFR	ENSG00000122420	Prostaglandin F2-alpha receptor (Prostanoid FP receptor) (PGF receptor) (PGF2 alpha receptor). [Source:Uniprot/SWISSPROT;Acc:P43088]
203851_at	203.1334	-1.672542566	0	IGFBP6	ENSG00000167779	Insulin-like growth factor-binding protein 6 precursor (IGFBP-6) (IBP- 6) (IGF-binding protein 6). [Source:Uniprot/SWISSPROT;Acc:P24592]
203407_at	215.4353	-2.048710622	0	PPL	ENSG00000118898	Periplakin (195 kDa cornified envelope precursor protein) (190 kDa paraneoplastic pemphigus antigen). [Source:Uniprot/SWISSPROT;Acc:O60437]
213506_at	222.395	-1.628162383	2.00E-04	F2RL1	ENSG00000164251	Proteinase-activated receptor 2 precursor (PAR-2) (Thrombin receptor- like 1) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11). [Source:Uniprot/SWISSPROT;Acc:P55085]
204052_s_at	233.6366	-2.515397806	2.00E-04	SFRP4	ENSG00000106483	Secreted frizzled-related protein 4 precursor (sFRP-4) (Frizzled protein, human endometrium) (FrpHE). [Source:Uniprot/SWISSPROT;Acc:Q6FHJ7]
229759_s_at	238.0166	-1.556817733	2.00E-04	VEPH1	ENSG00000197415	ventricular zone expressed PH domain homolog 1 [Source:RefSeq_peptide;Acc:NP_078897]
219602_s_at	243.9114	-1.578197719	4.00E-04	FAM38B	ENSG00000154864	Protein FAM38B. [Source:Uniprot/SWISSPROT;Acc:Q9H5I5]
225566_at	246.7831	-1.55173334	4.00E-04	NRP2	ENSG00000118257	Neuropilin-2 precursor (Vascular endothelial cell growth factor 165 receptor 2). [Source:Uniprot/SWISSPROT;Acc:O60462]
213661_at	246.8324	-1.578197719	4.00E-04		ENSG00000149090	regeneration associated muscle protease isoform a [Source:RefSeq_peptide;Acc:NP_056245]
204906_at	246.9881	-1.544560985	4.00E-04	RPS6KA2	ENSG00000071242	Ribosomal protein S6 kinase alpha-2 (EC 2.7.11.1) (S6K-alpha 2) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3) (MAP kinase-activated protein kinase 1c) (MAPKAPK1C). [Source:Uniprot/SWISSPROT;Acc:Q15349]
211571_s_at	248.3718	-1.531573081	4.00E-04	CSPG2	ENSG00000038427	Versican core protein precursor (Large fibroblast proteoglycan) (Chondroitin sulfate proteoglycan core protein 2) (PG-M) (Glial hyaluronate-binding protein) (GHAP). [Source:Uniprot/SWISSPROT;Acc:P13611]
226625_at	250.8866	-1.61705613	4.00E-04	TGFBR3	ENSG00000069702	TGF-beta receptor type III precursor (TGFR-3) (Transforming growth factor beta receptor III) (Betaglycan). [Source:Uniprot/SWISSPROT;Acc:Q03167]
205100_at	262.4087	-1.541198058	4.00E-04	GFPT2	ENSG00000131459	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (Hexosephosphate aminotransferase 2) (D-fructose-6- phosphate amidotransferase 2) (GFAT 2) (GFAT2). [Source:Uniprot/SWISSPROT;Acc:O94808]
205941_s_at	265.7709	-1.784383523	5.00E-04	COL10A1	ENSG00000123500	Collagen alpha-1(X) chain precursor. [Source:Uniprot/SWISSPROT;Acc:Q03692]
244353_s_at	270.6335	-1.987359819	5.00E-04	SLC2A12	ENSG00000146411	solute carrier family 2 (facilitated glucose transporter), member 12 [Source:RefSeq_peptide;Acc:NP_660159]
208396_s_at	274.2626	-1.706982728	5.00E-04	PDE1A	ENSG00000115252	Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1A (EC 3.1.4.17) (Cam-PDE 1A) (61 kDa Cam-PDE) (hCam-1). [Source:Uniprot/SWISSPROT;Acc:P54750]
203180_at	276.1764	-1.507993024	5.00E-04	ALDH1A3	ENSG00000184254	Aldehyde dehydrogenase 1A3 (EC 1.2.1.5) (Aldehyde dehydrogenase 6) (Retinaldehyde dehydrogenase 3) (RALDH-3). [Source:Uniprot/SWISSPROT;Acc:P47895]
218980_at	278.8658	-1.658811228	5.00E-04	FHOD3	ENSG00000134775	formin homology 2 domain containing 3 [Source:RefSeq_peptide;Acc:NP_079411]
228293_at	285.4696	-1.487621392	5.00E-04	DEPDC7	ENSG00000121690	novel 58.3 KDA protein [Source:RefSeq_peptide;Acc:NP_631899]
209687_at	285.482	-1.834956351	5.00E-04	CXCL12	ENSG00000107562	Stromal cell-derived factor 1 precursor (SDF-1) (CXCL12) (Pre-B cell growth-stimulating factor) (PBSF) (hIRH) [Contains: SDF-1-beta(3-72); SDF-1-alpha(3-67)]. [Source:Uniprot/SWISSPROT;Acc:P48061]
227443_at	285.6201	-1.447327829	5.00E-04	C9orf150	ENSG00000153714	Isoform 2 of Q8IV03 [Source:Uniprot/Varsplic;Acc:Q8IV03-2]
213338_at	295.2896	-1.423913276	8.00E-04	TMEM158	ENSG00000178550	transmembrane protein 158 (TMEM158), mRNA [Source:RefSeq_dna;Acc:NM_015444]
203755_at	296.4534	-1.149440579	7.00E-04	NA	NA	NA
205830_at	305.9516	-1.729770093	7.00E-04	CLGN	ENSG00000153132	Calmegin precursor. [Source:Uniprot/SWISSPROT;Acc:O14967]
213060_s_at	309.3972	-2.030913993	7.00E-04	CHI3L2	ENSG00000064886	Chitinase 3-like protein 2 precursor (YKL-39) (Chondrocyte protein 39). [Source:Uniprot/SWISSPROT;Acc:Q15782]
226777_at	315.1547	-1.438307279	7.00E-04	ADAM12	ENSG00000148848	ADAM 12 precursor (EC 3.4.24.-) (A disintegrin and metalloproteinase domain 12) (Meltrin alpha). [Source:Uniprot/SWISSPROT;Acc:O43184]
208791_at	316.9205	-1.662460158	7.00E-04	CLU	ENSG00000120885	Clusterin precursor (Complement-associated protein SP-40,40) (Complement cytolysis inhibitor) (CLI) (NA1/NA2) (Apolipoprotein J) (Apo-J) (Testosterone-repressed prostate message 2) (TRPM-2) [Contains: Clusterin beta chain (ApoJalpha) (Complement cytolysis [Source:Uniprot/SWISSPROT;Acc:P10909]
209365_s_at	319.7374	-1.405833672	7.00E-04	ECM1	ENSG00000143369	Extracellular matrix protein 1 precursor (Secretory component p85). [Source:Uniprot/SWISSPROT;Acc:Q16610]
215646_s_at	322.9281	-1.441046698	7.00E-04	CSPG2	ENSG00000038427	Versican core protein precursor (Large fibroblast proteoglycan) (Chondroitin sulfate proteoglycan core protein 2) (PG-M) (Glial hyaluronate-binding protein) (GHAP). [Source:Uniprot/SWISSPROT;Acc:P13611]
221922_at	325.764	-1.347765927	7.00E-04	GPSM2	ENSG00000121957	G-protein signaling modulator 2 (Mosaic protein LGN). [Source:Uniprot/SWISSPROT;Acc:P81274]
206631_at	327.4025	-1.63039393	7.00E-04	PTGER2	ENSG00000125384	Prostaglandin E2 receptor, EP2 subtype (Prostanoid EP2 receptor) (PGE receptor, EP2 subtype). [Source:Uniprot/SWISSPROT;Acc:P43116]
228750_at	328.7581	-1.639804305	7.00E-04	COL14A1	ENSG00000187955	Collagen alpha-1(XIV) chain precursor (Undulin). [Source:Uniprot/SWISSPROT;Acc:Q05707]
202503_s_at	331.0317	-1.396688189	6.00E-04	KIAA0101	ENSG00000166803	PCNA-associated factor (p15PAF) (Overexpressed in anaplastic thyroid carcinoma 1) (OEATC-1) (HCV NS5A-transactivated protein 9) (L5). [Source:Uniprot/SWISSPROT;Acc:Q15004]
201983_s_at	338.9959	-1.394790156	6.00E-04	EGFR	ENSG00000146648	Epidermal growth factor receptor precursor (EC 2.7.10.1) (Receptor tyrosine-protein kinase ErbB-1). [Source:Uniprot/SWISSPROT;Acc:P00533]
203903_s_at	344.3432	-1.366243319	6.00E-04	HEPH	ENSG00000089472	Hephaestin precursor (EC 1.-.-.-). [Source:Uniprot/SWISSPROT;Acc:Q9BQS7]
221911_at	347.4766	-1.515810299	6.00E-04	ETV1	ENSG00000006468	ETS translocation variant 1 (ER81 protein). [Source:Uniprot/SWISSPROT;Acc:P50549]
227727_at	348.7797	-1.433233545	6.00E-04	MRGPRF	ENSG00000172935	Mas-related G-protein coupled receptor member F (Mas-related gene F protein) (G-protein coupled receptor 168). [Source:Uniprot/SWISSPROT;Acc:Q96AM1]
206101_at	350.6904	-1.664745435	6.00E-04	ECM2	ENSG00000106823	Extracellular matrix protein 2 precursor (Matrix glycoprotein SC1/ECM2). [Source:Uniprot/SWISSPROT;Acc:O94769]
237435_at	352.3975	-1.445362036	6.00E-04	DKK1	ENSG00000107984	Dickkopf-related protein 1 precursor (Dkk-1) (Dickkopf-1) (hDkk-1) (SK). [Source:Uniprot/SWISSPROT;Acc:O94907]
222877_at	352.4777	-1.649276466	6.00E-04	NA	ENSG00000180672	NA
223730_at	352.952	-1.503486519	6.00E-04	NA	NA	NA
213429_at	358.6307	-1.364756388	8.00E-04	BICC1	ENSG00000122870	NA
224964_s_at	361.828	-1.315091517	8.00E-04	NA	NA	NA
212067_s_at	363.657	-1.561068458	0.001	727728	ENSG00000159403	NA
231175_at	363.935	-1.369967366	0.001	C6orf65	ENSG00000151917	C6orf65 protein. [Source:Uniprot/SPTREMBL;Acc:Q8N662]
208792_s_at	365.6084	-1.64385619	0.0012	CLU	ENSG00000120885	Clusterin precursor (Complement-associated protein SP-40,40) (Complement cytolysis inhibitor) (CLI) (NA1/NA2) (Apolipoprotein J) (Apo-J) (Testosterone-repressed prostate message 2) (TRPM-2) [Contains: Clusterin beta chain (ApoJalpha) (Complement cytolysis [Source:Uniprot/SWISSPROT;Acc:P10909]
203666_at	370.7904	-1.757306042	0.0013	CXCL12	ENSG00000107562	Stromal cell-derived factor 1 precursor (SDF-1) (CXCL12) (Pre-B cell growth-stimulating factor) (PBSF) (hIRH) [Contains: SDF-1-beta(3-72); SDF-1-alpha(3-67)]. [Source:Uniprot/SWISSPROT;Acc:P48061]
227452_at	375.0988	-1.341902795	0.0015	NA	NA	NA
202409_at	378.6358	-1.562346122	0.0016	IGF2	ENSG00000167244	Insulin-like growth factor II precursor (IGF-II) (Somatomedin A) [Contains: Insulin-like growth factor II Ala-25 Del]. [Source:Uniprot/SWISSPROT;Acc:P01344]
218149_s_at	379.1815	-1.55384966	0.0016	ZNF395	ENSG00000186918	Zinc finger protein 395 (Papillomavirus-binding factor) (Papillomavirus regulatory factor 1) (PRF-1) (Huntington disease gene regulatory region-binding protein 2) (HDBP-2) (HD gene regulatory region-binding protein 2) (HD-regulating factor 2) (HDRF-2). [Source:Uniprot/SWISSPROT;Acc:Q9H8N7]
226534_at	386.6777	-1.33898014	0.0017	KITLG	ENSG00000049130	Kit ligand precursor (C-kit ligand) (Stem cell factor) (SCF) (Mast cell growth factor) (MGF). [Source:Uniprot/SWISSPROT;Acc:P21583]
222344_at	390.0299	-1.319045586	0.0017	C5orf13	ENSG00000134986	Neuronal protein 3.1 (p311 protein). [Source:Uniprot/SWISSPROT;Acc:Q16612]
213994_s_at	390.112	-1.589007713	0.0016	SPON1	ENSG00000152268	Spondin-1 precursor (F-spondin) (Vascular smooth muscle cell growth- promoting factor). [Source:Uniprot/SWISSPROT;Acc:Q9HCB6]
210002_at	392.6369	-1.369594529	0.0016	GATA6	ENSG00000141448	Transcription factor GATA-6 (GATA-binding factor 6). [Source:Uniprot/SWISSPROT;Acc:Q92908]
213247_at	396.5029	-1.734083086	0.0017	NA	NA	NA
204430_s_at	399.3897	-1.647919486	0.0018	SLC2A5	ENSG00000142583	Solute carrier family 2, facilitated glucose transporter member 5 (Glucose transporter type 5, small intestine) (Fructose transporter). [Source:Uniprot/SWISSPROT;Acc:P22732]
217999_s_at	399.5616	-1.30365001	0.0018	NA	NA	NA
218039_at	408.7664	-1.274389706	0.002	NUSAP1	ENSG00000137804	nucleolar and spindle associated protein 1 isoform 2 [Source:RefSeq_peptide;Acc:NP_060924]
219874_at	412.1543	-1.288769428	0.0019	SLC12A8	ENSG00000163848	Zinc finger protein 148 (Zinc finger DNA-binding protein 89) (Transcription factor ZBP-89). [Source:Uniprot/SWISSPROT;Acc:Q9UQR1]
204014_at	412.9357	-1.554697058	0.0019	DUSP4	ENSG00000120875	Dual specificity protein phosphatase 4 (EC 3.1.3.48) (EC 3.1.3.16) (Mitogen-activated protein kinase phosphatase 2) (MAP kinase phosphatase 2) (MKP-2) (Dual specificity protein phosphatase hVH2). [Source:Uniprot/SWISSPROT;Acc:Q13115]
222608_s_at	413.3641	-1.035342612	0.0019	ANLN	ENSG00000011426	Actin-binding protein anillin. [Source:Uniprot/SWISSPROT;Acc:Q9NQW6]
229942_at	424.632	-1.330973234	0.0021	NA	NA	NA
222731_at	431.7297	-1.266732441	0.0023	NA	NA	NA
210302_s_at	432.4421	-1.299737855	0.0023	MAB21L2	ENSG00000181541	mab-21-like protein 2 [Source:RefSeq_peptide;Acc:NP_006430]
230722_at	435.4715	-1.454031631	0.0023	BNC2	ENSG00000173068	Zinc finger protein basonuclin-2. [Source:Uniprot/SWISSPROT;Acc:Q6ZN30]
223843_at	440.506	-1.274389706	0.0026	SCARA3	ENSG00000168077	Scavenger receptor class A member 3 (Cellular stress response gene protein). [Source:Uniprot/SWISSPROT;Acc:Q6AZY7]
243813_at	441.1285	-1.349235441	0.0026	NA	NA	NA
226034_at	441.7357	-1.437916357	0.0026	NA	NA	NA
212226_s_at	441.8633	-1.382701517	0.0026	PPAP2B	ENSG00000162407	Lipid phosphate phosphohydrolase 3 (EC 3.1.3.4) (Phosphatidic acid phosphatase 2b) (Phosphatidate phosphohydrolase type 2b) (PAP2b) (PAP- 2b) (PAP2-beta) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP). [Source:Uniprot/SWISSPROT;Acc:O14495]
219416_at	444.142	-1.203236142	0.0028	SCARA3	ENSG00000168077	Scavenger receptor class A member 3 (Cellular stress response gene protein). [Source:Uniprot/SWISSPROT;Acc:Q6AZY7]
224999_at	446.5418	-1.257390097	0.0028	NA	NA	NA
232231_at	446.8376	-1.23005904	0.0028	RUNX2	ENSG00000124813	Runt-related transcription factor 2 (Core-binding factor, alpha 1 subunit) (CBF-alpha 1) (Acute myeloid leukemia 3 protein) (Oncogene AML-3) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEBP2-alpha A) (PEA2-alpha A) (SL3-3 enhancer factor 1 [Source:Uniprot/SWISSPROT;Acc:Q13950]
229554_at	450.7978	-1.600774208	0.0028	LUM	ENSG00000139329	Lumican precursor (Keratan sulfate proteoglycan lumican) (KSPG lumican). [Source:Uniprot/SWISSPROT;Acc:P51884]
222958_s_at	451.5282	-0.84114597	0.0028	DEPDC1	ENSG00000024526	DEP domain containing 1 [Source:RefSeq_peptide;Acc:NP_060249]
201431_s_at	451.7002	-1.269512201	0.0028	DPYSL3	ENSG00000113657	Dihydropyrimidinase-related protein 3 (DRP-3) (Unc-33-like phosphoprotein) (ULIP protein) (Collapsin response mediator protein 4) (CRMP-4). [Source:Uniprot/SWISSPROT;Acc:Q14195]
225207_at	452.9224	-1.504714171	0.0028	PDK4	ENSG00000004799	[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4, mitochondrial precursor (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4). [Source:Uniprot/SWISSPROT;Acc:Q16654]
220615_s_at	453.2319	-1.245027007	0.0027	MLSTD1	ENSG00000064763	male sterility domain containing 1 [Source:RefSeq_peptide;Acc:NP_060569]
207345_at	454.46	-1.441046698	0.0027	NA	NA	NA
212865_s_at	455.42	-1.470728756	0.0027	COL14A1	ENSG00000187955	Collagen alpha-1(XIV) chain precursor (Undulin). [Source:Uniprot/SWISSPROT;Acc:Q05707]
201890_at	467.5494	-0.861709766	0.0029	RRM2	ENSG00000171848	Ribonucleoside-diphosphate reductase M2 subunit (EC 1.17.4.1) (Ribonucleotide reductase small subunit) (Ribonucleotide reductase small chain). [Source:Uniprot/SWISSPROT;Acc:P31350]
229487_at	472.6305	-1.258425153	0.003	NA	NA	NA
223586_at	473.5465	-1.212901918	0.003	NA	NA	NA
209436_at	474.158	-1.507993024	0.003	SPON1	ENSG00000152268	Spondin-1 precursor (F-spondin) (Vascular smooth muscle cell growth- promoting factor). [Source:Uniprot/SWISSPROT;Acc:Q9HCB6]
200986_at	477.758	-1.267079618	0.003	SERPING1	ENSG00000149131	Plasma protease C1 inhibitor precursor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1 inhibiting factor). [Source:Uniprot/SWISSPROT;Acc:P05155]
218613_at	481.9887	-1.18737856	0.0032	Q7L3Y3_HUMAN	ENSG00000181897	PSD3 protein. [Source:Uniprot/SPTREMBL;Acc:Q7L3Y3]
201291_s_at	482.8975	-0.968040259	0.0032	P11388-3	ENSG00000131747	Isoform 2 of P11388 [Source:Uniprot/Varsplic;Acc:P11388-2]
220272_at	487.5422	-1.346297909	0.0034	BNC2	ENSG00000173068	Zinc finger protein basonuclin-2. [Source:Uniprot/SWISSPROT;Acc:Q6ZN30]
226452_at	496.3988	-1.193304746	0.0034	NA	NA	NA
203764_at	502.5417	-1.015665855	0.0036	DLG7	ENSG00000126787	Discs large homolog 7 (Hepatoma up-regulated protein) (HURP). [Source:Uniprot/SWISSPROT;Acc:Q15398]
209396_s_at	502.5505	-1.307215743	0.0036	CHI3L1	ENSG00000133048	Chitinase-3-like protein 1 precursor (Cartilage glycoprotein 39) (GP- 39) (39 kDa synovial protein) (HCgp-39) (YKL-40). [Source:Uniprot/SWISSPROT;Acc:P36222]
210735_s_at	504.5418	-1.276834657	0.0036	CA12	ENSG00000074410	Carbonic anhydrase 12 precursor (EC 4.2.1.1) (Carbonic anhydrase XII) (Carbonate dehydratase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3). [Source:Uniprot/SWISSPROT;Acc:O43570]
221872_at	505.4538	-1.846843212	0.0035	RARRES1	ENSG00000118849	Retinoic acid receptor responder protein 1 (Tazarotene-induced gene 1 protein) (RAR-responsive protein TIG1). [Source:Uniprot/SWISSPROT;Acc:P49788]
236640_at	508.5607	-1.341171576	0.0036	NA	NA	NA
230109_at	509.2718	-1.258770336	0.0036	PDE7B	ENSG00000171408	cAMP-specific 3,5-cyclic phosphodiesterase 7B (EC 3.1.4.17). [Source:Uniprot/SWISSPROT;Acc:Q9NP56]
