Accession	Alternate accession	Gene name	Gene ID	Patient	Significance	Reproduced	Rank	Source of Open Reading Frames	I.M.A.G.E. Consortium CloneID	n	Description from microarray manufacturer
BC007347		CHD2	1106	A	Candidate	Failed	14	ORFeome	3050321	5.33	chromodomain helicase DNA binding protein 2, mRNA (cDNA clone IMAGE:3050321), complete cds
NM_032567	BC033798	SPZ1	84654	A	Candidate	Validated	15	ORFeome	5172551	5.24	testis-specific protein NYD-TSP1 (NYD-TSP1), mRNA
BC016848		C1orf117	348487	A	Candidate	Validated	16	ORFeome	3913592	5.02	hypothetical protein FLJ36766, mRNA (cDNA clone MGC:10240 IMAGE:3913592), complete cds
BC036910		LOC388882	388882	B	Candidate	Validated	1	ATCC	5164270	30.68	cDNA clone MGC:46300 IMAGE:5164270, complete cds
NM_138333	BC013062	FAM122A	116224	B	Candidate	Validated	2	ORFeome	2901027	19.59	chromosome 9 open reading frame 42 (C9orf42), mRNA
BC031650		SH3RF2	153769	B	Candidate	Failed	3	OpenBiosys	5169239	14.39	clone MGC:35144 IMAGE:5169239, mRNA, complete cds
BC037547		FLJ37927	166979	B	Candidate	Validated	4	OpenBiosys	5206729	13.12	cDNA clone IMAGE:5206729, complete cds
BC001426	BC015177	UQCRH	7388	B	Candidate	Validated	5	ORFeome	3905169	11.97	Similar to ubiquinol-cytochrome c reductase hinge protein, clone MGC:1361 IMAGE:3140323, mRNA, complete cds
BC034401				B	Candidate	Failed	6	ATCC	5172086	11.68	Similar to LOC161981, clone MGC:34746 IMAGE:5172086, mRNA, complete cds
NM_005522	BC032547	HOXA1	3198	B	Candidate	Validated	7	ORFeome	5537563	10.59	homeo box A1 (HOXA1), transcript variant 1, mRNA
NM_005565	BC016618	LCP2	3937	B	Candidate	Validated	8	ORFeome	4476274	8.35	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa) (LCP2), mRNA
BC032919		OGFOD1	55239	B	Candidate	Validated	9	OpenBiosys	5427174	8.33	hypothetical protein FLJ10826, mRNA (cDNA clone MGC:39165 IMAGE:5427174), complete cds
NM_001722	BC004484	POLR3D	661	B	Candidate	Validated	10	ORFeome	3938075	7.68	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa (POLR3D), mRNA
NM_004401	BC007721	DFFA	1676	B	Candidate	Failed	11	ORFeome	4299734	7.28	DNA fragmentation factor, 45kDa, alpha polypeptide (DFFA), mRNA
NM_016520	BC007664	C9orf78	51759	B	Candidate	Failed	12	ORFeome	3140172	6.77	chromosome 9 open reading frame 78 (C9orf78), mRNA
NM_006251	BC037303	PRKAA1	5562	B	Candidate	Not Tested	13	HIP		6.66	protein kinase, AMP-activated, alpha 1 catalytic subunit (PRKAA1), transcript variant 1, mRNA
NM_006002	BC018125	UCHL3	7347	B	Candidate	Failed	14	ORFeome	3887201	6.65	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) (UCHL3), mRNA
BC026104		PDCD4	27250	B	Candidate	Not Tested	15			6.62	programmed cell death 4 (neoplastic transformation inhibitor), transcript variant 1, mRNA (cDNA clone MGC:33046 IMAGE:4798293), complete cds
NM_001219	BC013383	CALU	813	B	Candidate	Failed	16	ORFeome	3507961	6.44	calumenin (CALU), mRNA
BC000108		WWP2	11060	B	Candidate	Validated	17	ORFeome	3508225	6.43	Similar to Nedd-4-like ubiquitin-protein ligase, clone MGC:2079 IMAGE:3508225, mRNA, complete cds
BC021092		ZFYVE19	84936	B	Candidate	Validated	18	ATCC	4662224	6.39	zinc finger, FYVE domain containing 19, mRNA (cDNA clone MGC:31759 IMAGE:4662224), complete cds
NM_145063	BC011709	C6orf130	221443	B	Candidate	Validated	19	RZPD	3942960	5.63	chromosome 6 open reading frame 130 (C6orf130), mRNA
BC031228				B	Candidate	Validated	20	ORFeome	5271031	5.50	mRNA similar to LOC119597 (cDNA clone MGC:39543 IMAGE:5271031), complete cds
BC047536		SCEL	8796	B	Candidate	Failed	21	OpenBiosys	5271857	5.30	sciellin, mRNA (cDNA clone MGC:41875 IMAGE:5271857), complete cds
BC006550	NM_002139	RBMX	27316	A	Borderline	Validated	17	Invitrogen		4.82	RNA binding motif protein, X chromosome, clone MGC:2471 IMAGE:3010123, mRNA, complete cds
NM_004422		DVL2	1856	A	Borderline	Not Tested	18			4.75	dishevelled, dsh homolog 2 (Drosophila) (DVL2), mRNA
BC000014		MGC3265	78991	A	Borderline	Not Tested	19			4.74	hypothetical protein MGC3265, mRNA (cDNA clone MGC:3265 IMAGE:3506623), complete cds
BC035006		FYTTD1	84248	A	Borderline	Not Tested	20			4.72	hypothetical protein DKFZp761B1514, mRNA (cDNA clone MGC:33270 IMAGE:5267824), complete cds
NM_144982		PSRC2	196441	A	Borderline	Not Tested	21			4.66	hypothetical protein MGC23401 (MGC23401), mRNA
BC015738		ZFYVE19	84936	A	Borderline	Not Tested	22			4.43	zinc finger, FYVE domain containing 19, mRNA (cDNA clone MGC:23002 IMAGE:4876596), complete cds
NM_175923		MGC42630	286301	A	Borderline	Not Tested	23			4.18	hypothetical protein MGC42630 (MGC42630), mRNA
NM_145299		LOC200383	200383	A	Borderline	Not Tested	24			4.14	similar to Dynein heavy chain at 16F (LOC200383), mRNA
BC020729		CCNE2	9134	A	Borderline	Not Tested	25			4.02	cyclin E2, mRNA (cDNA clone MGC:22538 IMAGE:4774554), complete cds
NM_014047		HSPC023	28974	A	Borderline	Not Tested	26			4.01	HSPC023 protein (HSPC023), mRNA
BC008623		ROBO3	64221	A	Borderline	Not Tested	27			3.96	retinoblastoma inhibiting gene 1, mRNA (cDNA clone MGC:16823 IMAGE:4177689), complete cds
NM_032338		C12orf31	84298	A	Borderline	Not Tested	28			3.96	hypothetical protein MGC14817 (MGC14817), mRNA
NM_178014		TUBB	203068	A	Borderline	Not Tested	29			3.82	beta 5-tubulin (OK/SW-cl.56), mRNA
BC001132		DDX54	79039	A	Borderline	Not Tested	30			3.79	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54, mRNA (cDNA clone MGC:2835 IMAGE:2966536), complete cds
NM_018184	BC013131	ARL8B	55207	A	Borderline	Validated	31	ORFeome	4508077	3.76	ADP-ribosylation factor-like 10C (ARL10C), mRNA
BC040183		RAPGEF4	11069	A	Borderline	Not Tested	32			3.74	cAMP-regulated guanine nucleotide exchange factor II, mRNA (cDNA clone MGC:42189 IMAGE:4801092), complete cds
BC026030		ZNF239	8187	A	Borderline	Not Tested	33			3.57	zinc finger protein 239, mRNA (cDNA clone MGC:39220 IMAGE:5460088), complete cds
NM_152637		METTL7B	196410	A	Borderline	Not Tested	34			3.56	hypothetical protein MGC17301 (MGC17301), mRNA
BC051374		SCN5A	6331	A	Borderline	Not Tested	35			3.52	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3), mRNA (cDNA clone IMAGE:6671632), complete cds
BC054520		MEF2D	4209	A	Borderline	Not Tested	36			3.52	MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D), mRNA (cDNA clone MGC:60395 IMAGE:6142751), complete cds
NM_152318		C12orf45	121053	A	Borderline	Not Tested	37			3.43	hypothetical protein MGC40397 (MGC40397), mRNA
BC033856		LARP1	23367	A	Borderline	Not Tested	38			3.32	likely ortholog of mouse la related protein, mRNA (cDNA clone IMAGE:5123380), complete cds
NM_006609		MAP3K2	10746	A	Borderline	Not Tested	39			3.20	mitogen-activated protein kinase kinase kinase 2 (MAP3K2), mRNA
NM_018032		LUC7L	55692	A	Borderline	Not Tested	40			3.17	LUC7-like (S. cerevisiae) (LUC7L), mRNA
BC007347		CHD2	1106	A	Borderline	Failed	41	ORFeome	3050321	3.16	chromodomain helicase DNA binding protein 2, mRNA (cDNA clone IMAGE:3050321), complete cds
NM_003583		DYRK2	8445	A	Borderline	Not Tested	42			3.10	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 (DYRK2), transcript variant 1, mRNA
NM_016630		SPG21	51324	B	Borderline	Not Tested	22			4.98	acid cluster protein 33 (ACP33), mRNA
BC002660		TMOD1	7111	B	Borderline	Not Tested	23			4.98	tropomodulin 1, mRNA (cDNA clone MGC:3643 IMAGE:3610014), complete cds
NM_032858	BC028595	MAEL	84944	B	Borderline	Failed	24	ORFeome	5270252	4.97	hypothetical protein FLJ14904 (FLJ14904), mRNA
BC006105		C6orf134	79969	B	Borderline	Failed	25	Direct PCR		4.71	chromosome 6 open reading frame 134, mRNA (cDNA clone MGC:12938 IMAGE:2820493), complete cds
NM_152376		UBXD3	127733	B	Borderline	Not Tested	26			4.70	UBX domain containing 3 (UBXD3), mRNA
BC001467		SIPL	55256	B	Borderline	Not Tested	27			4.69	hypothetical protein FLJ10913, clone MGC:918 IMAGE:3138914, mRNA, complete cds
BC013426		PLEKHG2	64857	B	Borderline	Not Tested	28			4.43	likely ortholog of mouse common-site lymphoma/leukemia GEF, mRNA (cDNA clone MGC:10073 IMAGE:3896004), complete cds
NM_178152		DCX	1641	B	Borderline	Not Tested	29			4.42	doublecortex; lissencephaly, X-linked (doublecortin) (DCX), transcript variant 2, mRNA
NM_018047		RBM22	55696	B	Borderline	Not Tested	30			4.35	hypothetical protein FLJ10290 (FLJ10290), mRNA
NM_004732		KCNAB3	9196	B	Borderline	Not Tested	31			4.22	potassium voltage-gated channel, shaker-related subfamily, beta member 3 (KCNAB3), mRNA
BC015738		ZFYVE19	84936	B	Borderline	Not Tested	32			4.14	zinc finger, FYVE domain containing 19, mRNA (cDNA clone MGC:23002 IMAGE:4876596), complete cds
NM_138796		LOC128153	128153	B	Borderline	Not Tested	33			4.08	hypothetical protein BC014608 (LOC128153), mRNA
BC025700		AFF4	27125	B	Borderline	Not Tested	34			3.88	ALL1 fused gene from 5q31, mRNA (cDNA clone IMAGE:5221893), complete cds
BC006005		MDS032	55850	B	Borderline	Validated	35	ORFeome	4279653	3.64	uncharacterized hematopoietic stem/progenitor cells protein MDS032, mRNA (cDNA clone MGC:14828 IMAGE:4279653), complete cds
BC022344		PTK9	5756	B	Borderline	Not Tested	36			3.56	PTK9 protein tyrosine kinase 9, mRNA (cDNA clone MGC:23788 IMAGE:4249251), complete cds
NM_014062	BC064630	PSMD8BP1	28987	B	Borderline	Failed	37	OpenBiosys	5740890	3.48	likely ortholog of mouse nin one binding protein (NOB1P), mRNA
NM_021639		GPBP1L1	60313	B	Borderline	Not Tested	38			3.47	hypothetical protein SP192 (SP192), mRNA
BC015497		TEAD4	7004	B	Borderline	Not Tested	39			3.41	cDNA clone MGC:9014 IMAGE:3913870, complete cds
NM_014176		UBE2T	29089	B	Borderline	Not Tested	40			3.34	HSPC150 protein similar to ubiquitin-conjugating enzyme (HSPC150), mRNA
BC027617		PABPC3	5042	B	Borderline	Validated	41	ORFeome	4829121	3.30	similar to poly(A) binding protein, cytoplasmic 3 (H. sapiens), clone MGC:27094 IMAGE:4829121, mRNA, complete cds
BC066938		DDX43	55510	B	Borderline	Not Tested	42			3.27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43, mRNA (cDNA clone MGC:87287 IMAGE:4829072), complete cds
BC008699				B	Borderline	Not Tested	43			3.26	cDNA clone MGC:15427 IMAGE:2822641, complete cds
BC011526		PCTK3	5129	B	Borderline	Not Tested	44			3.25	PCTAIRE protein kinase 3, mRNA (cDNA clone MGC:9361 IMAGE:3855304), complete cds
BC001088		CDC20	991	B	Borderline	Not Tested	45			3.21	CDC20 (cell division cycle 20, S. cerevisiae, homolog), clone MGC:2830 IMAGE:2964686, mRNA, complete cds
NM_018454	BC001308	ANKT	51203	B	Borderline	Validated	46	ORFeome	3453354	3.20	nucleolar and spindle associated protein 1 (NUSAP1), mRNA
BC056887		C5orf5	51306	B	Borderline	Not Tested	47			3.15	chromosome 5 open reading frame 5, mRNA (cDNA clone MGC:65022 IMAGE:6148274), complete cds
NM_001449		FHL1	2273	B	Borderline	Not Tested	48			3.13	four and a half LIM domains 1 (FHL1), mRNA
NM_031417		MARK4	57787	B	Borderline	Not Tested	49			3.11	MAP/microtubule affinity-regulating kinase like 1 (MARKL1), mRNA
BC051885		C14orf106	55320	B	Borderline	Not Tested	50			3.09	chromosome 14 open reading frame 106, mRNA (cDNA clone IMAGE:6503933), complete cds
BC008744		PLEKHQ1	80301	B	Borderline	Not Tested	51			3.08	PH domain-containing protein, mRNA (cDNA clone MGC:3072 IMAGE:3346334), complete cds
NM_024041		SCNM1	79005	B	Borderline	Not Tested	52			3.03	sodium channel modifier 1 (SCNM1), mRNA
