EGID	ENSID	RSID	GENESYMBOL	AvgLogFC	AvgAdjPvalue	RelativeOver-expression
113912	ENSRNOG00000030920	NM_053613	RTN4R	20.51	1.507E-04	MesE11
29427	ENSRNOG00000000853	NM_017196	AIF1	20.51	4.323E-05	MesE11
54305	ENSRNOG00000002793	NM_019348	SSTR2	20.53	4.593E-04	MesE11
25033	ENSRNOG00000022714	NM_012719	SSTR1	20.69	5.147E-05	MesE11
116669	ENSRNOG00000019689	XM_342759	VWF	20.73	2.187E-05	MesE11
24832	ENSRNOG00000006604	NM_012673	THY1	20.75	3.745E-04	MesE11
117059	ENSRNOG00000016977	NM_053988	CALB2	20.76	3.637E-05	MesE11
54705	ENSRNOG00000016180	NM_019372	PPM2C	20.79	8.380E-04	MesE11
300519	ENSRNOG00000033217	NM_001004245	ESAM	20.79	2.047E-04	MesE11
25017	ENSRNOG00000022968	NM_022178	MYO5A	20.80	1.551E-04	MesE11
24318	ENSRNOG00000008428	NM_012547	DRD2	20.81	2.270E-05	MesE11
81718	ENSRNOG00000000158	NM_052809	CDO1	20.90	5.650E-05	MesE11
24626	ENSRNOG00000005905	NM_017031	PDE4B	20.92	5.956E-04	MesE11
25256	ENSRNOG00000034191	NM_012792	FMO1	20.92	1.957E-05	MesE11
24778	ENSRNOG00000007284	NM_138827	SLC2A1	20.94	2.427E-05	MesE11
29700	ENSRNOG00000000566	NM_001007601	PCBD1	21.02	4.220E-06	MesE11
360918	ENSRNOG00000028015	NM_001007729	CXCL4	21.05	5.917E-06	MesE11
25550	ENSRNOG00000014816	NM_013032	SLC1A1	21.07	5.360E-04	MesE11
171128	ENSRNOG00000012290	NM_133595	GCHFR	21.13	7.110E-05	MesE11
54294	ENSRNOG00000002730	NM_019341	RGS5	21.17	2.654E-04	MesE11
63885	ENSRNOG00000011310	NM_022236	PDE10A	21.24	4.630E-04	MesE11
25549	ENSRNOG00000008890	NM_013031	SLC18A2	21.29	8.150E-06	MesE11
25361	ENSRNOG00000014333	NM_012889	VCAM1	21.33	4.330E-06	MesE11
54278	ENSRNOG00000005600	NM_019328	NR4A2	21.38	3.559E-04	MesE11
24688	ENSRNOG00000015643	NM_012633	PRPH1	21.51	1.306E-05	MesE11
24806	ENSRNOG00000007374	NM_012666	TAC1	22.02	1.387E-06	MesE11
24588	ENSRNOG00000013916	NM_017029	NEF3	22.11	2.025E-04	MesE11
84487	ENSRNOG00000016147	NM_053427	SLC17A6	22.12	3.212E-04	MesE11
25085	ENSRNOG00000020410	NM_012740	TH	23.01	2.853E-07	MesE11
24797	ENSRNOG00000001837	NM_012659	SST	23.12	3.522E-07	MesE11
24440	ENSRNOG00000033465	NM_033234	HBB	26.41	7.133E-10	MesE11
