probe set	Gene	Description	fold change
95541_at	D6Wsu176e	DNA segment, Chr 6, Wayne State University 176, expressed	1.6
97318_at	Hars2	RIKEN cDNA 0610006H08 gene	1.6
98946_at	Wsb1	WD-40-repeat-containing protein with a SOCS box 1	1.6
102346_at	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	1.59
103483_at	Ercc5	excision repair cross-complementing rodent repair deficiency,complementation group 5	1.59
94301_at	Atp6v0e	ATPase, H+ transporting, lysosomal 9kD V0 subunit E	1.59
96054_f_at	Acp1	Mus musculus mRNA for protein-tyrosine-phosphatase IF1	1.59
97948_at	Rb1	retinoblastoma 1	1.59
160991_at	Nkiras1	RIKEN cDNA 2400004O09 gene	1.58
92736_at	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	1.58
92773_at	Ier5	immediate early response 5	1.58
95462_at	Bzw2	basic leucine zipper and W2 domains 2	1.58
98133_at	Calb1	calbindin-28K	1.58
99129_at	Tnfsf5ip1	expressed sequence AW545363	1.58
102409_at	Lsm8	RIKEN cDNA 2010003I05 gene	1.57
94951_at	1810030A06Rik	RIKEN cDNA 5830482G23 gene	1.57
101509_at	Vbp1	von Hippel-Lindau binding protein 1	1.56
160642_at	Tmem5	transmembrane protein 5	1.56
97710_f_at	C530046L02Rik	ESTs, Highly similar to S12207 hypothetical protein (B2 element) - mouse [M.musulus]	1.56
103446_at	9130009C22Rik	RIKEN cDNA 9130009C22 gene	1.55
104630_at	BC021611	cDNA sequence BC021611	1.55
161183_at	Dag1	dystroglycan 1	1.55
98137_at	Car5a	carbonic anhydrase 5a, mitochondrial	1.55
100606_at	Prnp	prion protein	1.54
160888_at	Reps1	RalBP1 associated Eps domain containing protein	1.54
98909_at	Lias	lipoic acid synthetase	1.54
104402_at	Gtf3c4	ESTs	1.53
104537_at	0610042C05Rik	RIKEN cDNA 0610042C05 gene	1.53
160532_at	Tpm1	tropomyosin 1, alpha	1.53
162399_f_at		spinocerebellar ataxia 2 homolog (human)	1.53
162486_f_at	Dscr3	Down syndrome critical region gene a	1.53
94331_at	Stat6	signal transducer and activator of transcription 6	1.53
94459_at		Mus musculus, clone MGC:36861 IMAGE:4460168, mRNA, complete cds	1.53
95016_at	Nrp	neuropilin	1.53
96708_at	1200002G13Rik	RIKEN cDNA 1200002G13 gene	1.53
97880_at	Dlst	RIKEN cDNA 4930529O08 gene	1.53
102107_at		eukaryotic translation elongation factor 1 beta 2	1.52
93339_at	Mdm4	Mus musculus, clone IMAGE:5025694, mRNA	1.52
94691_at		Cluster Incl C80498:C80498 Mus musculus cDNA	1.52
95128_at	Anapc2	Mus musculus, clone IMAGE:3966453, mRNA	1.52
96771_at	Erbb3	Mus musculus, clone IMAGE:4952369, mRNA	1.52
97802_at	2310066N05Rik	RIKEN cDNA 2310066N05 gene	1.52
101070_at	Mkrn1	makorin, ring finger protein, 1	1.51
101947_at	Akap8l	neighbor of A-kinase anchoring protein 95	1.51
93815_at	Chchd3	RIKEN cDNA 0610041L09 gene	1.51
94369_at	Gnpnat1	glucosamine-phosphate N-acetyltransferase 1	1.51
103574_at	Ablim1	expressed sequence AW060987	1.5
93697_at	Cbx4	chromobox homolog 4 (Drosophila Pc class)	1.5
96355_at	2900055D03Rik	RIKEN cDNA 2900055D03 gene	1.5
97104_g_at	Rfk	RIKEN cDNA 0610038L10 gene	1.5
101930_at	Nfix	nuclear factor I/X	1.49
104603_at	Gstt2	glutathione S-transferase, theta 2	1.49
162091_f_at	Sf3b2	flavin containing monooxygenase 5	1.49
95103_at	2310065K24Rik	expressed sequence AI596259	1.49
96573_at	Actg	actin, gamma, cytoplasmic	1.49
101530_at	Snrp116	U5 small nuclear ribonucleoprotein 116 kDa	1.48
102007_at	Hccs	holocytochrome c synthetase	1.48
104367_at	Eps15	epidermal growth factor receptor pathway substrate 15	1.48
160872_f_at	2310008H09Rik	RIKEN cDNA 2310008H09 gene	1.48
162262_f_at	Gyg1	glycogenin 1	1.48
95505_at	Tor1b	torsin family 1, member B	1.48
96234_at	Cpsf3	cleavage and polyadenylation specificity factor 3	1.48
104267_at	Slc23a2	solute carrier family 23 (nucleobase transporters), member 1	1.47
93257_at	Ddx1	expressed sequence AA409185	1.47
94917_at	Fbxo8	f-box only protein 8	1.47
94920_at	AI415282	expressed sequence AI415282	1.47
160235_at	5033425B17Rik	Mus musculus, clone MGC:6895 IMAGE:2654944,	1.46
94790_at	Agl	amylo-1,6-glucosidase, 4-alpha-glucanotransferase	1.46
99168_at	Pigs	ESTs, Moderately similar to phosphatidylinositol glycan, class S [Homo sapiens] [H.sapiens]	1.46
103881_at	1110013G13Rik	RIKEN cDNA 1110013G13 gene	1.45
93029_at	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma	1.45
101735_f_at	Ang2	Cluster Incl U22519:Mus musculus angiogenin-related protein (Angrp) gene	1.44
102145_f_at	Esrra	estrogen related receptor, alpha	1.44
160124_r_at	Atp6v1c1	RIKEN cDNA 1700025B18 gene	1.44
160412_at	Pdcd2	programmed cell death 2	1.44
160794_at	Smyd2	RIKEN cDNA 1110020E07 gene	1.44
160859_s_at	Nfib	nuclear factor I/B	1.44
93364_at	Catna1	catenin alpha 1	1.44
94918_at	Aars	alanyl-tRNA synthetase	1.44
95411_at	1110004F10Rik	small acidic protein	1.44
95432_f_at	D16Wsu109e	RIKEN cDNA 2610044B22 gene	1.44
97734_at	Thpo	thrombopoietin	1.44
98033_at	1100001H23Rik	RIKEN cDNA 1100001H23 gene	1.44
104254_at	2210408F11Rik	RIKEN cDNA 2210408F11 gene	1.43
95496_at	5730409F23Rik	RIKEN cDNA 5730409F23 gene	1.43
160176_at	Hirip5	histone cell cycle regulation defective interacting protein 5	1.42
160431_at	Mrpl12	mitochondrial ribosomal protein L12	1.42
93178_at	Ngef	neuronal guanine nucleotide exchange factor	1.42
94273_at	2610311I19Rik	RIKEN cDNA 2610311I19 gene	1.42
94454_at	Dazap2	proline rich protein expressed in brain	1.42
96212_at	2310061I04Rik	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 16	1.42
96763_at	Sardh	sarcosine dehydrogenase	1.42
99525_at	Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1	1.42
101061_at	Ssr2	RIKEN cDNA 1500032E05 gene	1.41
102938_at	Lect2	leukocyte cell-derived chemotaxin 2	1.41
103402_at	Tm7sf3	RIKEN cDNA 2010003B14 gene	1.41
103506_f_at	Dsc2	desmocollin 2	1.41
96713_at	Papss2	3-phosphoadenosine 5-phosphosulfate synthase 2	1.41
101461_f_at	Pja1	praja1, RING-H2 motif containing	1.4
97869_at	Etfdh	RIKEN cDNA 0610010I20 gene	1.4
104761_at	Antxr2	RIKEN cDNA 2310046B19 gene	1.39
160379_at	Epb4.1	Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310065B16:erythrocyte protein band 4.1, full insert sequence	1.39
101057_at	A430005L14Rik	expressed sequence C79672	1.38
101949_at	Pmm2	phosphomannomutase 2	1.38
103400_at	AI316828	expressed sequence AI316828	1.38
103539_at	Tec	cytoplasmic tyrosine kinase, Dscr28C related (Drosophila)	1.38
100959_at	S100a13	S100 calcium binding protein A13	1.37
101834_at	Mapk3	mitogen activated protein kinase 3	1.37
102313_at	Gch	GTP cyclohydrolase 1	1.37
93274_at	Clk	CDC-like kinase	1.37
98073_at	Cutl1	cut-like 1 (Drosophila)	1.37
98545_at	Bcap37	B-cell receptor-associated protein 37	1.37
103972_at	Kcnj1	potassium inwardly-rectifying channel, subfamily J, member 1	1.36
160931_at	Dnm1l	dynamin 1-like	1.36
93496_at	Elovl5	RIKEN cDNA 1110059L23 gene	1.36
96486_at		expressed sequence C81268	1.36
99039_g_at	Adss2	adenylosuccinate synthetase 2, non muscle	1.36
99112_at	Slc25a10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10	1.36
102047_at	Nmt1	N-myristoyltransferase 1	1.35
161437_f_at	4930578F06Rik	RIKEN cDNA 4930578F06 gene	1.35
92540_f_at	Srm	spermidine synthase	1.35
94015_at	Th1l	TH1-like homolog (Drosophila)	1.35
94818_at	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	1.35
95074_at	Pex19	peroxisomal farnesylated protein	1.35
96120_at	Dnajb6	DnaJ (Hsp40) homolog, subfamily B, member 6	1.35
99159_at	Ppif	expressed sequence AW457192	1.35
161889_f_at	Aldo1	aldolase 1, A isoform	1.34
98065_at	Ormdl3	ORM1-like 3 (S. cerevisiae)	1.34
103697_at	AW061234	expressed sequence AW061234	1.33
96066_s_at	Pkm2	pyruvate kinase 3	1.33
98354_at	Ptcra	pre T-cell antigen receptor alpha	1.33
98629_f_at	Hif1a	hypoxia inducible factor 1, alpha subunit	1.33
160311_at	Plxnb2	plexin B2	1.32
160672_at	AI462438	expressed sequence AI462438	1.32
98958_at	1810057B09Rik	RIKEN cDNA 4921532K09 gene	1.32
102035_at	Tpmt	thiopurine methyltransferase	1.31
160414_at	1810073N04Rik	Mus musculus, clone IMAGE:3708675, mRNA	1.31
96052_at	Acp1	acid phosphatase 1, soluble	1.31
93562_at	Ndufb3	RIKEN cDNA 2700033I16 gene	1.29
95316_at	Fgf18	fibroblast growth factor 18	1.28
94160_at	Efnb3	ephrin B3	-1.29
101293_at	G6pd2	Cluster Incl Z84471:M.musculus G6pd-2 gene	-1.36
93449_at	Rfpl4	ret finger protein-like 4	-1.41
95379_at	Mab21l2	mab-21-like 2 (C. elegans)	-1.41
103212_at	BC006933	hypothetical protein MGC11998	-1.42
98798_at	Cspg3	chondroitin sulfate proteoglycan 3	-1.42
101700_at	Phxr4	per-hexamer repeat gene 4	-1.44
98892_at	Lpin1	lipin 1	-1.45
161278_r_at	Oat	ornithine aminotransferase	-1.46
104580_at	Plcd	phospholipase C, delta	-1.48
161379_at	Rpo1-4	RNA polymerase 1-4 (194 kDa subunit)	-1.48
161478_at	Mthfd2	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	-1.49
92728_at	Prg2	proteoglycan 2, bone marrow	-1.51
101782_at		Cluster Incl X16495:Murine H2A gene for histone H2A	-1.53
101753_s_at	Lyzs	P lysozyme structural	-1.57
161641_at	BC008155	similar to hypothetical protein MGC2494	-1.59
161835_at	Calb3	calbindin-D9K	-1.6
101616_at		Mouse Ig rearranged kappa-chain mRNA	-1.61
161390_r_at	Pou6f1	RIKEN cDNA 2310038G18 gene	-1.67
102095_f_at	Spock2	glucosaminyltransferase, I-branching enzyme	-1.87
104255_at	FHOS2	ESTs, Weakly similar to DIA3_MOUSE Diaphanous protein homolog 3 (Diaphanous-related formin 3) (DRF3) (mDIA2) (p134mDIA2) [M.musulus]	-1.87
102064_at	Casp1	caspase 1	-2.03
160501_at	Kif20a	Rab6, kinesin-like	-2.06
94881_at	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	-2.18
92902_at	Mybl1	myeloblastosis oncogene-like 1	-114.6
