Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0439gpr MPP vs LT	0461gpr LT vs MPP	5351gpr MPP vs LT	5352gpr LT vs MPP	5359gpr LT vs MPP	5360gpr MPP vs LT	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
BG072291	Cttn	cortactin	Mm.205601	13043		7		-2.9735	-2.779	-3.3505	-2.9664	-2.4644	-1.4175	6	0.175757984	5.689641943	-3.686698452	-2.65855	0.721119461	0.289800804
BG073939	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	Mm.4514	11668		19		-4.3326	-4.1891	-4.5853	-5.0785		-2.6112	5	0.223228086	4.479723041	-3.682179719	-3.711723333	1.008023404	0.289800804
AA189608	Socs2	suppressor of cytokine signaling 2	Mm.291261	216233		10		-2.1334	-2.2089	-2.2087	-2.1838	-1.8649	-1.5428	6	0.249734098	4.004258964	-3.637960136	-2.02375	0.556287019	0.289800804
AA718788	Tek	endothelial-specific receptor tyrosine kinase	Mm.14313	21687		4		-3.4667	-2.1995	-4.2082	-3.9491	-2.2474	-2.0478	6	0.146577784	6.822316266	-3.587624853	-3.019783333	0.841722158	0.289800804
AV141255				NA	D86962 KIAA0207:myeloblast:Homo sapiens		NA	-3.0161	-2.37	-4.8078	-4.1829	-2.1822	-2.3402	6	0.137607047	7.267069681	-3.520140366	-3.149866667	0.894812803	0.289800804
AV078236				NA	necdin		NA	-2.3765	-1.6597	-2.187	-2.2695	-1.6057	-2.1224	6	0.249055185	4.015174381	-3.518172878	-2.0368	0.578936872	0.289800804
BG072195	Jam3	junction adhesion molecule 3	Mm.28770	83964		9	9 A4	-2.4669	-2.2892	-2.9915	-2.9712	-1.7408	-1.6709	6	0.208664742	4.792376461	-3.460108928	-2.355083333	0.680638495	0.289800804
AV025995	Trpc6	transient receptor potential cation channel, subfamily C, member 6	Mm.8027	22068		9		-2.4938	-3.2663	-3.4181	-3.1405	-1.0393	-2.862	6	0.185421965	5.393104313	-3.358596439	-2.703333333	0.80489972	0.289800804
AV029862		Adult male cerebellum cDNA, RIKEN full-length enriched library, clone:1500009L16 product:hypothetical protein, full insert sequence	Mm.271188					-3.7986	-3.6895	-4.4726	-4.4525	-1.2793	-1.8817	6	0.153907678	6.497401626	-3.262998113	-3.262366667	0.999806483	0.289800804
BG075031	Sdc2	syndecan 2	Mm.234266	15529		15		-1.8554	-3.0827	-2.3781	-2.368	-2.3437		5	0.329578852	3.034175267	-3.17738497	-2.213158333	0.696534526	0.289800804
AV060358				NA	AA189817 EST:lymph node:Mus musculus		NA	-2.5083	-2.4727	-1.0184	-2.7256	-2.0771	-2.9273	6	0.228202814	4.382066918	-3.153686412	-2.288233333	0.725574149	0.289800804
BF661458	Vwf	Von Willebrand factor homolog	Mm.22339	22371		6		-1.7898	-2.8454	-3.7803	-3.8638	-1.8129	-1.8811	6	0.18765246	5.329000216	-3.142475881	-2.662216667	0.84717171	0.289800804
AA031143	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	Mm.168789	12577		7		-2.3355	-1.3594	-3.1454	-2.8671	-1.6659	-2.2062	6	0.228300295	4.380195821	-3.122891096	-2.26325	0.724729083	0.289800804
BG070626	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-1.5525	-2.0628	-2.4085	-2.4158	-4.242	-2.3458	6	0.200931413	4.97682261	-3.058707157	-2.504566667	0.818831793	0.289800804
BG071313	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	Mm.168789	12577		7		-2.0604	-4.7315	-1.7819	-1.8842	-3.256	-2.7661	6	0.181793836	5.50073657	-3.030903133	-2.746683333	0.906226037	0.289800804
AV031741				NA	aldehyde dehydrogenase 1, liver cytosolic (class 1)		NA	-4.1391	-3.5012	-4.4867	-4.4633	-0.6662	-2.0611	6	0.184134014	5.430827125	-2.988901901	-3.2196	1.077184902	0.289800804
AV093558				NA	apolipoprotein E (apoE)		NA	-2.6562	-3.5206	-2.8882	-2.6991	-1.0945	-1.5854	6	0.222727299	4.489795385	-2.963785946	-2.407333333	0.812249392	0.289800804
AA177906	Slamf1	signaling lymphocytic activation molecule family member 1	Mm.103648	27218		1		-2.8244	-3.9788	-2.3254	-2.5628	-1.7193	-1.2597	6	0.215782884	4.634287859	-2.939674333	-2.445066667	0.831747462	0.289800804
AV032265	Apoe	apolipoprotein E	Mm.305152	11816		7		-2.2596	-1.5087	-2.5575	-2.5828	-1.4029	-1.5106	6	0.271029563	3.689634405	-2.924932819	-1.97035	0.673639404	0.289800804
BG075744	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-2.0369	-2.054	-2.1841	-2.1954	-1.4328	-1.112	6	0.292657994	3.41695775	-2.908642284	-1.835866667	0.631176503	0.289800804
AA064119	Thy1	thymus cell antigen 1, theta	Mm.3951	21838		9		-2.641	-2.0508	-1.4478	-1.8212	-1.5476	-1.5021	6	0.291058429	3.435736271	-2.901302127	-1.835083333	0.632503357	0.289800804
BG074978	Fhl1	four and a half LIM domains 1	Mm.3126	14199			X A6-A7.1	-1.7383	-1.6665	-2.8168	-2.1772	-4.5832	-2.3157	6	0.203391926	4.916616016	-2.872851956	-2.549616667	0.88748627	0.289800804
AV028955	Cttn	cortactin	Mm.205601	13043		7		-3.508	-2.8019	-3.0829	-3.0261	-0.8992	-1.5309	6	0.225720325	4.4302612	-2.865927143	-2.474833333	0.863536723	0.289800804
AA072842	Slc6a15	solute carrier family 6 (neurotransmitter transporter), member 15	Mm.45843	103098		10	10 D1	-1.6292	-2.1477	-2.5869	-2.4865	-2.3481	-0.915	6	0.270094923	3.702402062	-2.856016872	-2.0189	0.706893583	0.289800804
AV086464	Rab27b	RAB27b, member RAS oncogene family	Mm.246753	80718		18		-2.4155	-2.8278	-3.6847	-3.4385	-1.0769	-1.3498	6	0.227447363	4.396621643	-2.789851106	-2.465533333	0.883750867	0.289800804
BG066067	Gdf3	growth differentiation factor 3	Mm.299742	14562		6		-1.2308	-2.7819	-1.8974	-2.3744	-3.2491		5	0.356323678	2.806437132	-2.728027486	-2.131386667	0.781292226	0.289800804
BG066421	Ndn	necdin	Mm.250919	17984		7		-2.0437	-1.5881	-1.9897	-2.051	-2.6921	-0.8584	6	0.295760015	3.381119651	-2.691131719	-1.8705	0.695060739	0.289800804
AV104213	Esam1	endothelial cell-specific adhesion molecule	Mm.41751	69524		9	9 A4	-3.3552	-3.356	-2.2965	-2.1836	-0.5601	-2.0467	6	0.25656008	3.897722511	-2.649458132	-2.299683333	0.867982515	0.289800804
AV089554				NA	prostaglandin-endoperoxide synthase 1		NA	-1.8629	-2.7178	-1.8367	-1.6575	-1.4849	-1.0595	6	0.310158349	3.224159543	-2.638864147	-1.769883333	0.67069892	0.289800804
NA	NA	NA	NA		NA			-1.7912	-2.5843	-2.3266	-2.0356	-1.201	-1.0313	6	0.303862909	3.290957765	-2.62116361	-1.828333333	0.69752736	0.289800804
AA122889	Tjp1	tight junction protein 1	Mm.4342	21872		7		-2.0483	-1.4427	-2.419	-2.4615	-1.5694	-0.9048	6	0.308207606	3.244566261	-2.598567794	-1.807616667	0.695620361	0.289800804
BG065249	Ppic	peptidylprolyl isomerase C	Mm.4587	19038		18	18 D1	-2.227	-2.9653	-1.5556	-1.6862	-3.0067	-0.8325	6	0.279758816	3.574507546	-2.573581704	-2.04555	0.794826136	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-1.3857	-1.1004	-1.6327	-1.366	-1.2297	-1.845	6	0.377383664	2.649823231	-2.560730106	-1.426583333	0.557100231	0.289800804
BG063559	Gata2	GATA binding protein 2	Mm.272747	14461		6		-1.5283	-2.4946	-1.6661	-1.7282	-3.3481	-1.0692	6	0.285973836	3.49682339	-2.530075999	-1.972416667	0.779587913	0.289800804
BG074320	B130017I01Rik	RIKEN cDNA B130017I01 gene	Mm.229287	214137		3	3 G1	-1.2243	-2.608	-1.9095	-2.1658	-1.0392	-1.4913	6	0.320560659	3.119534386	-2.520974468	-1.739683333	0.690083678	0.289800804
AV087195				NA	AA869690 EST:Barstead stromal cell line MPLRB8:Mus musculus		NA	-1.1117	-2.3741	-2.5498	-2.0328	-1.1099	-1.3673	6	0.32029104	3.122160393	-2.478393877	-1.7576	0.709168957	0.289800804
AV023779	Mtvr2	mammary tumor virus receptor 2	Mm.24281	17826		19		-1.7241	-1.7391	-1.5621	-1.7005	-0.9999	-1.0318	6	0.372952533	2.681306366	-2.477887511	-1.459583333	0.58904342	0.289800804
BG073809	Bgn	biglycan	Mm.2608	12111				-2.2607	-0.883	-2.7729	-2.6813	-1.4918	-1.2613	6	0.304309447	3.286128673	-2.462175218	-1.891833333	0.768358531	0.289800804
NA	NA	NA	NA		NA			-2.1033	-2.7014	-1.8951	-1.8905	-1.285	-0.7636	6	0.320738851	3.117801275	-2.460624518	-1.77315	0.720609742	0.289800804
AW548291				NA			NA	-1.8124	-0.877	-1.4492	-1.3861	-1.4953	-1.3869	6	0.385855027	2.591646938	-2.460090358	-1.40115	0.569552251	0.289800804
BG074855	Pbx1	pre B-cell leukemia transcription factor 1	Mm.43358	NA			NA	-2.4264	-2.4057	-1.1554	-1.1791	-1.9922	-1.1769	6	0.326495223	3.062831949	-2.456467645	-1.722616667	0.701257625	0.289800804
BG073091	Ryk	receptor-like tyrosine kinase	Mm.335391	20187		9		-1.5796	-1.034	-1.5093	-1.6913	-1.0882	-1.2207	6	0.397213438	2.517538191	-2.422676164	-1.35385	0.558824171	0.289800804
BG068916	C130086A10	hypothetical protein C130086A10	Mm.12057	208820		4	4 A1	-1.8337	-1.6769	-2.0246	-1.4351	-2.9471	-0.7859	6	0.319758534	3.127359843	-2.418959545	-1.783883333	0.737458936	0.289800804
BG075418	Fkbp9	FK506 binding protein 9	Mm.20943	27055		6		-1.1091	-0.9327	-1.5072	-1.5031	-2.0122	-1.6351	6	0.37698181	2.65264788	-2.402812818	-1.4499	0.60341779	0.289800804
AV025617	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	Mm.28222	68278		8	8 C2	-1.3398	-1.5912	-2.1566	-2.183	-1.2422		5	0.432366632	2.31285193	-2.399176724	-1.571636667	0.655073322	0.289800804
BG071321	Ehd3	EH-domain containing 3	Mm.18526	57440		17		-1.4537	-2.5389	-1.7895	-1.9796		-0.8112	5	0.441649643	2.264238216	-2.39853237	-1.65139	0.688500193	0.289800804
C85808				NA			NA	-1.3619	-1.0629	-1.1293	-1.3196	-2.0009	-1.5273	6	0.387048678	2.583654351	-2.396026856	-1.400316667	0.584432793	0.289800804
BG066845	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-1.4024	-2.5427	-2.3319	-2.1419	-2.9758	-0.4179	6	0.308458653	3.241925584	-2.3954001	-1.968766667	0.821894708	0.289800804
AV088805	Mllt3	myeloid/lymphoid or mixed lineage-leukemia translocation to 3 homolog (Drosophila)	Mm.288898	70122		4	4 C4	-1.8203	-1.8624	-2.1311	-2.1776	-1.3688	-0.5604	6	0.345472448	2.894586837	-2.380151968	-1.653433333	0.694675531	0.289800804
BG064195	Esam1	endothelial cell-specific adhesion molecule	Mm.41751	NA			NA	-2.5631	-3.7387	-2.2079	-2.4356		-0.3222	5	0.407544396	2.453720406	-2.377724983	-2.155578333	0.906571764	0.289800804
AV000290				NA	AI467607 EST:mammary gland:Mus musculus		NA	-1.2575	-1.0006	-2.2498	-2.4407	-1.1518	-2.9318	6	0.315603678	3.168530877	-2.372869578	-1.8387	0.774884561	0.289800804
BE688230	Fgd5	FYVE, RhoGEF and PH domain containing 5	Mm.295740	232237		6	6 D1	-2.2408	-0.5229	-2.1331	-1.9481	-1.1315	-2.3919	6	0.340272905	2.938817594	-2.311195299	-1.72805	0.747686706	0.289800804
AV112853	Nckap1	NCK-associated protein 1	Mm.25203	50884		2		-1.3993	-2.2117	-2.1582	-2.4344	-0.9658	-0.8341	6	0.346159346	2.888842988	-2.289449756	-1.66725	0.728231749	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-1.563	-0.9049	-1.1215	-1.1131	-1.3461	-1.7632	6	0.413729926	2.417035697	-2.258173562	-1.301966667	0.576557395	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-1.4109	-1.7909	-2.8767	-2.4476	-0.7413		5	0.43045619	2.323116786	-2.25658625	-1.743866667	0.772789725	0.289800804
AI854113	Sdc2	syndecan 2	Mm.234266	15529		15		-1.8296	-3.4824	-1.8236	-1.3685	-1.1107	-1.2343	6	0.321457111	3.110834897	-2.252233003	-1.808183333	0.802840261	0.289800804
BG072812	Ghr	growth hormone receptor	Mm.3986	14600		15		-1.4158	-1.7788	-1.3496	-2.6289	-3.3041	-0.7144	6	0.321832944	3.107202097	-2.242933465	-1.865266667	0.831619259	0.289800804
BG073854	Prdm16	PR domain containing 16	Mm.257785	70673		4	4 E2	-0.8606	-1.1887	-1.3618	-1.2614	-1.1011	-1.1487	6	0.452141559	2.211696714	-2.236674318	-1.153716667	0.515817907	0.289800804
AV084675				NA	AA408608 EST:ectoplacental cone:Mus musculus		NA	-0.9094	-1.7612	-2.1004	-2.0645	-0.951	-1.1879	6	0.37598117	2.659707664	-2.233901677	-1.495733333	0.669560952	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-0.9546	-2.2177	-2.3829	-2.3141	-1.4809	-0.6796	6	0.351063971	2.848483702	-2.231271497	-1.671633333	0.749184192	0.289800804
AV024845	Plxdc2	plexin domain containing 2	Mm.313938	67448		2	2 A2-24.3	-2.3026	-3.0107	-2.3588	-2.3441	-0.1713	-1.2988	6	0.335530522	2.980354798	-2.224096341	-1.914383333	0.860746586	0.289800804
NA	NA	NA	NA		NA			-0.8336	-1.6463	-2.0325	-1.8706	-1.1625	-1.0399	6	0.388595904	2.573367319	-2.218643243	-1.4309	0.644943708	0.289800804
AV074050				NA	M16459 CRBP mRNA::Rattus norvegicus		NA	-1.4559	-2.0553	-1.6818	-1.4179	-0.4676	-1.7589	6	0.384952728	2.597721556	-2.203817744	-1.4729	0.668340204	0.289800804
C81585	6330403K07Rik	RIKEN cDNA 6330403K07 gene	Mm.27768	103712		11	11 B4	-1.2942	-2.0686	-1.4559	-1.6532	-3.0044	-0.6765	6	0.346485903	2.886120303	-2.202268641	-1.692133333	0.768359183	0.289800804
BG072683	Prnp	prion protein	Mm.648	19122		2		-1.019	-1.1685	-1.6967	-1.4823		-2.205	5	0.470272548	2.126426485	-2.199340882	-1.41565	0.643670116	0.289800804
NA	NA	NA	NA		NA			-1.1235	-1.6077	-1.4843	-1.3349	-1.0705	-0.8251	6	0.430256418	2.324195431	-2.198706205	-1.241	0.56442284	0.289800804
AV010312	Col4a2	procollagen, type IV, alpha 2	Mm.181021	12827		8		-0.8383	-1.0476	-1.4121	-1.4155	-1.089	-1.5407	6	0.434587396	2.301033138	-2.195429762	-1.223866667	0.557461089	0.289800804
AV114351				NA	retinol binding protein 1, cellular		NA	-1.4162	-1.4017	-1.6598	-1.3656	-0.7257	-1.0521	6	0.424117684	2.357836131	-2.186426001	-1.270183333	0.580940463	0.289800804
BG063483	Krt1-18	keratin complex 1, acidic, gene 18	Mm.22479	16668		15		-1.036	-1.5878	-1.1861	-1.6719		-0.756	5	0.52763683	1.895242984	-2.183997645	-1.335906667	0.611679536	0.289800804
BG074330		Transcribed sequences	Mm.337491			1		-2.6397	-3.1304	-2.3121	-2.2903		-0.6376	5	0.387206723	2.582599783	-2.177428606	-1.927608333	0.885268214	0.289800804
AV059445				NA	AF090334 FK506 binding protein::Mus musculus		NA	-1.1871	-1.0035	-1.3157	-1.2584	-0.864	-1.669	6	0.436934903	2.288670446	-2.172354934	-1.216283333	0.559891625	0.289800804
BG063684	Phldb2	pleckstrin homology-like domain, family B, member 2	Mm.211477	208177; 385644		16	16 A1	-1.7476	-1.0654	-2.0598	-1.9389	-1.0771	-0.7737	6	0.389199584	2.56937582	-2.16878066	-1.44375	0.665696641	0.289800804
AV024436				NA	AI226209 EST:Soares mouse uterus NMPu:Mus musculus		NA	-1.1115	-1.2217	-1.2427	-1.0175	-0.9372	-0.953	6	0.474490847	2.107522213	-2.159097551	-1.0806	0.500486881	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-1.6598	-0.8316	-1.6356	-1.3666	-0.8031	-2.1165	6	0.39862524	2.508621885	-2.138000465	-1.4022	0.655846443	0.289800804
BG068299	Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	Mm.276831	50934		14	14 C1	-0.9535	-2.2418	-1.8411	-1.6002	-1.8002		5	0.437312584	2.286693859	-2.115621301	-1.493266667	0.705828905	0.289800804
AV040586				NA	M34141 prostaglandin endoperoxide::Mus musculus		NA	-1.1639	-1.1296	-2.397	-2.2402	-1.3388	-0.7571	6	0.381982775	2.617919093	-2.101366514	-1.504433333	0.715930954	0.289800804
BG074787	Cd9	CD9 antigen	Mm.210676	12527		6		-1.1314	-1.3671	-1.654	-1.7654	-4.333	-1.4514	6	0.311888245	3.206276657	-2.094013321	-1.950383333	0.931409229	0.289800804
BG075709	Nt5c3	5-nucleotidase, cytosolic III	Mm.158936	NA			NA	-1.3741	-0.9337	-1.2277	-1.1832	-1.1002	-0.822	6	0.468131271	2.13615296	-2.093861401	-1.106816667	0.528600731	0.289800804
AV053967				NA	AU021505 EST:Mouse eight-cell stage embryo cDNA:Mus musculus		NA	-1.7832		-3.613	-3.2843	-0.4706	-0.8557	5	0.45819529	2.182475511	-2.082125634	-2.000945	0.961010694	0.289800804
AV083596	Fhl1	four and a half LIM domains 1	Mm.3126	14199			X A6-A7.1	-1.4225	-1.5619	-3.1893	-3.4411	-0.9719	-0.7897	6	0.333628173	2.997348786	-2.081607185	-1.896066667	0.9108667	0.289800804
AA170453	Dlgh3	discs, large homolog 3 (Drosophila)	Mm.4615	53310			X C3	-1.1138	-1.1608	-1.5263	-1.3313	-1.8013	-0.6352	6	0.43078064	2.321367089	-2.072462743	-1.26145	0.608671979	0.289800804
NA	NA	NA	NA		NA			-2.1632	-2.1672	-2.6483	-2.5012	-0.0945	-1.0133	6	0.369008176	2.709967057	-2.065063056	-1.764616667	0.854509823	0.289800804
BG065693	Trim47	tripartite motif protein 47	Mm.5510	217333		11	11 E2		-0.4936	-2.3637	-2.338	-3.3371	-1.4051	5	0.42981216	2.326597738	-2.060617106	-1.810091667	0.87842213	0.289800804
AV083722	Catnal1	catenin alpha-like 1	Mm.218891	54366		4	4 B3	-0.6035	-1.3803	-1.8515	-1.9264	-1.071	-1.1954	6	0.415856248	2.404677107	-2.058892312	-1.338016667	0.649872098	0.289800804
AA000222	Aldoc	aldolase 3, C isoform	Mm.7729	11676		11		-0.8607	-1.342	-1.5457	-1.5815	-0.9762	-0.8	6	0.450748088	2.218534092	-2.011431173	-1.18435	0.588809608	0.289800804
BG073888	Txnip	thioredoxin interacting protein	Mm.271877	56338		3		-1.4414	-1.4107	-0.929	-0.8657	-0.8189	-1.3293	6	0.463862765	2.155810027	-2.00439759	-1.1325	0.565007664	0.289800804
BG074846		Similar to KIAA2012 protein (LOC329164), mRNA	Mm.77264	329164		1	1 C2	-1.7169	-1.5501	-2.0709	-1.8137	-1.2335	-0.2125	6	0.409414057	2.442515061	-2.002335829	-1.432933333	0.715630871	0.289800804
NA	NA	NA	NA		NA				-2.713	-2.5793	-2.3092	-1.1098	-1.4102	5	0.393537459	2.541054168	-2.001487361	-1.711476667	0.85510241	0.289800804
BG073564	App	amyloid beta (A4) precursor protein	Mm.277585	11820		16		-0.6788	-1.1899	-2.0138	-2.1317	-1.9786	-0.6455	6	0.405305656	2.467273737	-1.979087779	-1.439716667	0.727464785	0.289800804
AV024220				NA	follistatin-like		NA	-1.7079	-2.0496	-1.3749	-1.5056	-0.6411	-0.7147	6	0.422662527	2.365953773	-1.978489727	-1.3323	0.673392427	0.289800804
AW548342				NA			NA	-0.8476	-1.2069	-1.3681	-1.3124	-2.769	-1.0676	6	0.400462756	2.497111114	-1.970276329	-1.4286	0.72507596	0.289800804
AV013809	4933428I03Rik	RIKEN cDNA 4933428I03 gene	Mm.254605	66775		4	4 C4	-2.0218	-2.4668	-1.4711	-1.4363	-0.4675	-0.9042	6	0.40248488	2.484565382	-1.969174198	-1.461283333	0.742079261	0.289800804
AA163320	Ptgs1	prostaglandin-endoperoxide synthase 1	Mm.275434	19224		2		-0.6019	-1.0846	-2.4864	-2.2557	-1.605	-0.884	6	0.398142246	2.511665141	-1.960976438	-1.486266667	0.757921736	0.289800804
BG071218	Ndrg2	N-myc downstream regulated gene 2	Mm.26722	29811		14	14 C1	-2.0137	-1.7222	-1.6238	-1.6919		-0.9582	5	0.449903462	2.222699054	-1.959846906	-1.384316667	0.706339185	0.289800804
AA017865	Gjb5	gap junction membrane channel protein beta 5	Mm.26859	14622		4		-2.4649	-3.992	-3.0579	-3.0282	0.8364	-1.5545	6	0.435446061	2.296495685	-1.942692426	-2.210183333	1.137690817	0.289800804
AI847835	9430022M17Rik	RIKEN cDNA 9430022M17 gene	Mm.31274	320503		4	4 C6	-1.3531	-0.7608	-1.4381	-1.4574	-1.0863	-0.6998	6	0.466907676	2.141751038	-1.936710975	-1.132583333	0.584797292	0.289800804
AV029709	Procr	protein C receptor, endothelial	Mm.3243	19124	protein C receptor, endothelial	2	2 H1-3	-1.6597	-1.309	-1.1458	-1.0611	-0.4801	-1.4704	6	0.454853527	2.198509942	-1.936673046	-1.187683333	0.613259598	0.289800804
BG072974	Neo1	neogenin	Mm.42249	18007		9	9 B	-0.777	-1.5693	-1.5976	-1.9277	-0.9288	-0.7511	6	0.438878407	2.27853543	-1.933114117	-1.258583333	0.651065202	0.289800804
AV103179				NA	AI414226 EST:embryo:Mus musculus		NA	-0.5754	-1.0574	-1.2319	-1.0721	-1.1499	-1.3199	6	0.484033181	2.065974069	-1.931683743	-1.067766667	0.552764742	0.289800804
AI841348	Snrpn	small nuclear ribonucleoprotein N	Mm.274995	20646; 84704; 386485		7		-1.9888	-1.9621	-1.4499	-1.5199	-0.444	-0.7689	6	0.424219713	2.357269051	-1.927662806	-1.3556	0.703235024	0.289800804
AV094683				NA	origin recognition complex, subunit 2 homolog (S. cerevisiae		NA	-1.941	-1.6732	-1.0939	-0.8077	-0.9734		5	0.520513735	1.92117889	-1.921623652	-1.225456667	0.637719392	0.289800804
AV095173				NA	U92544 hepatocellular carcinoma associated protein::Homo sap		NA	-1.4839	-0.8858	-1.3032	-1.5426	-0.8218	-0.7602	6	0.467225191	2.140295556	-1.921094036	-1.132916667	0.589724732	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-1.0888	-1.2776	-1.0158	-0.9083		-1.4331	5	0.546722375	1.829081899	-1.919662754	-1.066756667	0.555700039	0.289800804
NA	NA	NA	NA		NA			-1.1014	-1.3679	-1.5564	-1.7755	-2.0214	-0.246	6	0.42919341	2.329951896	-1.916638876	-1.344766667	0.701627564	0.289800804
NA	NA	NA	NA		NA			-0.2178	-1.8736	-2.196	-2.4657	-1.7936	-0.713	6	0.405090122	2.468586483	-1.913182616	-1.543283333	0.806657619	0.289800804
AV029004				NA	gene trap locus 2		NA	-1.121	-1.7099	-2.1854	-2.0803	-0.3185	-1.0229	6	0.419300357	2.38492523	-1.903669099	-1.406333333	0.738748837	0.289800804
AV021055	12:00 AM	septin 8	Mm.274399	20362		11		-1.1559	-0.7464	-1.3461	-1.035	-0.8313	-0.9756	6	0.499466	2.002138282	-1.896299562	-1.01505	0.535279352	0.289800804
BG070361	Pbx1	pre B-cell leukemia transcription factor 1	Mm.43358	18514; 71633		1		-1.4765	-2.1128	-1.3134	-1.1668	-2.4303	-0.2034	6	0.415394223	2.407351729	-1.895153903	-1.450533333	0.765390785	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								-0.9292	-0.6341	-1.526	-1.3457	-0.9952	-1.0628	6	0.481760391	2.075720668	-1.881219837	-1.082166667	0.575247318	0.289800804
AA259766	Pomc1	pro-opiomelanocortin-alpha	Mm.277996	18976		12		-1.3354	-0.82	-1.07	-1.4449	-0.6108	-1.1674	6	0.484402869	2.064397351	-1.870364466	-1.07475	0.574620626	0.289800804
AW550680				NA			NA	-0.5958	-0.8247	-1.2402	-1.1952	-1.3331	-1.065	6	0.493534003	2.026202844	-1.858037717	-1.042333333	0.560986101	0.289800804
AV030378	Rec8L1	REC8-like 1 (yeast)	Mm.23149	56739		14	14 C1	-1.0979	-1.2082	-0.9959	-1.1616	-1.8555	-0.5528	6	0.467746081	2.137912086	-1.853210652	-1.145316667	0.618017528	0.289800804
AV095221	LOC406217	RIKEN cDNA 2410004M13 gene	Mm.336245	406217			XE3	-1.1507	-3.1377	-2.0024	-2.2793	-0.2702	-0.8512	6	0.400522954	2.496735806	-1.845600488	-1.61525	0.875189409	0.289800804
