Unigene ID	Gene	Mean rank	Golub rank	CFM rank	CF2 rank	GOLUB	CFM	CF2 T/N (%)	Meta-analysis	Expression
Hs.10587	KIAA0353	31	20	47	27	?0.57	0.63	45		Downregulated genes
Hs.58414	Filamin C, gamma (actin-binding protein 280) (FLNC)	34	28	28	46	?0.54	0.58	35.7		Downregulated genes
Hs.21223	Calponin 1, basic, smooth muscle (CNN1)	34	23	33	46	?0.56	0.61	35.7		Downregulated genes
Hs.55279	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5 (SERPINB5)	36	97	4	6	?0.40	0.4	60.5		Downregulated genes
Hs.226795	GSTP1 glutathione S-transferase pi	36	16	37	55	?0.61	0.61	32.4		Downregulated genes
Hs.139851	Caveolin 2 (CAV2)	36	29	15	65	?0.53	0.53	30	x	Downregulated genes
Hs.93557	Proenkephalin (PENK)	37	99	9	4	?0.40	0.47	71		Downregulated genes
Hs.195850	Keratin 5 (KRT5)	37	83	11	17	?0.43	0.49	50		Downregulated genes
Hs.79339	Lectin, galactoside-binding, soluble, 3 binding protein (LGALS3BP)	38	50	26	39	?0.49	0.58	38.9		Downregulated genes
Hs.1940	Crystallin, alpha B (CRYAB)	39	17	30	69	?0.59	0.59	28.6		Downregulated genes
Hs.8022	TU3A protein (TU3A)	41	53	46	23	?0.48	0.63	46.2		Downregulated genes
Hs.198689	Bullous pemphigoid antigen 1 eA (BPAG1)	41	57	57	9	?0.47	0.65	57.7		Downregulated genes
Hs.76224	EFEMP1 EGF-containing fibulin-like extracellular matrix protein 1	42	70	21	36	?0.45	0.56	40		Downregulated genes
Hs.88474	Prostaglandin-endoperoxide synthase 1 (PTGS1), transcript variant 1	44	27	75	30	?0.54	0.7	43.3		Downregulated genes
Hs.75807	PDZ and LIM domain 1 (elfin) (PDLIM1)	44	8	29	94	?0.67	0.59	23.8		Downregulated genes
Hs.2025	Transforming growth factor, beta 3 (TGFB3)	44	77	20	36	?0.43	0.55	40		Downregulated genes
Hs.44	Pleiotrophin (PTN)	45	62	51	21	?0.47	0.65	48.1		Downregulated genes
Hs.170345	Hypothetical protein FLJ13710 (FLJ13710)	46	18	38	83	?0.58	0.61	26.2		Downregulated genes
Hs.76067	Heat shock 27 kDa protein 1 (HSPB1)	47	72	18	52	?0.45	0.55	33.3		Downregulated genes
Hs.1813	Solute carrier family 18, member 2 (SLC18A2)	47	45	39	58	?0.50	0.61	31		Downregulated genes
Hs.6241	P13-kinase associated p85	48	33	55	56	?0.52	0.65	32.4		Downregulated genes
Hs.336920	GPX3 glutathione peroxidase 3 (plasma)	48	9	54	80	?0.64	0.65	26.5		Downregulated genes
Hs.102541	Beta-netrin	48	56	36	52	?0.48	0.61	33.3		Downregulated genes
Hs.117729	Keratin 14 (KRT14)	49	19	90	38	?0.57	0.72	39.3		Downregulated genes
Hs.2785	Keratin 17 (KRT17)	50	93	17	41	?0.40	0.55	36.4		Downregulated genes
Hs.169965	Chimerin (chimaerin) 1 (CHN1)	50	37	43	69	?0.51	0.63	28.6		Downregulated genes
Hs.78065	Complement component 7 (C7)	54	66	83	13	?0.46	0.71	54.5	x	Downregulated genes
Hs.75106	Clusterin (CLU)	56	85	31	51	?0.43	0.6	34.1		Downregulated genes
Hs.50130	Necdin homologue (mouse) (NDN)	62	35	92	58	?0.52	0.72	31		Downregulated genes
Hs.68877	CYBA cytochrome b-245, alpha polypeptide	65	59	96	41	?0.47	0.73	36.4		Downregulated genes
Hs.43728	Weakly similar to glutathione peroxidase 2 (CL683)	67	44	68	88	?0.50	0.68	25		Downregulated genes
Hs.198241	Amine oxidase, copper-containing 3 (vascular adhesion protein 1) (AOC3)	67	40	59	103	?0.50	0.66	22		Downregulated genes
Hs.80552	Dermatopontin (DPT)	68	49	91	64	?0.49	0.72	30.3		Downregulated genes
Hs.296398	Putative integral membrane protein	68	74	40	89	?0.45	0.61	24.4		Downregulated genes
Hs.74471	Gap junction protein, alpha 1, 43 kDa (connexin 43) (GJA1)	72	47	62	108	?0.49	0.67	21.4	x	Downregulated genes
Hs.391697	Hypothetical protein PP5395	72	48	64	103	?0.49	0.67	22		Downregulated genes
Hs.81665	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homologue (KIT)	89	89	101	76	?0.42	0.73	27.8		Downregulated genes
