Up/down	Gene symbol	Gene name	Reporter	Accession number	Fisher score
Up	DJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	H300016804	NM_015190	1.625932619
Down	TOM1L1	Target of myb1-like 1 (chicken)	H200013880	NM_005486	-1.624729248
Down	FBXL5	F-box and leucine-rich repeat protein 5	H200001073	NM_033535	-1.620345499
Up	CHEK2	CHK2 checkpoint homolog (S. pombe)	H200013557	NM_007194	1.611127225
Down	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	H200016766	BC009649	-1.607618618
Down	C4orf14	Chromosome 4 open reading frame 14	H200001673	NM_032313	-1.602600908
Down	MGC18216	Hypothetical protein MGC18216	H200011325	BC010607	-1.596125467
Up	EVL	Enah/Vasp-like	H300018577	NM_016337	1.592697135
Up	HUMGT198A	GT198, complete ORF	H200017422	NM_013290	1.591568061
Up	CDCA7	Cell division cycle associated 7	H200019489	NM_031942	1.578385126
Down	TIGA1	TIGA1	H300008288	NM_053000	-1.576294983
Down	ALCAM	Activated leukocyte cell adhesion molecule	H200001892	Y10183	-1.570016247
Down	MGC35366	Hypothetical protein MGC35366	H200007110	AK054617	-1.561454578
Down	DPEP3	Dipeptidase 3	H200018017	NM_022357	-1.561318032
Down	ZNF366	Zinc finger protein 366	H300003165	NM_152625	-1.554811455
Down	FOXO1A	Forkhead box O1A (rhabdomyosarcoma)	H200007907	NM_002015	-1.552093966
Up	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	H200006260	NM_004364	1.548075561
Up	C10orf7	Chromosome 10 open reading frame 7	H200006879	NM_006023	1.545476819
Up	CDC25B	Cell division cycle 25B	H200013905	NM_021874	1.53905822
Up	C10orf28	Chromosome 10 open reading frame 28	H200005593	BC009231	1.530905971
Down	MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	H200006597	L08895	-1.519149363
Down	MRRF	Mitochondrial ribosome recycling factor	H200010989	BC013049	-1.517510367
Down	SLC16A9	Solute carrier family 16 (monocarboxylic acid transporters), member 9	H200015633	AL122071	-1.513766952
Up	MGC13183	Hypothetical protein MGC13183	H200005386	NM_032358	1.512000727
Down	FLJ11259	Hypothetical protein FLJ11259	H200014286	NM_018370	-1.495297367
Down	NSDHL	D(P) dependent steroid dehydrogenase-like	H200005262	NM_015922	-1.493206343
Down	ACOX2	Acyl-Coenzyme A oxidase 2, branched chain	H200001836	NM_003500	-1.489378303
Down	MGC32124	Hypothetical protein MGC32124	H300006489	NM_144611	-1.485483099
Down	CRI1	CREBBP/EP300 inhibitor 1	H200006215	NM_014335	-1.474567592
Up	MGC11266	Hypothetical protein MGC11266	H200009616	AK027859	1.47046525
Down	LOC57146	Promethin	H200003743	BC015812	-1.469200851
Up	USP12	Ubiquitin specific protease 12	H200004574	AF022789	1.467276386
Down	DHRS8	Dehydrogenase/reductase (SDR family) member 8	H200002076	NM_016245	-1.467211393
Down	SIL1	Endoplasmic reticulum chaperone SIL1, homolog of yeast	H200009843	NM_022464	-1.466175122
Up	POLE2	Polymerase (D directed), epsilon 2 (p59 subunit)	H200010947	NM_002692	1.465425919
Down	LOC283861	Hypothetical locus LOC283861	H200014498	BC009880	-1.464559418
Down	CDC42SE2	CDC42 small effector 2	H200001134	AK025620	-1.458955179
Down	TRIM40	Tripartite motif-containing 40	H300003218	NM_138700	-1.456796834
Up	LOC116211	Hypothetical protein BC013113	H300004411	NM_152773	1.455900927
Up	FLJ40092	FLJ40092 protein	H200007682	AL049987	1.452940369
Up	C11orf17	Chromosome 11 open reading frame 17	H200012940	NM_020642	1.450516906
Up	CD99	CD99 antigen	H200008269	NM_002414	1.449296811
Down	C21orf4	Chromosome 21 open reading frame 4	H200001728	AL355685	-1.449136965
Up	FLJ40869	Hypothetical protein FLJ40869	H200008447	AK025489	1.4485593
Down	ST6GalII	Beta-galactoside alpha-2,6-sialyltransferase II	H200010861	AB058780	-1.442162883
Up	BLM	Bloom syndrome	H200004345	NM_000057	1.434576202
Up	DCC1	Defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	H200018871	NM_024094	1.434302517
Down	GHR	Growth hormone receptor	H200012544	NM_000163	-1.423538187
Down	DIRC1	Disrupted in renal carcinoma 1	H200007945	NM_052952	-1.403969275
Down	EVA1	Epithelial V-like antigen 1	H200012016	AF275945	-1.398956219
Down	MATR3	Matrin 3	H200006559	NM_018834	-1.395537081
Down	TMEM30B	Transmembrane protein 30B	H200007150	AL080078	-1.39421428
Down	TIE	Tyrosine kinase with immunoglobulin and epidermal growth factor homology domains	H200006558	NM_005424	-1.392140029
Up	LOC152217	Hypothetical protein BC007882	H200012155	BC000257	1.386765541
Up	SLC25A17	Solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17	H200005478	NM_006358	1.377014364
Down	DBT	Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease)	H200016424	AK024946	-1.376846094
Up	DNMT3A	D (cytosine-5-)-methyltransferase 3 alpha	H200015773	NM_022552	1.373810515
Down	TCF8	Transcription factor 8 (represses interleukin 2 expression)	H200015445	NM_030751	-1.372883063
Up	MRC2	Mannose receptor, C type 2	H200001501	NM_006039	1.372434286
Up	FDPS	Farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	H200006391	NM_002004	1.371549125
Down	AP3M2	Adaptor-related protein complex 3, mu 2 subunit	H200006445	NM_006803	-1.370875394
Down	NUDT12	Nudix (nucleoside diphosphate linked moiety X)-type motif 12	H200015081	NM_031438	-1.365073407
Down	DCTN4	Dynactin 4 (p62)	H200008491	AK000299	-1.362611719
Down	COPA	Coatomer protein complex, subunit alpha	H200006227	NM_004371	-1.36227539
Down	TGFB1I4	Transforming growth factor beta 1 induced transcript 4	H200011918	AK027071	-1.35994226
Down	CACNG8	Calcium channel, voltage-dependent, gamma subunit 8	H200019245	AF288388	-1.357255741
Down	FAM20B	Family with sequence similarity 20, member B	H200001098	NM_014864	-1.355334081
Up	PSMD7	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	H200014083	NM_002811	1.348735256
Up	TLE3	Transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	H200004078	AB046767	1.338079358
Down	TM4SF6	Transmembrane 4 superfamily member 6	H200012278	NM_003270	-1.33770959
Up	DKFZP434I1	DKFZP434I116 protein	H200002596	AB037850	1.336419417
Up	DTX4	Deltex 4 homolog (Drosophila)	H200005479	AB023154	1.328547199
Down	SCGF	Stem cell growth factor; lymphocyte secreted C-type lectin	H200011409	NM_002975	-1.328237086
Down	ST13	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	H200012193	U17714	-1.327798803
Up	FABP5	Fatty acid binding protein 5 (psoriasis-associated)	H200013858	NM_001444	1.327610595
Up	ZNF294	Zinc finger protein 294	H200009357	AB018257	1.326730409
Up	HNRPAB	Heterogeneous nuclear ribonucleoprotein A/B	H200006837	NM_031266	1.316262107
Down	C5orf5	Chromosome 5 open reading frame 5	H200006876	NM_016603	-1.315130781
Up	MKNK1	MAP kinase interacting serine/threonine kinase 1	H200001078	NM_003684	1.312135449
Up	OAZ1	Ornithine decarboxylase antizyme 1	H200012536	AF090094	1.308445086
Down	TP53TG3	TP53TG3 protein	H200017298	NM_015369	-1.306004968
Up	STMN1	Stathmin 1/oncoprotein 18	H200016257	NM_005563	1.305277049
Down	NMU	Neuromedin U	H200000689	NM_006681	-1.302342299
Down	NKIRAS1	NFKB inhibitor interacting Ras-like 1	H200008121	AK027749	-1.297609739
Down	DJ971N18.2	Hypothetical protein DJ971N18.2	H200007816	AB032988	-1.295665701
Down	eIF2A	Eukaryotic translation initiation factor (eIF) 2A	H200019327	NM_032025	-1.289474315
Up	LOC90321	Hypothetical protein LOC90321	H200005336	AK024268	1.285129649
Down	WDFY2	WD repeat and FYVE domain containing 2	H200002573	NM_052950	-1.278629737
Up	EF1	Ephrin-A1	H200000428	NM_004428	1.276901751
Up	MOBKL1A	MOB1, Mps One Binder kinase activator-like 1A (yeast)	H200004087	AL162039	1.272372013
Up	FLJ14668	Hypothetical protein FLJ14668	H200019625	NM_032822	1.271774411
Up	DPP3	Dipeptidylpeptidase 3	H200003203	NM_005700	1.271657617
Up	CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	H200011914	NM_003504	1.267903772
Down	RBBP9	Retinoblastoma binding protein 9	H200005670	BC015938	-1.264710668
Up	PLAU	Plasminogen activator, urokinase	H200006377	NM_002658	1.264643114
Up	UBE2C	Ubiquitin-conjugating enzyme E2C	H200010558	NM_007019	1.26434915
Up	PAG	Phosphoprotein associated with glycosphingolipid-enriched microdomains	H200016561	NM_018440	1.262426779
Up	CGI-12	CGI-12 protein	H200004790	NM_015942	1.261392493
Down	ZCSL2	Zinc finger, CSL domain containing 2	H200016548	AK022970	-1.260883749
Up	THAP4	THAP domain containing 4	H200008634	BC009439	1.259870742
Down	GLIPR1	GLI pathogenesis-related 1 (glioma)	H200005552	NM_006851	-1.257501869
Up	C13orf25	Chromosome 13 open reading frame 25	H200003367	AK024240	1.253387125
Down	SELK	Selenoprotein K	H200008409	AF161415	-1.252153678
Down	FLJ14800	Hypothetical protein FLJ14800	H200005472	NM_032840	-1.25056006
Down	SNTA1	Syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	H200004067	NM_003098	-1.248087049
Up	PRKD2	Protein kinase D2	H200010474	AF309082	1.247180177
Down	LOC286144	Hypothetical protein LOC286144	H200001218	AF130048	-1.246130171
Up	SNRPB2	Small nuclear ribonucleoprotein polypeptide B	H200006957	NM_003092	1.245493074
Up	INPP5E	Inositol polyphosphate-5-phosphatase, 72 kDa	H200003486	NM_019892	1.244386401
Down	HNRPA0	Heterogeneous nuclear ribonucleoprotein A0	H200006401	NM_006805	-1.244325934
Down	LOC201725	Hypothetical protein LOC201725	H200011812	AK027539	-1.240717859
Down	C21orf63	Chromosome 21 open reading frame 63	H200003985	NM_058187	-1.239719863
Up	MCCC2	Methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	H200007735	NM_022132	1.234417371
Down	SARA1	SAR1a gene homolog 1 (S. cerevisiae)	H200011715	AY008268	-1.231283941
Up	CFL1	Cofilin 1 (non-muscle)	H200008422	NM_005507	1.231200065
Down	TCF12	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	H200003059	NM_003205	-1.230042551
Down	STMN3	Stathmin-like 3	H200008845	NM_015894	-1.227999201
Down	PRKACB	Protein kinase, cAMP-dependent, catalytic, beta	H200007621	BC016285	-1.22722159
Down	KIAA0303	KIAA0303 protein	H200005139	AB002301	-1.226885972
Down	SIX6	Sine oculis homeobox homolog 6 (Drosophila)	H200014679	NM_007374	-1.226775046
Up	SLC20A1	Solute carrier family 20 (phosphate transporter), member 1	H200006513	NM_005415	1.224903395
Down	ZNF133	Zinc finger protein 133 (clone pHZ-13)	H200006510	NM_003434	-1.222751942
Down	PDE3A	Phosphodiesterase 3A, cGMP-inhibited	H200018314	AK000795	-1.221968021
Down	INSIG1	Insulin induced gene 1	H200005214	NM_005542	-1.220792042
Up	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	H200013962	NM_014674	1.216272541
Up	COX4I1	Cytochrome c oxidase subunit IV isoform 1	H200020147	AK027136	1.214759846
Up	GLA	Galactosidase, alpha	H200005659	NM_000169	1.213235772
Down	FLNC	Filamin C, gamma (actin binding protein 280)	H200005321	NM_001458	-1.211683912
Down	CLDN12	Claudin 12	H200016459	AL136770	-1.210582642
Down	LOC90624	Hypothetical protein LOC90624	H200011901	AK000803	-1.209834821
Down	NDN	Necdin homolog (mouse)	H200004970	NM_002487	-1.209286152
Up	NUP107	Nucleoporin 107kDa	H200015559	NM_020401	1.208887925
Up	FNBP4	Formin binding protein 4	H200001313	AL137480	1.207682529
Down	DNM3	Dynamin 3	H200004239	AL136712	-1.202376964
Down	RBM27	R binding motif protein 27	H200005433	AB037732	-1.200717191
Down	MRPL13	Mitochondrial ribosomal protein L13	H200019487	NM_014078	-1.200075552
Up	HSPC121	Butyrate-induced transcript 1	H200016502	AK027421	1.199788841
Down	DEPDC1	DEP domain containing 1	H200013081	NM_017779	-1.197327695
Up	LOC339483	Hypothetical protein LOC339483	H200019835	AK055560	1.194182044
Up	CDK7	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)	H200014269	NM_001799	1.192035739
Up	ZNF292	Zinc finger protein 292	H200008107	AB011102	1.188998358
Down	CA5B	Inactivation escape 2	H200002295	AK057568	-1.182980362
Down	TTC14	Tetratricopeptide repeat domain 14	H200004622	AK055984	-1.182779417
Down	FLJ22457	Hypothetical protein FLJ22457	H200015627	NM_024901	-1.181729756
Down	AMOTL2	Angiomotin like 2	H200010529	NM_016201	-1.180311575
Up	FLJ10350	Hypothetical protein FLJ10350	H200008278	AF218002	1.179413815
Down	MAP1LC3A	Microtubule-associated protein 1 light chain 3 alpha	H200013123	NM_032514	-1.169615514
Up	BTBD3	BTB (POZ) domain containing 3	H200001530	NM_014962	1.168952291
Up	LCAT	Lecithin-cholesterol acyltransferase	H200020247	NM_000229	1.16657197
Up	ZFP36L1	Zinc finger protein 36, C3H type-like 1	H200007141	NM_004926	1.165601024
Down	SQRDL	Sulfide quinone reductase-like (yeast)	H200001615	NM_021199	-1.164799992
Up	PSMB6	Proteasome (prosome, macropain) subunit, beta type, 6	H200010184	BF698890	1.164755346
Down	EIF3S10	Eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	H200014832	NM_003750	-1.16446766
Up	FLJ13089	Hypothetical protein FLJ13089	H200008840	AK023151	1.164256778
Down	RPS2	Ribosomal protein S2	H200008588	NM_002952	-1.162504987
Up	ID1	Inhibitor of D binding 1, dominant negative helix-loop-helix protein	H200006097	NM_002165	1.160316929
Up	KIAA0947	KIAA0947 protein	H200000989	AB023164	1.158863691
Up	SMG1	PI-3-kinase-related kinase SMG-1	H200003855	AK025794	1.158043278
Down	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	H200006102	NM_000884	-1.156966349
Down	ERF	Ets2 repressor factor	H200019345	NM_006494	-1.155958876
Down	KLF2	Kruppel-like factor 2 (lung)	H200011533	NM_016270	-1.152232675
Up	LOC145957	Neuregulin 4	H200015632	BC017568	1.149794429
Up	MBC2	Likely ortholog of mouse membrane bound C2 domain containing protein	H200001635	NM_015292	1.148610807
Up	DIAPH3	Diaphanous homolog 3 (Drosophila)	H200021026	AK054589	1.147805705
Down	ZNF618	Zinc finger protein 618	H200007572	BC012922	-1.136883467
Down	DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	H200010943	NM_004660	-1.136749453
Down	PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	H200005977	NM_000311	-1.134972621
Down	DKFZp762O0	Hypothetical protein DKFZp762O076	H200003052	AL359591	-1.134218131
Up	PLCXD1	Phosphatidylinositol-specific phospholipase C, X domain containing 1	H200003545	NM_018390	1.13196416
Up	TRIM35	Tripartite motif-containing 35	H200013274	AB029021	1.13141818
Up	MBD4	Methyl-CpG binding domain protein 4	H200004314	NM_003925	1.131339455
Down	FLJ20719	Hypothetical protein FLJ20719	H200010270	AK055895	-1.130406144
Up	FSTL1	Follistatin-like 1	H200009664	NM_007085	1.129638546
Down	PLA2G4B	Phospholipase A2, group IVB (cytosolic)	H200014781	NM_005090	-1.129345377
Up	FLJ23518	Hypothetical protein FLJ23518	H200011806	NM_024725	1.127342043
Up	TXNRD1	Thioredoxin reductase 1	H200002223	NM_003330	1.127081496
Up	PPP2R2A	Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	H200008358	NM_002717	1.127071601
Down	RBM22	R binding motif protein 22	H200003533	NM_018047	-1.125887026
Up	D2S448	Melanoma associated gene	H200012163	AF200348	1.122961833
Down	METAP2	Methionyl aminopeptidase 2	H200006585	NM_006838	-1.121838097
Down	FLJ12118	Hypothetical protein FLJ12118	H200001495	NM_024537	-1.121629679
Up	LOC113444	Hypothetical protein BC011880	H200003737	BC011880	1.12054773
Down	KIAA0372	KIAA0372	H200016196	AF090944	-1.120067866
Up	DPM3	Dolichyl-phosphate mannosyltransferase polypeptide 3	H200011696	NM_018973	1.115484092
Up	IER5	Immediate early response 5	H200002501	NM_016545	1.113349436
Down	RPL26	Ribosomal protein L26	H200010485	NM_000987	-1.111320776
Down	HAS2	Hyaluronan synthase 2	H200007401	NM_005328	-1.111279981
Up	GTPBP6	GTP binding protein 6 (putative)	H200021078	NM_012227	1.110901219
Down	PDE4A	Phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)	H200010404	NM_006202	-1.110874637
Up	LUC7L	LUC7-like (S. cerevisiae)	H200002612	NM_018032	1.108602526
Up	ZNF211	Zinc finger protein 211	H200002447	NM_006385	1.107801752
Up	DLK1	Delta-like 1 homolog (Drosophila)	H200007795	NM_003836	1.107017129
Up	FLJ22578	Hypothetical protein FLJ22578	H200014696	NM_024864	1.106758867
Down	PCSK5	Proprotein convertase subtilisin/kexin type 5	H200010642	NM_006200	-1.104397503
Down	GSTM3	Glutathione S-transferase M3 (brain)	H200000512	NM_000849	-1.104225653
Down	PBEF1	Pre-B-cell colony enhancing factor 1	H200015643	NM_005746	-1.103775119
Down	FLJ20519	Hypothetical protein FLJ20519	H200006701	NM_017860	-1.102287366
Up	HSH2D	Hematopoietic SH2 domain containing	H200014993	NM_032855	1.10155238
Down	CREB3L4	CAMP responsive element binding protein 3-like 4	H300005470	NM_130898	-1.09731284
Up	SPATA2	Spermatogenesis associated 2	H200004883	NM_006038	1.096313631
Up	ELKS	Rab6-interacting protein 2	H200002114	AK025052	1.093747163
Up	MGC35169	Hypothetical protein MGC35169	H300006701	NM_152324	1.092854535
Up	MPP3	Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	H200004385	NM_001932	1.088149514
Up	PPIG	Peptidyl-prolyl isomerase G (cyclophilin G)	H200006471	NM_004792	1.08800133
Down	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	H200015131	NM_006290	-1.087533099
Up	RUNX3	Runt-related transcription factor 3	H200007892	NM_004350	1.086724467
Up	DSE1L2	Deoxyribonuclease I-like 2	H200011246	NM_001374	1.08642884
Down	FLJ11273	Hypothetical protein FLJ11273	H200000798	NM_018374	-1.085989384
Down	TAF9L	TAF9-like R polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	H200007986	BC009566	-1.083174778
Up	FADS1	Fatty acid desaturase 1	H200013052	NM_013402	1.082499926
Down	MGC61550	Hypothetical protein MGC61550	H200001293	AK055252	-1.081863841
Up	JARID1B	Jumonji, AT rich interactive domain 1B (RBP2-like)	H200013392	AJ243706	1.080110847
Up	ENO3	Enolase 3, (beta, muscle)	H200012154	NM_001976	1.079568267
Up	QTRTD1	Queuine tR-ribosyltransferase domain containing 1	H200004738	NM_024638	1.079044007
Up	E2F2	E2F transcription factor 2	H200015433	BC007609	1.079004928
Down	APBB3	Amyloid beta (A4) precursor protein-binding, family B, member 3	H200019908	NM_006051	-1.078719528
Up	C12orf4	Chromosome 12 open reading frame 4	H200009656	NM_020374	1.077479314
Up	RBM5	R binding motif protein 5	H200014919	NM_005778	1.076321365
Down	CDCP1	CUB domain-containing protein 1	H200013546	NM_022842	-1.075367621
Down	C9orf111	Chromosome 9 open reading frame 111	H200010295	AK024443	-1.074857995
Up	SP	Nuclear autoantigenic sperm protein (histone-binding)	H200015804	NM_002482	1.072645145
Down	HOOK1	Hook homolog 1 (Drosophila)	H200016250	NM_015888	-1.071935303
Down	LOC92906	Hypothetical protein BC008217	H200010509	AK000155	-1.07180838
Down	TNFAIP8	Tumor necrosis factor, alpha-induced protein 8	H200002683	NM_014350	-1.07144188
Up	C16orf33	Chromosome 16 open reading frame 33	H200002465	NM_024571	1.071232354
Down	PGM5	Phosphoglucomutase 5	H200004778	AL137698	-1.068645963
Down	SP23	Synaptosomal-associated protein, 23kDa	H200014279	BC003686	-1.065141284
Up	GALNT13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (Galc-T13)	H200002289	AB067505	1.064751782
Up	KIFC3	Kinesin family member C3	H200003244	BC001211	1.062349226
Up	CGI-115	CGI-115 protein	H200005206	NM_016052	1.061149595
Down	ANK3	Ankyrin 3, node of Ranvier (ankyrin G)	H200006230	NM_020987	-1.060662947
Up	FLJ22054	Hypothetical protein FLJ22054	H200002248	NM_024561	1.060221765
Up	ZNF197	Zinc finger protein 197	H200007233	AL117657	1.056044599
Up	DNCL1	Dynein, cytoplasmic, light polypeptide 1	H200000999	NM_003746	1.051904602
Down	FBXW11	F-box and WD-40 domain protein 11	H200002990	NM_012300	-1.051153886
Up	ZNF403	Zinc finger protein 403	H200008466	NM_024835	1.050781706
Down	SAS	Sarcoma amplified sequence	H200005023	NM_005981	-1.049472272
Up	TIMELESS	Timeless homolog (Drosophila)	H200012132	NM_003920	1.047757368
Down	CD164	CD164 antigen, sialomucin	H200004656	NM_006016	-1.045051642
Up	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	H200015637	BC001971	1.045012374
Up	MRPL15	Mitochondrial ribosomal protein L15	H200002720	NM_014175	1.043172208
Up	CTPS	CTP synthase	H200016309	NM_001905	1.041186037
Up	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	H200008085	NM_003899	1.038295047
Down	MYOZ3	Myozenin 3	H200018820	AK056449	-1.037956488
Down	SEC5L1	SEC5-like 1 (S. cerevisiae)	H200002590	NM_018303	-1.035552641
Down	ARHGEF18	Rho/rac guanine nucleotide exchange factor (GEF) 18	H200001167	NM_015318	-1.032538083
Down	OSBPL10	Oxysterol binding protein-like 10	H200018977	NM_017784	-1.031547015
Down	ZCSL3	Zinc finger, CSL domain containing 3	H200021047	AL050199	-1.030686704
Down	PRG1	Proteoglycan 1, secretory granule	H200000491	NM_002727	-1.030514433
Down	GGA3	Golgi associated, gamma adaptin ear containing, ARF binding protein 3	H200010249	NM_014001	-1.028880287
Up	WDR41	WD repeat domain 41	H200002578	NM_018268	1.028788122
Up	CECR5	Cat eye syndrome chromosome region, candidate 5	H200003700	NM_017829	1.028253371
Down	AP1S1	Adaptor-related protein complex 1, sigma 1 subunit	H200005250	NM_057089	-1.027928714
Up	TBP	TATA box binding protein	H200000285	NM_003194	1.02517941
Up	KIAA1024	KIAA1024 protein	H200010058	AB028947	1.02356465
Up	PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	H200009661	NM_014456	1.023150849
Down	ASB9	Ankyrin repeat and SOCS box-containing 9	H200002822	NM_024087	-1.023058628
Down	SMAP-5	Golgi membrane protein SB140	H200001087	AB014733	-1.020323678
Up	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	H200015382	NM_003618	1.016511538
Down	LGALS3BP	Lectin, galactoside-binding, soluble, 3 binding protein	H200006667	NM_005567	-1.01446755
Down	FABP3	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	H200004954	NM_004102	-1.013605209
Up	SRPK1	SFRS protein kinase 1	H200006190	NM_003137	1.00961801
Up	HDAC1	Histone deacetylase 1	H200010284	NM_004964	1.009515466
Down	C9orf65	Chromosome 9 open reading frame 65	H300010031	NM_138818	-1.007241129
Up	TP53BP1	Tumor protein p53 binding protein, 1	H200007926	NM_005657	1.00661577
Up	CDS2	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	H200003446	Y16521	1.006150362
Up	PHTF2	Putative homeodomain transcription factor 2	H200012762	AL136883	1.005465213
Up	MGC3121	Hypothetical protein MGC3121	H200009569	NM_024031	1.002292953
Down	OSTM1	Osteopetrosis associated transmembrane protein 1	H200007570	NM_014028	-1.001864906
Down	MAGED2	Melanoma antigen, family D, 2	H200005148	NM_014599	-1.000239488
Up	GTF3A	General transcription factor IIIA	H200006009	NM_002097	1.000075299
Up	SMA3	SMA3	H200009465	NM_006780	0.999430282
Down	LOC151194	Similar to hepatocellular carcinoma-associated antigen HCA557b	H200013669	BC009462	-0.999220111
Down	SPG20	Spastic paraplegia 20, spartin (Troyer syndrome)	H200012082	AB011182	-0.997573364
Down	ANKH	Ankylosis, progressive homolog (mouse)	H200007768	NM_054027	-0.997382001
Up	MGC33365	Hypothetical protein MGC33365	H200009421	AK025119	0.997194428
Up	MYC	V-myc myelocytomatosis viral oncogene homolog (avian)	H200006618	NM_002467	0.996290895
Up	TSFM	Ts translation elongation factor, mitochondrial	H200019892	NM_005726	0.995709279
Up	FLJ14075	Hypothetical protein FLJ14075	H200015545	NM_024894	0.995525047
Down	RYR3	Ryanodine receptor 3	H200001770	NM_001036	-0.993707093
