Unigene #	Gene	Descripiton	Fold Change (log 2) U87	SF126	SF539
Hs.277517	C11orf2	Chromosome 11 open reading frame2	1.3677	1.5229	1.4956
Hs.204559	C1orf9	Chromosome 1 open reading frame 9	1.1811	1.791	1.5091
Hs.369284	C20orf6	Chromosome 20 open reading frame 6	1.5456	1.2165	1.3027
Hs.485588	C6orf142	Chromosome 6 open reading frame 142	1.0101	1.659	1.1193
Hs.508524	CACYBP	Calcyclin binding protein	1.146	1.2077	1.1298
Hs.85137	CCNA2	cyclin A2	1.5967	1.1623	1.2019
Hs.430646	CCNC	Cyclin C	1.3018	1.1578	1.2496
Hs.13291	CCNG2	Cyclin G2	1.9092	1.0385	1.3503
Hs.485518	CD2AP	CD2-associated protein	1.4586	1.7699	1.5514
Hs.334562	CDC2	Cell division cycle 2, G1 to S and G2 to M	1.8629	1.8635	1.9916
Hs.433201	CDK2AP1	CDK2-associated protein 1=putative oral tumor suppressor protein (doc-1)	1.8304	1.4776	1.402
Hs.238990	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	1.552	1.0068	1.018
Hs.444818	CGGBP1	CGG triplet repeat binding protein 1	1.3927	1.4676	1.8099
Hs.433732	CLK1	CLK-1=CDC-like kinase 1=PITSLRE alpha 1=galactosyltransferase associated protein kinase P58/GTA	1.3467	1.3712	1.6932
Hs.311346	CMAS	Cytidine monophosphate N-acetylneuraminic acid synthetase	1.1631	1.1429	1.1201
Hs.294603	CNIH	Cornichon homolog (Drosophila)	1.4687	1.1157	1.0312
Hs.430075	COX7C	cytochrome c oxidase subunit VIIc	1.6917	1.3904	1.2413
Hs.191219	CPNE3	Copine III	1.2704	1.7793	1.9871
Hs.13313	CREBL2	CAMP responsive element binding protein-like 2	1.3471	1.5472	1.5717
Hs.534380	CRIPT	Postsynaptic protein CRIPT	1.3691	1.25	1.1616
Hs.83114	CRYZ	Crystallin, zeta (quinone reductase)	1.5132	1.3227	1.418
Hs.181390	CSNK1G2	casein kinase I gamma 2	1.1706	1.3368	1.0717
Hs.410037	CTGF	Connective tissue growth factor	1.1562	1.768	2.034
Hs.520136	CUL7	Cullin 7	1.0643	1.1098	1.1391
Hs.467662	DDEF2	Development and differentiation enhancing factor 2	1.142	1.895	1.5628
Hs.484813	DEK	DEK oncogene (DNA binding)	1.4515	1.644	1.2979
Hs.323583	DKFZp434L142	Hypothetical protein DKFZp434L142	1.2131	1.7998	1.8116
Hs.549080	DPM1	Dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	1.2183	1.1294	1.7665
Hs.1602	DPYD	Dihydropyrimidine dehydrogenase	1.1922	1.7474	1.7907
Hs.467084	EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	1.1455	1.5355	1.6795
Hs.135646	ELF1	ELF-1=ets family transcription factor	1.4939	1.4608	2.146
Hs.46523	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	2.9246	2.0574	2.4751
Hs.76753	ENG	Endoglin (Osler-Rendu-Weber syndrome 1)	2.4976	1.1955	1.4164
Hs.93659	ERP70	Protein disulfide isomerase-associated 4	1.1894	1.057	1.0085
Hs.5509	EVI2B	Ecotropic viral integration site 2B	1.3678	1.1565	1.4263
Hs.434053	FAM3C	Family with sequence similarity 3, member C	1.3729	1.0858	1.239
Hs.216653	FBXO9	F-box protein 9	1.2515	1.5741	1.2176
Hs.6540	FGF13	Fibroblast growth factor 13	1.4068	2.2911	1.9215
Hs.487175	FGFR1OP	FGFR1 oncogene partner	1.039	1.1237	1.0912
Hs.267446	FLJ11184	Hypothetical protein FLJ11184	1.4659	1.6112	1.616
Hs.380897	FTS	Fused toes homolog (mouse)	1.2809	1.2536	1.5338
Hs.3530	FUSIP1	FUS interacting protein (serine-arginine rich) 1	1.497	1.8062	2.2898
Hs.173859	FZD7	Frizzled homolog 7 (Drosophila)	1.7581	1.4054	1.3722
Hs.502244	GA17	Dendritic cell protein	1.0196	1.0441	1.2466
Hs.9701	GADD45G	Growth arrest and DNA-damage-inducible, gamma	1.0964	1.1873	1.2336
Hs.127407	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	1.2663	1.9317	2.6477
Hs.1691	GBE1	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	1.3845	1.4474	1.5023
Hs.546256	GCSH	Glycine cleavage system protein H (aminomethyl carrier)	1.6548	1.4259	1.2372
Hs.78619	GGH	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	1.4216	1.4706	1.3029
Hs.352656	GHITM	Growth hormone inducible transmembrane protein	1.4382	1.3515	1.4292
Hs.151413	GMFB	Glia maturation factor, beta	1.0785	1.6808	2.0034
Hs.73799	GNAI3	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	1.8339	1.1828	1.6953
Hs.534196	GNG10	Guanine nucleotide binding protein (G protein), gamma 10	1.8313	1.2201	1.4066
Hs.344151	GOLGA4	Golgi autoantigen, golgin subfamily a, 4	1.0911	1.2202	1.1886
Hs.411881	GRB14	Growth factor receptor-bound protein 14	1.1773	1.4751	1.3688
Hs.509447	GRLF1	Glucocorticoid receptor DNA binding factor 1	1.2442	1.6065	1.1121
Hs.546259	H3F3A	H3 histone, family 3A	1.1954	1.1219	1.1681
Hs.470611	HAT1	Histone acetyltransferase 1	1.5785	1.8707	1.8568
Hs.434953	HMGB2	High-mobility group box 2	1.0481	1.2158	1.2496
Hs.59889	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	1.0643	1.4068	1.5491
Hs.356285	HMGN1	High-mobility group nucleosome binding domain 1	1.0779	1.0037	1.0207
Hs.487774	HNRPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1	1.0385	1.5412	1.4655
Hs.527105	HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like	1.1322	1.0862	1.0295
Hs.412707	HPRT1	Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	1.2121	1.3099	1.0743
Hs.270851	HSHIN1	HIV-1 induced protein HIN-1	1.1584	1.5853	1.7392
Hs.336046	IL13RA2	IL-13 receptor alpha2	1.2674	1.9121	1.3075
Hs.79440	IMP-3	KOC=putative RNA binding protein=IGF-II mRNA-binding protein 3	1.5822	1.1597	1.4285
Hs.513867	ITGAE	Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	1.3414	1.326	1.3713
Hs.355722	ITGB8	Integrin beta 8	1.0681	1.5107	1.0231
Hs.409202	JAG1	Jagged 1 (HJ1)=Notch1 ligand	1.0799	1.6292	1.6847
Hs.274531	KIAA0052	Superkiller viralicidic activity 2-like 2 (S. cerevisiae)	1.2467	1.4559	1.4807
Hs.8878	KIF11	Kinesin family member 11	1.0152	1.6651	1.1438
Hs.435557	KIF5C	Kinesin family member 5C	1.0305	1.1258	1.1081
Hs.376206	KLF4	GKLF=EZF=KLF4=gut-enriched Kruppel-like zinc finger protein=expressed in vascular endothelial cells	1.171	1.3999	1.2704
Hs.409081	KMO	Kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	1.2178	1.1857	1.1677
Hs.496684	LAMP2	Lysosomal-associated membrane protein 2	1.1818	1.4614	1.6648
Hs.23581	LEPR	Leptin receptor	1.5677	1.4216	1.4351
Hs.159142	LFNG	Lunatic fringe homolog (Drosophila)	1.1112	1.6549	2.2517
Hs.49787	LTBP1	Latent transforming growth factor beta binding protein 1	1.2054	1.5925	1.3879
Hs.406475	LUM	Lumican	1.4766	1.766	1.7698
Hs.433332	MAP2K1IP1	Mitogen-activated protein kinase kinase 1 interacting protein 1	1.3425	1.5491	1.8231
Hs.134106	MAP2K4	mitogen-activated protein kinase kinase 4=MEK4=MKK4=sek1=JNK activating kinase 1	1.3857	1.1937	1.5311
Hs.269775	MAP3K7IP2	Mitogen-activated protein kinase kinase kinase 7 interacting protein 2	1.328	1.7146	1.5974
Hs.432453	MAP3K8	Mitogen-activated protein kinase kinase kinase 8	1.243	1.8433	1.5476
Hs.468239	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	1.3213	1.2249	1.2328
Hs.519909	MARCKS	Myristoylated alanine-rich protein kinase C substrate	1.3026	2.0165	1.4611
Hs.510989	MEIS2	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	1.2732	1.4984	1.6142
Hs.492716	MGC21654	Unknown MGC21654 product	1.0206	1.1366	1.0962
Hs.355750	MGC5306	Hypothetical protein MGC5306	1.4457	1.1792	1.162
Hs.124165	MRPS30	Mitochondrial ribosomal protein S30	1.1026	1.4522	1.4031
Hs.440394	MSH2	MSH2=DNA mismatch repair mutS homologue	1.0043	1.1905	1.4978
Hs.481551	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	1.2247	1.2313	1.2713
Hs.513817	MYCPBP	C-myc promoter binding protein	1.1029	1.6608	1.7887
Hs.74823	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1 (7.5kD, MWFE)	1.1793	1.4133	1.5618
Hs.458657	NEF3	Neurofilament 3 (150kDa medium)	1.7859	1.256	1.1492
Hs.481181	NEK1	NIMA (never in mitosis gene a)-related kinase 1	1.1387	1.3974	1.1791
Hs.388613	NEO1	Neogenin homolog 1 (chicken)	1.0655	1.1405	1.1949
Hs.371987	NFAT5	Nuclear factor of activated T-cells 5, tonicity-responsive	1.0228	1.1836	1.128
Hs.404741	NFE2L3	Nuclear factor (erythroid-derived 2)-like 3	1.4793	1.1082	1.0895
Hs.84928	NFYB	Nuclear transcription factor Y, beta	1.3025	1.6667	1.2293
Hs.3281	NPTX2	Neuronal pentraxin II	1.5977	1.4776	1.1428
Hs.347991	NR2F2	Nuclear receptor subfamily 2, group F, member 2	1.5194	1.7623	1.2771
Hs.229641	PC4	Activated RNA polymerase II transcription cofactor 4	1.0593	1.1636	1.3652
Hs.78996	PCNA	PCNA=proliferating cell nuclear antigen	1.098	1.3478	1.4397
Hs.478150	PDCD10	Programmed cell death 10	1.6695	1.2621	1.3219
Hs.91747	PFN2	profilin 2	1.256	1.403	1.1351
Hs.293653	PIGK	Phosphatidylinositol glycan, class K	1.284	1.039	1.0889
Hs.7037	PLDN	Pallidin homolog (mouse)	1.291	1.4096	1.3963
Hs.477866	PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	1.237	1.2785	1.3555
Hs.496622	PLS3	Plastin 3 (T isoform)	1.228	1.5561	1.525
Hs.96	PMAIP1	APR=immediate-early-response gene=ATL-derived PMA-responsive peptide	1.2886	1.2218	1.0357
Hs.111749	PMS1	hPMS1=DNA mismatch repair protein=mutL homologue	1.0533	1.2423	1.5771
Hs.331420	PPAT	Phosphoribosyl pyrophosphate amidotransferase	1.0423	1.6991	1.7379
Hs.551568	PPIL4	Peptidylprolyl isomerase (cyclophilin)-like 4	1.37	1.1234	1.4937
Hs.523302	PRDX3	Peroxiredoxin 3	1.3215	1.3318	1.3746
Hs.1908	PRG1	Proteoglycan 1, secretory granule	1.7142	1.584	1.777
Hs.280342	PRKAR1A	Protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	1.3893	1.6339	1.7229
Hs.433068	PRKAR2B	Protein kinase, cAMP-dependent, regulatory, type II, beta	1.3611	1.4791	1.0374
Hs.472010	PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	1.3036	1.621	1.2896
Hs.11776	PRPF3	PRP3 pre-mRNA processing factor 3 homolog (yeast)	1.3328	1.4992	1.219
Hs.493516	PSIP1	PC4 and SFRS1 interacting protein 1	1.574	1.9009	1.4906
Hs.368121	PSMA3	Proteasome (prosome, macropain) subunit, alpha type, 3	1.2458	1.7098	2.1722
Hs.522752	PSMD10	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	1.0268	1.1187	1.6577
Hs.2090	PTGER2	Prostaglandin E receptor 2 (subtype EP2) 53kD	1.2727	1.4201	1.2994
Hs.61812	PTPN12	Protein tyrosine phosphatase, non-receptor type 12	1.2705	1.0927	1.1013
Hs.503860	PTS	6-pyruvoyltetrahydropterin synthase	1.5052	1.1103	1.2892
Hs.310645	RAB1A	RAB1A, member RAS oncogene family	1.4087	1.4383	1.6166
Hs.369017	RAB2	RAB2, member RAS oncogene family	1.6558	1.6249	1.6445
Hs.485635	RAB23	RAB23, member RAS oncogene family	1.4432	1.3203	1.6495
Hs.78948	RABGGTB	Rab geranylgeranyltransferase, beta subunit	1.1742	1.6802	1.8248
Hs.159087	RAD23B	RAD23 (S. cerevisiae) homolog B=XPC p58 subunit	1.1888	1.2793	1.3047
Hs.79088	RCN2	Reticulocalbin 2, EF-hand calcium binding domain	1.6559	1.537	1.6327
Hs.388918	RECK	Reversion-inducing-cysteine-rich protein with kazal motifs	1.3866	1.7975	1.6726
Hs.235069	RECQL	RecQ protein-like (DNA helicase Q1-like)	1.131	1.6179	1.163
Hs.115474	RFC3	Replication factor C (activator 1) 3, 38kDa	1.1543	1.2005	1.1145
Hs.469199	RNF103	Ring finger protein 103	1.7686	1.3637	1.2185
Hs.508993	RNF14	Ring finger protein 14	1.0517	1.134	1.4577
Hs.292804	RNF34	Ring finger protein 34	1.6816	1.8124	1.4071
Hs.136885	RNF6	Ring finger protein (C3H2C3 type) 6	1.8289	2.3766	2.311
Hs.127219	RNGTT	RNA guanylyltransferase and 5-phosphatase	1.4856	1.3937	1.9434
Hs.75914	RNP24	Coated vesicle membrane protein	1.5365	1.493	1.0558
Hs.469264	RPIA	Ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	1.1425	1.0425	1.2359
Hs.406300	RPL23	Ribosomal protein L23	1.0132	1.5713	1.3264
Hs.119598	RPL3	Ribosomal protein L3	1.4936	1.2586	1.06
Hs.432485	RPL36A	Ribosomal protein L36a	1.9083	1.4727	1.1105
Hs.446588	RPS13	Ribosomal protein S13	1.5494	1.1757	1.1351
Hs.372960	RPS21	ribosomal protein S21	1.1462	1.4569	1.6331
Hs.386384	RPS23	Ribosomal protein S23	1.3378	1.3202	1.2649
Hs.156367	RPS29	Ribosomal protein S29	1.4625	1.6216	1.031
Hs.512592	RRM2B	p53R2=p53-inducible nuclear ribonucleotide reductase=componant of DNA damage checkpoint pathway	2.3307	2.133	1.5597
Hs.73088	RRP22	RAS-related on chromosome 22	1.0459	1.0695	1.0728
Hs.524809	RSN	Restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	1.1037	1.4073	1.1192
Hs.413835	SAP30	Sin3-associated polypeptide, 30kDa	1.6385	1.5656	1.5743
Hs.427306	SBDSP	Shwachman-Bodian-Diamond syndrome pseudogene	1.5985	1.1167	1.3298
Hs.200804	SDCBP	Syndecan binding protein (syntenin)	1.547	1.8653	2.0659
Hs.488282	SEC61G	Sec61 gamma subunit	1.1066	1.6422	1.7898
Hs.369052	SELT	Selenoprotein T	1.3592	1.4827	1.825
Hs.82222	SEMA3B	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	1.2832	1.4765	1.8188
Hs.362728	15-Sep	15 kDa selenoprotein	1.1509	1.3923	1.7214
Hs.533122	SFRS10	Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	1.1267	1.2156	1.559
Hs.108029	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	1.8492	1.7329	1.3591
Hs.104315	SHOC2	Soc-2 suppressor of clear homolog (C. elegans)	1.9334	1.4975	1.3775
Hs.351571	SLC7A6	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	1.4368	1.6525	2.1778
Hs.75862	SMAD4	SMAD, mothers against DPP homolog 4 (Drosophila)	1.3001	1.5597	1.3478
Hs.486357	SMPDL3A	Sphingomyelin phosphodiesterase, acid-like 3A	1.8441	1.4504	1.0209
Hs.529887	SMS	Spermine synthase	1.1744	1.3562	1.0585
Hs.432755	SNAG1	Sorting nexin associated golgi protein 1	1.075	1.2496	1.4951
Hs.280378	SNRPB2	Small nuclear ribonucleoprotein polypeptide B	1.0246	1.5028	1.1539
Hs.334612	SNRPE	Small nuclear ribonucleoprotein polypeptide E	1.8907	1.6701	1.3204
Hs.105465	SNRPF	Small nuclear ribonucleoprotein polypeptide F	1.1184	1.4187	1.9996
Hs.507243	SNX4	Sorting nexin 4	1.4084	1.5024	1.7156
Hs.529462	SOX30	SRY (sex determining region Y)-box 30	1.126	1.0907	1.0865
Hs.483090	SRP19	Signal recognition particle 19kDa	1.0302	1.2777	1.2614
Hs.546301	SSB	Sjogren syndrome antigen B (autoantigen La)	1.1221	1.5248	1.2085
Hs.412586	STAG1	Stromal antigen 1	1.4535	1.6211	1.305
Hs.21486	STAT1	STAT1=IFN alpha/beta-responsive transcription factor ISGF3 beta subunits (p91/p84)	1.2016	1.9675	1.7718
Hs.370187	STAU	Staufen, RNA binding protein (Drosophila)	1.1695	1.6535	1.2794
Hs.472838	STK4	Serine/threonine kinase 4	1.1261	1.0351	1.4317
Hs.96103	TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	1.1275	1.3478	1.3932
Hs.516490	TANK	TRAF family member-associated NFKB activator	1.661	1.1899	1.158
Hs.34576	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	1.038	1.6851	1.3036
Hs.491745	TCEA1	Transcription elongation factor A (SII), 1	1.1849	1.1999	1.5572
Hs.82173	TIEG	TGF-beta inducible early protein=TIEG=EGR alpha=early growth response gene alpha=putative zinc finger transcription factor	1.1977	1.202	1.3898
Hs.336224	TMEFF1	Transmembrane protein with EGF-like and two follistatin-like domains 1	1.6741	1.6012	1.695
Hs.522584	TMSB4X	Thymosin, beta 4, X-linked	1.1739	1.5293	1.7693
Hs.329327	TNKS2	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	1.2263	1.5208	1.7021
Hs.26047	TNRC4	Trinucleotide repeat containing 4	1.0859	1.1152	1.2181
Hs.156346	TOP2A	Topoisomerase (DNA) II alpha 170kDa	1.0994	1.401	1.1889
Hs.475733	TOP2B	Topoisomerase (DNA) II beta 180kDa	1.038	1.1834	1.0493
Hs.490551	UBAP2L	Ubiquitin associated protein 2-like	1.2069	1.1868	1.3705
Hs.385986	UBE2B	Ubiquitin-conjugating enzyme E2B (RAD6 homolog)	1.5827	1.1143	1.137
Hs.145575	UBL3	Ubiquitin-like 3	1.0956	1.6088	2.1883
Hs.516217	UGP2	UDP-glucose pyrophosphorylase 2	1.0458	1.2555	1.1542
Hs.99819	USP16	Ubiquitin specific protease 16	1.2462	1.1078	1.3207
Hs.448851	USP6	ubiquitin specific protease 6 (Tre-2 oncogene)=highly similar to TL132	1.0988	1.593	1.2164
Hs.458598	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	1.2945	1.233	1.0405
Hs.436803	VBP1	Von Hippel-Lindau binding protein 1	1.1505	1.7817	1.2897
Hs.519320	VDAC1	Voltage-dependent anion channel 1	1.2624	1.92	1.2972
Hs.355927	VDAC2	Voltage-dependent anion channel 2	1.7811	1.5669	1.8888
Hs.422662	VRK1	Vaccinia related kinase 1	1.0317	1.0738	1.5676
Hs.516114	WBP1	WW domain binding protein 1	2.3913	1.0373	1.3018
Hs.98510	WDR44	WD repeat domain 44	1.4858	1.4834	1.3055
Hs.50123	ZNF189	Zinc finger protein 189	1.7905	1.4544	1.223
Hs.194718	ZNF265	Zinc finger protein 265	1.8769	1.596	1.2634
NA	NA	Unknown	1.2629	2.086	2.1943
NA	NA	Unknown	1.5064	1.7022	1.8223
NA	NA	Transcribed locus	1.2216	1.0963	1.2717
Hs.553138	NA	Transcribed locus, strongly similar to XP_518371.1 similar to tenascin XB isoform 1; tenascin XB1; tenascin XB2; hexabrachion-like [Pan troglodytes]	1.6016	1.0408	1.0152
Hs.388004	AHCY	S-adenosylhomocysteine hydrolase	-1.3865	-1.3725	-1.4449
Hs.485365	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	-1.8669	-1.9516	-1.7854
Hs.19121	AP2A2	Adaptor-related protein complex 2, alpha 2 subunit	-1.2509	-1.2142	-1.0978
Hs.159161	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	-1.5574	-1.1188	-1.2867
Hs.323342	ARPC4	Actin related protein 2/3 complex, subunit 4, 20kDa	-1.4041	-1.2334	-1.0225
Hs.406510	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	-1.2243	-1.0178	-1.138
Hs.502842	CAPN1	Calpain 1, (mu/I) large subunit	-1.6196	-1.3433	-1.3101
Hs.515371	CAPNS1	Calpain, small subunit 1	-1.0672	-1.055	-1.0603
Hs.511952	CBX6	Chromobox homolog 6	-1.4754	-2.0017	-1.9776
Hs.370921	CD151	CD151=platelet-endothelial tetraspan antigen 3	-1.1001	-1.5443	-1.0112
Hs.126688	CHDH	Choline dehydrogenase	-1.1938	-1.16	-1.2148
Hs.444441	CLPTM1	Cleft lip and palate associated transmembrane protein 1	-1.0038	-1.3244	-1.3087
Hs.289271	CYC1	Cytochrome c-1	-2.1137	-1.965	-1.7977
Hs.108973	DPM2	Dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	-1.3445	-1.2119	-1.0143
Hs.515070	EEF2	Eukaryotic translation elongation factor 2	-1.1612	-2.1626	-2.3667
Hs.433750	EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1	-1.1614	-1.454	-1.2526
Hs.517145	ENO1	Enolase 1, (alpha)	-1.2634	-1.9728	-1.3051
Hs.517145	ENO1	Enolase 1, (alpha)	-1.4361	-1.3126	-1.4633
Hs.73875	FAH	Fumarylacetoacetate hydrolase (fumarylacetoacetase)	-1.3411	-1.1612	-1.1639
Hs.7768	FIBP	Fibroblast growth factor (acidic) intracellular binding protein	-1.2315	-1.2299	-1.3086
Hs.524183	FKBP4	FK506 binding protein 4, 59kDa	-1.2505	-1.192	-1.3327
Hs.514590	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	-1.7188	-2.0484	-2.1194
Hs.518805	HMGA1	High mobility group AT-hook 1	-1.5191	-1.4247	-1.7995
Hs.162795	HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2	-1.6679	-1.4154	-1.2437
Hs.317095	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	-1.3053	-1.0053	-1.2427
Hs.265829	ITGA3	Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	-1.07	-1.3079	-1.2107
Hs.517582	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	-1.8035	-1.2239	-1.1068
Hs.438720	MCM7	cdc47=mcm7=minichromosome maintenance deficient (S. cerevisiae) 7	-1.5175	-1.6961	-1.6655
Hs.301394	MGC3101	Hypothetical protein MGC3101	-1.1837	-1.0957	-1.3179
Hs.25723	MTVR1	Mouse Mammary Turmor Virus Receptor homolog 1	-1.1025	-1.0339	-1.0806
Hs.179718	MYBL2	myb-related gene B=B-myb	-1.4419	-1.3876	-1.4127
Hs.256549	NUBP2	Nucleotide binding protein 2 (MinD homolog, E. coli)	-1.0252	-1.1545	-1.5728
Hs.524498	PA2G4	Proliferation-associated 2G4, 38kDa	-1.1601	-1.334	-1.4511
Hs.117176	PABPN1	Poly(A) binding protein, nuclear 1	-1.5735	-1.0022	-1.3342
Hs.480311	PDLIM5	PDZ and LIM domain 5	-1.2709	-1.7397	-1.4316
Hs.329989	PLK1	Polo-like kinase 1 (Drosophila)	-1.1672	-1.6257	-1.9419
Hs.465506	PPAP2C	Phosphatidic acid phosphatase type 2C	-1.0794	-1.011	-1.0822
Hs.240457	PPP1CA	Protein phosphatase 1, catalytic subunit, alpha isoform	-1.3931	-1.4808	-1.0533
Hs.11417	RABAC1	Rab acceptor 1 (prenylated)	-1.6231	-1.4007	-1.0658
Hs.179735	RHOC	RhoC=GTP-binding protein	-1.4802	-1.4102	-1.4016
Hs.252189	SDC4	Syndecan-4 = amphiglycan = ryudocan core protein	-1.38	-1.4174	-1.0961
Hs.437056	SUPT5H	Suppressor of Ty 5 homolog (S. cerevisiae)	-1.3424	-1.1597	-1.1409
Hs.517168	TAGLN2	Transgelin 2	-1.6046	-1.5998	-1.7768
Hs.35052	TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	-1.4835	-1.1757	-1.2917
Hs.435609	TH	Tyrosine hydroxylase	-1.0475	-1.1121	-1.0969
Hs.515122	TK1	Thymidine kinase 1, soluble	-1.6313	-1.6358	-1.5162
Hs.89643	TKT	Transketolase (Wernicke-Korsakoff syndrome)	-1.1873	-1.2219	-1.1497
Hs.26518	TM4SF7	Transmembrane 4 superfamily member 7	-1.1399	-1.0912	-1.2494
Hs.30345	TRAP1	TNF receptor-associated protein 1	-1.2209	-1.4003	-1.3188
Hs.467408	TRIM28	Tripartite motif-containing 28	-1.3059	-1.7779	-1.6395
