GenBank no.	Gene	Avg	P
NM_000160	GCGR	0.72	0.0317
NM_000832	GRIN1	1.5	0.0285
NM_000840	GRM3	0.6	0.0367
NM_005477	HCN4	0.75	0.0172
AA464246	HLA-C	0.79	0.0248
NM_033554	HLA-DPA1	1.31	0.0498
H11482	IFNGR1	0.59	0.0003
NM_000877	IL1R1	0.8	0.0169
NM_004633	IL1R2	0.63	0.0217
NM_012276	ILT7	1.28	0.026
NM_002223	ITPR2	0.75	0.01
NM_002233	KCNA4	0.73	0.0097
NM_002286	LAG3	0.73	0.0064
NM_015364	MD-2	0.68	0.0027
NM_000908	NPR3	1.17	0.0156
NM_005180	BMI1	0.78	0.0355
NM_000092	COL4A4	0.68	0.0387
H54686	DAB2	0.64	0.0163
NM_000399	EGR2	1.37	0.0486
NM_006874	ELF2	0.74	0.0044
AA010400	ETV4	1.36	0.0371
NM_001987	ETV6	1.28	0.0386
AA181023	EVI1	1.31	0.0024
AI346582	EVX1	0.69	0.0477
NM_003862	FGF18	0.55	0.0374
NM_000801	FKBP1A	0.87	0.0237
NM_005087	FXR1	0.74	0.0038
NM_002095	GTF2E2	1.32	0.0018
NM_003483	HMGA2	1.05	0.4378
NM_014213	HOXD9	0.58	0.0021
NM_002200	IRF5	1.22	0.0153
NM_005853	IRX5	0.59	0.0014
NM_002228	JUN	1.3	0.0038
NM_014368	LHX6	0.74	0.021
NM_012321	LSM4	0.78	0.0046
NM_002397	MEF2C	0.84	0.0118
NM_005933	MLL	0.58	0.0164
NM_004641	MLLT10	1.24	0.0292
NM_002479	MYOG	0.73	0.0299
NM_016170	NCX	1.36	0.0116
AA703115	NFAT5	1.22	0.0183
NM_000020	ACVRL1	0.64	0.0383
NM_004327	BCR	1.26	0.0102
NM_004333	BRAF	1.28	0.0071
NM_016508	CDKL3	1.17	0.0413
NM_001274	CHEK1	0.74	0.0073
NM_001278	CHUK	0.71	0.0341
NM_001328	CTBP1	1.34	0.0251
NM_004734	DCAMKL1	1.32	0.0095
NM_001982	ERBB3	1.21	0.0281
NM_001465	FYB	0.63	0.0039
NM_005734	HIPK3	1.31	0.008
NM_000875	IGF1R	1.3	0.0233
NM_006419	SCYB13	1.38	0.0039
NM_001735	C5	1.23	0.0203
AA450336	NRXN3	0.74	0.021
AA598582	OXA1L	0.62	0.0054
NM_002561	P2RX5	0.74	0.0467
NM_005446	P2RXL1	0.68	0.0446
NM_000919	PAM	1.24	0.017
AA663440	PLXNC1	0.83	0.046
NM_000952	PTAFR	1.22	0.0019
NM_002838	PTPRC	0.72	0.002
NM_002855	PVRL1	1.09	0.0137
NM_001037	SCN1B	0.69	0.003
NM_005072	SLC12A4	0.54	0.023
NM_015865	SLC14A1	0.77	0.0417
NM_004207	SLC16A3	0.79	0.0054
NM_004694	SLC16A6	1.23	0.0273
NM_005495	SLC17A4	1.17	0.0471
NM_007256	SLC21A9	0.56	0.0133
NM_000441	SLC26A4	0.77	0.0389
NM_001860	SLC31A2	0.83	0.0102
NM_014437	SLC39A1	1.31	0.0039
NM_002394	SLC3A2	1.3	0.0077
AA487543	SORL1	0.83	0.0397
NM_000544	TAP2	1.46	0.0217
NM_006335	TIMM17A	1.28	0.0042
NM_005834	TIMM17B	0.79	0.0361
NM_003265	TLR3	0.71	0.0272
NM_006827	TMP21	1.17	0.0109
NM_001192	TNFRSF17	1.28	0.019
NM_003810	TNFSF10	1.15	0.0373
NM_006564	TYMSTR	0.45	0.0322
NM_004738	VAPB	1.35	0.0212
NM_021083	XK	1.23	0.015
NM_006186	NR4A2	1.18	0.0166
NM_003884	PCAF	0.62	0.0031
NM_021128	POLR2L	0.88	0.0464
NM_007244	PROL4	1.43	0.0057
NM_002892	RBBP1	0.63	0.0012
NM_002919	RFX3	1.22	0.0469
NM_002938	RNF4	1.22	0.0414
NM_002955	RREB1	1.36	0.0482
NM_003071	SMARCA3	1.3	0.0208
NM_007017	SOX30	0.82	0.0371
NM_004509	SP110	0.66	0.0173
NM_012446	SSBP2	1.35	0.0139
NM_005636	SSX4	0.85	0.045
NM_007375	TARDBP	1.36	0.0089
NM_007108	TCEB2	1.19	0.0476
NM_003201	TFAM	1.15	0.0263
NM_005077	TLE1	1.18	0.0242
NM_005120	TNRC11	0.61	0.0064
NM_001068	TOP2B	1.24	0.0498
NM_016936	UBN1	1.27	0.0347
AI925821	USP22	0.76	0.0034
NM_000378	WT1	0.67	0.015
NM_003443	ZNF151	0.62	0.0241
NM_016423	ZNF219	1.27	0.0198
NM_005741	ZNF263	1.49	0.0055
NM_014002	IKKE	0.81	0.0493
NM_003010	MAP2K4	1.23	0.0109
NM_005923	MAP3K5	0.79	0.0114
NM_002378	MATK	0.73	0.041
AA496964	NEK1	0.76	0.0475
NM_005030	PLK	0.81	0.0046
NM_005406	ROCK1	0.8	0.0333
NM_003161	RPS6KB1	1.36	0.0272
NM_005627	SGK	0.77	0.0403
NM_004783	TAO1	1.31	0.0137
NM_003331	TYK2	0.77	0.0382
NM_000609	SDF1	1.37	0.0246
NM_000584	IL8	1.45	0.0157
