Probe Set ID	Gene Title	Gene Symbol	Ref Seq	Fold Change a	p-value b
203378_at	pre-mRNA cleavage complex II protein Pcf11	PCF11	NM_015885	1.45	0.001
201025_at	eukaryotic translation initiation factor 5B	EIF5B	NM_015904	1.46	0.006
213206_at	golgi SNAP receptor complex member 2	GOSR2	NM_004287	1.46	0.0008
218738_s_at	ring finger protein 138	RNF138	NM_016271	1.48	0.0019
200732_s_at	protein tyrosine phosphatase type IVA, member 1	PTP4A1	NM_003463	1.49	0.0045
201017_at	eukaryotic translation initiation factor 1A, X-linked	EIF1AX	NM_001412	1.53	0.0004
212231_at	F-box only protein 21	FBXO21	NM_015002	1.57	0.007
219378_at	hypothetical protein FLJ22054	FLJ22054	NM_018527	1.57	0.0097
201222_s_at	RAD23 homolog B (S. cerevisiae)	RAD23B	NM_002874	1.58	0.0076
207263_x_at	transmembrane protein vezatin	VEZATIN	NM_017599	1.59	0.0011
221642_at	three prime repair exonuclease 1	TREX1	NM_016381	1.6	0.0002
209332_s_at	MAX protein	MAX	NM_002382	1.63	0.0042
203426_s_at	insulin-like growth factor binding protein 5	IGFBP5	NM_000599	1.67	0.0026
201397_at	phosphoglycerate dehydrogenase	PHGDH	NM_006623	1.76	0.0094
204400_at	embryonal Fyn-associated substrate	EFS	NM_005864	1.78	0.0048
210260_s_at	tumor necrosis factor, alpha-induced protein 8	TNFAIP8	NM_014350	1.85	0.0048
208296_x_at	tumor necrosis factor, alpha-induced protein 8	TNFAIP8	NM_014350	1.91	0.0032
218613_at	ADP-ribosylation factor guanine nucleotide factor 6	EFA6R	NM_018422	2.2	0.0033
220504_at	keratocan	KERA	NM_007035	3.75	0.0045
