Accession	Gene Name	I/C	location
AA282445	MAP-kinase activating death domain	3.0	11p11.2
H07878	G protein-coupled receptor 19	3.0	12p12.3
R14443	Adaptor-related protein complex 3, mu 2 subunit	3.0	8p11.2
T84156	Multi-PDZ-domain-containing protein,LNX	3.0	4q12
AA479243	Autocrine motility factor receptor	2.5	16q21
H22481	Neuronal pentraxin	2.7	17q25.1-q25.2
R42479	V-ets avian erythroblastosis virus E26 oncogene homolog 2	2.4	21q22.2
R85257	Protein tyrosine kinase 2 beta	2.3	8q24-qter
N54914	CREBBP/EP300 inhibitory protein 1	2.2	15q21.1-q21.2
H23378	Glutamate receptor, ionotropic, AMPA 1	2.0	5
AA457036	PAK-interacting exchange factor beta,ARHGEF7	1.9	13q33.3
R14663	Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)	1.5	5q23
