Accession	GENE	TITLE	Median_Cy5	Median_Cy3	case%	Adj_Cy3/Cy5ratio	Log 2 Cy3/Cy5_ratio
U57094	RAB27A	RAB27A, member RAS oncogene family	874498	96902.5	100	0.098087705	-3.349783877
AW608698	NA	Homo sapiens cDNA FLJ39070 fis, clone NT2RP7015676.	68591	0	65	0.102312976	-3.288938972
AW102843	NA	ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	114087	1377	85	0.103576405	-3.271232704
AI655524	C6orf33	chromosome 6 open reading frame 33	131216.5	14088.5	85	0.112126197	-3.156804704
AI376713	NA	ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	90998	16952	85	0.113322775	-3.141490262
Y10032	SGK	serum/glucocorticoid regulated kinase	764572	106983.5	100	0.118501925	-3.077017599
AL359609	DKFZp547M236	hypothetical protein DKFZp547M236	13619	0	50	0.126226456	-2.985913773
AC_025442	NA	NA	53459.5	4490	50	0.127311268	-2.97356798
AK000303	FLJ20296	hypothetical protein FLJ20296	243511.5	34738.5	80	0.127942393	-2.966433726
D88154	VILL	villin-like	625357.5	73401.5	95	0.128601638	-2.959019078
AW518944	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	1333251.5	170283	100	0.136534727	-2.872660155
S69189	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	39937.5	0	60	0.136997181	-2.867781891
BF344757	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	75478.5	8160	80	0.137571898	-2.8617423
AI755171	NA	ESTs	8030.5	0	55	0.140943894	-2.826807113
BM697477	ShrmL	Shroom-related protein	113374.5	27101	65	0.142292015	-2.813073391
AK025033	FLJ22174	hypothetical protein FLJ22174	33098.5	378.5	60	0.143630145	-2.799569521
NM_000667	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	481907	68356.5	100	0.147915392	-2.757155912
BE671897	RFXAP	regulatory factor X-associated protein	50437.5	0	60	0.149073452	-2.745904736
AA019961	PR1	voltage-dependent calcium channel gamma subunit-like protein	37250	0	60	0.150537137	-2.731808653
AW971481	NA	ESTs	19031	0	50	0.151723924	-2.720479509
AA477572	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	117521	16902	80	0.153291045	-2.705654674
M22324	ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	10669.5	0	65	0.153570816	-2.703024017
AA036952	FLJ30973	hypothetical protein FLJ30973	51396.5	0	65	0.155324499	-2.686642697
BE122821	ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	12491.5	0	55	0.15752093	-2.66638456
AA193416	SLC27A3	solute carrier family 27 (fatty acid transporter), member 3	160412.5	21540.5	95	0.157799238	-2.663837859
N46361	MT1E	metallothionein 1E (functional)	2329093.5	423226	100	0.158403716	-2.658321911
AF114487	ITSN1	intersectin 1 (SH3 domain protein)	70497	0	60	0.158512308	-2.657333227
M12267	OAT	ornithine aminotransferase (gyrate atrophy)	12070.5	0	55	0.159070084	-2.652265562
BE531073	ORF1-FL49	putative nuclear protein ORF1-FL49	1440166	224265.5	95	0.161137267	-2.633637904
AL110180	NA	Homo sapiens, clone IMAGE:4798349, mRNA	54304.5	0	55	0.162289415	-2.623359186
AF049884	ARGBP2	Arg/Abl-interacting protein ArgBP2	515438	32688.5	90	0.163730961	-2.610600935
AK024500	MICAL	CasL interacting molecule	48789	0	60	0.172376799	-2.536362488
AF124250	BCAR3	breast cancer anti-estrogen resistance 3	36101.5	4906.5	50	0.175433308	-2.511005406
Y09926	MASP2	mannan-binding lectin serine protease 2	22504	0	55	0.176381985	-2.503224876
U33632	KCNK1	potassium channel, subfamily K, member 1	133530	16945.5	90	0.176777613	-2.49999251
J04178	NA	Homo sapiens, clone IMAGE:4823589, mRNA, partial cds	114250	7685.5	55	0.180127554	-2.472909205
AV698448	NR2F2	nuclear receptor subfamily 2, group F, member 2	349	0	50	0.182326666	-2.455402517
W63676	LOC129642	hypothetical protein BC016005	52969	19096	85	0.184035477	-2.441944192
AA599046	NA	EST	48426.5	0	50	0.187370398	-2.416035047
NM_014393	STAU2	staufen, RNA binding protein, homolog 2 (Drosophila)	14105.5	0	50	0.187602727	-2.414247297
AI281337	NA	Homo sapiens cDNA FLJ39330 fis, clone OCBBF2016405.	109487	24114.5	85	0.187841315	-2.412413681
BE907875	SEC22L3	SEC22 vesicle trafficking protein-like 3 (S. cerevisiae)	51283.5	0	65	0.193202995	-2.371810637
AA776157	Ells1	hypothetical protein Ells1	63658.5	6563.5	70	0.193637584	-2.368569095
AL049365	NA	Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618)	220661	63667.5	85	0.194411908	-2.362811508
T24065	NA	NA	18477	0	50	0.195314974	-2.356125532
AF067420	MGC27165	hypothetical protein MGC27165	406979.5	64878.5	100	0.196687319	-2.34602415
AF026947	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	109660.5	28153	70	0.198915082	-2.32977543
Z19002	ZNF145	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)	72174.5	7833	55	0.201010956	-2.314653956
AA187834	NA	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 626063.	34096	0	55	0.201426279	-2.311676179
AA913947	NA	ESTs	58018	20508	60	0.20161179	-2.310348087
F09892	NA	ESTs	34035	0	60	0.202541414	-2.30371117
AA331427	BAIAP1	BAI1-associated protein 1	103599.5	4079	60	0.205556884	-2.282390408
AU121127	KRT4	keratin 4	31658.5	1647	50	0.205818025	-2.280558761
X90579	CYP3A5P2	cytochrome P450, family 3, subfamily A, polypeptide 5 pseudogene 2	1998489.5	984533.5	100	0.207008932	-2.272235074
AA234962	PKP3	plakophilin 3	104324	15159.5	75	0.208789249	-2.259880669
NM_002314	LIMK1	LIM domain kinase 1	22972	0	50	0.208872695	-2.259304185
NM_013347	HSU24186	replication protein A complex 34 kd subunit homolog Rpa4	18472.5	0	50	0.209140618	-2.257454812
D87810	PMM1	phosphomannomutase 1	374145	99624	100	0.21011327	-2.250760812
AA935633	NA	Homo sapiens cDNA FLJ90081 fis, clone HEMBA1004952.	6771.5	0	50	0.210948932	-2.245034314
BF027943	S100P	S100 calcium binding protein P	586065	76702.5	95	0.212394171	-2.235183923
R39044	NA	Homo sapiens clone 25194 mRNA sequence	159984.5	48881	90	0.212847419	-2.2321085
AF068180	BLNK	B-cell linker	73593.5	212	60	0.213259677	-2.229316888
NM_001053	SSTR5	somatostatin receptor 5	130628	21063.5	80	0.214341417	-2.222017445
M75126	HK1	hexokinase 1	442761.5	128513	100	0.215607865	-2.213518289
NM_003961	RHBDL	rhomboid, veinlet-like 1 (Drosophila)	30315.5	0	50	0.216080122	-2.210361736
AW300770	FAM3D	family with sequence similarity 3, member D	426018.5	20329.5	90	0.216821893	-2.205417661
AA921756	NQO1	NAD(P)H dehydrogenase, quinone 1	475520	90003.5	95	0.21734478	-2.201942649
W79248	FLJ30927	hypothetical protein FLJ30927	19238	0	50	0.218988735	-2.191071439
AA609467	NA	ESTs	7674.5	0	50	0.21899394	-2.191037147
J04813	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	732666.5	160054.5	100	0.219292112	-2.189074173
AI499050	NA	Homo sapiens, clone IMAGE:5404026, mRNA	40700	4267.5	50	0.219732519	-2.186179702
AA291066	NA	ESTs	19167.5	0	50	0.223052308	-2.164546021
AA983817	CD80	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)	94726	15917	60	0.223593698	-2.161048567
AA206587	NA	EST	13827.5	0	50	0.224855352	-2.152930871
AK001394	NA	Homo sapiens cDNA FLJ10532 fis, clone NT2RP2001044.	42063.5	10198	65	0.225847328	-2.146580249
AW968671	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	165873	30982	95	0.227092426	-2.138648502
AF086762	C11orf9	chromosome 11 open reading frame 9	200040.5	31249	90	0.227167947	-2.13816881
AB007448	SLC22A4	solute carrier family 22 (organic cation transporter), member 4	48723.5	2896.5	55	0.227308225	-2.137278205
NM_001486	GCKR	glucokinase (hexokinase 4) regulatory protein	84051.5	10081	75	0.22785231	-2.1338291
U15131	ST5	suppression of tumorigenicity 5	109877	9912.5	75	0.229575406	-2.122959999
AA523541	DSIPI	delta sleep inducing peptide, immunoreactor	297252.5	94500	95	0.229703142	-2.122157501
D50678	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	116536.5	13648.5	55	0.231666574	-2.109878196
BF115305	MGC4171	hypothetical protein MGC4171	53449.5	17136.5	65	0.233969422	-2.095608102
AI955289	NA	Homo sapiens, clone IMAGE:3863398, mRNA	23014.5	0	55	0.234067563	-2.095003072
AF218020	HIP-55	src homology 3 domain-containing protein HIP-55	27772.5	4565	60	0.234131911	-2.094606515
NM_002563	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	0	0	50	0.234988964	-2.089335092
AA600238	NA	ESTs	58524.5	0	55	0.235113595	-2.08857013
AI378809	LGALS2	lectin, galactoside-binding, soluble, 2 (galectin 2)	74917.5	6082.5	75	0.235344572	-2.087153518
AA829637	KIAA0399	KIAA0399 protein	45344.5	6523.5	60	0.236106355	-2.082491224
AI888150	NA	Homo sapiens cDNA FLJ37573 fis, clone BRCOC2002835.	27993.5	0	55	0.236511651	-2.080016838
AI076929	LOC124220	similar to common salivary protein 1	128540	80153.5	85	0.23781437	-2.072092202
NM_004996	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	53412.5	6957	60	0.237836228	-2.071959608
AI086595	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	77773.5	5874	55	0.237931034	-2.071384633
AI093595	PXMP2	peroxisomal membrane protein 2, 22kDa	83553	1219.5	75	0.239040512	-2.064672949
AL080130	NA	Homo sapiens mRNA; cDNA DKFZp434E033 (from clone DKFZp434E033)	9548	0	50	0.241134952	-2.052087314
U25147	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	87031	12736	55	0.242194037	-2.045764752
AF007170	C1orf34	chromosome 1 open reading frame 34	400311.5	92738.5	95	0.242348893	-2.044842601
L07335	SOX2	SRY (sex determining region Y)-box 2	82329	20666.5	60	0.242468028	-2.044133572
AL390147	DKFZp547D065	hypothetical protein DKFZp547D065	63627	14706	70	0.243125111	-2.040229187
BF001677	FLJ37318	hypothetical protein FLJ37318	12151.5	1125.5	50	0.243168968	-2.039968963
AI821757	NA	ESTs	33031	9896.5	55	0.243897502	-2.035653112
R94004	PPY2	pancreatic polypeptide 2	49107	4627.5	70	0.245337158	-2.027162339
AA430571	NA	ESTs	61741.5	13015.5	65	0.245486839	-2.026282414
AF151052	PAIP2	PABP-interacting protein 2	15122.5	0	50	0.245814399	-2.024358671
AA194383	NA	Homo sapiens cDNA FLJ30086 fis, clone BNGH41000002, moderately similar to ADENYLOSUCCINATE SYNTHETASE, MUSCLE ISOZYME (EC 6.3.4.4).	38819	2842.5	55	0.246233247	-2.021902522
AF282167	EPS8R1	epidermal growth factor receptor pathway substrate 8-related protein 1	28863.5	0	55	0.247928492	-2.012004019
AA433914	NA	ESTs	7908.5	0	50	0.248060337	-2.011237019
BF793796	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	180895	43883	75	0.249724481	-2.001590836
AI022193	A1BG	alpha-1-B glycoprotein	151027.5	32560	85	0.250770148	-1.995562478
NM_003884	PCAF	p300/CBP-associated factor	120252.5	19595.5	65	0.251669787	-1.990396063
NM_002709	PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform	64010.5	0	60	0.252079624	-1.988048587
AA650356	FLJ10826	hypothetical protein FLJ10826	63220.5	16743.5	60	0.254215505	-1.975876068
N48008	NA	ESTs	34834	997.5	55	0.254509804	-1.974206864
AB014578	KIAA0678	KIAA0678 protein	36549.5	0	60	0.255428592	-1.969008072
S68616	SLC9A1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)	881534.5	269077.5	95	0.25616659	-1.964845769
T65992	NA	NA	36960.5	7722.5	50	0.257832893	-1.955491769
AI675850	MICA	MHC class I polypeptide-related sequence A	121658	6769.5	65	0.258208286	-1.953392798
M19713	TPM1	tropomyosin 1 (alpha)	178441.5	40685	80	0.261126618	-1.937178571
AK024208	FLJ14146	hypothetical protein FLJ14146	8638.5	0	60	0.261589574	-1.934623052
M12125	TPM2	tropomyosin 2 (beta)	87667.5	4309.5	65	0.263467212	-1.924304661
AA019834	ZNF396	zinc finger protein 396	66991	4735	65	0.263568433	-1.923750502
M80462	CD79A	CD79A antigen (immunoglobulin-associated alpha)	109717.5	23305.5	65	0.264578725	-1.918231038
J00068	ACTA1	actin, alpha 1, skeletal muscle	113667.5	31044.5	70	0.265041941	-1.915707419
AL137607	PIGN	phosphatidylinositol glycan, class N	48059.5	6950	65	0.265672052	-1.912281626
AA179812	FLJ21918	hypothetical protein FLJ21918	119305.5	39003.5	75	0.266047202	-1.910245863
AI248610	NA	Homo sapiens clone IMAGE:110578 mRNA sequence	29483	0	55	0.266443639	-1.908097702
AB028976	KIAA1053	KIAA1053 protein	38115	5447	60	0.268816918	-1.89530416
AF261088	ACO1	aconitase 1, soluble	138185	44644.5	80	0.268979986	-1.894429263
AF058075	NA	immunoglobulin lambda locus	61381	3256.5	55	0.269440096	-1.891963536
M15798	ASNS	asparagine synthetase	146179	6364.5	70	0.269814921	-1.88995796
AI025236	NA	ESTs, Moderately similar to asparagine synthetase [Homo sapiens] [H.sapiens]	36638.5	0	50	0.270062117	-1.888636818
AU134770	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	1478982	364909	100	0.270092719	-1.888473345
W22795	USP11	ubiquitin specific protease 11	17138.5	0	50	0.270185585	-1.887977387
AI138333	NA	NA	152874.5	51962.5	85	0.270805326	-1.884671984
AA682425	NA	ESTs	46197.5	7075	55	0.271841609	-1.879161798
AA743462	NA	ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	99957	31903.5	65	0.271905776	-1.878821294
H61936	NA	ESTs	31362.5	0	55	0.272176584	-1.877385141
AK000161	FLJ20154	hypothetical protein FLJ20154	58284	8439.5	70	0.272308875	-1.87668409
H09748	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	28270.5	3713.5	50	0.274745461	-1.863832449
AB018287	HDAC9	histone deacetylase 9	40096	4985.5	60	0.274887817	-1.863085125
AI693362	CRK7	CDC2-related protein kinase 7	48210.5	13277	60	0.275146126	-1.861730077
AI821480	NA	NA	43229	6269	55	0.275277029	-1.861043868
AI459175	NA	ESTs	23944.5	6262	50	0.275894129	-1.85781334
AB007920	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	104641	29062	80	0.276246197	-1.855973491
AW821222	KIAA1838	KIAA1838 protein	76974.5	17402	75	0.277649656	-1.848662486
N50517	NA	ESTs	89179.5	13456.5	60	0.279695601	-1.838070529
J02966	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	49362	6248	55	0.279949399	-1.836762015
NM_000177	GSN	gelsolin (amyloidosis, Finnish type)	56421.5	6741.5	60	0.279996714	-1.836518201
R69133	NA	NA	58138.5	11419.5	60	0.280382561	-1.834531473
U26710	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	37253.5	6698	50	0.282204433	-1.825187446
AA351682	NA	Homo sapiens cDNA FLJ37324 fis, clone BRAMY2018279.	37897	0	55	0.283678011	-1.817673769
T91207	NA	NA	60980.5	16918.5	70	0.284303671	-1.814495368
AF141884	GRAF	GTPase regulator associated with focal adhesion kinase pp125(FAK)	103794	24392.5	70	0.284413165	-1.81393985
AB040965	SPPL2B	SPPL2b	49649	8604	70	0.285466383	-1.808607233
U48408	AQP6	aquaporin 6, kidney specific	18761.5	3153	50	0.285758098	-1.807133713
NM_005013	NUCB2	nucleobindin 2	355020.5	42733.5	90	0.286210067	-1.804853678
AW967738	FLJ22865	hypothetical protein FLJ22865	118105.5	36069	80	0.286337414	-1.804211906
AK026697	NA	Homo sapiens cDNA: FLJ23044 fis, clone LNG02454.	41340.5	1671	50	0.286339161	-1.804203103
AW966659	MGC12904	hypothetical protein MGC12904	52832	13407	60	0.286687455	-1.802449319
R98339	WTAP	Wilms tumour 1-associating protein	39275.5	1525.5	55	0.286701413	-1.802379082
AA489368	NA	ESTs	43984.5	17314	55	0.287079494	-1.800477811
AA877534	NA	Homo sapiens cDNA FLJ40022 fis, clone STOMA2007269.	94537	29622	85	0.288054546	-1.79558607
AI250910	NA	Homo sapiens cDNA FLJ31655 fis, clone NT2RI2004284.	53672.5	7666	65	0.288212827	-1.794793548
BF343258	FLJ25416	hypothetical protein FLJ25416	61930	10823	60	0.288392216	-1.79389587
R38267	NA	Homo sapiens clone 24407 mRNA sequence	16365	3483	50	0.288557445	-1.793069539
M61853	CYP2C18	cytochrome P450, family 2, subfamily C, polypeptide 18	1440993.5	484198	100	0.28858159	-1.792948826
W72369	NA	ESTs, Moderately similar to vesicle trafficking, beach and anchor containing; cell division cycle 4-like [Homo sapiens] [H.sapiens]	38614	0	50	0.288924059	-1.791237751
NM_002365	MAGEB3	melanoma antigen, family B, 3	119607.5	30131.5	90	0.289359452	-1.789065322
NM_000705	ATP4B	ATPase, H+/K+ exchanging, beta polypeptide	740790	197170	100	0.290226633	-1.784748179
BF509246	NA	Homo sapiens cDNA FLJ38392 fis, clone FEBRA2006255.	19784.5	10181	55	0.290310924	-1.784329236
NM_006769	LMO4	LIM domain only 4	86154.5	4833	70	0.290523393	-1.783273759
AA724863	NA	Homo sapiens cDNA: FLJ22816 fis, clone KAIA3155.	32016.5	3192.5	50	0.290553106	-1.783126217
AW974576	SENP7	sentrin/SUMO-specific protease	43007.5	3605	55	0.291799989	-1.776948264
H12117	FLJ13204	hypothetical protein FLJ13204	533871	216820	95	0.291820975	-1.776844513
AI732323	NA	ESTs	12974.5	1068.5	50	0.293351554	-1.769297462
AI652991	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	164078.5	36002	80	0.295252544	-1.759978604
BE613134	NA	Homo sapiens mRNA; cDNA DKFZp547D048 (from clone DKFZp547D048)	52562	12542.5	50	0.295690954	-1.757837987
NM_014447	HSU52521	arfaptin 1	187467	39793	90	0.295920064	-1.756720576
AK026726	POSH	likely ortholog of mouse plenty of SH3 domains	0	0	50	0.29656496	-1.753579946
AA488881	NA	NA	38961	9693.5	55	0.296758822	-1.752637177
AF065388	TSPAN-1	tetraspan 1	568803	195619.5	95	0.297028423	-1.751327102
AA480873	NA	ESTs	153469.5	36303	90	0.297350565	-1.74976328
AA614273	CPT1C	carnitine palmitoyltransferase I related C	201967	66955	95	0.29745867	-1.749238864
AK023581	SNX2	sorting nexin 2	129801.5	25053	90	0.297546804	-1.748811475
NM_005629	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	7643.5	0	50	0.29798128	-1.746706393
AI052236	FLJ36445	hypothetical protein FLJ36445	40913	15036	55	0.298189477	-1.745698749
AW967478	NA	ESTs	95076	28874.5	85	0.29843574	-1.744507776
AA019195	NA	Homo sapiens full length insert cDNA clone YR88E12	67974.5	10530.5	60	0.298821431	-1.742644474
AA628328	NA	ESTs	26630	5153.5	50	0.298850699	-1.742503176
NM_005936	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	415692.5	100120	85	0.299423169	-1.739742234
AF017418	MEIS2	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	263947	59438	90	0.299631601	-1.738738308
