Gene Name	Gene Symbol	Accession No.	UniGene No.	Gene Ontology	M Value Con	M Value ET	M Value ST	P Value
5-Methyltetrahydrofolate-homocysteine methyltransferase reductase	MTRR	AI984388	Hs.481551	Electron transport; amino-acid biosynthesis; methionine biosynthesis; FMN binding; FAD and NADP binding; mitochondrion; cytosol	1.26	1.9	2.54	0.03
Metaxin 1	MTX1	AA670347	Hs.490874	Protein transport; mitochondrion	0.96	1.24	1.83	0.03
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8 kDa	NDUFB2	AA045239	Hs.324250	Mitochondrial electron transport, NADH to ubiquinone	1.28	2.17	2.16	0.02
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12 kDa	NDUFB3	AW009090	Hs.109760	Mitochondrial electron transport, NADH to ubiquinone; NADH dehydrogenase (ubiquinone) activity; mitochondrion	1.8	4.36	3.73	0.01
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19 kDa	NDUFB8	AA677499	Hs.523215	Mitochondrial electron transport, NADH dehydrogenase (ubiquinone) activity; oxidoreductase activity	1.14	2.16	2.01	0.03
Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	SDHB	AA463510	Hs.465924	Tricarboxylic acid cycle; succinate dehydrogenase (ubiquinone) activity; mitochondrion	0.98	1.23	1.52	0.03
Ubiquinol–cytochrome c reductase-binding protein	UQCRB	AA664284	Hs.131255	Mitochondrial electron transport, ubiquinol to cytochrome c; aerobic respiration	1.52	3.13	3.21	0.03
Apelin, AGTRL1 ligand	APLN	AA101878	Hs.303084	Immune response; signal transduction; hormone activity;	1.1	1.45	2.25	0.03
ATPase, H+ transporting, lysosomal V0 subunit a2	ATP6V0A2	N70122	Hs.201939	Immune response; ion transport; proton transport; hydrogen ion transporter activity	0.63	1.6	1.45	0.02
Chemokine (C-C motif) ligand 22	CCL22	AI457797	Hs.534347	Immune response; signal transduction; chemokine activity	1.65	3.69	3.72	0.01
Chemokine (C-C motif) ligand 26	CCL26	AI359519	Hs.131342	Immune response; chemokine activity	1.04	1.44	2.27	0.05
Chemokine (C-C motif) receptor-like 1	CCRL1	AI131555	Hs.310512	Immune response; signal transduction; G-protein–coupled receptor protein-signaling pathway; receptor activity	1.09	1.66	3.16	0.03
CD1a molecule	CD1A	AI240210	Hs.1309	Immune response; antigen processing and presentation	0.89	1.17	1.88	0.04
CD8a molecule	CD8A	AA443584	Hs.85258	Immune response; transmembrane receptor protein tyrosine kinase-signaling pathway; MHC class I protein binding	0.92	1.28	1.93	0.05
Colony-stimulating factor 2 receptor, alpha, low affinity (granulocyte-macrophage)	CSF2RA	N92646	Hs.520937	Hematopoietin/interferon-class (D200-domain) cytokine receptor activity; receptor activity	1	1.44	1.66	0.03
Glutathione peroxidase 3 (plasma)	GPX3	AA664180	Hs.386793	Hydrogen peroxide catabolic process; protein homotetramerization; response to lipid hydroperoxide; extracellular space	1.12	1.6	1.92	0.02
Platelet factor 4 (chemokine (C-X-C motif) ligand 4)	PF4	AA152486	Hs.81564	Immune response; negative regulation of angiogenesis; cytokine-and chemokine-mediated signaling pathway	1.12	1.53	2.03	0.03
Transforming growth factor, beta-induced, 68 kDa	TGFBI	AA633901	Hs.369397	Negative regulation of cell adhesion; integrin binding; extracellular matrix	2.01	3.45	2	0.04
Aryl hydrocarbon receptor interacting protein	AIP	AA454926	Hs.412433	Protein folding; transcription coactivator activity; signal transducer activity	1.17	1.09	2.01	0.03
Amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)	APBA3	AA402040	Hs.25527	Protein binding; tight junction	0.94	1.67	1.76	0.03
Granzyme M (lymphocyte met-ase 1)	GZMM	AI124941	Hs.465511	Proteolysis; serine-type endopeptidase activity	1.05	1.4	2.14	0.03
Kallikrein-related peptidase 11	KLK11	AA477283	Hs.57771	Proteolysis; serine-type endopeptidase activity	0.95	1.52	2.2	0.03
Methionine sulfoxide reductase A	MSRA	AI253074	Hs.490981	Protein metabolism; methionine metabolism; protein–methionine–S-oxide reductase activity	0.92	1.64	1.84	0.05
A kinase (PRKA) anchor protein 2; PALM2-AKAP2 protein	PALM2-AKAP2	AA682795	Hs.591908	Kinase activity; enzyme binding;	0.95	1.36	2.08	0.04
6-Pyruvoyltetrahydropterin synthase	PTS	AA877347	Hs.503860	Amino-acid metabolism; L-phenylalanine catabolism; central nervous system development; 6-pyruvoyltetrahydropterin synthase activity; mitochondrion and cytoplasm	0.87	1.26	1.45	0.04
Serpin peptidase inhibitor, clade B (ovalbumin), member 8	SERPINB8	W61361	Hs.368077	Serine-type endopeptidase inhibitor activity	1	1.34	2.12	0.03
Small optic lobes homolog (Drosophila)	SOLH	AI796687	Hs.632219	Proteolysis; transcription factor activity; calpain activity	1.06	1.48	1.58	0.04
Sulfotransferase family, cytosolic, 1C, member 1	SULT1C1	W88655	Hs.436123	Amine metabolism; sulfotransferase activity	0.45	1.07	1.05	0.03
Surfeit 5	SURF5	AA459247	Hs.78354	Protein binding	1	1.22	1.76	0.03
Myelin-associated glycoprotein	MAG	R42831	Hs.646367	Protein binding; sugar binding, cell adhesion	1.22	1.46	2.53	0.04
Ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	UCHL3	N27190	Hs.162241	Ubiquitin-dependent protein catabolism; ubiquitin thiolesterase activity	1.05	1.8	2.3	0.03
Cell division cycle 2-like 2 (PITSLRE proteins)	CDC2L2	AA287300	Hs.192316	Regulation of progression through cell cycle; regulation of transcription, DNA dependent; protein amino-acid phosphorylation; protein serine/threonine kinase activity	1.05	1.21	2.27	0.04
Cyclin-dependent kinase 2	CDK2	N26643	Hs.19192	Positive regulation of cell proliferation; protein serine/threonine kinase activity; G2/M transition of mitotic cell cycle	0.07	1	0.66	0.03
DnaJ (Hsp40) homolog, subfamily A, member 2	DNAJA2	AA626868	Hs.368078	Regulation of progression through cell cycle; positive regulation of cell proliferation; heat shock protein binding	1.23	2.71	2.04	0.03
Glutamyl aminopeptidase (aminopeptidase A)	ENPEP	AA102107	Hs.435765	Cell–cell signaling; cell proliferation; glutamyl aminopeptidase activity	1.15	3.18	3.35	0.05
Endothelial cell-specific molecule 1	ESM1	W46577	Hs.129944	Regulation of cell growth; insulin-like growth factor binding; growth factor activity	0.3	1.95	1.27	0.04
NIMA (never in mitosis gene a)-related kinase 1	NEK1	AA496964	Hs.481181	Cell cycle; cell division; mitosis; protein serine/threonine kinase activity; protein–tyrosine kinase activity; transferase activity; nucleotide binding; protein binding	0.82	1.46	2.02	0.03
Programmed cell death 5	PDCD5	AA156940	Hs.443831	Apoptosis; induction of apoptosis	0.79	1.32	1.56	0.03
PMS2 postmeiotic segregation increased 2(Saccharomyces cerevisiae)	PMS2	AW072144	Hs.632637	Negative regulation of progression through cell cycle	0.79	1.17	1.27	0.05
Retinoic acid receptor responder (tazarotene induced) 1	RARRES1	N94424	Hs.131269	Negative regulation of cell proliferation	1.02	1.46	2.22	0.05
S100 calcium-binding protein A2	S100A2	AA458884	Hs.516484	Calcium ion binding	0.44	1.39	1.41	0.03
Transforming growth factor, beta receptor II (70/80 kDa)	TGFBR2	AA487034	Hs.82028	Positive regulation of cell proliferation; protein amino-acid phosphorylation; transmembrane receptor protein serine/threonine kinase-signaling pathway	0.85	1.14	1.15	0.03
WD repeat domain 45	WDR45	AA644215	Hs.632807	Cell cycle progression; signal transduction; apoptosis; gene regulation	0.93	1.91	1.95	0.03
Clathrin, light chain (Lcb)	CLTB	N20335	Hs.484241	Intracellular protein transport; clathrin vesicle coat	1.98	5.79	2.79	0.02
Cyclic nucleotide gated channel beta 1	CNGB1	H82536	Hs.147062	Ion transport; nucleotide binding; receptor activity; intracellular cAMP-activated cation channel activity	1.25	0.68	0.62	0.01
Neurobeachin	NBEA	AA775279	Hs.491172	Post-Golgi vesicle-mediated transport; protein kinase A binding	1.23	3.06	3.04	0.01
Nucleoporin, 155 kDa	NUP155	R21737	Hs.547696	Nucleocytoplasmic transport	1.19	2.52	1.79	0.03
Sec1 family domain containing 1	SCFD1	AA027992	Hs.369168	ER to Golgi vesicle-mediated transport; vesicle docking during exocytosis; protein transport	0.62	1.5	1.4	0.01
Solute carrier family 15, member 3	SLC15A3	AA994205	Hs.237856	Transporter activity; oligopeptide transport	0.83	1.35	1.33	0.02
Solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	SLC16A7	AI302205	Hs.439643	Transport; pyruvate transport; monocarboxylate porter activity	0.66	1.94	0.73	0.03
Solute carrier family 4, sodium bicarbonate cotransporter, member 7	SLC4A7	W84868	Hs.250072	Sodium ion transport; inorganic anion exchanger activity; sodium–bicarbonate symporter activity	1.06	1.42	2.19	0.03
Solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12	SLC6A12	N49856	Hs.437174	Neurotransmitter transport; gamma-aminobutyric acid–sodium symporter activity	1.16	1.58	2.22	0.02
Endothelial PAS domain protein 1	EPAS1	AA680300	Hs.468410	Angiogenesis; response to hypoxia; transcription coactivator activity	1.02	1.78	1.11	0.03
C-fos–induced growth factor (vascular endothelial growth factor D)	FIGF	AA995128	Hs.11392	Angiogenesis; cell proliferation; growth factor activity	1.66	2.72	5.79	0.01
Fms-related tyrosine kinase 4	FLT4	AI151385	Hs.646917	Protein binding; protein–tyrosine kinase activity; receptor activity; transferase activity; vascular endothelial growth factor receptor activity	1.06	1.43	2.43	0.04
SH2 domain protein 2A	SH2D2A	AI003610	Hs.103527	Angiogenesis; intracellular-signaling cascade; SH3/SH2 adaptor activity	0.9	1.46	2.07	0.04
Rho GTPase activating protein 6	ARHGAP6	AA495981	Hs.435291	Signal transduction; Rho protein signal transduction; actin filament polymerization; SH3/SH2 adaptor activity;	1.88	2.06	3.56	0.03
Calcitonin receptor	CALCR	AI401275	Hs.489127	Signal transduction; G-protein–coupled receptor protein-signaling pathway; adenylate cyclase activation; phospholipase C activation	1.05	1.42	2.69	0.03
Follistatin-like 3 (secreted glycoprotein)	FSTL3	AA417274	Hs.529038	Extracellular space; negative regulation of BMP-signaling pathway	1.13	1.41	2.43	0.04
G-protein–coupled receptor 34	GPR34	AI471079	Hs.495989	Signal transduction; G-protein–coupled receptor protein-signaling pathway; purinergic nucleotide receptor activity, G-protein coupled; rhodopsin-like receptor activity;	1.25	1.86	3.15	0.03
Growth factor receptor-bound protein 7	GRB7	H53703	Hs.86859	Signal transduction; epidermal growth factor receptor-signaling pathway; SH3/SH2 adaptor activity.	1.03	1.49	2.47	0.03
Histocompatibility (minor) HA-1	HMHA1	AI122841	Hs.465521	Intracellular-signaling cascade	1.02	1.62	2.99	0.03
Hormonally up-regulated Neu-associated kinase	HUNK	T58129	Hs.109437	Signal transduction; protein amino-acid phosphorylation; development; protein serine/threonine kinase activity; nucleotide binding	0.8	4.91	4.63	0.03
Intersectin 2	ITSN2	N63500	Hs.432562	Regulation of Rho protein signal transduction; SH3/SH2 adaptor activity; Rho guanyl–nucleotide exchange factor activity	0.99	1.58	2.15	0.05
Leukemia inhibitory factor receptor alpha	LIFR	N67017	Hs.133421	Cell surface receptor linked signal transduction;	1.56	2.86	2.86	0.03
Neuroblastoma RAS viral (v-ras) oncogene homolog	NRAS	AA490039	Hs.486502	Regulation of progression through cell cycle; small GTPase-mediated signal transduction	1.55	2.69	3.41	0.03
Purinergic receptor P2Y, G-protein–coupled, 5	P2RY5	N90783	Hs.123464	Signal transduction; G-protein–coupled receptor protein-signaling pathway; purinergic nucleotide receptor activity, G-protein coupled	0.72	1.32	0.77	0.04
Phospholipase A2 receptor 1, 180 kDa	PLA2R1	AA086038	Hs.410477	Receptor activity; sugar binding	1.23	2.05	1.28	0.04
Pleckstrin homology domain containing, family G (with RhoGef domain) member 6	PLEKHG6	H02333	Hs.631660	Rho guanyl–nucleotide exchange factor activity; guanyl–nucleotide exchange factor activity; regulation of Rho protein signal transduction	1.04	1.43	1.93	0.03
Proline-rich 5 (renal)	PRR5	AA037410	Hs.102336	Signal transduction	0.87	1.43	2.04	0.02
Protein tyrosine phosphatase, nonreceptor type 4 (megakaryocyte)	PTPN4	AW005820	Hs.469809	Protein amino-acid dephosphorylation; cytoskeletal protein binding; nonmembrane spanning protein tyrosine phosphatase activity	1.03	2.18	2.4	0.03
Protein tyrosine phosphatase, receptor type, O	PTPO	R42433	Hs.160871	Protein tyrosine phosphatase activity; receptor activity; transmembrane receptor protein tyrosine phosphatase activity; protein amino-acid dephosphorylation	0.97	1.5	2.19	0.03
Protein tyrosine phosphatase, receptor type, E	PTPRE	AA464542	Hs.127022	Protein amino-acid dephosphorylation; transmembrane receptor protein tyrosine phosphatase activity	1.37	1.49	2.54	0.03
RAB33A, member RAS oncogene family	RAB33A	AA496348	Hs.56294	Small GTPase-mediated signal transduction; protein transport; GTPase activity	1.01	2.04	1.9	0.04
Rap guanine nucleotide exchange factor (GEF) 5, transcript variant 1	RAPGEF5	AA451891	NA	GTP-dependent protein binding; Rap guanyl–nucleotide exchange factor activity; guanyl–nucleotide exchange factor activity; oxidoreductase activity; small GTPase-mediated signal transduction	0.93	1.91	1.71	0.01
Son of sevenless homolog 2 (Drosophila)	SOS2	R78735	Hs.592326	Regulation of Rho protein signal transduction; DNA binding; guanyl–nucleotide exchange factor activity; protein binding	1.33	2.6	3.39	0.01
src homology three (SH3) and cysteine-rich domain	STAC	AA031284	Hs.56045	Intracellular-signaling cascade; diacylglycerol binding; metal ion binding; zinc ion binding	0.67	0.4	0.35	0.04
TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	TEK	H02848	Hs.89640	Signal transduction; transmembrane receptor protein tyrosine kinase-signaling pathway; protein amino-acid phosphorylation	3.1	7.88	6.66	0.03
Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	APOBEC1	AI862416	Hs.560	mRNA editing; mRNA processing; lipid metabolism	1.05	1.47	3.12	0.03
Activating transcription factor 1	ATF1	AI241388	Hs.435267	Transcription; regulation of transcription, DNA dependent; sequence-specific DNA binding	1.02	1.3	1.91	0.04
Eukaryotic translation initiation factor 3, subunit 1 alpha, 35 kDa	EIF3S1	AA455070	Hs.404056	Protein biosynthesis; regulation of translational initiation	1.26	2.02	3.17	0.04
PREDICTED: Homo sapiens homeobox D8 (HOXD8), mRNA	HOXD8	W81371	Hs.648799	Sequence-specific DNA binding; transcription factor activity	1.16	1.91	2.52	0.03
Kv channel interacting protein 3, calsenilin	KCNIP3	H39123	Hs.437376	Transcription; regulation of transcription from RNA polymerase II promoter; signal transduction	0.99	1.32	2.01	0.03
KRR1, small subunit (SSU) processome component, homolog (yeast)	KRR1	AI986171	Hs.645517	Nucleic acid binding; protein binding; snoRNA binding; rRNA processing	0.67	0.92	1.33	0.03
LIM domain binding 2	LDB2	H73914	Hs.23748	Development; transcription cofactor activity	2.9	6.32	3.87	0.04
LIM domain only 4	LMO4	H27986	Hs.436792	Transcription; regulation of transcription, DNA dependent; neural tube closure; transcription factor activity	0.9	0.9	1.33	0.01
Nuclear respiratory factor 1	NRF1	AA454935	Hs.298069	Generation of precursor metabolites and energy; transcription; transcription factor activity	1.12	1.69	2.2	0.03
Period homolog 3 (Drosophila)	PER3	AA521459	Hs.533339	Transcription; regulation of transcription, DNA dependent; signal transduction	1.09	2.74	2.51	0.01
Postmeiotic segregation increased 2-like 1	PMS2L1	AA707711	Hs.634244	ATP binding; damaged DNA binding; mismatched DNA binding	0.83	3.05	3.19	0.04
REV1-like (yeast)	REV1L	AA478442	Hs.443077	DNA replication; mutagenesis; damaged DNA binding	1.06	2.29	1.78	0
ROD1 regulator of differentiation 1 (Schizosaccharomyces pombe)	ROD1	AI784060	Hs.269988	mRNA processing; morphogenesis	1.21	2.43	2.61	0.05
RAR-related orphan receptor A	RORA	AI701664	Hs.569497	Transcription; regulation of transcription, DNA dependent; transcription factor activity; steroid hormone receptor activity	1.19	2.64	3.49	0.03
Sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae)	SIRT6	AI952482	Hs.423756	Chromatin silencing; regulation of transcription, DNA dependent; protein amino-acid ADP-ribosylation;	1.13	0.94	1.98	0.02
Superkiller viralicidic activity 2-like 2 (S. cerevisiae)	SKIV2L2	AA598865	Hs.274531	mRNA processing; nucleotide binding; protein binding	0.96	1.37	1.96	0.05
SRY (sex determining region Y)-box 12	SOX12	AA425701	Hs.43627	DNA binding; RNA polymerase II transcription factor activity	0.58	0.99	1.64	0.02
Transcription factor 21	TCF21	AA699782	Hs.78061	DNA binding; RNA polymerase II transcription factor activity; protein binding; mesoderm development	1	1.89	2.87	0.01
Transcription factor 4	TCF4	AA669136	Hs.569908	Regulation of transcription from RNA polymerase II promoter	1.24	2.48	2.16	0.04
Trichorhinophalangeal syndrome I	TRPS1	AI669721	Hs.253594	Skeletal development; transcription factor activity	1.1	1.7	3.24	0.02
Zinc finger protein 187	ZNF187	AA001376	Hs.157883	Regulation of transcription, DNA dependent; transcription factor activity	0.94	1.21	1.39	0.03
Agrin	AGRIN	AA458878	Hs.273330	Signal transduction; synaptic transmission; receptor clustering; synapse organization and biogenesis	0.7	1.08	1.48	0.03
Ephrin-B2	EFNB2	AA461108	Hs.149239	Cell–cell signaling; nervous system development; cell differentiation	1.52	2.51	1.75	0.03
Gastrulation brain homeobox 2	GBX2	AA933790	Hs.184945	Regulation of transcription, DNA dependent; nervous system development	0.93	1.13	2.11	0.03
Neural precursor cell expressed, developmentally down-regulated 1	NEDD1	AA693510	Hs.270084	Inferred function: neuronal development	1.36	2.05	3.89	0.03
Neuro-oncological ventral antigen 1	NOVA1	AI362062	Hs.31588	RNA splicing; nuclear mRNA splicing, via spliceosome; synaptic transmission	1.11	2.35	2.04	0.05
Protocadherin 12	PCDH12	AI652584	Hs.439474	Cell adhesion; neuron recognition; calcium ion binding	1.1	1.79	2.57	0.05
Synaptophysin	SYP	AI360356	Hs.632804	Synaptic vesicle membrane organization and biogenesis; transporter activity	0.83	1.38	2.84	0.05
Armadillo repeat containing, X-linked 1	ARMCX1	AA666418	Hs.9728	Binding; integral to membrane	1.67	2.68	3.61	0.03
Acetylserotonin O-methyltransferase-like	ASMTL	AA427398	Hs.533514	Melatonin biosynthesis	2.08	13.53	11.24	0.03
Bestrophin 1	BEST1	AA991578	Hs.591961	Ion transport; response to stimulus	1.08	1.87	2.83	0.03
Calpastatin	CAST	AA416952	Hs.440961	Calpain inhibitor activity	1	1.31	1.88	0.02
Coiled-coil domain containing 19	CCDC19	AI245615	Hs.647705	Soluble fraction	1.03	1.53	2.57	0.05
Coiled-coil domain containing 95	CCDC95	H59788	Hs.434864	NA	0.97	1.27	2.01	0.04
Cytochrome b5 domain containing 2	CYB5D2	AA775255	Hs.513871	Heme binding; transition metal ion binding	1.08	1.64	2.32	0.03
Junctophilin 3	JPH3	AI680727	Hs.592068	Endoplasmic reticulum	1.17	2.7	1.8	0.03
Receptor accessory protein 2	REEP2	AI360217	Hs.416090	Integral to membrane	1.33	1.51	2.89	0.05
Schwannomin interacting protein 1	SCHIP1	AA708955	Hs.134665	Cellular component; cytoplasm	5.85	20.79	18.33	0.04
Stromal cell derived factor 4	SDF4	AI668789	Hs.42806	Calcium ion binding	0.97	1.78	2.11	0.01
TBC1 domain family, member 22A	TBC1D22A	AA255552	Hs.435044	GTPase activator activity	1.18	1.59	2.56	0.05
V-set and immunoglobulin domain containing 2	VSIG2	AI418753	Hs.112377	Antigen binding; integral to plasma membrane	0.97	1.52	2.72	0.02
Zinc finger, DHHC-type containing 2	ZDHHC2	AA461174	Hs.443852	Acyltransferase activity; metal ion binding; integral to membrane	0.98	1.48	3.39	0.01
Similar to a disintegrin and metalloprotease domain 3 (cyritestin)	LOC651370	AA435963	Hs.98848	NA	1.28	2.62	2.94	0.02
Hypothetical protein LOC90925	LOC90925	AA505045	Hs.81221	NA	1.19	1.5	2.28	0.02
NCI_CGAP_GC4 H. sapiens cDNA clone IMAGE:1946722 3		AI342012	Hs.604577	NA	1.04	1.58	1.76	0.01
Fanconi anemia, complementation group F	FANCF	AI374985	Hs.647295	NA	1.37	4.52	3.09	0.01
Chromosome 12 open reading frame 32	C12orf32	AI654630	Hs.644804	NA	1.05	1.43	2.45	0.04
NCI_CGAP_Pr28 H. sapiens cDNA clone IMAGE:2249731 3 similar to contains Alu repetitive element		AI678950	NA	NA	1.16	2.86	2.63	0.02
No annotation	NA	R06253	NA	NA	1.24	9.23	8.73	0.01
No annotation	NA	R69566	NA	NA	1.32	29.74	20.43	0.01
Corneodesmosin	CDSN	W95595	Hs.556031	NA	1.12	1.82	2.63	0.01
