Symbol	Gene name	Accession2	Ratio3	n4	p-value	Expression
CAMP	cathelicidin antimicrobial peptide	AA609759	1,32	6	0,027	Up-regulated
CIN85	c-Cbl-interacting protein	AA989257	1,31	6	0,006	Up-regulated
PPARG	peroxisome proliferative activated receptor, gamma	AA088517	1,31	4	0,032	Up-regulated
FGF1	fibroblast growth factor 1 (acidic)	AA015793	1,3	6	0,025	Up-regulated
MLF2	myeloid leukemia factor 2	AA480835	1,3	6	0,033	Up-regulated
GLRX	glutaredoxin (thioltransferase)	AA291163	1,3	6	0,019	Up-regulated
NP	nucleoside phosphorylase	AA430382	1,29	6	0,025	Up-regulated
EWSR1	Ewing sarcoma breakpoint region 1	AA464184	1,29	6	0,019	Up-regulated
UBE3A	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	N94099	1,29	6	0,008	Up-regulated
S100A3	S100 calcium-binding protein A3	AA055242	1,29	6	0,021	Up-regulated
LMO2	LIM domain only 2 (rhombotin-like 1)	AA464644	1,29	6	0,016	Up-regulated
SERPINA5	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	AA858026	1,28	6	0,029	Up-regulated
BCAT2	Branched chain aminotransferase 2, mitochondrial	AA436410	1,28	6	0,033	Up-regulated
PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	H65395	1,28	6	0,036	Up-regulated
TRIP13	thyroid hormone receptor interactor 13	AA630784	1,27	6	0,033	Up-regulated
ETR101	immediate early protein	AA496359	1,27	6	0,006	Up-regulated
EIF3S6	eukaryotic translation initiation factor 3, subunit 6 (48kD)	AA669674	1,27	6	0,011	Up-regulated
BAK1	BCL2-antagonist/killer 1	H52673	1,26	6	0,003	Up-regulated
TFRC	transferrin receptor (p90, CD71)	AA488721	1,26	6	0,034	Up-regulated
LRMP	Lymphoid-restricted membrane protein	AA457051	1,26	6	0,047	Up-regulated
CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	AA283023	1,26	5	0,03	Up-regulated
RAD23A	RAD23 (S. cerevisiae) homolog A	AA476274	1,26	6	0,028	Up-regulated
NFIL3	nuclear factor, interleukin 3 regulated	AA633811	1,26	6	0,024	Up-regulated
STK12	serine/threonine kinase 12	AA071486	1,26	6	0,017	Up-regulated
CDH6	Cadherin 6, type 2, K-cadherin (fetal kidney)	AA421819	1,25	5	0,001	Up-regulated
GSTT1	glutathione S-transferase theta 1	H99813	1,25	6	0,021	Up-regulated
SIAT4C	Sialyltransferase 4C (beta-galactosidase alpha-2,3-sialytransferase)	AA453898	1,25	6	0,049	Up-regulated
FHL1	four and a half LIM domains 1	AA456394	0,48	6	0,002	Down-regulated
IL2RB	interleukin 2 receptor, beta	AA057156	0,48	6	0,01	Down-regulated
KIAA0421	KIAA0421 protein	H98694	0,49	6	0,013	Down-regulated
MIG	monokine induced by gamma interferon	AA131406	0,53	5	0,027	Down-regulated
GNRH1	gonadotropin-releasing hormone 1 (leutinizing-releasing hormone)	AA043996	0,55	6	0,047	Down-regulated
SPOP	speckle-type POZ protein	AA256459	0,59	6	0,041	Down-regulated
G6PD	glucose-6-phosphate dehydrogenase	AA424937	0,61	6	0,007	Down-regulated
LIG3	ligase III, DNA, ATP-dependent	AA149292	0,61	5	0,023	Down-regulated
CCR1	chemokine (C-C motif) receptor 1	AA036881	0,63	5	0,001	Down-regulated
SYK	spleen tyrosine kinase	AA598572	0,63	4	0,007	Down-regulated
MGST1	microsomal glutathione S-transferase 1	AA495936	0,64	6	0,01	Down-regulated
CHC1L	chromosome condensation 1-like	AA495766	0,66	3	0,026	Down-regulated
EPS15	epidermal growth factor receptor pathway substrate 15	AA490223	0,66	6	0,013	Down-regulated
CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	AA136983	0,66	6	0,007	Down-regulated
IGFBP1	insulin-like growth factor binding protein 1	AA233079	0,66	6	0,041	Down-regulated
LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)	AA454646	0,67	6	0,019	Down-regulated
LBC	Lymphoid blast crisis oncogene	AA156936	0,7	3	0,042	Down-regulated
UBE2E1	ubiquitin-conjugating enzyme E2E 1 (homologous to yeast UBC4/5)	AA044025	0,7	6	0,007	Down-regulated
PFKM	phosphofructokinase, muscle	AA099169	0,7	6	0,009	Down-regulated
SCYA2	small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)	AA425102	0,71	6	0,011	Down-regulated
IL1RL1	interleukin 1 receptor-like 1	AA128153	0,72	6	0,037	Down-regulated
HDAC2	histone deacetylase 2	AA127093	0,72	6	0,031	Down-regulated
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	AA455193	0,74	4	0,022	Down-regulated
PIM1	pim-1 oncogene	AA453663	0,75	5	0,024	Down-regulated
LOC51177	CK2 interacting protein 1; HQ0024c protein	AA490216	0,76	6	0,017	Down-regulated
MGC5521	hypothetical protein MGC5521	AA454625	0,76	6	0,002	Down-regulated
LAMA5	laminin, alpha 5	AA459519	0,77	6	0,025	Down-regulated
HCLS1	hematopoietic cell-specific Lyn substrate 1	AA424575	0,77	6	0,035	Down-regulated
ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	AA029934	0,77	6	0,005	Down-regulated
PDE8A	phosphodiesterase 8A	AA233564	0,77	6	0,011	Down-regulated
MEL	mel transforming oncogene (derived from cell line NK14)- RAB8 homolog	AA064715	0,77	3	0,029	Down-regulated
SCYA16	small inducible cytokine subfamily A (Cys-Cys), member 16	T58775	0,77	6	0,038	Down-regulated
OS-9	amplified in osteosarcoma	AA013336	0,77	6	0,03	Down-regulated
APOC3	apolipoprotein C-III	N53169	0,78	6	0,032	Down-regulated
HOXD4	homeo box D4	AA447692	0,78	6	0,027	Down-regulated
MMP7	matrix metalloproteinase 7 (matrilysin, uterine)	AA031513	0,78	6	0,015	Down-regulated
OR2A19	Olfactory receptor, family 2, subfamily A, member 19	AA962054	0,78	4	0,043	Down-regulated
RAB18	RAB18, member RAS oncogene family	AA156821	0,79	6	0,033	Down-regulated
MAN2C1	mannosidase, alpha, class 2C, member 1	H45455	0,79	6	0,04	Down-regulated
GSTA4	glutathione S-transferase A4	AA152347	0,79	6	0,019	Down-regulated
ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	H07926	0,79	6	0,002	Down-regulated
