Gene Name	p-value	Class A v B Fold Change	Common Name	Genbank
204942_s_at	1.31E-07	4.721	ALDH3B2	NM_000695
203722_at	1.06E-05	4.681	ALDH4A1	NM_003748
210056_at	9.47E-09	4.538	RND1	U69563
219734_at	5.96E-10	4.512	FLJ20174	NM_017699
221584_s_at	7.57E-06	4.344	KCNMA1	U11058
219197_s_at	8.36E-06	4.218	SCUBE2	AI424243
204462_s_at	2.71E-05	4.158	SLC16A2	NM_006517
211144_x_at	9.11E-05	4.091	TRG@	M30894
205161_s_at	4.10E-07	4.083	PEX11A	NM_003847
215465_at	2.10E-05	4.009	ABCA12	AL080207
217014_s_at	3.44E-06	3.925		AC_004522
215806_x_at	5.00E-05	3.84	TRG@	M13231
200670_at	1.22E-08	3.671	XBP1	NM_005080
201952_at	3.35E-06	3.568	ALCAM	AA156721
212218_s_at	1.11E-05	3.562	FASN	AI954041
214295_at	5.13E-05	3.491		AW129056
212510_at	8.81E-08	3.479	KIAA0089	AA135522
205306_x_at	1.73E-05	3.441	KMO	AI074145
207843_x_at	4.12E-07	3.426	CYB5	NM_001914
216333_x_at	2.63E-05	3.305	TNXB	M25813
215726_s_at	1.43E-06	3.224	CYB5	M22976
205150_s_at	8.16E-06	3.204	KIAA0644	AV724192
209366_x_at	1.17E-06	3.185	CYB5	M22865
219956_at	5.72E-07	3.144	GALNT6	NM_007210
219429_at	4.43E-05	3.124	FA2H	NM_024306
218546_at	2.19E-05	3.095	FLJ14146	NM_024709
209522_s_at	8.33E-05	3.082	CRAT	BC000723
208284_x_at	1.74E-06	3.022	GGT1	NM_013421
215559_at	6.47E-05	3.013	ABCC6	AI074459
218776_s_at	4.25E-08	2.859	FLJ23375	NM_024956
204579_at	3.21E-06	2.816	FGFR4	NM_002011
207131_x_at	6.49E-07	2.764	GGT1	NM_013430
217973_at	2.84E-06	2.74	DCXR	NM_016286
206850_at	2.54E-05	2.71	RRP22	NM_006477
212593_s_at	1.01E-06	2.706	PDCD4	N92498
205160_at	2.72E-05	2.683	PEX11A	AL360141
203740_at	3.34E-07	2.676	MPHOSPH6	NM_005792
211417_x_at	1.79E-07	2.591	GGT1	L20493
209919_x_at	5.16E-07	2.552	GGT1	L20490
216638_s_at	2.70E-05	2.536	PRLR	S78505
213557_at	4.36E-05	2.492		AW305119
212594_at	1.10E-06	2.436	PDCD4	AI185160
201941_at	5.57E-06	2.372	CPD	BE349147
212736_at	8.29E-05	2.333	BC008967	BE299456
218552_at	9.75E-06	2.306	FLJ10948	NM_018281
51158_at	9.72E-07	2.24		AI801973
212099_at	7.79E-05	2.189	ARHB	AI263909
200810_s_at	2.67E-06	2.187	CIRBP	NM_001280
212956_at	4.61E-06	2.166		AI348094
200618_at	8.97E-05	2.151	LASP1	NM_006148
211596_s_at	7.34E-05	2.146	LRIG1	AB050468
213107_at	8.17E-05	2.139		R59093
208872_s_at	6.53E-06	2.131	DP1	AA814140
215603_x_at	3.43E-05	2.122	GGT2	AI344075
219396_s_at	4.27E-05	2.116	NEIL1	NM_024608
211621_at	9.37E-06	2.105	AR	M73069
215299_x_at	2.29E-05	2.019	SULT1A1; PS	U37025
219543_at	8.17E-05	2.014	MAWBP	NM_022129
201940_at	5.50E-05	2.013	CPD	AA897514
208873_s_at	7.34E-07	2.006	DP1	BC000232
37966_at	4.40E-05	0.494	PARVB	AA187563
200756_x_at	4.37E-05	0.489	CALU	U67280
203167_at	7.48E-05	0.487	TIMP2	NM_003255
219785_s_at	9.20E-05	0.485	MGC15419	NM_024735
212650_at	9.18E-05	0.478	NACSIN	BF116032
200757_s_at	2.99E-06	0.477	CALU	NM_001219
211924_s_at	8.44E-06	0.463	PLAUR	AY029180
205120_s_at	1.03E-05	0.458	SGCB	U29586
209043_at	1.61E-05	0.457	PAPSS1	AF033026
218629_at	4.29E-05	0.453	SMO	NM_005631
200755_s_at	3.07E-05	0.443	CALU	BF939365
209204_at	2.85E-05	0.429	LMO4	AI824831
213003_s_at	9.43E-05	0.426		BF061054
202990_at	2.27E-05	0.411	PYGL	NM_002863
200934_at	6.04E-05	0.404	DEK	NM_003472
221505_at	8.10E-06	0.378	ANP32E	AW612574
210074_at	5.18E-06	0.377	CTSL2	AF070448
214845_s_at	1.96E-05	0.375	CALU	AF257659
60474_at	8.81E-05	0.371	C20orf42	AA469071
202620_s_at	3.64E-05	0.37	PLOD2	NM_000935
202236_s_at	2.99E-06	0.363	SLC16A1	NM_003051
219944_at	1.86E-05	0.346	FLJ21069	NM_024692
202134_s_at	3.20E-05	0.332	TAZ	NM_015472
216488_s_at	2.33E-06	0.326	ATP11A	AL161996
202619_s_at	6.84E-06	0.318	PLOD2	AI754404
218851_s_at	8.81E-05	0.315	WDR33	NM_018383
207675_x_at	5.89E-05	0.313	ARTN	NM_003976
213256_at	1.53E-05	0.31	MGC48332	AW593996
201564_s_at	3.22E-05	0.307	FSCN1	NM_003088
219926_at	9.90E-05	0.306	POPDC3	NM_022361
202784_s_at	3.61E-05	0.293	NNT	NM_012343
209900_s_at	5.16E-05	0.283	SLC16A1	AL162079
209834_at	2.96E-05	0.249	CHST3	AB017915
213260_at	4.56E-05	0.228	FOXC1	AU145890
208103_s_at	6.99E-05	0.227	ANP32E	NM_030920
204285_s_at	9.09E-09	0.222	PMAIP1	AI857639
209875_s_at	7.49E-06	0.217	SPP1	M83248
202235_at	1.95E-07	0.196	SLC16A1	BF511091
204750_s_at	1.34E-05	0.144	DSC2	BF196457
204286_s_at	9.42E-07	0.141	PMAIP1	NM_021127
209800_at	1.03E-05	0.121	KRT16	AF061812
204855_at	2.69E-05	0.0816	SERPINB5	NM_002639
