Accession no	Gene symbol	Description	Ratio HC/CB	P-value	Function
NM_003461	ZYX	Zyxin	3.95	6.07E-12	Cell adhesion, migration and angiogenesis
NM_004240	TRIP10	Thyroid hormone receptor interactor 10	3.92	1.43E-09	Cell adhesion, migration and angiogenesis
U96180	PTEN	Phosphatase and tensin homologue	3.57	9.11E-10	Cell adhesion, migration and angiogenesis
NM_003801	GPAA1	Homo sapiens glycosylphosphatidylinositol anchor attachment protein 1 homologue	3.33	6.07E-12	Cell adhesion, migration and angiogenesis
NM_001110	ADAM10	A disintegrin and metalloproteinase domain 10	3.26	2.46E-05	Cell adhesion, migration and angiogenesis
BE218803	RHOJ	Ras homologue gene family, member J	3.25	1.73E-04	Cell adhesion, migration and angiogenesis
BC034917	RHOBTB2	BC034917	0.28	3.59E-04	Cell adhesion, migration and angiogenesis
NM_001630	ANXA8	AnnexinA8	0.25	1.95E-09	Cell adhesion, migration and angiogenesis
AJ132821	ADAM5	ADAMmetallopeptidasedomain5	0.16	2.80E-08	Cell adhesion, migration and angiogenesis
D87931	ROCK2	Rho-associated,coiled-coilcontainingproteinkinase2	0.13	5.18E-06	Cell adhesion, migration and angiogenesis
BF973292	NDE1	NudEnucleardistributiongeneEhomologue1	0.13	6.07E-12	Cell adhesion, migration and angiogenesis
NM_005232	EPHA1	EphA1	0.01	1.21E-11	Cell adhesion, migration and angiogenesis
NM_002882	RANBP1	RAN binding protein 1	100.00	6.07E-12	Cell cycle control
AW515704	LTBP3	Latent transforming growth factor beta binding protein 3	100.00	6.07E-12	Cell cycle control
NM_006732	FOSB	FBJ murine osteosarcoma viral oncogene homologue B	100.00	8.70E-09	Cell cycle control
NM_016837	RBMS1	RNA binding motif, single stranded interacting protein 1	100.00	4.47E-04	Cell cycle control
AW612376	TPP2	Tripeptidyl peptidase II	85.89	6.07E-12	Cell cycle control
AF035625	STK11	Serine/threonine kinase 11 (Peutz-Jeghers syndrome)	73.46	3.17E-05	Cell cycle control
AL578502	ICMT	Isoprenylcysteine carboxyl methyltransferase	65.66	6.07E-12	Cell cycle control
BF223206	DRG2	Developmentally regulated GTP binding protein 2	48.90	2.74E-09	Cell cycle control
AF035594	PRKCA	Protein kinase C, alpha	48.52	6.98E-06	Cell cycle control
M62399	RELA	V-rel reticuloendotheliosis viral oncogene homologue A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	47.16	1.20E-05	Cell cycle control
NM_002012	FHIT	Fragile histidine triad gene	46.81	2.71E-06	Cell cycle control
NM_001952	E2F6	E2F transcription factor 6	44.64	6.07E-12	Cell cycle control
AA205593	TRIM33	Tripartite motif-containing 33	44.47	6.07E-12	Cell cycle control
BF223045	ZNHIT4	Zinc finger, HIT type 4	42.78	2.72E-04	Cell cycle control
BC002682	DUSP3	Dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	38.65	5.31E-04	Cell cycle control
BC002671	DUSP4	Dual specificity phosphatase 4	35.92	3.40E-10	Cell cycle control
NM_004935	CDK5	Cyclin-dependent kinase 5	27.64	9.39E-04	Cell cycle control
AA810268	MAP2K4	Mitogen-activated protein kinase kinase 4	23.07	3.70E-07	Cell cycle control
T79584	PPP2R1B	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	18.21	5.56E-07	Cell cycle control
AI279868	ATF7	Activating transcription factor 7	16.16	3.99E-05	Cell cycle control
NM_014303	PES1	pescadillo (zebrafish) homologue 1	11.46	3.13E-08	Cell cycle control
AF355465	WIG1	p53 target zinc finger protein	8.22	1.00E-06	Cell cycle control
AW592266	MYBL1	V-myb myeloblastosis viral oncogene homologue (avian)-like 1	7.73	1.32E-08	Cell cycle control
AW575465	WDR68	WD repeat domain 68	5.49	1.19E-06	Cell cycle control
NM_001261	CDK9	Cyclin-dependent kinase 9	5.40	6.07E-12	Cell cycle control
NM_006116	MAP3K7IP1	Transforming growth factor beta-activated kinase-binding protein 1 (TAB1)	5.16	1.17E-04	Cell cycle control
AB004903	SOCS2	Suppressor of cytokine signaling 2	5.06	5.45E-08	Cell cycle control
U16996	DUSP5	Dual specificity phosphatase 5	4.80	6.07E-12	Cell cycle control
AA780381	MAP2K3	Mitogen-activated protein kinase kinase 3	4.60	1.09E-06	Cell cycle control
N36408	FOSL2	FOS-like antigen 2	3.85	3.54E-05	Cell cycle control
NM_005655	KLF10	TGFB inducible early growth response (TIEG)	3.77	4.61E-04	Cell cycle control
BE747815	CRI2	CREBBP/EP300 inhibitor 2	3.67	1.68E-09	Cell cycle control
NM_002908	REL	v-rel avian reticuloendotheliosis viral oncogene homologue	3.49	2.21E-05	Cell cycle control
AA824341	FAM44B	Family with sequence similarity 44, member B	3.31	2.82E-07	Cell cycle control
NM_014462	LSM1	Lsm1 protein	3.19	3.10E-04	Cell cycle control
NM_002835	PTPN12	Protein tyrosine phosphatase, non-receptor type 12	3.11	3.16E-07	Cell cycle control
NM_002131	HMGA1	High-mobility group (non-histone chromosomal) protein isoforms I and Y	3.01	7.19E-04	Cell cycle control
BC000433	MAPK13	Mitogen-activatedproteinkinase13	0.28	7.68E-04	Cell cycle control
NM_001841	CNR2	Cannabinoidreceptor2(macrophage)	0.24	4.82E-05	Cell cycle control
BF058966	ARID4B	ATrichinteractivedomain4B(RBP1-like)	0.21	2.67E-10	Cell cycle control
X97671	EPOR	H.sapiensmRNAforerythropoietinreceptor.	0.19	8.18E-09	Cell cycle control
J04964	STS	Steroidsulfatase(microsomal),arylsulfataseC,isozymeS	0.09	1.16E-04	Cell cycle control
AF277897	EGFR	Epidermalgrowthfactorreceptor	0.07	5.68E-09	Cell cycle control
AI921266	MAPK15	Mitogen-activatedproteinkinase15	0.04	9.70E-05	Cell cycle control
NM_001237	CCNA2	CyclinA2	0.03	2.94E-06	Cell cycle control
NM_003391	WNT2	Wingless-typeMMTVintegrationsitefamilymember2	0.02	6.07E-12	Cell cycle control
NM_005430	WNT1	Wingless-typeMMTVintegrationsitefamily,member1	0.01	6.07E-12	Cell cycle control
NM_013247	HTRA2	HtrA-like serine protease	100.00	2.61E-10	Apoptosis control
NM_005748	YAF2	YY1-associated factor 2	100.00	2.65E-08	Apoptosis control
AI126490	STAG1	Stromal antigen 1	100.00	1.47E-07	Apoptosis control
AF136972	PPM1B	Protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	76.55	7.00E-04	Apoptosis control
NM_014330	PPP1R15A	Growth arrest and DNA-damage-inducible 34 (GADD34)	39.72	5.72E-05	Apoptosis control
NM_004620	TRAF6	TNF receptor-associated factor 6	38.06	6.19E-07	Apoptosis control
AF005775	CFLAR	CASP8 and FADD-like apoptosis regulator	11.51	1.57E-07	Apoptosis control
BG498328	IKIP	IKK interacting protein	10.14	1.61E-07	Apoptosis control
AF083208	AATF	Apoptosis antagonizing transcription factor	4.04	3.71E-05	Apoptosis control
U19178	BRE	Human (Hin-3)/HIV1 promoter region chimeric mRNA, complete cds.	3.92	1.03E-04	Apoptosis control
W37431	MAPK9	Mitogen-activated protein kinase 9	3.56	1.97E-05	Apoptosis control
NM_138626	BCL2L11	BCL2-like11(apoptosisfacilitator)(BCL2L11),transcriptvariant7	0.27	7.55E-05	Apoptosis control
NM_022898	BCL11B	B-celllymphomaleukaemia11B	0.20	2.52E-04	Apoptosis control
AF230410	PML	Promyelocyticleukemia	0.19	6.07E-12	Apoptosis control
NM_004833	AIM2	Absentinmelanoma2	0.17	6.07E-12	Apoptosis control
NM_138724	BCL2L14	ApoptosisregulatorBCL-G(BCLG)	0.05	6.07E-12	Apoptosis control
NM_002066	GML	GPIanchoredmoleculelikeprotein	0.01	6.07E-12	Apoptosis control
L29349	CSF2RA	Colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	42.39	5.17E-04	Immune response
D84105	MCP	Membrane cofactor protein (CD46)	41.98	8.66E-08	Immune response
AL117480	TRPC4AP	Transient receptor potential cation channel, subfamily C, member 4 associated protein	4.10	3.19E-08	Immune response
NM_147162	IL11RA	Interleukin11receptor,alpha(IL11RA)	0.30	6.07E-12	Immune response
NM_005041	PRF1	Perforin1(preformingprotein)	0.29	1.48E-08	Immune response
AF051151	TLR5	Toll-likereceptor5	0.25	2.45E-05	Immune response
NM_002416	CXCL9	Monokineinducedbygammainterferon(MIG)	0.25	4.91E-04	Immune response
BC032474	TIRAP	Toll-interleukin1receptor(TIR)domaincontainingadaptorprotein	0.16	6.07E-12	Immune response
AF497548	CD200R1	CD200receptor1	0.19	5.46E-11	Immune response
NM_000640	IL13RA2	Interleukin13receptor,alpha2	0.06	3.90E-06	Immune response
NM_003870	IQGAP1	IQ motif containing GTPase activating protein 1	100.00	6.03E-07	Genes with major role in brain development
NM_013247	HTRA2	HtrA-like serine protease (OMI)	100.00	2.61E-10	Genes with major role in brain development
NM_005748	YAF2	YY1-associated factor 2	100.00	2.65E-08	Genes with major role in brain development
NM_002394	SLC3A2	Solute carrier family 3, member 2	71.24	3.64E-11	Genes with major role in brain development
L13386	PAFAH1B1	Platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	52.27	1.06E-06	Genes with major role in brain development
NM_001913	CUTL1	Cut (Drosophila)-like 1	50.74	7.28E-11	Genes with major role in brain development
AF308601	NOTCH2	Notch homologue 2 (Drosophila)	40.13	3.39E-08	Genes with major role in brain development
NM_005526	HSF1	Heat shock transcription factor 1	27.99	6.23E-06	Genes with major role in brain development
BF000332	DNCH1	Dynein, cytoplasmic, heavy polypeptide 1	26.19	1.27E-04	Genes with major role in brain development
NM_007374	SIX6	Sine oculis homeobox (Drosophila) homologue 6	26.06	6.07E-12	Genes with major role in brain development
NM_004789	LHX2	LIM homeobox protein 2	22.90	3.97E-08	Genes with major role in brain development
NM_007212	RNF2	Ring finger protein 2	20.25	3.69E-09	Genes with major role in brain development
R45067	DOCK7	yg38c08.s1 Soares infant brain 1NIB	20.14	7.77E-10	Genes with major role in brain development
NM_014303	PES1	Pescadillo (zebrafish) homologue 1	11.46	3.13E-08	Genes with major role in brain development
L19704	ABR	Human ABR gene	8.96	5.54E-08	Genes with major role in brain development
NM_016221	DCTN4	Dynactin p62 subunit	7.87	2.70E-05	Genes with major role in brain development
NM_004329	BMPR1A	Bone morphogenetic protein receptor, type IA	7.27	3.92E-08	Genes with major role in brain development
NM_016418	NF2	Clone FLB5214 (LOC51219)	7.14	2.90E-07	Genes with major role in brain development
AB004903	SOCS2	Suppressor of cytokine signaling 2	5.06	5.45E-08	Genes with major role in brain development
AW575465	WDR68	WD repeat domain 68	5.46	1.19E-06	Genes with major role in brain development
NM_006079	CITED2	Cbpp300-interacting transactivator, with GluAsp-rich carboxy-terminal domain, 2	4.22	4.33E-05	Genes with major role in brain development
AA215854	ITGB1	Integrin, beta 1	4.20	6.28E-08	Genes with major role in brain development
AJ012502	RAC1	Ras-related C3 botulinum toxin substrate 1	3.98	1.78E-08	Genes with major role in brain development
NM_005966	NAB1	NGFI-A binding protein 1 (ERG1 binding protein 1)	3.69	2.27E-05	Genes with major role in brain development
W37431	MAPK9	Mitogen-activated protein kinase 9	3.56	1.97E-05	Genes with major role in brain development
NM_001110	ADAM10	A disintegrin and metalloproteinase domain 10 (ADAM10)	3.26	2.46E-05	Genes with major role in brain development
NM_002702	POU6F1	POU domain, class 6, transcription factor 1 (POU6F1)	3.06	6.57E-06	Genes with major role in brain development
NM_022898	BCL11B	B-celllymphomaleukaemia11B	0.20	2.52E-04	Genes with major role in brain development
BF973292	NDE1	NudEnucleardistributiongeneEhomologue1(A.nidulans)	0.13	6.07E-12	Genes with major role in brain development
NM_024014	HOXA6	HomeoboxA6(HOXA6)	0.11	1.35E-06	Genes with major role in brain development
NM_017409	HOXC10	HomeoboxC10(HOXC10)	0.07	7.42E-05	Genes with major role in brain development
NM_004432	ELAVL2	ELAV(embryoniclethal,abnormalvision,Drosophila)-like2	0.04	4.13E-10	Genes with major role in brain development
NM_003924	PHOX2B	Pairedmesodermhomeobox2b(PMX2B)	0.03	4.13E-05	Genes with major role in brain development
NM_005421	TAL2	T-cellacutelymphocyticleukemia2	0.02	2.88E-06	Genes with major role in brain development
NM_003391	WNT2	Wingless-typeMMTVintegrationsitefamilymember2	0.02	6.07E-12	Genes with major role in brain development
NM_005430	WNT1	Wingless-typeMMTVintegrationsitefamily,member1	0.01	6.07E-12	Genes with major role in brain development
NM_005232	EPHA1	EphA1	0.01	1.21E-11	Genes with major role in brain development
