LocusLinkNAIDNANA	Accession number	Gene symbol	Sequence Description	Fold change	p-value(FDR)
NA	AL133656	NA	mRNA; cDNA DKFZp434O2017 (from clone DKFZp434O2017).	5.42	2.10E-06
51365	NM_015900	PLA1A	phospholipase A1 member A (PLA1A)	5.42	3.50E-24
5730	NM_000954	PTGDS	prostaglandin D2 synthase 21kDa (brain) (PTGDS)	5.32	2.90E-27
7078	NM_000362	TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory) (TIMP3)	5.27	1.20E-12
4056	NM_000897	LTC4S	leukotriene C4 synthase (LTC4S), transcript variant 2	5.22	8.00E-08
6578	NM_005630	SLCO2A1	solute carrier family 21 (prostaglandin transporter), member 2 (SLC21A2)	5.21	5.30E-37
22997	AB028953	KIAA1030	mRNA for KIAA1030 protein, partial cds.	5.19	8.00E-04
57669	AK023922	EPB41L5	cDNA FLJ13860 fis, clone THYRO1001062.	4.95	3.90E-09
58494	AF255910	JAM2	vascular endothelial junction-associated molecule mRNA, complete cds.	4.88	1.30E-03
2169	NM_000134	FABP2	fatty acid binding protein 2, intestinal (FABP2)	4.74	4.90E-07
1363	NM_001873	CPE	carboxypeptidase E (CPE)	4.55	1.20E-15
7761	NM_013249	ZNF214	zinc finger protein 214 (ZNF214)	4.37	2.00E-26
NA	S51971	NA	insulin-like growth factor-II {5 region} [, placenta, mRNA Partial, 100 nt].	4.37	7.60E-32
55251	NM_018257	C20orf36	chromosome 20 open reading frame 36 (C20orf36)	4.34	1.10E-25
10628	NM_006472	TXNIP	thioredoxin interacting protein (TXNIP)	4.32	6.70E-42
283174	AL133591	LOC283174	mRNA; cDNA DKFZp434N079 (from clone DKFZp434N079).	4.26	1.00E-03
1512	NM_004390	CTSH	cathepsin H (CTSH), transcript variant 1	4.25	1.00E-21
10138	NM_005748	YAF2	YY1 associated factor 2 (YAF2)	4.24	8.90E-15
23545	NM_012463	ATP6V0A2	ATPase, H+ transporting, lysosomal V0 subunit a isoform 2 (ATP6V0A2)	4.22	5.00E-23
3481	NM_000612	IGF2	insulin-like growth factor 2 (somatomedin A) (IGF2)	4.15	8.20E-08
79733	AK026964	FLJ23311	cDNA: FLJ23311 fis, clone HEP11681.	4.14	8.30E-16
994	NM_004358	CDC25B	cell division cycle 25B (CDC25B), transcript variant 1	4.14	3.00E-05
8751	NM_003815	ADAM15	a disintegrin and metalloproteinase domain 15 (metargidin) (ADAM15)	4.12	2.40E-10
25890	AL117664	ABI3BP	mRNA; cDNA DKFZp586L2024 (from clone DKFZp586L2024); partial cds.	4.12	1.20E-12
7576	X52355	ZNF28	Kox24 mRNA for zinc finger protein, partial.	4.1	2.00E-32
10268	NM_005856	RAMP3	receptor (calcitonin) activity modifying protein 3 (RAMP3)	4.08	7.50E-11
4798	NM_006165	NFRKB	nuclear factor related to kappa B binding protein (NFRKB)	4	1.50E-37
57178	AK025812	RAI17	cDNA: FLJ22159 fis, clone HRC00251.	3.96	6.70E-42
4584	M55406	MUC3A	intestinal mucin (MUC-3) mRNA, partial cds.	3.96	9.90E-17
3241	NM_002149	HPCAL1	hippocalcin-like 1 (HPCAL1), transcript variant 1	3.94	8.30E-20
7851	U17077	BENE	BENE protein	3.93	5.20E-17
26112	AK023767	DKFZP434C171	cDNA FLJ13705 fis, clone PLACE2000302.	3.92	2.50E-35
54888	NM_017755	NSUN2	hypothetical protein FLJ20303 (FLJ20303)	3.86	4.20E-11
4856	NM_002514	NOV	nephroblastoma overexpressed gene (NOV)	3.84	1.30E-31
23512	AK024514	SUZ12	cDNA: FLJ20861 fis, clone ADKA01761.	3.8	1.90E-16
79887	AK026315	FLJ22662	cDNA: FLJ22662 fis, clone HSI08080.	3.74	2.50E-21
NA	U84516	NA	velo-cardio-facial syndrome 22q11 region mRNA sequence.	3.73	1.60E-35
79939	AK024313	SLC35E1	cDNA FLJ14251 fis, clone OVARC1001329.	3.72	5.60E-04
51152	NM_016181	LOC51152	melanoma antigen (LOC51152)	3.7	1.80E-07
3488	AF055033	IGFBP5	clone 24645 insulin-like growth factor binding protein 5 (IGFBP5) mRNA, complete cds.	3.68	3.10E-12
55705	AF070633	IPO9	clone 24672 mRNA sequence.	3.65	1.60E-18
57007	U67784	CMKOR1	orphan G protein-coupled receptor (RDC1) mRNA, partial cds.	3.62	5.40E-23
608	Z29572	TNFRSF17	H.sapiens antisense mRNA for BCMA peptide.	3.6	1.00E-05
7102	NM_004615	TM4SF2	transmembrane 4 superfamily member 2 (TM4SF2)	3.59	1.40E-17
4254	NM_000899	KITLG	KIT ligand (KITLG)	3.54	5.90E-08
55001	NM_017904	FLJ20619	hypothetical protein FLJ20619 (FLJ20619)	3.5	1.80E-16
10855	NM_006665	HPSE	heparanase (HPSE)	3.49	1.90E-27
55679	NM_017980	LIMS2	LIM and senescent cell antigen-like domains 2 (LIMS2)	3.49	4.50E-09
50937	AK022986	NA	cDNA FLJ12924 fis, clone NT2RP2004709.	3.48	1.00E-03
25890	AK025204	ABI3BP	cDNA: FLJ21551 fis, clone COL06266.	3.46	2.60E-06
358	NM_000385	AQP1	aquaporin 1 (channel-forming integral protein, 28kDa) (AQP1), transcript variant 2	3.44	1.10E-13
2078	AK026868	ERG	cDNA: FLJ23215 fis, clone ADSU01729.	3.43	2.80E-13
968	NM_001251	CD68	CD68 antigen (CD68)	3.42	7.40E-28
144438	AK002085	LOC144438	cDNA FLJ11223 fis, clone PLACE1008209.	3.4	3.70E-06
56479	NM_019842	KCNQ5	potassium voltage-gated channel, KQT-like subfamily, member 5 (KCNQ5)	3.4	5.60E-14
187	NM_005161	AGTRL1	angiotensin II receptor-like 1 (AGTRL1)	3.4	8.00E-21
84859	AL137527	LRCH3	mRNA; cDNA DKFZp434P1018 (from clone DKFZp434P1018); partial cds.	3.4	4.70E-20
NA	AK026826	NA	cDNA: FLJ23173 fis, clone LNG10019.	3.37	2.80E-05
24138	NM_012420	IFIT5	retinoic acid- and interferon-inducible protein (58kD) (RI58)	3.36	2.30E-15
10111	NM_005732	RAD50	RAD50 homolog (S. cerevisiae) (RAD50), transcript variant 1	3.34	1.40E-07
NA	Z25424	NA	H.sapiens protein-serine/threonine kinase gene, complete CDS.	3.33	7.70E-15
NA	NM_005179	NA	NA	3.32	2.10E-10
57592	AB037862	KIAA1441	mRNA for KIAA1441 protein, partial cds.	3.32	9.40E-28
64073	AB038318	C19orf33	imup-2 mRNA for immortalization-upregulated protein 2, complete cds.	3.3	1.10E-04
57542	AK002197	KIAA1340	cDNA FLJ11335 fis, clone PLACE1010630.	3.28	3.80E-23
2070	NM_004100	EYA4	eyes absent homolog 4 (Drosophila) (EYA4), transcript variant 1	3.27	1.30E-09
1152	NM_001823	CKB	creatine kinase, brain (CKB)	3.26	1.20E-14
11148	AK026893	HHLA2	cDNA: FLJ23240 fis, clone COL01276.	3.26	1.50E-05
5795	NM_002843	PTPRJ	protein tyrosine phosphatase, receptor type, J (PTPRJ)	3.25	1.30E-15
57704	AB046825	GBA2	mRNA for KIAA1605 protein, partial cds.	3.25	2.20E-13
3693	NM_002213	ITGB5	integrin, beta 5 (ITGB5)	3.24	1.20E-36
10397	AF039944	NDRG1	TARG1 mRNA, 3 untranslated region.	3.24	2.20E-11
434	NM_001672	ASIP	agouti signaling protein, nonagouti homolog (mouse) (ASIP)	3.23	8.90E-12
5339	Z36817	PLEC1	H.sapiens (xs165) mRNA, 400bp.	3.18	2.80E-31
54504	AF282617	CPVL	vitellogenic carboxypeptidase-like protein (HVLP) mRNA, complete cds.	3.18	1.60E-04
9180	NM_003999	OSMR	oncostatin M receptor (OSMR)	3.15	6.70E-42
8553	NM_003670	BHLHB2	basic helix-loop-helix domain containing, class B, 2 (BHLHB2)	3.1	2.70E-05
5420	NM_005397	PODXL	podocalyxin-like (PODXL)	3.07	8.20E-14
493	NM_001684	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4 (ATP2B4)	3.04	1.70E-22
57513	AB032965	CASKIN2	mRNA for KIAA1139 protein, partial cds.	3.01	9.10E-19
5655	NM_002776	KLK10	kallikrein 10 (KLK10), transcript variant 1	3	1.10E-03
10266	NM_005854	RAMP2	receptor (calcitonin) activity modifying protein 2 (RAMP2)	3	8.30E-26
5601	NM_002752	MAPK9	mitogen-activated protein kinase 9 (MAPK9), transcript variant 1	2.99	7.90E-27
1774	NM_006730	DNASE1L1	deoxyribonuclease I-like 1 (DNASE1L1)	2.97	2.80E-07
54844	NM_017696	C6orf61	chromosome 6 open reading frame 61 (C6orf61)	2.97	1.90E-16
4921	NM_006182	DDR2	discoidin domain receptor family, member 2 (DDR2)	2.96	5.20E-06
10864	NM_006672	SLC22A7	solute carrier family 22 (organic anion transporter), member 7 (SLC22A7), transcript variant 1	2.95	1.60E-03
10974	NM_006829	C10orf116	adipose specific 2 (APM2)	2.95	4.10E-08
9173	AL117622	IL1RL1	mRNA; cDNA DKFZp564N1164 (from clone DKFZp564N1164).	2.94	1.60E-03
360	NM_004925	AQP3	aquaporin 3 (AQP3)	2.91	5.40E-09
9429	NM_004827	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2 (ABCG2)	2.87	4.30E-04
8542	AF019225	APOL1	apolipoprotein L-I mRNA, complete cds.	2.87	6.70E-29
NA	D17210	NA	HepG2 3 region MboI cDNA, clone hmd3f02m3.	2.87	4.60E-18
10205	NM_005797	EVA1	epithelial V-like antigen 1 (EVA1), transcript variant 1	2.86	6.70E-42
6567	NM_006517	SLC16A2	solute carrier family 16 (monocarboxylic acid transporters), member 2 (putative transporter) (SLC16A2)	2.85	1.20E-04
57636	AB040934	ARHGAP23	mRNA for KIAA1501 protein, partial cds.	2.83	6.80E-28
1893	NM_004425	ECM1	extracellular matrix protein 1 (ECM1), transcript variant 1	2.82	4.90E-13
5064	NM_002579	PALM	paralemmin (PALM)	2.82	2.20E-18
79009	AL137423	DDX50	mRNA; cDNA DKFZp761E0323 (from clone DKFZp761E0323); partial cds.	2.82	3.20E-16
51225	NM_016428	ABI3	NESH protein (NESH)	2.81	3.40E-09
1728	NM_000903	NQO1	NAD(P)H dehydrogenase, quinone 1 (NQO1)	2.81	8.00E-04
54438	NM_018988	GFOD1	glucose-fructose oxidoreductase domain containing 1 (GFOD1)	2.8	7.20E-42
57185	AF131814	DJ462O23.2	clone 24983 mRNA sequence.	2.79	5.30E-13
10867	NM_006675	NET-5	transmembrane 4 superfamily member tetraspan NET-5 (NET-5)	2.79	4.20E-16
3960	NM_006149	LGALS4	lectin, galactoside-binding, soluble, 4 (galectin 4) (LGALS4)	2.79	1.00E-37
51337	NM_016647	LOC51337	mesenchymal stem cell protein DSCD75 (LOC51337)	2.78	8.10E-09
54	NM_001611	ACP5	acid phosphatase 5, tartrate resistant (ACP5)	2.78	6.10E-14
27185	AL049973	DISC1	mRNA; cDNA DKFZp564B192 (from clone DKFZp564B192).	2.75	2.50E-10
221476	AL050088	PI16	mRNA; cDNA DKFZp586B1817 (from clone DKFZp586B1817).	2.75	1.30E-17
306	NM_005139	ANXA3	annexin A3 (ANXA3)	2.73	6.70E-42
863	NM_005187	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (CBFA2T3), transcript variant 1	2.71	7.50E-19
7076	NM_003254	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor) (TIMP1)	2.7	1.10E-31
6788	NM_006281	STK3	serine/threonine kinase 3 (STE20 homolog, yeast) (STK3)	2.69	8.80E-03
4815	NM_016533	NINJ2	ninjurin 2 (NINJ2)	2.67	2.90E-10
4846	M93718	NOS3	nitric oxide synthase mRNA, complete cds.	2.66	7.40E-11
NA	AJ251235	NA	NA	2.65	1.00E-32
3691	NM_000213	ITGB4	integrin, beta 4 (ITGB4)	2.63	6.60E-15
10054	NM_005499	UBA2	SUMO-1 activating enzyme subunit 2 (UBA2)	2.6	5.00E-06
22865	NM_014926	SLITRK3	KIAA0848 protein (KIAA0848)	2.59	8.40E-05
390616	AL109678	NA	mRNA full length insert cDNA clone EUROIMAGE 28993.	2.59	2.60E-11
3965	NM_009587	LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9) (LGALS9), transcript variant long	2.57	7.90E-07
6565	S78203	SLC15A2	PEPT 2=H+/peptide cotransporter [, kidney, mRNA Partial, 2685 nt].	2.57	2.90E-05
3397	NM_002165	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein (ID1), transcript variant 1	2.57	7.20E-08
9173	NM_016232	IL1RL1	interleukin 1 receptor-like 1 (IL1RL1), transcript variant 1	2.57	1.00E-05
8613	NM_003713	PPAP2B	phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1	2.56	7.90E-18
5253	NM_005392	PHF2	PHD finger protein 2 (PHF2), transcript variant 1	2.54	6.40E-09
8572	NM_003687	PDLIM4	LIM domain protein (RIL)	2.54	8.90E-15
51274	NM_016531	KLF3	Kruppel-like factor 3 (basic) (KLF3)	2.54	2.20E-08
5459	NM_002700	POU4F3	POU domain, class 4, transcription factor 3 (POU4F3)	2.53	2.10E-07
114915	AB002437	TIGA1	mRNA from chromosome 5q21-22, clone:LI33.	2.52	1.20E-07
7450	NM_000552	VWF	von Willebrand factor (VWF)	2.51	7.80E-13
847	NM_001752	CAT	catalase (CAT)	2.5	2.10E-12
8165	AF015910	AKAP1	unknown protein mRNA, partial cds.	2.49	1.10E-15
55532	NM_018713	SLC30A10	hypothetical protein DKFZp547M236 (DKFZp547M236)	2.47	1.30E-05
63914	AK021476	C6orf164	cDNA FLJ11414 fis, clone HEMBA1000934.	2.42	1.10E-04
4678	NM_002482	NASP	nuclear autoantigenic sperm protein (histone-binding) (NASP), transcript variant 2	2.42	6.90E-20
80024	AK025886	SLC24A6	cDNA: FLJ22233 fis, clone HRC02016.	2.41	7.30E-12
NA	NM_016031	ELOVL1	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1 (ELOVL1)	2.39	6.80E-24
285299	AK000525	FRG2	cDNA FLJ20518 fis, clone KAT10265.	2.38	1.90E-17
9452	NM_004867	ITM2A	integral membrane protein 2A (ITM2A)	2.38	2.10E-17
55959	AB033073	SULF2	mRNA for KIAA1247 protein, partial cds.	2.38	3.50E-20
283464	AK021752	LOC283464	cDNA FLJ11690 fis, clone HEMBA1004978.	2.37	1.30E-25
79582	AK026377	SPAG16	cDNA: FLJ22724 fis, clone HSI14868.	2.37	7.60E-15
5786	AF147353	PTPRA	full length insert cDNA clone YB42H11.	2.36	5.60E-05
53635	AL050131	PTOV1	mRNA; cDNA DKFZp586I111 (from clone DKFZp586I111); partial cds.	2.36	2.70E-11
84099	M96843	ID2B	striated muscle contraction regulatory protein (Id2B) mRNA, complete cds.	2.35	3.00E-08
5698	NM_002800	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2) (PSMB9), transcript variant	2.35	5.00E-13
2878	NM_002084	GPX3	glutathione peroxidase 3 (plasma) (GPX3)	2.35	4.90E-15
683	NM_004334	BST1	bone marrow stromal cell antigen 1 (BST1)	2.33	9.40E-16
23184	D42039	MESDC2	mRNA for KIAA0081 gene, partial cds.	2.33	3.50E-06
23095	AB011163	KIF1B	mRNA for KIAA0591 protein, partial cds.	2.33	1.30E-16
6934	Y11306	TCF7L2	mRNA for hTCF-4.	2.32	1.00E-08
717	NM_000063	C2	complement component 2 (C2)	2.32	1.00E-03
2872	NM_017572	MKNK2	MAP kinase-interacting serine/threonine kinase 2 (MKNK2)	2.31	6.80E-07
9515	AB023223	STXBP5L	mRNA for KIAA1006 protein, partial cds.	2.31	5.90E-05
4000	M13452	LMNA	lamin A/C	2.3	1.30E-34
4241	NM_005929	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5 (MFI2), transcript variant 1	2.3	1.80E-05
NA	AK023752	NA	cDNA FLJ13690 fis, clone PLACE2000097.	2.29	4.20E-08
182	NM_000214	JAG1	jagged 1 (Alagille syndrome) (JAG1)	2.29	3.60E-06
57165	NM_020435	GJA12	gap junction protein, alpha 12, 47kDa (GJA12)	2.29	1.50E-05
79956	AK026962	KIAA1815	cDNA: FLJ23309 fis, clone HEP11618.	2.29	2.60E-03
389161	AK027233	C3orf16	cDNA: FLJ23580 fis, clone LNG13520.	2.28	3.80E-07
79173	L17327	MGC11271	hypothetical protein MGC11271	2.28	8.00E-04
2261	NM_000142	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism) (FGFR3), transcript variant 1	2.27	2.00E-19
7737	NM_006978	ZNF183	zinc finger protein 183 (RING finger, C3HC4 type) (ZNF183)	2.27	5.10E-06
NA	AF056441	NA	clone NBB7 Cri-du-chat critical region mRNA.	2.26	1.90E-09
2013	NM_001424	EMP2	epithelial membrane protein 2 (EMP2)	2.26	2.90E-28
4967	NM_002541	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) (OGDH)	2.24	1.20E-25
10863	NM_014265	ADAM28	a disintegrin and metalloproteinase domain 28 (ADAM28), transcript variant 1	2.23	4.80E-03
2690	NM_000163	GHR	growth hormone receptor (GHR)	2.23	3.10E-08
23081	AB037901	JMJD2C	GASC-1 mRNA, complete cds.	2.22	1.50E-03
27086	AK026898	FOXP1	cDNA: FLJ23245 fis, clone COL02931.	2.22	2.60E-13
23279	D83781	NUP160	Nup160 gene for nuclear pore protein, partial cds.	2.22	1.00E-14
8905	NM_003916	AP1S2	adaptor-related protein complex 1, sigma 2 subunit (AP1S2)	2.21	3.80E-13
10299	AF056442	MARCH-VI	clone NPA3 Cri-du-chat critical region mRNA.	2.21	5.20E-10
28514	NM_005618	DLL1	delta-like 1 (Drosophila) (DLL1)	2.2	3.50E-36
6943	NM_003206	TCF21	transcription factor 21 (TCF21)	2.2	6.50E-05
2040	D16906	STOM	HepG2 3 region cDNA, clone hmd3a09.	2.19	6.90E-11
9448	AF085826	MAP4K4	full length insert cDNA clone YF46G06.	2.19	1.20E-14
10745	NM_006608	PHTF1	putative homeodomain transcription factor 1 (PHTF1)	2.19	1.10E-13
6817	NM_001055	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1 (SULT1A1), transcript variant 1	2.18	2.60E-13
6623	NM_003087	SNCG	synuclein, gamma (breast cancer-specific protein 1) (SNCG)	2.18	4.30E-06
2014	NM_001425	EMP3	epithelial membrane protein 3 (EMP3)	2.16	6.40E-11
489	NM_005173	ATP2A3	ATPase, Ca++ transporting, ubiquitous (ATP2A3), transcript variant 1	2.16	2.90E-09
168455	AK021498	FLJ36031	cDNA FLJ11436 fis, clone HEMBA1001213.	2.16	1.20E-05
114902	AL110261	C1QTNF5	mRNA; cDNA DKFZp586B0621 (from clone DKFZp586B0621).	2.16	7.70E-11
64771	AF052106	C6orf106	clone 23781 mRNA sequence.	2.16	6.50E-11
3208	NM_002143	HPCA	hippocalcin (HPCA)	2.15	3.00E-13
10276	NM_005863	NET1	neuroepithelial cell transforming gene 1 (NET1)	2.15	2.40E-41
66004	AL353948	LYNX1	mRNA; cDNA DKFZp761P0114 (from clone DKFZp761P0114).	2.14	1.20E-13
84033	AK024186	OBSCN	cDNA FLJ14124 fis, clone MAMMA1002498.	2.14	1.40E-18
883	NM_004059	CCBL1	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase) (CCBL1)	2.13	2.60E-15
8637	NM_003732	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3 (EIF4EBP3)	2.12	4.40E-07
10068	AF110801	IL18BP	interleukin-18 binding protein c precursor (IL18BP) mRNA, complete cds.	2.12	2.20E-03
57488	AB033054	CHR2SYT	mRNA for KIAA1228 protein, partial cds.	2.1	6.90E-12
9891	NM_014840	ARK5	KIAA0537 gene product (ARK5)	2.1	1.80E-21
83660	AB002318	TLN2	mRNA for KIAA0320 gene, partial cds.	2.1	3.00E-04
3373	NM_007312	HYAL1	hyaluronoglucosaminidase 1 (HYAL1), transcript variant 1	2.09	1.00E-04
2034	NM_001430	EPAS1	endothelial PAS domain protein 1 (EPAS1)	2.09	1.50E-16
54739	NM_017523	HSXIAPAF1	XIAP associated factor-1 (HSXIAPAF1)	2.09	8.70E-20
114327	NM_018100	EFHC1	EF-hand domain (C-terminal) containing 1 (EFHC1)	2.09	1.30E-06
9246	NM_004223	UBE2L6	ubiquitin-conjugating enzyme E2L 6 (UBE2L6)	2.09	1.70E-13
50650	NM_019555	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3 (ARHGEF3)	2.09	3.00E-04
2332	NM_002024	FMR1	fragile X mental retardation 1 (FMR1)	2.08	6.50E-19
3955	U94354	LFNG	lunatic fringe mRNA, partial cds.	2.08	7.40E-13
57714	AB046838	KIAA1618	mRNA for KIAA1618 protein, partial cds.	2.08	7.90E-07
29995	NM_014583	LMCD1	LIM and cysteine-rich domains 1 (LMCD1)	2.07	1.10E-12
10788	NM_006633	IQGAP2	IQ motif containing GTPase activating protein 2 (IQGAP2)	2.07	2.00E-08
715	NM_001733	C1R	complement component 1, r subcomponent (C1R)	2.07	8.30E-11
5098	NM_002588	PCDHGC3	protocadherin gamma subfamily C, 3 (PCDHGC3), transcript variant 1	2.07	2.70E-09
6129	NM_000971	RPL7	ribosomal protein L7 (RPL7)	2.06	6.30E-21
6891	NM_000544	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) (TAP2), transcript variant 1	2.06	2.10E-07
6692	AF086366	SPINT1	full length insert cDNA clone ZD66F03.	2.05	1.00E-12
55788	NM_018368	C6orf209	hypothetical protein FLJ11240 (FLJ11240)	2.04	3.20E-06
51293	NM_016579	8D6A	8D6 antigen (8D6A)	2.04	1.20E-14
283131	AK026198	TncRNA	cDNA: FLJ22545 fis, clone HSI00239.	2.04	4.50E-09
23199	D80004	KIAA0182	mRNA for KIAA0182 gene, partial cds.	2.03	8.00E-04
23213	AB029000	SULF1	mRNA for KIAA1077 protein, partial cds.	2.03	1.30E-08
64377	AF300612	CHST8	N-acetylgalactosamine-4-O-sulfotransferase mRNA, complete cds.	2.02	1.20E-06
5627	NM_000313	PROS1	protein S (alpha) (PROS1)	2.02	8.40E-34
57623	AB040918	ZNF406	mRNA for KIAA1485 protein, partial cds.	2.02	1.20E-04
51621	NM_015995	KLF13	Kruppel-like factor 13 (KLF13)	2.02	2.00E-09
55657	NM_017865	FLJ20531	hypothetical protein FLJ20531 (FLJ20531)	2.02	7.10E-05
401384	AK021837	NA	cDNA FLJ11775 fis, clone HEMBA1005891.	2.01	6.10E-07
26095	AL050040	DKFZP566K052	mRNA; cDNA DKFZp566K0524 (from clone DKFZp566K0524); partial cds.	2.01	4.90E-05
9961	NM_017458	MVP	major vault protein (MVP), transcript variant 1	2.01	2.80E-12
6533	NM_003043	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6 (SLC6A6)	2.01	9.00E-05
4209	AK027180	MEF2D	cDNA: FLJ23527 fis, clone LNG05966.	1.99	1.90E-19
4058	NM_002344	LTK	leukocyte tyrosine kinase (LTK)	1.99	4.90E-14
816	U23460	CAMK2B	proline rich calmodulin-dependent protein kinase mRNA, complete cds.	1.99	8.10E-17
2268	NM_005248	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog (FGR)	1.99	4.60E-07
57185	NM_020448	DJ462O23.2	hypothetical protein dJ462O23.2 (DJ462O23.2)	1.99	5.10E-03
23129	AB014520	PLXND1	mRNA for KIAA0620 protein, partial cds.	1.99	5.80E-10
1604	M30142	DAF	decay-accelerating factor mRNA, complete cds.	1.98	1.30E-09
408	NM_004041	ARRB1	arrestin, beta 1 (ARRB1), transcript variant 1	1.98	9.90E-10
9337	NM_004779	CNOT8	CCR4-NOT transcription complex, subunit 8 (CNOT8)	1.98	1.40E-16
307	NM_001153	ANXA4	annexin A4 (ANXA4)	1.97	5.40E-14
1237	NM_005201	CCR8	chemokine (C-C motif) receptor 8 (CCR8)	1.97	2.00E-15
56940	NM_020185	DUSP22	dual specificity phosphatase 22 (DUSP22)	1.97	7.80E-08
57552	AB037784	KIAA1363	mRNA for KIAA1363 protein, partial cds.	1.97	1.30E-04
83442	AF304163	SH3BGRL3	P1725 mRNA, complete cds.	1.96	4.80E-18
8728	AL049415	ADAM19	mRNA; cDNA DKFZp586N2119 (from clone DKFZp586N2119).	1.96	2.00E-03
