Accession	Gene Name	I/C	location
AA668595	Tumor protein p53 inducible protein 3	0.35	2p24.1
AA453774	Regulator of G-protein signalling 16	0.36	1q25-q31
H45000	Caspase 4	0.36	11q22.2-q22.3
AA421296	CD68 antigen	0.37	17p13
AI024402	Metallothionein 2A	0.38	16q13
H07071	Vascular cell adhesion molecule 1	0.38	1p32-p31
AA486942	Capping protein (actin filament), gelsolin-like	0.39	2cen-q24
AA487812	Vimentin	0.40	10p13
AA029737	AK026041	0.41	16q22.1
W48713	Epidermal growth factor receptor	0.41	7p12.3-12.1
R19956	Vascular endothelial growth factor	0.41	6p12
H08560	Insulin-like growth factor binding protein 5	0.42	2q33-q36
R47979	Major histocompatibility complex, class II, DR alpha	0.43	6p21.3
W69279	Rhomboid family 1 (Drosophila)	0.46	16p13.3
AA598583	Cytoplasmic FMRP interacting protein 1	0.48	15q11
AA496785	breakpoint cluster region isoform 1	0.49	9
R25020	Nuclear protein, marker for differentiated aortic smooth muscle and down-regulated with vascular injury	0.49	2
R71440	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2	0.50	11q13.5
AA598776	CDC20 (cell division cycle 20, S. cerevisiae, homolog)	0.51	1p34.1
H47315	EST	0.52	H47315
AA129552	Forkhead box M1	0.52	12p13
AA478589	Apolipoprotein E	0.54	19q13.2
T67270	Ribosomal protein L10	0.56	Xq28
AA452909	EST	0.57	5
W55872	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	0.58	14q13
AA489314	Gp25L2 protein	0.61	5q35.3
AA723035	Butyrate response factor 1 (EGF-response factor 1)	0.61	14q22-q24
H53556	EST	0.62	n/a
AA488073	Mucin 1	0.62	1q21
AA486628	Early growth response 1	0.63	5q31.1
R28649	Homeodomain interacting protein kinase 1	0.63	1p13.1
AA464644	LIM domain only 2	0.63	11p13
