probeset	Gene	Description	fold change
1454420_at	5730420F10Rik	Mus musculus 8 days embryo whole body cDNA, RIKEN full-length enriched library, clone:5730420F10 product:hypothetical protein, full insert sequence	1.86
1456874_at	Flrt2	mitogen-activated protein kinase kinase kinase kinase 5	1.85
1424051_at	Col4a2	procollagen, type IV, alpha 2	1.84
1428228_at	Pgm3	phosphoglucomutase 3	1.83
1436994_a_at	Hist1h1c	histone 1, H1c	1.83
1441245_a_at	mKIAA1196	mKIAA1196 protein	1.82
1418833_at	Agxt	alanine-glyoxylate aminotransferase	1.79
1416101_a_at	Hist1h1c	histone 1, H1c	1.78
1428984_a_at	1700012B09Rik	RIKEN cDNA 1700012B09 gene	1.78
1435217_at	Urml	Mus musculus transcribed sequences	1.78
1431677_at	Agxt2l1	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830009J07 product:unclassifiable, full insert sequence	1.76
1433972_at	AI316882	expressed sequence AI316882	1.75
1436503_at	BC048546	Mus musculus, Similar to alpha-2-macroglobulin, clone IMAGE:4923572, mRNA	1.73
1423166_at	Cd36	CD36 antigen	1.72
1415904_at	Lpl	lipoprotein lipase	1.71
1431406_at	Agxt2l1	alanine-glyoxylate aminotransferase 2-like 1	1.71
1435640_x_at	Tmem20	gb:BE634869 /DB_XREF=gi:9917484 /DB_XREF=uv85h11.x1 /CLONE=IMAGE:3414021 /FEA=EST /CNT=34 /TID=Mm.22482.3 /TIER=Stack /STK=14 /UG=Mm.22482 /LL=71739 /UG_GENE=1200015M12Rik /UG_TITLE=RIKEN cDNA 1200015M12 gene	1.71
1416665_at	Coq7	demethyl-Q 7	1.7
1454145_at	Pla2g1br	phospholipase A2, group IB, pancreas, receptor	1.7
1448350_at	Asl	argininosuccinate lyase	1.69
1424126_at	Alas1	aminolevulinic acid synthase 1	1.68
1452661_at	Tfrc	transferrin receptor	1.68
1457915_at	4833442J19Rik	RIKEN cDNA 4833442J19 gene	1.68
1422648_at	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	1.66
1431690_at	C030044P22Rik	Mus musculus potassium channel KCNH3 (Kcnh3) mRNA, partial cds	1.66
1449309_at	Cyp8b1	cytochrome P450, family 8, subfamily b, polypeptide 1	1.65
1450883_a_at	Cd36	CD36 antigen	1.65
1451675_a_at	Alas2	aminolevulinic acid synthase 2, erythroid	1.65
1425927_a_at	Atf5	activating transcription factor 5	1.64
1418171_at	3930402F23Rik	RIKEN cDNA 3930402F23 gene	1.61
1429489_at	Tceb3bp1	RIKEN cDNA 1700021P10 gene	1.6
1430857_s_at	Pex11c	peroxisomal biogenesis factor 11c	1.6
1451421_a_at	Lzf	RIKEN cDNA 0610011C19 gene	1.6
1453238_s_at	3930401B19Rik	gb:AU018141 /DB_XREF=gi:3373631 /DB_XREF=AU018141 /CLONE=J0749C09 /FEA=mRNA /CNT=55 /TID=Mm.196616.1 /TIER=Stack /STK=10 /UG=Mm.196616 /LL=77570 /UG_GENE=3930401B19Rik /UG_TITLE=RIKEN cDNA 3930401B19 gene	1.6
1452124_at	2900054D09Rik	ankyrin 3, epithelial	1.59
1435192_at	Sox3	SRY-box containing gene 3	1.58
1419206_at	Cd37	CD37 antigen	1.57
1424052_at	Thap4	RIKEN cDNA 2010320B01 gene	1.57
1455282_x_at	Alas1	aminolevulinic acid synthase 1	1.57
1418645_at	Hal	histidine ammonia lyase	1.56
1431175_at	1810019D21Rik	Mus musculus 10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810019D21 product:unknown EST, full insert sequence	1.56
1458268_s_at	Igfbp3	insulin-like growth factor binding protein 3	1.56
1426397_at	Tgfbr2	transforming growth factor, beta receptor II	1.54
1450418_a_at	2310034L04Rik	RIKEN cDNA 2310034L04 gene	1.54
1453431_at	2610206C17Rik	RIKEN cDNA 2610206C17 gene	1.54
1432517_a_at	Nnmt	nicotinamide N-methyltransferase	1.53
1451967_x_at	Kpnb1	karyopherin (importin) beta 1	1.53
1452716_at	5730469M10Rik	RIKEN cDNA 5730469M10 gene	1.53
1427394_at	Igf2as	Mus musculus Peg8/Igf2as mRNA, imprinting gene.	1.52
1460652_at	Esrra	estrogen related receptor, alpha	1.52
1419182_at	Polydom	RIKEN cDNA D430029O09 gene	1.51
1439826_at	Hspa14	heat shock protein 4	1.51
1447778_x_at	C6.1A	c6.1a protein	1.51
1448261_at	Cdh1	cadherin 1	1.51
1451969_s_at	Adprtl3	ADP-ribosyltransferase (NAD+; poly (ADP-ribose polymerase)-like 3	1.5
1422906_at	Abcg2	ATP-binding cassette, sub-family G (WHITE), member 2	1.49
1424716_at	0610039N19Rik	RIKEN cDNA 0610039N19 gene	1.49
1447774_x_at	5730469M10Rik	RIKEN cDNA 5730469M10 gene	1.49
1427202_at	4833442J19Rik	RIKEN cDNA 4833442J19 gene	1.47
1458679_a_at	2310079P03Rik	RIKEN cDNA 2310079P03 gene	1.47
1455568_at	Ankhd1	Mus musculus transcribed sequence with weak similarity to protein pir:T00329 (H.sapiens) T00329 hypothetical protein KIAA0553 - human (fragment)	1.46
1417466_at	Rgs5	regulator of G-protein signaling 5	1.45
1423523_at	Aass	aminoadipate-semialdehyde synthase	1.45
1418069_at	Apoc2	apolipoprotein C-II	1.44
1422662_at	Lgals8	lectin, galactose binding, soluble 8	1.44
1435031_at	Tmpit	RIKEN cDNA 2010310D06 gene	1.44
1449118_at	Dbt	dihydrolipoamide branched chain transacylase E2	1.44
1449337_at	Tdo2	tryptophan 2,3-dioxygenase	1.44
1451260_at	Aldh1b1	aldehyde dehydrogenase 1 family, member B1	1.44
1418366_at	Hist2h2aa1	histone 2, H2aa1	1.43
1455770_at	Tdo2	tryptophan 2,3-dioxygenase	1.43
1422660_at	Rbm3	gb:AY052560.1 /DB_XREF=gi:15983756 /FEA=FLmRNA /CNT=289 /TID=Mm.2591.1 /TIER=FL+Stack /STK=20 /UG=Mm.2591 /LL=19652 /UG_GENE=Rbm3 /DEF=Mus musculus RNA-binding motif protein 3 mRNA, complete cds. /PROD=RNA-binding motif protein 3 /FL=gb:AB016424.1 gb:BC006580.1 gb:NM_016809.1 gb:AY052560.1	1.42
1423710_at	Dlst	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	1.42
1419670_at	Ftcd	formiminotransferase cyclodeaminase	1.41
1426502_s_at	Gpt1	glutamic pyruvic transaminase 1, soluble	1.41
1433507_a_at	Hmgn2	Mus musculus transcribed sequence with strong similarity to protein sp:P05204 (H.sapiens) HG17_HUMAN Nonhistone chromosomal protein HMG-17	1.41
1435137_s_at	Slc16a10	Mus musculus transcribed sequences	1.41
1416762_at	S100a10	S100 calcium binding protein A10 (calpactin)	1.4
1416939_at	Pyp	RIKEN cDNA 2010317E03 gene	1.4
1428143_a_at	0610039C21Rik	RIKEN cDNA 0610039C21 gene	1.4
1435659_a_at	Tpi	gene rich cluster, C9 gene	1.4
1449375_at	9130231C15Rik	RIKEN cDNA 9130231C15 gene	1.4
1454774_at	AW610627	expressed sequence AW610627	1.4
1426118_a_at	Tomm40	translocase of outer mitochondrial membrane 40 homolog (yeast)	1.39
1416940_at	Ppif	peptidylprolyl isomerase F (cyclophilin F)	1.38
1417212_at	9530058B02Rik	RIKEN cDNA 9530058B02 gene	1.38
1418367_x_at	Hist2h2aa1	histone 2, H2aa1	1.38
1437982_x_at	Cox15	RIKEN cDNA 2900026G05 gene	1.38
1438955_x_at	Ppif	peptidylprolyl isomerase F (cyclophilin F)	1.38
1448392_at	Sparc	secreted acidic cysteine rich glycoprotein	1.38
1422576_at	Sca10	spinocerebellar ataxia 10 homolog (human)	1.37
1424744_at	Sds	serine dehydratase	1.37
1456285_at	Tgfbi	Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330015B21 product:unknown EST, full insert sequence	1.37
1433482_a_at	D3Ertd330e	DNA segment, Chr 3, ERATO Doi 330, expressed	1.36
1448700_at	G0s2	G0/G1 switch gene 2	1.36
1452927_x_at	Tpi	triosephosphate isomerase	1.36
1456011_x_at	Acaa1	acetyl-Coenzyme A acyltransferase 1	1.36
1436038_a_at	Dscr5	Down syndrome critical region homolog 5 (human)	1.35
1440174_at	E130307A14Rik	hypothetical protein E130307A14	1.35
1449326_x_at	Saa2	serum amyloid A 2	1.35
1415995_at	Casp6	caspase 6	1.34
1420405_at	Slco1a4	solute carrier organic anion transporter family, member 1a4	1.34
1423386_at	Psmd9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	1.34
1449001_at	Ivd	isovaleryl coenzyme A dehydrogenase	1.34
1450852_s_at	F2r	coagulation factor II (thrombin) receptor	1.34
1451310_a_at	Ctsl	cathepsin L	1.34
1428613_at	Ldhd	RIKEN cDNA B830022L21 gene	1.32
1435245_at	Gls2	RIKEN cDNA A330074B06 gene	1.32
1415918_a_at	Tpi	triosephosphate isomerase	1.31
1418837_at	Qprt	RIKEN cDNA 2410027J01 gene	1.31
1418996_a_at	4930469P12Rik	RIKEN cDNA 4930469P12 gene	1.31
1436934_s_at	Aco2	RIKEN cDNA 5031409G22 gene	1.31
1424904_at	1300010F03Rik	RIKEN cDNA 4932416F07 gene	1.3
1433855_at	Abat	Mus musculus transcribed sequence with strong similarity to protein ref:NP_065580.1 (M.musculus) hypothetical protein, I54 [Mus musculus]	1.3
1450788_at	Saa1	serum amyloid A 1	1.3
1417883_at	Gstt2	glutathione S-transferase, theta 2	1.28
1448823_at	Cxcl12	chemokine (C-X-C motif) ligand 12	-1.27
1417629_at	Prodh	proline dehydrogenase	-1.28
1424576_s_at	BC034834	cDNA sequence BC034834	-1.28
1455741_a_at	Ece1	endothelin converting enzyme 1	-1.29
1448185_at	Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	-1.31
1449198_a_at	Siat9	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase)	-1.31
1449568_at	AV071179	expressed sequence AV071179	-1.31
1428384_at	D4Bwg0951e	DNA segment, Chr 4, Brigham & Womens Genetics 0951 expressed	-1.32
1429514_at	Ppap2b	phosphatidic acid phosphatase type 2B	-1.32
1448181_at	Klf15	Kruppel-like factor 15	-1.32
1419043_a_at	AW111922	expressed sequence AW111922	-1.33
1420420_at	Hao1	hydroxyacid oxidase 1, liver	-1.33
1427474_s_at	Gstm3	glutathione S-transferase, mu 3	-1.33
1430125_s_at	2310009N05Rik	RIKEN cDNA 2310009N05 gene	-1.33
1448123_s_at	Tgfbi	transforming growth factor, beta induced	-1.33
1416489_at	Pi4k2b	RIKEN cDNA 2610042N09 gene	-1.34
1417556_at	Fabp1	fatty acid binding protein 1, liver	-1.34
1417574_at	Cxcl12	chemokine (C-X-C motif) ligand 12	-1.34
1423244_at	Cyp2c40	cytochrome P450, family 2, subfamily c, polypeptide 40	-1.34
1423790_at	Dap	death-associated protein	-1.35
1424652_at	BC014699	cDNA sequence BC014699	-1.35
1424758_s_at	Serpina10	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10	-1.35
1430307_a_at	Mod1	malic enzyme, supernatant	-1.35
1433816_at	D130005A03Rik	hypothetical protein D130005A03	-1.35
1436368_at	Slc16a10	RIKEN cDNA 2610103N14 gene	-1.35
1437478_s_at	Efhd2	DNA segment, Chr 4, Wayne State University 27, expressed	-1.35
1449875_s_at	H2-T10	histocompatibility 2, T region locus 10	-1.35
1416250_at	Btg2	B-cell translocation gene 2, anti-proliferative	-1.36
1417169_at	Usp2	ubiquitin specific protease 2	-1.36
1417531_at	Cyp2j5	cytochrome P450, family 2, subfamily j, polypeptide 5	-1.36
1424518_at	2310016F22Rik	hypothetical protein LOC223672	-1.36
1425195_a_at	Acat2	acetyl CoA transferase-like	-1.36
1425837_a_at	Ccrn4l	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	-1.36
1434272_at	Cpeb2	cytoplasmic polyadenylation element binding protein 2	-1.36
1448741_at	Slc3a1	solute carrier family 3, member 1	-1.36
1426642_at	Fn1	fibronectin 1	-1.37
1427440_a_at	Afm	albumin 1	-1.37
1449818_at	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	-1.37
1457791_at	B830008H07Rik	RIKEN cDNA 1300018L09 gene	-1.37
1448568_a_at	Slc20a1	solute carrier family 20, member 1	-1.38
1449183_at	Comt	catechol-O-methyltransferase	-1.38
1420088_at	Nfkbia	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	-1.39
1421821_at	Ldlr	low density lipoprotein receptor	-1.39
1428981_at	2810007J24Rik	RIKEN cDNA 2810007J24 gene	-1.39
1434714_at	1300013B24Rik	Mus musculus transcribed sequence with weak similarity to protein ref:NP_055399.1 (H.sapiens) ERO1-like (S. cerevisiae); ERO1 (S. cerevisiae)-like [Homo sapiens]	-1.39
1436070_at	Tpi	Mus musculus transcribed sequence with moderate similarity to protein ref:NP_286085.1 (E. coli) beta-D-galactosidase [Escherichia coli O157:H7 EDL933]	-1.39
1436339_at	1810058I24Rik	Mus musculus 0 day neonate cerebellum cDNA, RIKEN full-length enriched library, clone:C230016J21 product:unknown EST, full insert sequence	-1.39
1437463_x_at	Tgfbi	transforming growth factor, beta induced	-1.39
1438937_x_at	Ang1	RIKEN cDNA C730049F20 gene	-1.39
1451807_at	Nr1i2	nuclear receptor subfamily 1, group I, member 2	-1.39
1417766_at	1810044O22Rik	RIKEN cDNA 1810044O22 gene	-1.4
1418787_at	Mbl2	mannose binding lectin, serum (C)	-1.4
1425387_at	Akr1c6	aldo-keto reductase family 1, member C20	-1.4
1448908_at	Ppap2b	phosphatidic acid phosphatase type 2B	-1.4
1456424_s_at	Pltp	phospholipid transfer protein	-1.4
1460174_at	Dexi	dexamethasone-induced transcript	-1.4
1423846_x_at	Tuba2	tubulin, alpha 2	-1.41
1424251_a_at	Hnrpdl	heterogeneous nuclear ribonucleoprotein D-like	-1.41
1452501_at	Cyp2c39	cytochrome P450, family 2, subfamily c, polypeptide 38	-1.41
1417130_s_at	Angptl4	angiopoietin-like 4	-1.42
1418763_at	D16Ertd502e	DNA segment, Chr 16, ERATO Doi 502, expressed	-1.42
1418858_at	1200011D03Rik	RIKEN cDNA 1200011D03 gene	-1.42
1421852_at	Kcnk5	potassium channel, subfamily K, member 5	-1.42
1422603_at	Rnase4	RIKEN cDNA C730049F20 gene	-1.42
1424108_at	Glo1	glyoxalase 1	-1.42
1424934_at	1300012D20Rik	RIKEN cDNA 1300012D20 gene	-1.42
1427033_at	Dnmbp	RIKEN cDNA 2410003L07 gene	-1.42
1433444_at	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	-1.42
1433445_x_at	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	-1.42
1455002_at	Ptp4a1	protein tyrosine phosphatase 4a1	-1.42
1426555_at	Scpep1	RIKEN cDNA 4833411K15 gene	-1.43
1449731_s_at	Nfkbia	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	-1.43
1456250_x_at	Tgfbi	gb:BB533460 /DB_XREF=gi:9585389 /DB_XREF=BB533460 /CLONE=E030030E06 /FEA=EST /CNT=13 /TID=Mm.14455.3 /TIER=Stack /STK=13 /UG=Mm.14455 /LL=21810 /UG_GENE=Tgfbi /UG_TITLE=transforming growth factor, beta induced, 68kDa	-1.43
1416632_at	Mod1	malic enzyme, supernatant	-1.44
1419095_a_at	Apom	apolipoprotein M	-1.44
1419144_at	Cd163	CD163 antigen	-1.44
1420654_a_at	Gbe1	glucan (1,4-alpha-), branching enzyme 1	-1.44
1425107_a_at	Lifr	leukemia inhibitory factor receptor	-1.44
1436293_x_at	D1Ertd471e	LISCH7-like	-1.44
1449067_at	Slc2a2	solute carrier family 2 (facilitated glucose transporter), member 2	-1.44
1454606_at	4933426M11Rik	RIKEN cDNA 4933426M11 gene	-1.44
1455946_x_at	Tmsb10	M.musculus mRNA for testis-specific thymosin beta-10	-1.44
1417292_at	Ifi47	olfactory receptor 56	-1.45
1417880_at	G6pc	glucose-6-phosphatase, catalytic	-1.45
1427561_a_at	Afm	albumin 1	-1.45
1429900_at	5330406M23Rik	Mus musculus adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330406M23 product:unknown EST, full insert sequence	-1.45
1437626_at	Efhd2	Mus musculus Brf2 gene, 3 UTR	-1.45
1437731_at	5830404H04Rik	RIKEN cDNA 5830404H04 gene	-1.45
1450170_x_at	H2-K1	histocompatibility 2, D region locus 1	-1.45
1417061_at	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1	-1.46
1437185_s_at	Tmsb10	M.musculus mRNA for testis-specific thymosin beta-10	-1.46
1422070_at	Adh4	alcohol dehydrogenase 4 (class II), pi polypeptide	-1.47
1423722_at	4930579A11Rik	RIKEN cDNA 4930579A11 gene	-1.47
1454617_at	Arrdc3	expressed sequence AI450344	-1.47
1455063_at	AW061290	Mus musculus 12 days embryo embryonic body between diaphragm region and neck cDNA, RIKEN full-length enriched library, clone:9430015D03 product:hypothetical protein, full insert sequence	-1.47
1455400_at	Ddah1	dimethylarginine dimethylaminohydrolase 1	-1.47
1421709_a_at	Fmo5	flavin containing monooxygenase 5	-1.48
1451716_at	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	-1.48
1417793_at	AI481100	expressed sequence AI481100	-1.49
1419578_at	Mbl1	mannose binding lectin, liver (A)	-1.49
1426722_at	Slc38a2	solute carrier family 38, member 2	-1.49
1437100_x_at	Pim3	proviral integration site 3	-1.49
1437218_at	Fn1	fibronectin 1	-1.49
1448649_at	Enpep	glutamyl aminopeptidase	-1.49
1449062_at	Khk	ketohexokinase	-1.49
1453304_s_at	Ly6e	lymphocyte antigen 6 complex, locus E	-1.49
1455430_at	6430512A10Rik	similar to hypothetical protein MGC20460	-1.49
1416029_at	Tieg1	TGFB inducible early growth response 1	-1.5
1416050_a_at	Scarb1	scavenger receptor class B, member 1	-1.5
1423104_at	Irs1	insulin receptor substrate 1	-1.5
1424937_at	2310076L09Rik	RIKEN cDNA 2310076L09 gene	-1.5
1431008_at	0610037M15Rik	RIKEN cDNA 0610037M15 gene	-1.5
1434372_at	AW112010	Mus musculus transcribed sequences	-1.5
1435007_s_at	AI132487	expressed sequence AI876593	-1.5
1448883_at	Lgmn	legumain	-1.5
1451486_at	1200006F02Rik	RIKEN cDNA 1200006F02 gene	-1.5
1418025_at	Bhlhb2	basic helix-loop-helix domain containing, class B2	-1.51
1418118_at	Slc22a1	solute carrier family 22 (organic cation transporter), member 1	-1.51
1420772_a_at	Dsip1	glucocorticoid-induced leucine zipper	-1.51
1434592_at	Slc16a10	RIKEN cDNA 2610103N14 gene	-1.51
1422869_at	Mertk	c-mer proto-oncogene tyrosine kinase	-1.52
1436168_at	C730029A08Rik	RIKEN cDNA 1700020G04 gene	-1.53
1416067_at	Ifrd1	interferon-related developmental regulator 1	-1.54
1418405_at	Hgfac	hepatocyte growth factor activator	-1.54
1420656_at	Abcg8	ATP-binding cassette, sub-family G (WHITE), member 8	-1.55
1435462_at	Tmem20	Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930035P11 product:unknown EST, full insert sequence	-1.55
1438157_s_at	Nfkbia	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	-1.55
1449523_at	Bcl7c	B-cell CLL/lymphoma 7C	-1.55
1451612_at	Mt1	metallothionein 1	-1.55
1423748_at	D530020C15Rik	RIKEN cDNA D530020C15 gene	-1.57
1425281_a_at	Dsip1	glucocorticoid-induced leucine zipper	-1.58
1455324_at	B430010N18Rik	Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930035P11 product:unknown EST, full insert sequence	-1.58
1419185_a_at	Wbscr14	Williams-Beuren syndrome chromosome region 14 homolog (human)	-1.59
1433691_at	Ppp1r3c	protein phosphatase 1, regulatory (inhibitor) subunit 3C	-1.6
1417590_at	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	-1.61
1419059_at	Apcs	serum amyloid P-component	-1.61
1421791_at	Ang4	angiogenin-like	-1.61
1426235_a_at	Glul	glutamate-ammonia ligase (glutamine synthase)	-1.61
1436590_at	Ppp1r3b	protein phosphatase 1, regulatory (inhibitor) subunit 3B	-1.62
1439163_at	Ang1	Mus musculus similar to mPLZF(B)=promyelocytic leukemia zinc finger protein {alternatively spliced} (LOC235320), mRNA	-1.62
1428393_at	Nrn1	neuritin 1	-1.63
1441915_s_at	2310076L09Rik	RIKEN cDNA 2310076L09 gene	-1.63
1454995_at	Ddah1	dimethylarginine dimethylaminohydrolase 1	-1.64
1450715_at	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2	-1.65
1418536_at	H2-Q7	histocompatibility 2, Q region locus 7	-1.66
1419559_at	Cyp4f14	cytochrome P450, family 4, subfamily f, polypeptide 14	-1.66
1433632_at	Irf2bp2	RIKEN cDNA E130305N23 gene	-1.66
1448028_at	C530046L02Rik	RIKEN cDNA C530046L02 gene	-1.66
1448306_at	Nfkbia	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	-1.66
1419318_at	Saa4	serum amyloid A 4	-1.67
1437397_at	AI987712	expressed sequence AI987712	-1.67
1418013_at	Cml1	camello-like 1	-1.69
1418250_at	1110036H21Rik	RIKEN cDNA 1110036H21 gene	-1.69
1418288_at	Lpin1	lipin 1	-1.69
1449434_at	Car3	carbonic anhydrase 3	-1.69
1450717_at	Ang1	RIKEN cDNA C730049F20 gene	-1.69
1416926_at	Trp53inp1	transformation related protein 53 inducible nuclear protein 1	-1.7
1425557_x_at	Dsip1	glucocorticoid-induced leucine zipper	-1.7
1451297_at	Gulo	cDNA sequence BC028822	-1.7
1427229_at	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	-1.71
1429593_at	Slc38a2	solute carrier family 38, member 2	-1.71
1448698_at	Ccnd1	cyclin D1	-1.71
1451335_at	Plac8	placenta-specific 8	-1.71
1452231_x_at	Ifi203	interferon activated gene 205	-1.71
1417434_at	Gpd2	glycerol phosphate dehydrogenase 2, mitochondrial	-1.72
1452544_x_at	H2-K1	histocompatibility 2, K region	-1.72
1451651_at	BC025105	cDNA sequence BC025105	-1.73
1455820_x_at	Scarb1	scavenger receptor class B, member 1	-1.73
1417404_at	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	-1.76
1424921_at	2310015I10Rik	RIKEN cDNA 2310015I10 gene	-1.76
1442612_at	C730036E19Rik	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730036E19 product:unclassifiable, full insert sequence	-1.76
1434725_at	4921521N14Rik	RIKEN cDNA 4921521N14 gene	-1.77
1450544_at	AB041550	hypothetical protein, MNCb-4779	-1.77
1459841_x_at	Laptm5	lysosomal-associated protein transmembrane 5	-1.77
1418243_at	Fcna	ficolin A	-1.78
1419393_at	Abcg5	ATP-binding cassette, sub-family G (WHITE), member 5	-1.79
1419825_at	1700051A21Rik	gb:AI875121 /DB_XREF=gi:5549170 /DB_XREF=ul29g02.x1 /CLONE=IMAGE:2099762 /FEA=EST /CNT=1 /TID=Mm.39271.3 /TIER=ConsEnd /STK=1 /UG=Mm.39271 /UG_TITLE=ESTs	-1.79
1449492_a_at	Lect2	leukocyte cell-derived chemotaxin 2	-1.79
1433634_at	Irf2bp2	RIKEN cDNA E130305N23 gene	-1.8
1435452_at	Tmem20	RIKEN cDNA D330039I19 gene	-1.8
1415996_at	Txnip	thioredoxin interacting protein	-1.81
1417244_a_at	Irf7	interferon regulatory factor 7	-1.81
1418340_at	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	-1.81
1441799_at	Dscr5	Mus musculus transcribed sequences	-1.81
1442455_at	C79845	Mus musculus transcribed sequences	-1.81
1455991_at	BC037135	Mus musculus transcribed sequence with weak similarity to protein pir:S52790 (H.sapiens) S52790 kynurenine--oxoglutarate transaminase (EC 2.6.1.7) / glutamine--phenylpyruvate transaminase (EC 2.6.1.64), cytosolic [similarity] - human	-1.81
1427191_at	Npr2	natriuretic peptide receptor 2	-1.82
1448506_at	Serpina6	serine (or cysteine) proteinase inhibitor, clade A, member 6	-1.82
1416442_at	Ier2	immediate early response 2	-1.83
1417266_at	Ccl6	chemokine (C-C motif) ligand 6	-1.83
