Gene name	Genbank	Probe ID	GC-RMA norm. dLEC intensity	MAS 5 norm. dLEC intensity	GC-RMA norm. iLEC intensity	MAS 5 norm. iLEC intensity	Average fold change	GC-RMA q-value	MAS 5 q-value	Description
RASA1	M23612	210621_s_at	1.1160301	1.1922284	0.78071433	0.85370326	-1.429498675	0.088	0.0712	RAS p21 protein activator (GTPase activating protein) 1
PIK3C2A	AV682436	213070_at	1.3178823	1.1959462	0.8847994	0.88865924	-1.489470156	0.0477	0.032	Phosphoinositide-3-kinase, class 2, alpha polypeptide
UBE2E3	AB017644	210024_s_at	1.3993742	1.215836	0.9350779	0.9065808	-1.496532214	0.081	0.0847	Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)
PAPOLA	BC000927	209388_at	1.1636274	1.1654967	0.7816718	0.8609302	-1.48863935	0.0828	0.0469	Poly(A) polymerase alpha
PAIP1	BC005295	210283_x_at	1.1452922	1.1670195	0.7458997	0.8839731	-1.535450678	0.0912	0.0425	Poly(A) binding protein interacting protein 1
C14orf147	BE738425	212460_at	1.1792605	1.153646	0.81089455	0.8217512	-1.454271089	0.0898	0.0622	Chromosome 14 open reading frame 147
ZFAND5	AF062347	210275_s_at	1.4353269	1.1967554	0.93502074	0.8999817	-1.535074933	0.0926	0.0672
PUM2	BE778078	201493_s_at	1.3197244	1.2006941	0.8514775	0.91071653	-1.549922811	0.0607	0.0764	Vacuolar protein sorting 35 (yeast)
RAD21	NM_006265	200608_s_at	1.2522732	1.0807799	0.77997327	0.8508703	-1.605533482	0.09	0.0873	RAD21 homolog (S. pombe)
GBAS	NM_001483	201816_s_at	1.2096468	1.2214544	0.7987879	0.89547694	-1.514352934	0.0631	0.0341	Glioblastoma amplified sequence
CENTB2	D26069	212476_at	1.4061816	1.0929776	0.9274598	0.8004475	-1.516164474	0.0978	0.0764	Centaurin, beta 2
STXBP3	NM_007269	203310_at	1.3039057	1.2415113	0.89409155	0.8641527	-1.458358151	0.0873	0.032	Syntaxin binding protein 3
SOX4	AL136179	201417_at	1.2146829	1.184706	0.8448513	0.812496	-1.437747566	0.0477	0.0672	SRY (sex determining region Y)-box 4
SEPT15	NM_004261	200902_at	1.3352942	1.1503292	0.8476779	0.86215097	-1.575237717	0.0559	0.0625
SH3BGRL	NM_003022	201312_s_at	1.195851	1.1191484	0.7505301	0.84442306	-1.593341826	0.0954	0.0764	SH3 domain binding glutamic acid-rich protein like
C13orf23	NM_025138	218420_s_at	1.1353569	1.0490748	0.82434565	0.6747183	-1.377282576	0.0828	0.093	Chromosome 13 open reading frame 23
DDEF2	NM_003887	206414_s_at	1.3849409	1.2593793	0.8996418	0.8934633	-1.539435918	0.0828	0.0448	Development and differentiation enhancing factor 2
LYPLA1	BG288007	212449_s_at	1.2404513	1.1216606	0.7875369	0.8122918	-1.575102449	0.0578	0.065	Lysophospholipase I
MBIP	NM_016586	218411_s_at	1.1701914	1.2000666	0.83037853	0.7748436	-1.409226464	0.0873	0.0777	MAP3K12 binding inhibitory protein 1
YHTDF2	NM_016258	217812_at	1.3012238	1.2418501	0.8379685	0.8821076	-1.552831401	0.0846	0.0861
TMEM30A	NM_018247	217743_s_at	1.3531827	1.2319336	0.8762749	0.86259073	-1.544244506	0.0755	0.0568	Transmembrane protein 30A
HIP2	NM_005339	202346_at	1.210759	1.109352	0.76518047	0.79071796	-1.582318221	0.0722	0.072	Huntingtin interacting protein 2
RAB7	BG261416	211960_s_at	1.3592658	1.2152538	0.7831817	0.920396	-1.735568898	0.0607	0.0341	RAB7, member RAS oncogene family
UNC84A	BE972774	212074_at	1.256331	1.1472882	0.7380798	0.84421974	-1.702161474	0.0741	0.067	Unc-84 homolog A (C. elegans)
SEC24D	NM_014822	202375_at	1.3649246	1.1815856	0.85605496	0.8048922	-1.594435712	0.0898	0.0508	SEC24 related gene family, member D (S. cerevisiae)
KIAA0776	AL132776	212633_at	1.2333121	1.1814597	0.7693176	0.8041028	-1.603124769	0.0884	0.0445	KIAA0776
RAP1A	NM_002884	202362_at	1.2378093	1.2494997	0.7710168	0.8423939	-1.605424551	0.0896	0.0609	RAP1A, member of RAS oncogene family
SMC3	AF020043	209259_s_at	1.3219099	1.352247	0.8311165	0.8869776	-1.590522989	0.0477	0.032	Structural maintenance of chromosomes 3
SLC25A24	NM_013386	204342_at	1.241729	1.317653	0.86980194	0.7798511	-1.427599713	0.0597	0.0529	Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24
CDH5	NM_001795	204677_at	1.448899	1.2573787	0.84149307	0.8982839	-1.72181929	0.0477	0.0341	Cadherin 5, type 2, VE-cadherin (vascular epithelium)
SOS2	AI628605	212870_at	1.1780907	1.37936	0.7837821	0.850721	-1.503084467	0.0929	0.0438	son of sevenless homolog 2 (Drosophila)
C20orf45	NM_016045	217851_s_at	1.1615328	1.2685387	0.74768424	0.7982543	-1.553507133	0.0607	0.032	Chromosome 20 open reading frame 45
RANBP9	NM_005493	202583_s_at	1.3111165	1.3495997	0.8010177	0.8912922	-1.636813394	0.0721	0.032	RAN binding protein 9
UBE2G1	BC002775	209142_s_at	1.4720407	1.2255783	0.83254355	0.8848031	-1.768124562	0.0477	0.0341	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)
CEP57	AL525206	203493_s_at	1.4047868	1.082975	0.75994724	0.8295483	-1.848532011	0.0607	0.0469	centrosomal protein 57kDa
SEPT10	BF966021	212698_s_at	1.4605054	1.0854558	0.86472774	0.735303	-1.688977157	0.0477	0.0672	Septin 10
NDFIP1	NM_030571	217800_s_at	1.2866677	1.2222291	0.8052745	0.7774279	-1.597800129	0.0666	0.0609	Nedd4 family interacting protein 1
GNS	AW167793	212335_at	1.2394024	1.2320493	0.7020191	0.85389644	-1.765482449	0.0731	0.0764	Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
LOC731884	BG396614	217520_x_at	1.3968043	1.1275558	0.84108067	0.72124743	-1.660725718	0.0895	0.0898	Similar to programmed cell death 6 interacting protein
YES1	NM_005433	202933_s_at	1.2354451	1.1929164	0.73575443	0.75720537	-1.679154144	0.0828	0.072	V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
CRI1	AF109873	208669_s_at	1.339523	1.1430126	0.74059445	0.7862064	-1.808713257	0.0721	0.0601	CREBBP/EP300 inhibitor 1
FEM1B	AW139179	212373_at	1.3629683	1.283973	0.7346281	0.9083382	-1.855317405	0.0607	0.098	Fem-1 homolog b (C. elegans)
SMAD4	NM_005359	202527_s_at	1.3977801	1.4315605	0.89228547	0.8286183	-1.566516711	0.0477	0.032	SMAD, mothers against DPP homolog 4 (Drosophila)
FKBP1A	BC005147	210186_s_at	1.5562983	1.4727088	0.87383455	0.9509853	-1.780998817	0.0846	0.0791	FK506 binding protein 1A, 12kDa
QKI	AL031781	212265_at	1.1634985	1.183928	0.631469	0.7801905	-1.842526712	0.0873	0.0438	Quaking homolog, KH domain RNA binding (mouse)
CGI-109	BG286537	214658_at	1.3159457	1.3366289	0.82593834	0.7526741	-1.593273537	0.0597	0.0585	CGI-109 protein
RHEB	BF033683	213404_s_at	1.3786925	1.2886466	0.8162533	0.7518877	-1.689049833	0.0559	0.0438	In multiple clusters
PRKD3	NM_005813	218236_s_at	1.6011606	1.2997866	0.893516	0.80676043	-1.791977536	0.0559	0.032	Protein kinase D3
PPM1B	AJ271832	213225_at	1.2341739	1.5276436	0.80175436	0.8140962	-1.539341676	0.0828	0.0386	Protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform
TIA1	NM_022037	201450_s_at	1.5946403	1.2251619	0.84731364	0.78687453	-1.881995314	0.0948	0.0686	TIA1 cytotoxic granule-associated RNA binding protein
FKBP1A	AI936769	214119_s_at	1.3621678	1.1146208	0.7270161	0.68734217	-1.873641863	0.0597	0.0467	FK506 binding protein 1A, 12kDa
ZBED4	NM_014838	204799_at	1.519214	1.3549572	0.8678588	0.7556823	-1.750531308	0.0828	0.0425	Zinc finger, BED domain containing 4
REST	AV682285	212920_at	1.4955515	1.4224023	0.8352006	0.80602586	-1.790649456	0.0574	0.032	RE1-silencing transcription factor
STAU	AL136601	211505_s_at	1.4034442	1.3393182	0.73652107	0.7995726	-1.905504482	0.0477	0.033	Staufen, RNA binding protein (Drosophila)
GMCL1L	NM_022471	218458_at	1.6501666	1.3100005	0.841391	0.79739565	-1.961236334	0.0477	0.0609	Germ cell-less homolog 1 (Drosophila)-like
RHOBTB1	AB018283	212651_at	1.3197728	1.3332729	0.69950724	0.7660371	-1.886717856	0.0597	0.0425	Rho-related BTB domain containing 1
C6orf62	BE465032	213872_at	1.3418381	1.2006567	0.6903318	0.7068184	-1.943758204	0.0978	0.0508	Chromosome 6 open reading frame 62
SCARB2	AA885297	201646_at	1.5086946	1.4808483	0.78274995	0.85409695	-1.927428549	0.0828	0.0341	Scavenger receptor class B, member 2
PAI-RBP1	AF151813	210076_x_at	1.0876757	1.4549363	0.8853688	0.5967008	-1.228500146	0.0846	0.0622	PAI-1 mRNA-binding protein
SP2	D28588	204367_at	1.7415441	1.2576742	0.8283708	0.8029926	-2.102372633	0.0477	0.067	Sp2 transcription factor
CD164	BF669455	208654_s_at	1.4520993	1.1389807	0.7284873	0.67809933	-1.993307639	0.0644	0.0843	CD164 antigen, sialomucin
TANK	U59863	209451_at	1.4623852	1.5288996	0.80995095	0.80410224	-1.805523162	0.0978	0.0378	TRAF family member-associated NFKB activator
SHC1	AI809967	201469_s_at	1.3329388	1.244905	0.6770933	0.7154853	-1.968619096	0.0965	0.0879	SHC (Src homology 2 domain containing) transforming protein 1
MAP1S	NM_018174	218522_s_at	1.2229272	1.495092	0.7895178	0.68550736	-1.548954564	0.0945	0.0386	Microtubule-associated protein 1S
ZMYND11	NM_006624	202137_s_at	1.3653259	1.3786905	0.6778198	0.77804583	-2.014290376	0.0828	0.0448	Zinc finger, MYND domain containing 11
KLHL7	NM_018846	220238_s_at	1.3783885	1.3945377	0.7044968	0.75219697	-1.956557503	0.0578	0.0341	Kelch-like 7 (Drosophila)
PPP1R2	NM_006241	202166_s_at	1.6918778	1.4235272	0.77592164	0.8624711	-2.18047508	0.0873	0.0908	Protein phosphatase 1, regulatory (inhibitor) subunit 2
TAZ	NM_015472	202134_s_at	1.3472258	1.2190851	0.7420931	0.60157776	-1.815440408	0.0876	0.0549	transcriptional co-activator with PDZ-binding motif (TAZ)
YES1	NM_005433	202932_at	1.6498632	1.5187796	0.7788271	0.83519524	-2.118394699	0.0559	0.0425	V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
CALD1	NM_004342	201617_x_at	1.4664769	1.2586851	0.67213315	0.7023186	-2.181824985	0.0597	0.0617	Caldesmon 1
OIP106	AI633774	202079_s_at	1.4762684	1.2734723	0.65381354	0.68659794	-2.257934885	0.0946	0.0712	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa
FGFR1	M63889	210973_s_at	1.2349455	1.1691202	0.5694554	0.5972763	-2.168643058	0.0757	0.0549	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
MEF2A	NM_005587	208328_s_at	1.6133937	1.5881057	0.7747101	0.73289824	-2.082577341	0.0741	0.032	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)
IDS	AI926544	212223_at	1.7112697	1.4888805	0.6963427	0.77384245	-2.457510792	0.0721	0.0445	Iduronate 2-sulfatase (Hunter syndrome)
DARS	NM_001349	201624_at	1.661306	1.5645562	0.6749396	0.72247946	-2.461414325	0.0828	0.0756	Aspartyl-tRNA synthetase
KIAA0494	AK001487	201776_s_at	1.6506517	1.5363125	0.69141084	0.67110616	-2.387367401	0.0761	0.0598	KIAA0494 gene product
TMEFF1	BF439316	205122_at	1.645441	1.3038237	0.6061629	0.6585966	-2.71451948	0.0477	0.0567	Transmembrane protein with EGF-like and two follistatin-like domains 1
CCNG2	NM_004354	202770_s_at	1.6543576	2.0331473	0.77390355	0.78900826	-2.137679301	0.0741	0.0341	Cyclin G2
PLD1	AJ276230	215723_s_at	1.5388325	1.820197	0.6032359	0.83503264	-2.550963064	0.0477	0.032	Phospholipase D1, phophatidylcholine-specific
APBB2	BF115739	212985_at	1.8007938	1.4734772	0.6842878	0.64047056	-2.631632188	0.0955	0.0438	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
QKI	AA149639	212262_at	1.9529995	1.8677694	0.73844165	0.73577845	-2.644758052	0.0721	0.032	Quaking homolog, KH domain RNA binding (mouse)
KIAA1102	AK027231	212325_at	1.7298675	1.4875178	0.6553977	0.57877636	-2.639416495	0.0721	0.0378	KIAA1102 protein
NID1	NM_002508	202008_s_at	1.6931841	1.7067899	0.60536486	0.6040172	-2.796964627	0.0644	0.0474	Nidogen 1 (enactin)
MBNL1	BF512200	201151_s_at	1.7982142	1.834406	0.5717278	0.703524	-3.145227851	0.0955	0.0351	Muscleblind-like (Drosophila)
APOD	NM_001647	201525_at	2.3897824	1.8227243	0.3716907	0.43344235	-6.429492048	0.064	0.0415	Apolipoprotein D
