Affymetrix ID	P-value	Gene Symbol	Genbank	Location bp
212309_at	0.0419	CLASP2	AV725315	chr3:33510295-33510844 (-)
212306_at	0.0149	CLASP2	AI741784	chr3:33511091-33511602 (-)
217746_s_at	0.0119	PDCD6IP	NM_013374	chr3:33815098-33883501 (+)
202909_at	0.02	EPM2AIP1	NM_014805	chr3:36991153-36991673 (-)
202520_s_at	0.0149	MLH1	NM_000249	chr3:37010021-37067340 (+)
239557_at	0.02	LRRFIP2	AW474960	chr3:37107104-37107380 (-)
201567_s_at	0.0119	GOLGA4	NM_002078	chr3:37259777-37383240 (+)
215203_at	0.0149	GOLGA4	AW438464	chr3:37288631-37290607 (+)
201906_s_at	0.0419	CTDSPL	NM_005808	chr3:37878128-38000963 (+)
202696_at	0.02	OXSR1	NM_005109	chr3:38182029-38271979 (+)
220028_at	0.0176	ACVR2B	NM_001106	chr3:38470813-38499868 (+)
221735_at	0.0123	WDR48	H04342	chr3:39068510-39113159 (+)
222157_s_at	0.0419	WDR48	AB040882	chr3:39096842-39097310 (+)
214156_at	0.0176	MYRIP	AL050090	chr3:40260940-40276813 (+)
201738_at	0.0123	GC20	NM_005875	chr3:40313642-40314426 (+)
230164_at	0.0123	ZNF621	AA417970	chr3:40535516-40535975 (+)
201533_at	0.0119	CTNNB1	NM_001904	chr3:41215999-41256937 (+)
242558_at	0.0119	CTNNB1	AW362945	chr3:41230052-41230902 (+)
1554411_at	0.0336	CTNNB1	AB062292	chr3:41242189-41256616 (+)
223679_at	0.0119	CTNNB1	AF130085	chr3:41252166-41253962 (+)
214924_s_at	0.0266	OIP106	AK000754	chr3:42176676-42226899 (+)
239056_at	0.0336	SEC22L3	AA096421	chr3:42566302-42566714 (-)
236268_at	0.0119	SEC22L3	BF732413	chr3:42568015-42568482
218283_at	0.0176	SS18L2	NM_016305	chr3:42607304-42611486 (+)
202380_s_at	0.0336	NKTR	NM_005385	chr3:42617109-42665031 (+)
215338_s_at	0.0419	NKTR	AI688640	chr3:42637501-42647828 (+)
228721_at	0.0266	LOC339903	AA225165	chr3:42940984-42944800 (+)
229766_at	0.0336	ZNF445	AW264273	chr3:44458137-44458563 (-)
206314_at	0.02	ZNF167	NM_018651	chr3:44573465-44588653 (+)
229532_at	0.0266	ZNF502	AI056364	chr3:44725363-44725841 (+)
227493_s_at	0.0419	KIAA1143	AI863484	chr3:44769525-44778119 (-)
219306_at	0.0119	KIF15	NM_020242	chr3:44778288-44869747 (+)
204016_at	0.0266	LARS2	NM_015340	chr3:45405078-45565332 (+)
34764_at	0.02	LARS2	D21851	chr3:45405078-45565333 (+)
222762_x_at	0.02	LIMD1	AU144259	chr3:45682970-45683345 (+)
244145_at	0.0419	FYCO1	BG260337	chr3:45941432-45942484 (-)
226011_at	0.0176	CCDC12	BG107767	chr3:46938223-46993251 (-)
215038_s_at	0.0119	HYPB	AF049103	chr3:47033238-47059135 (-)
241458_at	0.0119	HYPB	AI868267	chr3:47096233-47096994 (-)
212329_at	0.0419	SCAP	D83782	chr3:47430203-47492416 (-)
223277_at	0.0266	TMEM103	BC000623	chr3:47497823-47498281 (-)
229863_s_at	0.02	FLJ20211	BE503382	chr3:47503731-47512329 (-)
201072_s_at	0.0419	SMARCC1	AW152160	chr3:47602387-47798410 (-)
201073_s_at	0.0123	SMARCC1	AL040633	chr3:47602387-47798410 (-)
201074_at	0.0266	SMARCC1	AA593983	chr3:47602387-47798410 (-)
201075_s_at	0.0149	SMARCC1	NM_003074	chr3:47602875-47798339 (-)
239238_at	0.0119	SMARCC1	AI208857	chr3:47704812-47705469 (-)
230871_at	0.0176	DHX30	H67762	chr3:47819656-47832671 (+)
204355_at	0.02	DHX30	NM_014966	chr3:47821816-47866686 (+)
1555772_a_at	0.0266	CDC25A	AY137580	chr3:48173674-
210062_s_at	0.0149	ZNF589	AF114817	chr3:48272121-48272472 (+)
205851_at	0.0119	NME6	BC001808	chr3:48296463-48296664 (-)
221791_s_at	0.0336	HSPC016	BG167522	chr3:48456690-48460541
1552937_s_at	0.0149	TREX1	NM_130384	chr3:48463221-48482058 (+)
222986_s_at	0.0119	SCOTIN	BC001463	chr3:48469935-48470327 (-)
213052_at	0.0336	PRKAR2A	BF246917	chr3:48760732-48768869 (-)
227932_at	0.0149	ARIH2	AI340270	chr3:48940163-48941111 (+)
201229_s_at	0.0176	ARIH2	BC000422	chr3:48978102-48979391 (+)
217734_s_at	0.0123	WDR6	NM_018031	chr3:49011814-49012348 (+)
221934_s_at	0.0336	DALRD3	BF941492	chr3:49012250-49012774 (-)
209177_at	0.0419	DKFZP564J0123	BC002873	chr3:49018813-49019643 (+)
209174_s_at	0.0149	QRICH1	BC000978	chr3:49026349-49026790 (-)
201892_s_at	0.0419	IMPDH2	NM_000884	chr3:49036766-49041826 (-)
217846_at	0.0266	QARS	NM_005051	chr3:49092426-49095087 (-)
202682_s_at	0.0336	USP4	NM_003363	chr3:49274607-49274750 (-)
202681_at	0.0123	USP4	AI346043	chr3:49289582-49352477 (-)
200059_s_at	0.0176	RHOA	BC001360	chr3:49,371,585-49,424,530
201284_s_at	0.0419	APEH	NM_001640	chr3:49686820-49695935 (+)
1556672_a_at	0.0123	RBM6	AI190489	chr3:50062910-50073662 (+)
201967_at	0.02	RBM6	NM_005777	chr3:50062910-50073662 (+)
206855_s_at	0.02	HYAL2	NM_003773	chr3:50314302-50314781 (-)
203273_s_at	0.02	TUSC2	NM_007275	chr3:50337344-50340672 (-)
216267_s_at	0.02	PL6	BF034906	chr3:50351328-50351804 (-)
226477_at	0.0119	VprBP	AK023239	chr3:51394911-51395227 (-)
226476_s_at	0.0149	VprBP	AK023239	chr3:51395221-51399776 (-)
202689_at	0.0266	RBM15B	NM_013286	chr3:51404313-51406873 (+)
226987_at	0.02	RBM15B	W68720	chr3:51409196-51410379 (+)
226481_at	0.02	VprBP	W74375	chr3:51410244-51433444 (-)
218548_x_at	0.0149	TEX264	NM_015926	chr3:51683324-51713379 (+)
1555735_a_at	0.0123	BAP1	AB002534	chr3:52393614-52394077 (-)
201419_at	0.02	BAP1	NM_004656	chr3:52393614-52394077 (-)
220355_s_at	0.0123	PB1	NM_018165	chr3:52554922-52572454 (-)
223400_s_at	0.0266	PB1	AF197569	chr3:52555703-52688783 (-)
224152_s_at	0.0336	PB1	AF225872	chr3:52557045-52688770 (-)
217850_at	0.0336	GNL3	NM_014366	chr3:52684891-52685738 (+)
218147_s_at	0.02	GLT8D1	NM_018446	chr3:52686112-52686399 (-)
204634_at	0.0176	NEK4	NM_003157	chr3:52719842-52779979 (-)
227078_at	0.0123	MGC52022	BE646540	chr3:52845791-52847583 (-)
208700_s_at	0.02	TKT	L12711	chr3:53217133-53219663 (-)
208699_x_at	0.0336	TKT	BF696840	chr3:53219467-53221957 (-)
228560_at	0.0336	CACNA1D	BE672659	chr3:53822158-53822694 (-)
228122_at	0.0419	LOC285331	AW572928	chr3:56628370-56630886 (+)
229263_at	0.0176	IL17RD	AU148326	chr3:57103317-57115224 (-)
209964_s_at	0.0149	ATXN7	AF032105	chr3:63825272-63957333 (+)
215221_at	0.0176	FOXP1	AK025064	chr3:71604293-71607660 (-)
228029_at	0.0484	KIAA1982	AW513477	chr4:423274-424557(-)
218652_s_at	0.0259	GPI7	NM_017733	chr4:522947-523277 (+)
212696_s_at	0.00781	RNF4	BF968633	chr4:635321-635877 (-)
209492_x_at	0.0198	ATP5I	BC003679	chr4:656226-658063 (-)
207335_x_at	0.0103	ATP5I	NM_007100	chr4:656274-658067 (-)
230408_at	0.0259	PCGF3	BG231712	chr4:749968-750451(-)
212753_at	0.0307	PCGF3	AI692203	chr4:750788-753877(+)
223500_at	0.0103	CPLX1	BC002471	chr4:768746-809945(-)
40225_at	0.0259	GAK	D88435	chr4:833065-915975(-)
202281_at	0.0397	GAK	NM_005255	chr4:833066-915975(-)
223462_at	0.0307	MGC4618	BC005158	chr4:916262-942441(+)
213980_s_at	0.00781	CTBP1	AA053830	chr4:1195233-1195679(-)
212863_x_at	0.0198	CTBP1	BF337195	chr4:1195237-1196017(-)
203392_s_at	0.0307	CTBP1	NM_001328	chr4:1195288-1232791(-)
207922_s_at	0.0259	MAEA	NM_005882	chr4:1273713-1323891(+)
228318_s_at	0.0484	FLJ34443	AI356283	chr4:1379288-1379777(+)
206052_s_at	0.00781	SLBP	NM_006527	chr4:1664325-1683828(-)
218308_at	0.0198	TACC3	NM_006342	chr4:1693062-1716693(+)
222006_at	0.0484	FGFR3	AI359368	chr4:1783004-1783664(-)
222777_s_at	0.0259	WHSC1	AI770166	chr4:1865254-1915071(+)
222778_s_at	0.0397	WHSC1	AW024870	chr4:1865254-1915071(+)
209052_s_at	0.0484	WHSC1	BF111870	chr4:1865254-1953728(+)
209053_s_at	0.00781	WHSC1	BE793789	chr4:1865254-1953728(+)
209054_s_at	0.0157	WHSC1	AF083389	chr4:1865254-1953728(+)
34225_at	0.00781	WHSC2	AF101434	chr4:1954244-1980489(-)
203112_s_at	0.0219	WHSC2	NM_005663	chr4:1954251-1980489(-)
228880_at	0.0397	FLJ37478	AL041933	chr4:2038339-2040613(+)
210054_at	0.0219	C4orf15	BC003648	chr4:2203370-2213689(-)
203600_s_at	0.0219	C4orf8	NM_003704	chr4:2596957-2704077(+)
211250_s_at	0.0484	SH3BP2	AB000463	chr4:2790339-2805812(+)
209215_at	0.0259	TETRAN	L11669	chr4:2902093-2905567(-)
214661_s_at	0.0219	C4orf9	R06783	chr4:2909461-2934917(-)
205823_at	0.0219	RGS12	AI824113	chr4:3287642-3403767(+)
223414_s_at	0.0484	LYAR	AL136750	chr4:4320333-4342649(-)
219837_s_at	0.0484	CYTL1	NM_018659	chr4:5067219-5072100(-)
202517_at	0.0484	CRMP1	NM_001313	chr4:5873416-5941044(-)
226091_s_at	0.0259	MRFAP1	BG435643	chr4:6694684-6695359(+)
212199_at	0.0484	MRFAP1L1	AL566962	chr4:6760332-6762537(-)
223431_at	0.00781	CNO	BC001818	chr4:6768808-6769990(+)
225391_at	0.0307	LOC93622	AL562398	chr4:6726584-6728675(+)
224622_at	0.0259	TBC1D14	AB037743	chr4:6962447-7085741(+)
212432_at	0.0219	GRPEL1	AL542571	chr4:7111525-7120709(-)
212434_at	0.0307	GRPEL1	AI984421	chr4:7111525-7120709(-)
203563_at	0.0259	AFAP	NM_021638	chr4:7811341-7924705(-)
242594_at	0.0307	FAM44A	AI889584	chr4:13236258-13236991(-)
235479_at	0.0307	CPEB2	AI948598	chr4:14627916-14677348(+)
236473_at	0.0307	KIAA1345	AI765222	chr4:15092175-15092984(+)
234936_s_at	0.0307	KIAA1345	AK023876	chr4:15125556-15212267(+)
1553145_at	0.0484	FLJ39653	BC010030	chr4:15837384-15839383(+)
217933_s_at	0.0219	LAP3	NM_015907	chr4:17188044-17218688(+)
227504_s_at	0.0484	KIAA1276	N64630	chr4:17243824-17244826(+)
224416_s_at	0.0198	MED28	AF358829	chr4:17225371-17235258(+)
218438_s_at	0.0103	MED28	NM_025205	chr4:17225373-17234739(+)
222636_at	0.0198	MED28	AF317680	chr4:17225373-17235983(+)
222635_s_at	0.0307	MED28	AF317680	chr4:17225373-17235983(+)
228992_at	0.0259	MED28	BF064162	chr4:17235658-17236346(+)
228106_at	0.0259	FLJ20280	AA031528	chr4:17411376-17411918(-)
219717_at	0.0397	FLJ20280	NM_017741	chr4:17413764-17415045(-)
218662_s_at	0.0219	HCAP-G	NM_022346	chr4:17421703-17454229(+)
218663_at	0.0307	HCAP-G	NM_022346	chr4:17421703-17454229(+)
235554_x_at	0.0157	MGC29898	BE048198	chr4:20311154-20338829(+)
235260_s_at	0.0103	MGC29898	AA398590	chr4:20311201-20363621(+)
210473_s_at	0.0219	GPR125	M37712	chr4:21998105-22012279(-)
201385_at	0.0198	DHX15	NM_001358	chr4:24138199-24195275(-)
201386_s_at	0.0219	DHX15	AF279891	chr4:24138199-24195275(-)
1559479_at	0.0307	LOC285540	BC038425	chr4:24771392-24811099(+)
225014_at	0.0157	LOC389203	BF508958	chr4:25524923-25540532(+)
211974_x_at	0.0397	RBPSUH	AL513759	chr4:25774217-26045727(+)
207785_s_at	0.0397	RBPSUH	NM_015874	chr4:26016892-26045639(+)
226430_at	0.0397	LOC253981	AI394438	chr4:37288651-37291642(-)
223738_s_at	0.0397	PGM2	AL136705	chr4:37504723-37539945(+)
225367_at	0.00781	PGM2	BF512139	chr4:37504728-37540953(+)
225366_at	0.0484	PGM2	AI652855	chr4:37504728-37540953(+)
212350_at	0.0259	TBC1D1	AB029031	chr4:37655451-37815635(+)
227945_at	0.0307	TBC1D1	BE882538	chr4:37816324-37817188(+)
203343_at	0.0397	UGDH	NM_003359	chr4:39176775-39205368(-)
229500_at	0.0484	SLC30A9	AI609256	chr4:41763908-41775673(+)
230896_at	0.0307	CCDC4	AA833830	chr4:41807627-41808655(-)
229485_x_at	0.0397	LOC152573	AI735586	chr4:42097791-42099261(+)
224845_s_at	0.0219	KIAA1458	AU159395	chr4:48038191-48122975(+)
212546_s_at	0.0484	FRYL	AI126634	chr4:48194137-48241653(-)
202117_at	0.00921	ARHGAP1	BG468434	chr11:46662962-46663500 (-)
226167_at	0.0434	SYT7	AA633076	chr11:61039361-61041797 (-)
204257_at	0.0434	FADS3	NM_021727	chr11:61416399-61416691 (-)
214211_at	0.011	FTH1	AA083483	chr11:61488334-61488845 (-)
218857_s_at	0.025	ASRGL1	NM_025080	chr11:61880371-61916616 (+)
222764_at	0.00824	ASRGL1	AI928342	chr11:61880371-61917463 (+)
211345_x_at	0.00504	EEF1G	AF119850	chr11:62083650-62096791 (-)
200689_x_at	0.0102	EEF1G	NM_001404	chr11:62083650-62097909 (-)
211927_x_at	0.00736	EEF1G	BE963164	chr11:62083650-62097909 (-)
205955_at	0.019		NM_018336	chr11:62309600-62311367 (-)
213211_s_at	0.019	TAF6L	AI005317	chr11:62329157-62329510 (+)
224610_at	0.025		AL530869	chr11:62376035-62379921 (-)
209581_at	0.0148	HRASLS3	BC001387	chr11:63098859-63138417 (-)
1861_at	0.019	BAD	U66879	chr11:63793877-63808459 (-)
209364_at	0.0148	BAD	U66879	chr11:63793877-63808459 (-)
202116_at	0.025	DPF2	NM_006268	chr11:64895252-64895749 (+)
227062_at	0.011	TncRNA	AU155361	chr11:64952306-64953090 (+)
234989_at	0.00511	TncRNA	AV699657	chr11:64955776-64956977 (+)
238320_at	0.0434	TncRNA	AV659198	chr11:64958981-64961076 (+)
204610_s_at	0.019	DIPA	NM_006848	chr11:65434003-65434426 (+)
200846_s_at	0.025	PPP1CA	NM_002708	chr11:66941143-66941631 (-)
231978_at	0.011	TPCN2	AL137479	chr11:68596956-68686301 (+)
243531_at	0.025	ORAOV1	AI677888	chr11:69189515-69199346
214251_s_at	0.0434	NUMA1	AI337584	chr11:71391558-71404369 (-)
226717_at	0.0335	LRRC51	AI652845	chr11:71469039-71484691 (+)
223009_at	0.0335	FLJ20625	BC001706	chr11:71485986-71491943 (-)
204218_at	0.00921	DKFZP564M082	NM_014042	chr11:71546965-71547958 (-)
221845_s_at	0.00511	CLPB	AI655698	chr11:71680992-71823226 (-)
203620_s_at	0.0335	FCHSD2	NM_014824	chr11:72225438-72530739 (-)
1554360_at	0.0434	FCHSD2	BC010394	chr11:72231661-72472435 (-)
225883_at	0.019	ATG16L2	AK024423	chr11:72266033-72266933 (+)
203756_at	0.0148	ARHGEF17	NM_014786	chr11:72698535-72757775 (+)
212357_at	0.00921	KIAA0280	AI096888	chr11:72789179-72986739 (-)
36612_at	0.00393	KIAA0280	D87470	chr11:72789492-72986739 (-)
201047_x_at	0.019	RAB6A	BC003617	chr11:73064586-73149745 (-)
218281_at	0.00662	MRPL48	NM_016055	chr11:73176008-73253304 (+)
220647_s_at	0.00393	CHCHD8	NM_016565	chr11:73261455-73262229 (-)
218957_s_at	0.019	WDR71	NM_025155	chr11:73265680-73316427 (+)
36552_at	0.00662	DKFZP586P0123	AL080220	chr11:73401410-73422858 (-)
213199_at	0.019	DKFZP586P0123	AL080220	chr11:73401412-73422974 (-)
217841_s_at	0.00393	PPME1	NM_016147	chr11:73560015-73643395 (+) /
212836_at	0.011	POLD3	D26018	chr11:74079503-74079990 (+)
242175_at	0.00393	KIAA1991	AI732181	chr11:74164758-74165204 (+)
226739_at	0.00824	RNF169	AA536004	chr11:74228958-74231173 (+)
201239_s_at	0.00335	SPCS2	BF530535	chr11:74337949-74366434 (+)
201240_s_at	0.000172	SPCS2	NM_014752	chr11:74337980-74366427 (+)
222912_at	0.00662	ARRB1	BE207758	chr11:74654146-74678732 (-)
208692_at	0.000172	RPS3	U14990	chr11:74788239-74794324 (+)
203241_at	0.011	UVRAG	NM_003369	chr11:75203923-75531342 (+)
226064_s_at	0.00921	DGAT2	AW469523	chr11:75234619-75237951 (+)
224327_s_at	0.00921	DGAT2	AB048286	chr11:75238326-75238845 (+)
209323_at	0.000523	PRKRIR	AF081567	chr11:75738651-75769528 (-)
229243_at	0.025		AI023320	chr11:75778305-75778819 (+)
1569349_at	0.00824	C11orf30	BG272041	chr11:75890739-75891145 (+)
242847_at	0.019	C11orf30	AL525928	chr11:75940612-75941738 (+)
222807_at	0.025	C11orf30	BE549964	chr11:75988922-75989235 (+)
218245_at	0.011	LRRC54	NM_015516	chr11:76234930-76235475 (+)
226507_at	0.025	PAK1	AU154408	chr11:76710258-76711607 (-)
209615_s_at	0.00393	PAK1	U51120	chr11:76711918-76862274 (-)
209143_s_at	0.00511	CLNS1A	AF005422	chr11:77004909-77026437 (-)
235381_at	0.00393	HBXAP	BF033855	chr11:77050355-77051082 (-)
222541_at	0.00921	HBXAP	AA173588	chr11:77053632-77092226 (-)
218166_s_at	0.00393	HBXAP	NM_016578	chr11:77054922-77092226 (-)
200748_s_at	0.019	FTH1	NM_002032	chr11:77123007-77123810 (-)
215786_at	0.00511		AK022170	chr11:77136935-77138820 (-)
225169_at	0.00393	MGC16733	AL526652	chr11:77267415-77383360 (-)
206936_x_at	0.0143		NM_022335	chr11:77457045-77468579
203545_at	0.00824	ALG8	NM_024079	chr11:77489640-77528332 (-)
218101_s_at	0.00921	NDUFC2	NM_004549	chr11:77507292-77517161 (-)
219217_at	0.00662	FLJ23441	NM_024678	chr11:77824958-77957353 (-)
213273_at	0.00824	ODZ4	BF112171	chr11:78041975-78057856 (-)
227842_at	0.0102	RAB30	AW181898	chr11:82367205-82369316 (-)
228003_at	0.0474	RAB30	AW294640	chr11:82367205-82369316 (-)
228643_at	0.00229	LOC399933	AA699852	chr11:82460755-82462892 (+)
203378_at	0.000172	PCF11	AB020631	chr11:82545677-82574484 (+)
227622_at	0.027	PCF11	AW118175	chr11:82546192-82547569 (+)
220572_at	0.0143	DKFZp547G183	NM_018705	chr11:82579610-82581890 (-)
221622_s_at	0.0143	HT007	AF246240	chr11:85017296-85025114 (+)
223334_at	0.000523	DKFZp586C1924	AL136941	chr11:85036668-85045233 (+)
225594_at	0.000523	ZF	AL038866	chr11:85046517-85049532 (-)
225595_at	0.000523	ZF	AL110236	chr11:85046517-85049532 (-)
202979_s_at	0.000311	ZF	NM_021212	chr11:85098450-85099019 (-)
202978_s_at	0.00229	ZF	AW204564	chr11:85099255-85099663 (-)
213584_s_at	0.00335	ZF	AI432137	chr11:85099765-85101277 (-)
212506_at	0.0143	PICALM	AL135735	chr11:85345868-85347508 (-)
215236_s_at	0.0102	PICALM	AV721177	chr11:85346378-85389392 (-)
209572_s_at	0.000172	EED	AF080227	chr11:85633575-85667424 (+)
210656_at	0.000896	EED	AF099032	chr11:85633829-85667425 (+)
230326_s_at	0.00335	HSPC138	AA782955	chr11:85690917-85734632
219979_s_at	0.00504	HSPC138	NM_016401	chr11:85743593-85743833 (+)
204663_at	0.00143	ME3	NM_006680	chr11:85829885-86061004 (-)
222209_s_at	0.000311	FLJ22104	AK000684	chr11:86426639-86711643 (+)
222161_at	0.000172	NAALAD2	AJ012370	chr11:89507529-89565424 (+)
218566_s_at	0.00335	CHORDC1	NM_012124	chr11:89622792-89623322 (-)
222728_s_at	0.00229	JOSD3	AF275800	chr11:93111121-93112147 (-)
238946_at	0.0198	PTD012	AW469495	chr11:93116736-93117475 (+)
223268_at	0.000172	PTD012	BF109592	chr11:93120108-93135898 (+)
229851_s_at	0.000172	PTD012	H63435	chr11:93134649-93135156 (+)
1565830_at	0.0102	KIAA1731	AL833615	chr11:93148093-93148450 (-)
229878_at	0.00229	KIAA1731	AI627965	chr11:93151006-93151601 (+)
218750_at	0.000311	JOSD3	NM_024116	chr11:93151542-93151969 (-)
221580_s_at	0.000172	JOSD3	BC001972	chr11:93151669-93154718 (-)
232483_at	0.00736	CRSP6	AK022156	chr11:93157095-93162612 (+)
223115_at	0.000172	CRSP6	AK001674	chr11:93157095-93186245 (+)
221517_s_at	0.000311	CRSP6	AF105421	chr11:93157115-93185219 (+)
204715_at	0.0198	PANX1	NM_015368	chr11:93501792-93554778 (+)
235295_at	0.00229	PANX1	BG401950	chr11:93556671-93557640 (+)
227107_at	0.00504	PANX1	AI807404	chr11:93557663-93558405 (+)
242456_at	0.00229	MRE11A	AA931565	chr11:93789818-93790513 (-)
205395_s_at	0.000896	MRE11A	NM_005590	chr11:93792690-93866555 (-)
219069_at	0.000523	ANKRD49	NM_017704	chr11:93920453-93920715 (+)
209892_at	0.0102	FUT4	AF305083	chr11:93970695-93971152 (+)
225450_at	0.0198	AMOTL1	AI433831	chr11:94244825-94249483 (+)
225459_at	0.0361	AMOTL1	AU157155	chr11:94244825-94249483 (+)
