Symbol	Name	Accession Nb.	Expression	Expression	Normal keratinocytes (NHEK) 0.5 h	3 h	6 h	12 h	24 h	Expression	Expression	SCC12B2 6 h	12 h	Function
 (+) GRO2	Small Inducible Cytokine B2 (CXC)	M36820	+		1.4	3.9	5.8	6	5.1	+		11.6	8.9	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) GRO3	Small Inducible Cytokine B3 (CXC)	M36821	+		2	2	6.8	7.9	5.2	+		10.3	8.9	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) PPBP	Small Inducible Cytokine B7 (NAP-2) (CXC)	M54995	+		0.3	1	2.2	2.6	2.3			1	1	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) SCYA20	Small Inducible Cytokine A20 (CC)	U64197	+		1.9	4	11.5	21.5	17	+		3.5	4	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) PTGS2	Cyclooxygenase (COX-2)	U04636	+		6.8	3	4.8	13.5	24.7	+		5.5	7.8	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) HB-EGF	HB-EGF-Like	M60278	+		1.7	2	3.2	4.6	9.9			1.3	7.9	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) S100A9	Calgranulin B	W72424	+		1.1	1.5	1.6	2.2	6			1.3	1.7	Growth factor/chemokine/cytokine/inflammation (+/-)
INSL4	Insulin-like 4 (IGF family)	L34838	+		1	12	13.4	20.2	26.1			-1.1	1.9	Growth factor/chemokine/cytokine/inflammation (+/-)
CTGF	IGFBP8	X78947	+		1.3	3.8	5.6	6.3	1.3			1.1	1.1	Growth factor/chemokine/cytokine/inflammation (+/-)
CYR61	IGFBP10	Y11307	+		1.3	2.8	3.4	2.4	3.6		__	-9.8	-6.5	Growth factor/chemokine/cytokine/inflammation (+/-)
 (+) TP63	p63(Np63)	Y16961		__	-0.9	-1	-2	-3.7	-16		__	-2.4	-4.3	Development/differentiation (+/-)
 (+) PUM1	Pumilio 1	D43951		__	-1.6	-3.2	-6.6	-23.7	-2.4		__	-6	-10.3	Development/differentiation (+/-)
 (+) PUM2	Pumilio 2	D87078		__	-1.3	-2.1	-3.1	-5.7	-2.8			-1.8	-2.5	Development/differentiation (+/-)
 (+) FOS	FOS	V01512	+		5.4	4.7	4.7	2.1	0.6	+		16.1	27.6	Transcription (+/-)/replication
 (+) JUN	JUN	J04111	+		2.9	7.9	5.7	2.9	1.1			1.2	-1.1	Transcription (+/-)/replication
 (+) JUNB	JUNB	M29039	+		2	4.5	3.6	4	3.4			1.3	-1.4	Transcription (+/-)/replication
 (+) JUND	JUND	X56681	+		1.3	2.2	3.7	3	2.6	+		3.7	2	Transcription (+/-)/replication
 (+) TLS/CHOP	GADD153	AA633221	+		2.5	3.8	1.6	0.2	1.1			1.6	1	Transcription (+/-)/replication
 (+) MYC	MYC	V00568		__	-1.5	-3.5	-3.2	-4.9	-4.2		__	-6.9	-5.6	Transcription (+/-)/replication
 (+) E2F3	E2F3	D38550		__	-1.4	-2	-3.6	-3.5	-2.9		__	-3.3	-3.3	Transcription (+/-)/replication
 (+) E2F5	E2F5	U31556		__	-1.2	-1.6	-1.3	-3.2	-6.3			-1.2	-1.1	Transcription (+/-)/replication
 (+) RELA	NFkB (p65 subunit)	L19067	+		1.3	1.4	1.6	1.3	1.4			-1.3	-1.4	Transcription (+/-)/replication
 (-) TSC22	TGF -Stimulated Protein	AJ222700	+		1.2	2.3	4	3.1	1.6			-1.1	-1.5	Transcription (+/-)/replication
 (-) DRAP1	DR1-Associated Protein 1	U41843	+		1.3	1.7	4.2	0.7	5.3	+		2.6	3.7	Transcription (+/-)/replication
 (-) ATF3	ATF3	L19871	+		1.3	3.8	4.7	10.8	17.1	+		2.4	5.6	Transcription (+/-)/replication
 (-) ATF4	ATF4	AL022312	+		1.2	1.7	2.1	2.2	3.1			1.2	1	Transcription (+/-)/replication
 (-) SAP18	Sin3-associated Polypeptide	W27641	+		1.8	1.5	2.1	2.1	0.8			1.3	1.6	Transcription (+/-)/replication
 (-) ID2	Inhibitor of DNA Binding 2	D13891	+		1.9	6	3.8	2.1	2.1	+		14.6	22	Transcription (+/-)/replication
H1FX	Histone H1X	D64142	+		0.8	1.4	3.5	3.5	4.5			1	-1.1	Histone/chromatin
H2AFA	Histone H2A A	AI039144	+		1.1	4.6	9.4	13.4	12.4			1	1	Histone/chromatin
H2AFG	Histone H2A G	ZB0776	+		2.4	1.8	1.8	4.3	6.3			3.9	1.3	Histone/chromatin
H2AFO	Histone H2A O	L19779	+		1.5	3.2	2.1	3	18			1.9	2	Histone/chromatin
H2AFX	Histone H2A X	XI4850	+		1	2.5	0.7	1.3	3.2			1.2	1	Histone/chromatin
H2BFA	Histone H2B A	AJ223352			1.1	0.9	1.2	1.1	2.4	+		3	2.9	Histone/chromatin
H2BFC	Histone H2B C	AL009179	+		1	2.2	3.2	6.5	5.5			1	1	Histone/chromatin
H2BFG	Histone H2B G	Z80779	+		1.6	5.3	5.3	7.1	12.1			1.6	2.1	Histone/chromatin
H2BFQ	Histone H2B Q	X57985	+									1.1	1.3	Histone/chromatin
MORF	Histone Acetyltransferase	AB002381		__	-0.9	-1.4	-1.4	-5.4	-6.7			-2.6	-1.7	Histone/chromatin
BAZ1A	Br Domain adj. to ZF1A (hist acetyltransferase)	AL050089		__	-1.3	-1.9	-2	-3.9	-5.1			-1.1	-1.6	Histone/chromatin
BAZ1B	Br Domain adj. to ZF1B (hist acetyltransferase)	AF072810		__	-0.8	-1.1	-5.5	-3.4	-2.5			-1.7	-2.8	Histone/chromatin
