Acc. No.	Gene	E2F1	E2Fdb	Function
M86852	PAF-1	#NAME?	1.3+\-0.1	Peroxisomal
S69189	perox acyl-CoA oxidase	#NAME?	1.1+\-0.1	Peroxisomal
Z48054	PXR1	#NAME?	#NAME?	Peroxisomal
Y09048	PxF	#NAME?	#NAME?	Peroxisomal
AF048755	Pex13	#NAME?	#NAME?	Peroxisomal
M77481	MAGE-1	#NAME?	1.0+\-0.4	Melanoma-associated
L18920	MAGE-2	#NAME?	1.3+\-0.2	Melanoma-associated
U03735	MAGE-3	#NAME?	1.2+\-0.2	Melanoma-associated
U10688	MAGE-4b	#NAME?	#NAME?	Melanoma-associated
U10689	MAGE-5a	#NAME?	1.0+\-0.4	Melanoma-associated
U10691	MAGE-6	#NAME?	1.3+\-0.1	Melanoma-associated
U10693	MAGE-8	#NAME?	#NAME?	Melanoma-associated
U10686	MAGE-11	#NAME?	#NAME?	Melanoma-associated
L18877	MAGE-12	#NAME?	1.3+\-0.1	Melanoma-associated
U93163	MAGE-B1, B2, B3, B4	#NAME?	1.4+\-0.4	Melanoma-associated
U19180	BAGE	#NAME?	1.5+\-0.5	Melanoma-associated
U65011	PRAME	#NAME?	#NAME?	Melanoma-associated
X83490	Fas	#NAME?	#NAME?	Death receptor-related
X02910	TNF	#NAME?	1.1+\-0.2	Death receptor-related
M58286	TNFR	#NAME?	#NAME?	Death receptor-related
X98172	Caspase 8	#NAME?	#NAME?	Death receptor-related
AF016266	TRAIL receptor 2	#NAME?	#NAME?	Death receptor-related
U59863	I-Traf	#NAME?	#NAME?	Death receptor-related
AF005775	CFLAR	#NAME?	#NAME?	Death receptor-related
U12597	Traf2	#NAME?	#NAME?	Antiapoptotic
U78798	Traf6	#NAME?	#NAME?	Antiapoptotic
M58603	NFKB1	#NAME?	#NAME?	Antiapoptotic
U20816	NFB2	#NAME?	#NAME?	Antiapoptotic
M83221	RelB	#NAME?	#NAME?	Antiapoptotic
M59465	A20	#NAME?	#NAME?	Antiapoptotic
U45878	IAP1	#NAME?	#NAME?	Antiapoptotic
Z46973	PI3 K (p110 subunit)	#NAME?	#NAME?	Antiapoptotic
X75042	Rel	#NAME?	#NAME?	Antiapoptotic
L08246	Mcl-1	#NAME?	#NAME?	Antiapoptotic
