Pvalue	C mean	Si mean	Fold change	Probe set	Description	annotation	Gene symbol
5.40E-06	160.6	813.3	0.197	201008_s_at	thioredoxin interacting protein	Info	TXNIP
5.80E-06	176.6	600.2	0.294	202146_at	interferon-related developmental regulator 1	Info	IFRD1
7.10E-06	162.6	68.7	2.367	212799_at	syntaxin 6	Info	STX6
8.50E-06	234.9	808	0.291	208868_s_at	GABA(A) receptor-associated protein like 1	Info	GABARAPL1
9.20E-06	239.4	859.8	0.278	221646_s_at	CDNA FLJ38901 fis, clone NT2NE2001040, moderately similar to Homo sapiens GL013 mRNA	Info
9.60E-06	341.2	950	0.359	214097_at	ribosomal protein S21	Info	RPS21
1.02E-05	427.9	143	2.992	201152_s_at	muscleblind-like (Drosophila)	Info	MBNL1
1.04E-05	523.7	204.7	2.558	221495_s_at	KIAA1049 protein	Info	KIAA1049
1.06E-05	242.5	85.7	2.83	201660_at	acyl-CoA synthetase long-chain family member 3	Info	ACSL3
1.08E-05	137.4	364.8	0.377	203643_at	Ets2 repressor factor /// Ets2 repressor factor	Info	ERF
1.09E-05	352.3	938.7	0.375	204134_at	phosphodiesterase 2A, cGMP-stimulated /// phosphodiesterase 2A, cGMP-stimulated	Info	PDE2A
1.15E-05	15.6	64.3	0.243	210941_at	BH-protocadherin (brain-heart)	Info	PCDH7
1.16E-05	241.4	555.1	0.435	201565_s_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein /// inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	Info	ID2
1.21E-05	892.7	308.5	2.894	220892_s_at	phosphoserine aminotransferase 1 /// phosphoserine aminotransferase 1	Info	PSAT1
1.39E-05	561	1562	0.359	218205_s_at	MAP kinase-interacting serine/threonine kinase 2 /// MAP kinase-interacting serine/threonine kinase 2	Info	MKNK2
1.52E-05	456.2	205.1	2.224	202136_at	zinc finger, MYND domain containing 11	Info	ZMYND11
1.56E-05	708.2	213.5	3.317	209059_s_at	endothelial differentiation-related factor 1	Info	EDF1
1.69E-05	635.8	1552.8	0.409	211458_s_at	GABA(A) receptor-associated protein like 1	Info	GABARAPL1
1.73E-05	126.6	284.5	0.445	204566_at	protein phosphatase 1D magnesium-dependent, delta isoform /// protein phosphatase 1D magnesium-dependent, delta isoform	Info	PPM1D
1.86E-05	86.8	295.5	0.294	209457_at	dual specificity phosphatase 5 /// dual specificity phosphatase 5	Info	DUSP5
2.02E-05	15.5	53.9	0.288	221986_s_at	DRE1 protein	Info	DRE1
2.13E-05	167.5	375.4	0.446	200898_s_at	meningioma expressed antigen 5 (hyaluronidase)	Info	MGEA5
2.22E-05	45.7	146.3	0.312	204346_s_at	Ras association (RalGDS/AF-6) domain family 1 /// Ras association (RalGDS/AF-6) domain family 1	Info	RASSF1
2.22E-05	49	149.9	0.327	220954_s_at	paired immunoglobin-like type 2 receptor beta /// paired immunoglobin-like type 2 receptor beta	Info	PILRB
2.58E-05	109.3	232.6	0.47	219129_s_at	hypothetical protein FLJ11526	Info	FLJ11526
2.74E-05	313.5	133	2.357	203017_s_at	synovial sarcoma, X breakpoint 2 interacting protein	Info	SSX2IP
2.75E-05	187.2	411.4	0.455	208579_x_at	histone 1, H2bm /// histone 1, H2bm	Info	HIST1H2BM
2.75E-05	389.5	834.5	0.467	202388_at	regulator of G-protein signalling 2, 24kDa /// regulator of G-protein signalling 2, 24kDa	Info	RGS2
2.97E-05	99.5	272.7	0.365	218518_at	chromosome 5 open reading frame 5 /// chromosome 5 open reading frame 5	Info	C5orf5
3.03E-05	711.1	189.4	3.754	209058_at	endothelial differentiation-related factor 1 /// endothelial differentiation-related factor 1	Info	EDF1
3.10E-05	390.8	947.6	0.412	200921_s_at	B-cell translocation gene 1, anti-proliferative /// B-cell translocation gene 1, anti-proliferative	Info	BTG1
3.13E-05	192.6	61.2	3.147	211576_s_at	solute carrier family 19 (folate transporter), member 1 /// solute carrier family 19 (folate transporter), member 1	Info	SLC19A1
3.16E-05	320	147.8	2.165	220155_s_at	bromodomain containing 9	Info	BRD9
3.18E-05	139.1	316.1	0.44	213497_at	ankyrin repeat and BTB (POZ) domain containing 2	Info	ABTB2
3.19E-05	524.4	1198.8	0.437	200920_s_at	B-cell translocation gene 1, anti-proliferative	Info	BTG1
3.37E-05	93.7	263.5	0.356	204568_at	KIAA0831	Info	KIAA0831
3.47E-05	255.8	626	0.409	212037_at	pinin, desmosome associated protein	Info	PNN
3.56E-05	756.5	318.4	2.376	209017_s_at	protease, serine, 15	Info	PRSS15
3.60E-05	191.4	473.7	0.404	209102_s_at	HMG-box transcription factor 1 /// HMG-box transcription factor 1	Info	HBP1
3.70E-05	42.9	123.5	0.347	216014_s_at	zinc finger, X-linked, duplicated A	Info	ZXDA
3.73E-05	231.4	92.3	2.507	212414_s_at	septin 6	Info	38236
3.75E-05	450	1027.2	0.438	214290_s_at	histone 2, H2aa	Info	HIST2H2AA
3.86E-05	268.9	100.4	2.678	201102_s_at	phosphofructokinase, liver /// phosphofructokinase, liver	Info	PFKL
3.92E-05	197.3	494.8	0.399	202147_s_at	interferon-related developmental regulator 1	Info	IFRD1
3.95E-05	389.7	929.6	0.419	217127_at	cystathionase (cystathionine gamma-lyase)	Info	CTH
4.17E-05	131.9	272	0.485	205751_at	SH3-domain GRB2-like 2 /// SH3-domain GRB2-like 2	Info	SH3GL2
4.27E-05	248.6	582.6	0.427	212204_at	DKFZP564G2022 protein	Info	DKFZP564G2022
4.27E-05	104.4	272.5	0.383	212226_s_at	phosphatidic acid phosphatase type 2B	Info	PPAP2B
4.48E-05	85.7	197	0.435	216013_at	zinc finger, X-linked, duplicated A	Info	ZXDA
4.56E-05	112.8	233.3	0.483	219694_at	hypothetical protein FLJ11127	Info	FLJ11127
4.70E-05	167.3	67.5	2.479	217970_s_at	KIAA1194	Info	KIAA1194
4.83E-05	41.4	119.8	0.346	205645_at	RALBP1 associated Eps domain containing 2 /// RALBP1 associated Eps domain containing 2	Info	REPS2
4.85E-05	171.2	70.3	2.435	219709_x_at	hypothetical protein MGC2494	Info	MGC2494
5.24E-05	122.9	474.9	0.259	203725_at	growth arrest and DNA-damage-inducible, alpha /// growth arrest and DNA-damage-inducible, alpha	Info	GADD45A
5.53E-05	186.5	522.2	0.357	216920_s_at	T cell receptor gamma variable 9	Info	TRGV9
5.61E-05	241.8	103.1	2.345	212816_s_at	cystathionine-beta-synthase	Info	CBS
5.70E-05	318.6	649.1	0.491	221667_s_at	heat shock 22kDa protein 8 /// heat shock 22kDa protein 8	Info	HSPB8
5.71E-05	286.7	582.4	0.492	204053_x_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Info	PTEN
5.84E-05	202.6	438.7	0.462	206116_s_at	tropomyosin 1 (alpha)	Info	TPM1
5.86E-05	208	478.8	0.434	203304_at	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) /// BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	Info	BAMBI
6.01E-05	41.9	119.3	0.351	219284_at	HSPB (heat shock 27kDa) associated protein 1	Info	HSPBAP1
6.05E-05	107.5	245.8	0.437	216252_x_at	tumor necrosis factor receptor superfamily, member 6	Info	TNFRSF6
6.05E-05	82.1	180.4	0.455	204054_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1) /// phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Info	PTEN
6.24E-05	322.4	91.6	3.52	212563_at	block of proliferation 1	Info	BOP1
6.44E-05	277.2	659.8	0.42	214157_at	GNAS complex locus	Info	GNAS
6.48E-05	41.7	86.7	0.481	205809_s_at	Wiskott-Aldrich syndrome-like	Info	WASL
6.56E-05	68.1	144.2	0.472	219534_x_at	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Info	CDKN1C
6.56E-05	211.2	552.9	0.382	202743_at	phosphoinositide-3-kinase, regulatory subunit, polypeptide 3 (p55, gamma)	Info	PIK3R3
6.57E-05	153	74.6	2.051	201801_s_at	solute carrier family 29 (nucleoside transporters), member 1 /// solute carrier family 29 (nucleoside transporters), member 1	Info	SLC29A1
6.58E-05	138.8	62	2.239	203976_s_at	chromatin assembly factor 1, subunit A (p150)	Info	CHAF1A
6.90E-05	73.2	201.6	0.363	208947_s_at	regulator of nonsense transcripts 1	Info	RENT1
6.98E-05	117	250.1	0.468	203660_s_at	pericentrin 2 (kendrin) /// pericentrin 2 (kendrin)	Info	PCNT2
6.98E-05	199.7	708.3	0.282	202672_s_at	activating transcription factor 3 /// activating transcription factor 3	Info	ATF3
7.13E-05	87.7	234.2	0.374	218641_at	hypothetical protein MGC3032	Info	MGC3032
7.28E-05	137.5	66.3	2.074	200597_at	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	Info	EIF3S10
7.43E-05	327.2	153.3	2.134	201153_s_at	muscleblind-like (Drosophila) /// muscleblind-like (Drosophila)	Info	MBNL1
7.59E-05	120.6	254.7	0.473	206291_at	neurotensin /// neurotensin	Info	NTS
7.59E-05	118.5	301.4	0.393	215719_x_at	tumor necrosis factor receptor superfamily, member 6	Info	TNFRSF6
7.65E-05	102.8	249.8	0.412	217730_at	PP1201 protein /// PP1201 protein	Info	PP1201
7.81E-05	68.6	33.1	2.073	201286_at	syndecan 1	Info	SDC1
7.99E-05	175.8	362.5	0.485	213348_at	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Info	CDKN1C
8.08E-05	138	65.8	2.097	212690_at	DDHD domain containing 2	Info	DDHD2
8.10E-05	147.9	311.5	0.475	206907_at	tumor necrosis factor (ligand) superfamily, member 9 /// tumor necrosis factor (ligand) superfamily, member 9	Info	TNFSF9
8.34E-05	66.4	134.7	0.493	203759_at	sialyltransferase 4C (beta-galactoside alpha-2,3-sialyltransferase) /// sialyltransferase 4C (beta-galactoside alpha-2,3-sialyltransferase)	Info	SIAT4C
8.53E-05	58.6	128.1	0.457	207493_x_at	synovial sarcoma, X breakpoint 2	Info	SSX2
8.54E-05	84.2	250.9	0.336	218880_at	FOS-like antigen 2	Info	FOSL2
8.57E-05	158.3	324.8	0.487	215235_at	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	Info	SPTAN1
8.59E-05	279.1	118.9	2.347	211065_x_at	phosphofructokinase, liver /// phosphofructokinase, liver	Info	PFKL
9.04E-05	142.8	323.7	0.441	211711_s_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1) /// phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Info	PTEN
9.05E-05	199.2	89.3	2.231	216397_s_at	block of proliferation 1	Info	BOP1
9.07E-05	105.3	224.2	0.47	204498_s_at	adenylate cyclase 9	Info	ADCY9
9.42E-05	103.9	218.7	0.475	204396_s_at	G protein-coupled receptor kinase 5 /// G protein-coupled receptor kinase 5	Info	GRK5
9.44E-05	359.7	974.6	0.369	208763_s_at	delta sleep inducing peptide, immunoreactor	Info	DSIPI
9.50E-05	485.7	258.4	1.88	210438_x_at	Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	Info	SSA2
9.53E-05	72.6	201.1	0.361	219327_s_at	G protein-coupled receptor, family C, group 5, member C /// G protein-coupled receptor, family C, group 5, member C	Info	GPRC5C
9.64E-05	362.9	165.2	2.197	203016_s_at	synovial sarcoma, X breakpoint 2 interacting protein	Info	SSX2IP
9.87E-05	335.1	652.8	0.513	217492_s_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Info	PTEN
9.97E-05	60.1	126.8	0.474	91816_f_at	ring finger and KH domain containing 1	Info	RKHD1
0.0001008	46.4	90.5	0.513	222019_at	HLA class II region expressed gene KE2	Info	HKE2
0.0001014	45.1	104.9	0.43	213530_at	RAB3 GTPase-ACTIVATING PROTEIN	Info	RAB3GAP
0.000102	294	584.8	0.503	213139_at	snail homolog 2 (Drosophila)	Info	SNAI2
0.000102	40.4	94.9	0.426	209431_s_at	zinc finger protein 278	Info	ZNF278
0.0001035	91.1	192.2	0.474	219832_s_at	homeo box C13 /// homeo box C13	Info	HOXC13
0.0001069	97.9	207	0.473	208370_s_at	Down syndrome critical region gene 1 /// Down syndrome critical region gene 1	Info	DSCR1
0.0001093	79.6	161.9	0.492	203234_at	uridine phosphorylase 1 /// uridine phosphorylase 1	Info	UPP1
0.0001101	15.1	92.3	0.164	222074_at	uroporphyrinogen decarboxylase	Info	UROD
0.0001154	514.1	261.9	1.963	219126_at	PHD finger protein 10	Info	PHF10
0.0001177	95.9	35.3	2.717	205760_s_at	8-oxoguanine DNA glycosylase /// 8-oxoguanine DNA glycosylase	Info	OGG1
0.0001194	32.2	12.9	2.496	219234_x_at	secernin 3	Info	SCRN3
0.0001199	150.6	67.2	2.241	210871_x_at	synovial sarcoma, X breakpoint 2 interacting protein	Info	SSX2IP
0.0001222	60.8	132.9	0.457	209015_s_at	DnaJ (Hsp40) homolog, subfamily B, member 6	Info	DNAJB6
0.0001224	81.7	173.2	0.472	219880_at	hypothetical protein FLJ23053	Info	FLJ23053
0.0001251	404.7	182.6	2.216	203967_at	CDC6 cell division cycle 6 homolog (S. cerevisiae)	Info	CDC6
0.0001294	141.5	278.7	0.508	212689_s_at	jumonji domain containing 1A	Info	JMJD1A
0.0001313	104.5	300.5	0.348	212070_at	G protein-coupled receptor 56	Info	GPR56
0.0001322	1492.7	686	2.176	208693_s_at	glycyl-tRNA synthetase /// glycyl-tRNA synthetase	Info	GARS
0.0001323	57.2	25.8	2.217	213610_s_at	hypothetical protein MGC22679	Info	MGC22679
0.0001325	58.5	27.5	2.127	203502_at	2,3-bisphosphoglycerate mutase /// 2,3-bisphosphoglycerate mutase	Info	BPGM
0.0001329	52.1	159.8	0.326	207574_s_at	growth arrest and DNA-damage-inducible, beta /// growth arrest and DNA-damage-inducible, beta	Info	GADD45B
0.0001339	81.6	177.5	0.46	209193_at	pim-1 oncogene /// pim-1 oncogene	Info	PIM1
0.0001351	112.1	46.6	2.406	203019_x_at	synovial sarcoma, X breakpoint 2 interacting protein	Info	SSX2IP
0.0001377	338	178.6	1.892	203323_at	caveolin 2	Info	CAV2
0.0001413	134.6	291.9	0.461	208886_at	H1 histone family, member 0 /// H1 histone family, member 0	Info	H1F0
0.0001416	201.8	107.6	1.875	206874_s_at	SNF1 sucrose nonfermenting like kinase (yeast)	Info	SLK
0.0001423	128.6	256.2	0.502	201681_s_at	discs, large homolog 5 (Drosophila) /// discs, large homolog 5 (Drosophila)	Info	DLG5
0.0001433	175.5	82	2.14	216976_s_at	RYK receptor-like tyrosine kinase	Info	RYK
0.000144	288.1	620.8	0.464	206176_at	bone morphogenetic protein 6 /// bone morphogenetic protein 6	Info	BMP6
0.0001474	131.3	62.1	2.114	205194_at	phosphoserine phosphatase /// phosphoserine phosphatase	Info	PSPH
0.0001493	435.6	234.2	1.86	212629_s_at	protein kinase C-like 2	Info	PRKCL2
0.0001514	168.1	76.9	2.186	202432_at	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta) /// protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	Info	PPP3CB
0.0001521	145.2	378.9	0.383	218934_s_at	heat shock 27kDa protein family, member 7 (cardiovascular) /// heat shock 27kDa protein family, member 7 (cardiovascular)	Info	HSPB7
0.0001533	38.1	90.2	0.422	218940_at	chromosome 14 open reading frame 138	Info	C14orf138
0.0001533	48.8	108.4	0.45	203749_s_at	retinoic acid receptor, alpha	Info	RARA
0.0001536	40.3	86.8	0.464	210335_at	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor /// peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor	Info	PAMCI
0.0001545	95.8	257	0.373	204401_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 /// potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	Info	KCNN4
0.0001552	249.9	107.2	2.331	209754_s_at	thymopoietin	Info	TMPO
0.0001552	182.6	90.6	2.015	203975_s_at	chromatin assembly factor 1, subunit A (p150)	Info	CHAF1A
0.0001559	124.6	254.6	0.489	214179_s_at	nuclear factor (erythroid-derived 2)-like 1	Info	NFE2L1
0.0001563	123	284.3	0.433	202498_s_at	solute carrier family 2 (facilitated glucose transporter), member 14	Info	SLC2A14
0.0001647	144	406	0.355	212977_at	chemokine orphan receptor 1	Info	CMKOR1
0.0001674	814.7	1650.4	0.494	218729_at	latexin /// latexin	Info	LXN
0.000168	13.3	49.3	0.27	209732_at	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced) /// C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)	Info	CLECSF2
0.0001725	200.5	441.2	0.454	202130_at	RIO kinase 3 (yeast)	Info	RIOK3
0.0001739	342	181.1	1.888	221727_at	activated RNA polymerase II transcription cofactor 4	Info	PC4
0.0001746	68.5	135	0.507	218149_s_at	zinc finger protein 395	Info	ZNF395
0.0001815	373.7	170.5	2.192	219828_at	chromosome 9 open reading frame 86	Info	C9orf86
0.0001816	53	137.6	0.385	212230_at	phosphatidic acid phosphatase type 2B	Info	PPAP2B
0.0001816	147.5	292	0.505	220161_s_at	erythrocyte membrane protein band 4.1 like 4B /// erythrocyte membrane protein band 4.1 like 4B	Info	EPB41L4B
0.0001824	121.9	306.6	0.398	202129_s_at	RIO kinase 3 (yeast)	Info	RIOK3
0.0001902	847	408.9	2.071	208079_s_at	serine/threonine kinase 6 /// serine/threonine kinase 6	Info	STK6
0.0001904	148.7	79.9	1.861	219390_at	FK506 binding protein 14, 22 kDa	Info	FKBP14
0.0001909	61	164.8	0.37	220370_s_at	ubiquitin specific protease 36	Info	USP36
0.0001917	104	39.1	2.66	214331_at	Ts translation elongation factor, mitochondrial	Info	TSFM
0.0001924	76.3	36.8	2.073	212367_at	fem-1 homolog b (C. elegans)	Info	FEM1B
0.0001935	168	396.3	0.424	218634_at	pleckstrin homology-like domain, family A, member 3 /// pleckstrin homology-like domain, family A, member 3	Info	PHLDA3
0.000194	45.5	89.9	0.506	204069_at	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse) /// Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	Info	MEIS1
0.0001946	121.5	253.1	0.48	218683_at	polypyrimidine tract binding protein 2 /// polypyrimidine tract binding protein 2	Info	PTBP2
0.0001995	367.1	125	2.937	217776_at	retinol dehydrogenase 11 (all-trans and 9-cis)	Info	RDH11
0.0002014	42.4	14	3.029	222219_s_at	transducin-like enhancer protein 6	Info	FLJ14009
0.0002027	315.6	164.1	1.923	217912_at	PP3111 protein /// PP3111 protein	Info	PP3111
0.000203	112.7	254.1	0.444	203409_at	damage-specific DNA binding protein 2, 48kDa /// damage-specific DNA binding protein 2, 48kDa	Info	DDB2
0.0002039	65	130.5	0.498	200688_at	splicing factor 3b, subunit 3, 130kDa	Info	SF3B3
0.0002048	71.7	153	0.469	201461_s_at	mitogen-activated protein kinase-activated protein kinase 2	Info	MAPKAPK2
0.000205	107.1	309.2	0.346	202241_at	tribbles homolog 1 (Drosophila) /// tribbles homolog 1 (Drosophila)	Info	TRIB1
0.0002051	42.2	80.3	0.526	215068_s_at	hypothetical protein FLJ11467	Info	FLJ11467
0.0002062	215.4	497.3	0.433	200788_s_at	phosphoprotein enriched in astrocytes 15 /// phosphoprotein enriched in astrocytes 15	Info	PEA15
0.0002112	113	48.5	2.33	217775_s_at	retinol dehydrogenase 11 (all-trans and 9-cis)	Info	RDH11
0.0002175	83.3	159.7	0.522	219053_s_at	hypothetical protein FLJ20847	Info	FLJ20847
0.0002191	119.1	254.4	0.468	204826_at	cyclin F /// cyclin F	Info	CCNF
0.0002261	40.2	21.7	1.853	212122_at	ras homolog gene family, member Q	Info	RHOQ
0.0002267	294.9	554.1	0.532	209216_at	JM5 protein	Info	JM5
0.0002283	222.6	427.1	0.521	209864_at	frequently rearranged in advanced T-cell lymphomas 2	Info	FRAT2
0.0002298	69.7	155.3	0.449	212601_at	zinc finger, ZZ-type with EF hand domain 1	Info	ZZEF1
0.0002303	183.8	60.5	3.038	203018_s_at	synovial sarcoma, X breakpoint 2 interacting protein	Info	SSX2IP
0.0002303	89.2	45.7	1.952	218771_at	pantothenate kinase 4	Info	PANK4
0.0002304	451.5	186.7	2.418	201795_at	lamin B receptor /// lamin B receptor	Info	LBR
0.000236	223.7	448.6	0.499	201751_at	KIAA0063 gene product	Info	KIAA0063
0.0002368	45.4	24.8	1.831	207440_at	solute carrier family 35 (UDP-galactose transporter), member A2	Info	SLC35A2
0.0002381	263.7	107.2	2.46	204058_at	malic enzyme 1, NADP(+)-dependent, cytosolic	Info	ME1
0.0002393	180.3	491.4	0.367	202023_at	ephrin-A1 /// ephrin-A1	Info	EFNA1
0.0002401	147.1	317.8	0.463	218696_at	eukaryotic translation initiation factor 2-alpha kinase 3 /// eukaryotic translation initiation factor 2-alpha kinase 3	Info	EIF2AK3
0.0002404	565.9	1012.2	0.559	200677_at	pituitary tumor-transforming 1 interacting protein /// pituitary tumor-transforming 1 interacting protein	Info	PTTG1IP
0.0002409	200.5	374.7	0.535	201460_at	mitogen-activated protein kinase-activated protein kinase 2	Info	MAPKAPK2
0.0002463	72.3	35.4	2.042	214298_x_at	septin 6	Info	38236
0.000247	51.1	154.9	0.33	209007_s_at	NPD014 protein	Info	NPD014
0.0002479	194.2	398.1	0.488	213358_at	KIAA0802	Info	KIAA0802
0.0002507	205.6	398.9	0.515	208686_s_at	bromodomain containing 2	Info	BRD2
0.0002534	86.6	180.9	0.479	212069_s_at	KIAA0515	Info	KIAA0515
0.0002572	98.3	195.5	0.503	218972_at	tetratricopeptide repeat domain 17	Info	TTC17
0.0002579	149.1	355.1	0.42	205330_at	meningioma (disrupted in balanced translocation) 1 /// meningioma (disrupted in balanced translocation) 1	Info	MN1
0.0002611	126.4	233.5	0.541	202894_at	EphB4 /// EphB4	Info	EPHB4
0.0002641	109.2	56.4	1.936	219036_at	p10-binding protein /// p10-binding protein	Info	BITE
0.0002667	279.4	145.3	1.923	211713_x_at	KIAA0101 gene product /// KIAA0101 gene product	Info	KIAA0101
0.0002694	201.5	374.9	0.537	205020_s_at	ADP-ribosylation factor-like 4A /// ADP-ribosylation factor-like 4A	Info	ARL4A
0.0002698	31.8	97.2	0.327	203770_s_at	steroid sulfatase (microsomal), arylsulfatase C, isozyme S	Info	STS
0.0002738	498.1	243.9	2.042	203968_s_at	CDC6 cell division cycle 6 homolog (S. cerevisiae) /// CDC6 cell division cycle 6 homolog (S. cerevisiae)	Info	CDC6
0.0002756	188.1	364.9	0.515	200758_s_at	nuclear factor (erythroid-derived 2)-like 1	Info	NFE2L1
0.0002771	235.6	110.3	2.136	218227_at	nucleotide binding protein 2 (MinD homolog, E. coli) /// nucleotide binding protein 2 (MinD homolog, E. coli)	Info	NUBP2
0.0002809	244.4	481.2	0.508	209813_x_at	T cell receptor gamma variable 9	Info	TRGV9
0.0002817	66.8	154	0.434	203353_s_at	methyl-CpG binding domain protein 1 /// methyl-CpG binding domain protein 1	Info	MBD1
0.0002844	146.8	62	2.368	201151_s_at	muscleblind-like (Drosophila)	Info	MBNL1
0.0002847	47.8	21.3	2.244	217608_at	hypothetical protein FLJ36754	Info	FLJ36754
0.0002853	554.1	301.4	1.838	221675_s_at	choline phosphotransferase 1 /// choline phosphotransferase 1	Info	CHPT1
0.0002892	46.4	102.1	0.454	213182_x_at	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Info	CDKN1C
0.0002909	1008.6	1876.4	0.538	212099_at	ras homolog gene family, member B	Info	RHOB
0.0002921	82.7	199.8	0.414	209967_s_at	cAMP responsive element modulator	Info	CREM
0.0002955	51.7	105.5	0.49	219499_at	Sec61 alpha 2 subunit (S. cerevisiae)	Info	SEC61A2
0.0002985	103.9	194.7	0.534	213532_at	hypothetical protein LOC285148	Info	LOC285148
0.0003009	115.8	207.8	0.557	201604_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 12A	Info	PPP1R12A
0.0003015	249.7	139.7	1.787	200659_s_at	prohibitin	Info	PHB
0.0003059	732.6	289.5	2.531	219914_at	endothelin converting enzyme-like 1 /// endothelin converting enzyme-like 1	Info	ECEL1
0.000306	64.1	129.4	0.495	207390_s_at	smoothelin /// smoothelin	Info	SMTN
0.0003077	491.4	253.4	1.939	212714_at	c-Mpl binding protein	Info	LOC113251
0.000309	189.9	408.8	0.465	204780_s_at	tumor necrosis factor receptor superfamily, member 6	Info	TNFRSF6
0.000314	48	133.9	0.358	211038_s_at	hypothetical protein MGC12760 /// hypothetical protein MGC12760	Info	MGC12760
0.0003158	69.2	133	0.52	222162_s_at	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 /// a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	Info	ADAMTS1
0.000316	72.7	134.9	0.539	212769_at	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	Info	TLE3
0.0003178	160.9	334.4	0.481	210150_s_at	laminin, alpha 5	Info	LAMA5
