Probe Set	GenBank	Gene Symbol	Gene name / description	Fold change
1427410	AF380423	Dleu2	deleted in lymphocytic leukemia, 2	2.7
1454674	NM_183171	Fez1	fasciculation and elongation protein zeta 1 (zygin I)	2.69
1452426	NM_001012326	None		2.67
1423555	NM_133871	Ifi44	interferon-induced protein 44	2.66
1448862	NM_010494	Icam2	intercellular adhesion molecule 2	2.65
1443375	None	None	GNAS (guanine nucleotide binding protein, alpha stimulating) Complex locus	2.64
1421479	NM_021346	Zfp318	zinc finger protein 318	2.64
1432391	AK010621	2410030J07RIK	coiled-coil domain containing 21	2.64
1424923	BC057144	Serpina3g	serine (or cysteine) peptidase inhibitor, clade A, member 3G	2.64
1454926	BC042654	4930544G21RIK	RIKEN cDNA 4930544G21 gene	2.64
1460499	AK020330	9230110I02RIK	RIKEN cDNA 9230110I02 gene	2.59
1434773	NM_011400	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	2.56
1435285	None	None	metallophosphoesterase domain containing 2	2.56
1455452	None	None	expressed sequence AI449310	2.55
1449146	M80456	Notch4	Notch gene homolog 4 (Drosophila)	2.54
1452473	NM_030024	E130201N16RIK	RIKEN cDNA E130201N16 gene	2.53
1445301	None	None	CDNA sequence BC028528 (BC028528), mRNA	2.52
1453022	NM_026730	Gpihbp1	GPI-anchored HDL-binding protein 1	2.5
1430030	AK019912	5330426P16RIK	RIKEN cDNA 5330426P16 gene	2.49
1449528	NM_010216	Figf	c-fos induced growth factor	2.47
1456655	AK035950	Ext1	Exostoses (multiple) 1, mRNA (cDNA clone MGC:5903 IMAGE:3499743)	2.47
1445443	None	None		2.46
1445307	AK032760	Auts2	PREDICTED: hypothetical protein XP_488533 [Mus musculus], mRNA sequence	2.46
1425344	NM_026272	4430402O11RIK	RIKEN cDNA 4430402O11 gene	2.45
1441425	None	None	MAME mRNA for amelogenin	2.44
1453540	AK017264	Phldb2	RIKEN cDNA 5430404G13 gene	2.44
1452094	NM_011030	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase, alpha 1 polypeptide	2.43
1449860	NM_080846	2310056K19RIK	HIG1 domain family, member 1B	2.43
1439435	NM_008828	Pgk1	phosphoglycerate kinase 1	2.42
1448831	AF004326	Angpt2	angiopoietin 2	2.41
1451675	NM_009653	Alas2	aminolevulinic acid synthase 2, erythroid	2.41
1444552	None	None		2.41
1431751	AK012553	2700082O15RIK	metallophosphoesterase domain containing 2	2.4
1443161	None	None	Trichorhinophalangeal syndrome I (human)	2.4
1446484	AK054505	Mef2c	Myocyte enhancer factor 2C	2.38
1430681	None	None	crystallin, lamda 1	2.38
1446461	AK051769	Sox5	SRY-box containing gene 5 (Sox5)	2.36
1453841	AK009920	6030495B02RIK	RIKEN cDNA 2310050P20 gene	2.36
1454295	None	None	nuclear receptor interacting protein 1	2.35
1450269	NM_008826	Pfkl	phosphofructokinase, liver, B-type	2.34
1456909	None	None	glucose phosphate isomerase 1	2.34
1456947	None	None	Platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit	2.33
1427580	AB063319	Rian	RNA imprinted and accumulated in nucleus	2.33
1438640	NM_008828	Pgk1	phosphoglycerate kinase 1	2.32
1451456	BC004768	6430706D22RIK	RIKEN cDNA 6430706D22 gene	2.32
1434905	BC064011	BC064011	cDNA sequence BC064011	2.32
1457356	None	None	Insulin-like growth factor 2 receptor (Igf2r)	2.32
1420913	AK004616	Slco2a1	solute carrier organic anion transporter family, member 2a1	2.31
1442760	None	None	RTN4 (Rtn4) mRNA, Complete cds, alternatively spliced	2.28
1441404	None	None	Platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit	2.28
1446374	AK051721	Arhgef10	Rho guanine nucleotide exchange factor (GEF) 10	2.26
1458617	AK003657	Prkcbp1	protein kinase C binding protein 1	2.25
1440830	AK173020	Gpr116	G protein-coupled receptor 116	2.25
1418673	NM_011415	Snai2	snail homolog 2 (Drosophila)	2.24
1439774	AK031075	Prrx1	paired related homeobox 1	2.23
1416295	NM_013563	IL2Rg	interleukin 2 receptor, gamma chain	2.23
1439148	J03928	Pfkl	phosphofructokinase, liver, B-type	2.23
1448471	NM_007796	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	2.23
1456379	NM_152915	Dner	delta/notch-like EGF-related receptor	2.22
1439640	AK079001	None	clone:A130046K21 product:hypothetical protein, full insert sequence	2.22
1419023	NM_023119	Eno1	enolase 1, alpha non-neuron	2.2
1444229	None	None	Nuclear receptor subfamily 2, group F, member 2 (Nr2f2), transcript variant 1	2.18
1427404	NM_023119	Eno1	similar to enolase 1, alpha non-neuron	2.16
1441364	None	None	Transcription factor GATA-4	2.16
1447643	NM_011415	Snai2	snail homolog 2 (Drosophila)	2.16
1449533	NM_026433	1810057C19RIK	RIKEN cDNA 1810057C19 gene	2.16
1441835	NM_181409	BC051083	myotubularin related protein 11	2.15
1433604	NM_007438	Aldoa	aldolase 1, A isoform	2.15
1426599	NM_011400	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	2.14
1426600	M22998	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	2.14
1416537	NM_133930	Creld1	cysteine-rich with EGF-like domains 1	2.13
1419647	NM_133662	Ier3	immediate early response 3	2.13
1436194	AK021193	C330008K14RIK	RIKEN cDNA C330008K14 gene	2.11
1455451	None	None	expressed sequence AI449310	2.11
1452014	NM_184052	IGF1	insulin-like growth factor 1	2.11
1448201	D50462	Sfrp2	secreted frizzled-related sequence protein 2	2.11
1441680	None	None	mRNA (cDNA clone IMAGE:5370114)	2.1
1448690	BC003729	Kcnk1	potassium channel, subfamily K, member 1	2.1
1441757	None	None	RIKEN cDNA 1190002F15 gene	2.1
1449005	AF178954	Slc16a3	solute carrier family 16 (monocarboxylic acid transporters), member 3	2.09
1435595	None	None	RIKEN cDNA 1810011O10 gene	2.09
1422470	NM_009760	Bnip3	BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3	2.09
1435386	AK078523	VWF	Von Willebrand factor homolog	2.07
1436843	BC030408	C430048L16RIK	RIKEN cDNA C430048L16 gene	2.07
1442586	AK083884	Socs2	RIKEN cDNA D130043N08 gene	2.06
1456532	BC030896	Pdgfd		2.06
1443742	None	None	Ubiquitin coniugating enzyme 3b	2.05
1425428	AF416641	Hif3a	hypoxia inducible factor 3, alpha subunit	2.05
1427486	NM_029928	Ptp3b	protein tyrosine phosphatase, receptor type, B	2.04
1448698	NM_007631	Ccnd1	cyclin D1	2.04
1449471	NM_021452	Kcnmb4	potassium large conductance calcium-activated channel, subfamily M, —Õ member 4	2.04
