Gene Name	GenBankID	AffyID	Fold Change	P value	FDR	Gene Title
ISGF3G	BC035716	203882_at	1.22	0.02	13	Interferon-stimulated transcription factor 3, gamma
ITGB2	AK095992	202803_s_at	1.32	0.01	11	Integrin, beta 2
LCP2	NM_005565	205269_at	1.37	0.01	10	Lymphocyte cytosolic protein 2
LSP1	AK056576	203523_at	1.24	0.002	3	Lymphocyte-specific protein 1
LY96	BM918324	206584_at	1.28	0.03	16	lymphocyte antigen 96
MS4A1	NM_152866	217418_x_at	1.79	0.02	11	membrane-spanning 4-domains, subfamily A, member 1
MS4A1	NM_152866	210356_x_at	1.84	0.02	10	membrane-spanning 4-domains, subfamily A, member 1
MX1	AK096355	202086_at	1.34	0.01	8	myxovirus (influenza virus) resistance 1
MX2	AK122952	204994_at	1.25	0.02	13	myxovirus (influenza virus) resistance 2
NFIL3	CR614563	203574_at	1.29	0.03	16	nuclear factor, interleukin 3 regulated
NR4A2	NM_006186	216248_s_at	1.22	0.03	14	nuclear receptor subfamily 4, group A, member 2
OAS2	NM_002535	204972_at	1.41	0.01	8	2-5-oligoadenylate synthetase 2
POU2AF1	NM_006235	205267_at	1.59	0.03	14	POU domain, class 2, associating factor 1
RGS1	AK093544	202988_s_at	1.31	0.03	14	Regulator of G-protein signalling 1
RGS1	AK093544	216834_at	1.29	0.01	10	Regulator of G-protein signalling 1
SLAMF1	BC067847	206181_at	1.23	0.01	10	Signaling lymphocytic activation molecule family member 1
TAP2	NM_000544	204770_at	1.31	0.001	3	Transporter 2, ATP-binding cassette, sub-family B
TNFRSF7	CR624829	206150_at	1.38	0.007	5	Tumor necrosis factor receptor superfamily, member 7
TRA	BC041074	209671_x_at	1.23	0.01	11	T cell receptor alpha locus
TRA	BC041074	210972_x_at	1.42	0.009	6	T cell receptor alpha locus
TRBV19	NM_006669	213193_x_at	1.57	0.002	3	T cell receptor beta variable 19
TRBV19	NM_006669	210915_x_at	1.64	0.001	2	T cell receptor beta variable 19
TRAT1	NM_016388	217147_s_at	1.29	0.02	13	T cell receptor associated transmembrane adaptor 1
ZAP70	AL832287	214032_at	1.21	0.009	8	Zeta-chain (TCR) associated protein kinase 70kDa
