Fold change	Acession number	gene symbol	gene
6.773962499	NM_031648	Fxyd1	FXYD domain containing ion transport regulator 1
6.703897077	NM_001047877	Arsg	arylsulfatase G
6.680703355	NM_012562	Fuca1	fucosidase, alpha L  1, tissue
6.680703355	NM_022213	Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)
6.634556367	NM_001048075	RGD1563148	similar to osteoclast inhibitory lectin
6.611602545	NM_001013071	Tm7sf2	transmembrane 7 superfamily member 2
6.588728138	BC161876	Cdc14a	CDC14 cell division cycle 14 homolog A (S. cerevisiae)
6.543216468	NM_001083811	Gria2	glutamate receptor, ionotropic, AMPA 2
6.520578659	NM_139190	Calcoco1	calcium binding and coiled coil domain 1
6.520578659	ENSRNOT00000035730	Slfn5	schlafen 5
6.520578659	XM_001061158	RGD1560022	similar to Hypothetical protein 4832420M10
6.498019171	NM_017296	Kcnj2	potassium inwardly rectifying channel, subfamily J, member 2
6.475537732	NM_031012	Anpep	alanyl (membrane) aminopeptidase
6.36429187	NM_001011991	Ndrg1	N myc downstream regulated gene 1
6.320330495	NM_031594	P2rx4	purinergic receptor P2X, ligand gated ion channel 4
6.320330495	NM_001108237	Lama1	laminin, alpha 1
6.276672783	ENSRNOT00000020810	RGD1309759	similar to cDNA sequence BC013529
6.233316637	NM_138519	Dkk3	dickkopf homolog 3 (Xenopus laevis)
6.233316637	NM_031514	Jak2	Janus kinase 2
6.211751	NM_001109079	RGD1560572	similar to hypothetical protein D230039L06
6.211751	NM_001113328	Pde4d	phosphodiesterase 4D, cAMP specific
6.190259974	ENSRNOT00000059198	RGD1563185	similar to Glutathione S transferase 8 (GST 8 8) (Chain 8) (GST class alpha)
6.168843302	NM_001106840	Gsta4	glutathione S transferase, alpha 4
6.147500725	NM_001106555	C8g	complement component 8, gamma subunit
6.147500725	NM_133583	Ndrg2	N myc downstream regulated gene 2
6.126231988	NM_057100	Gas6	growth arrest specific 6
6.105036836
6.105036836
6.083915013	XR_007064	LOC364706	similar to forkhead box C1
6.041890342
6.041890342	ENSRNOT00000061446	N4bp2l1	NEDD4 binding protein 2 like 1
6.02098699	NM_001013181	Zbtb16	zinc finger and BTB domain containing 16
5.979396995	NM_171988	Bcl2l11	BCL2 like 11 (apoptosis facilitator)
5.938094283	NM_001108750	Cpne8	copine VIII
5.938094283	NM_001106572	Olfml2a	olfactomedin like 2A
5.917550037	NM_001012023		erythrocyte protein band 4.1 like 5
5.917550037	NM_001106713	Klhl29	kelch like 29 (Drosophila)
5.876674533	NM_001011893	4-Sep	septin 4
5.856342784	NM_022534	Tcn2	transcobalamin 2
5.795768618	NM_022524	Srpx	sushi repeat containing protein
5.795768618	NM_199117	Cbx7	chromobox homolog 7
5.795768618	NM_001107197	Igsf9	immunoglobulin superfamily, member 9
5.775716782	NM_001127547	Fbln1	fibulin 1
5.775716782	NM_031655	Lxn	latexin
5.75573432	ENSRNOT00000007422	RGD1560652	RGD1560652
5.735820992	NM_001109073	RGD1560672	similar to novel protein
5.715976559	NM_031795	Ugcg	UDP glucose ceramide glucosyltransferase
5.715976559	NM_138882	Pla1a	phospholipase A1 member A
5.696200782	NM_013060	Id2	inhibitor of DNA binding 2
5.656854249	NM_001108394	RGD1306164	similar to hypothetical protein FLJ90798
5.598343462	ENSRNOT00000007419	Glt8d4	glycosyltransferase 8 domain containing 4
5.559672879	NM_001012125	Loxl1	lysyl oxidase like 1
5.559672879	NM_001004099	Gjb2	gap junction protein, beta 2
5.540437872	NM_001108125	Sesn3	sestrin 3
5.540437872	NM_001107451	Slc2a12	solute carrier family 2 (facilitated glucose transporter), member 12
5.502167273	NM_031003	Abat	4 aminobutyrate aminotransferase
5.502167273	NM_001108015	Trib2	tribbles homolog 2 (Drosophila)
5.48313122	NM_001013048	Igfbp7	insulin like growth factor binding protein 7
5.48313122	NM_031048	Lifr	leukemia inhibitory factor receptor
5.445256466	NM_001077674	Hlx	H2.0 like homeobox
5.445256466	NM_012571	Got1	glutamate oxaloacetate transaminase 1, soluble
5.42641731	ENSRNOT00000021337	Rbpms2	RNA binding protein with multiple splicing 2
5.407643332	BC098783	Zmym3	zinc finger, MYM type 3
5.407643332	BC161931	Angpt2	angiopoietin 2
5.370290011	BC099231	Fam43a	family with sequence similarity 43, member A
5.370290011	NM_001008886	RT1 S3	RT1 class Ib, locus S3
5.333194708	NM_001007636	S100a1	S100 calcium binding protein A1
5.314743256	NM_001006998	Aldh3b1	aldehyde dehydrogenase 3 family, member B1
5.296355642	NM_012550	Ednra	endothelin receptor type A
5.296355642	NM_053374	Il18bp	interleukin 18 binding protein
5.278031643	NM_001002815	Ece2	endothelin converting enzyme 2
5.278031643	NM_001108870	Scara3	scavenger receptor class A, member 3
5.241573615	NM_001109241	Atoh8	atonal homolog 8 (Drosophila)
5.241573615	NM_001033064	Kazald1	Kazal type serine peptidase inhibitor domain 1
5.187358219	ENSRNOT00000015897	C1r	complement component 1, r subcomponent
5.187358219	NM_198134	Bst2	bone marrow stromal cell antigen 2
5.187358219	AB042272	Adamts4	a disintegrin like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4
5.169411323	NM_177426	Gstm2	glutathione S transferase, mu 2
5.169411323
5.169411323	ENSRNOT00000002033	Gats	opposite strand transcription unit to Stag3
5.151526518	NM_053731	Ntn1	netrin 1
5.151526518	NM_012886	Timp3	tissue inhibitor of metalloproteinase 3
5.151526518	NM_053402	Wnt4	wingless related MMTV integration site 4
5.151526518	NM_030833	Ifitm2	interferon induced transmembrane protein 2
5.151526518	NM_001034090	Ephx1	epoxide hydrolase 1, microsomal
5.13370359
5.13370359	NM_001107501	Clip3	CAP GLY domain containing linker protein 3
5.098242509	NM_153739	Duox1	dual oxidase 1
5.045509635	NM_001012167	Pld3	phospholipase D family, member 3
5.045509635	NM_001009706	Lhpp	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
5.028053498	NM_012939	Ctsh	cathepsin H
4.993322196	NM_001107593	Cnnm1	cyclin M1
4.976046613
4.976046613	NM_031664	Slc28a2	solute carrier family 28 (sodium coupled nucleoside transporter), member 2
4.976046613	NM_001008694	Rcn3	reticulocalbin 3, EF hand calcium binding domain
4.976046613	NM_130429	Lef1	lymphoid enhancer binding factor 1
4.924577653	ENSRNOT00000038703	Fat4	FAT tumor suppressor homolog 4 (Drosophila)
4.890561111	NM_001107378	Zfp608	zinc finger protein 608
4.890561111	NM_001106698	H6pd	hexose 6 phosphate dehydrogenase (glucose 1 dehydrogenase)
4.873641055	NM_001106607	Podxl2	podocalyxin like 2
4.873641055	NM_001025773	Tnfrsf9	tumor necrosis factor receptor superfamily, member 9
4.856779538	NM_172067	Spon1	spondin 1, (f spondin) extracellular matrix protein
4.839976357	NM_012967	Icam1	intercellular adhesion molecule 1
4.839976357	NM_138826	Mt1a	metallothionein 1a
4.839976357	NM_012649	Sdc4	syndecan 4
4.839976357	ENSRNOT00000051588	LOC681994	similar to developmental endothelial locus 1 isoform b
4.806544198	NM_173322	Pnrc1	proline rich nuclear receptor coactivator 1
4.789914818	NM_053820	Ebf1	early B cell factor 1
4.789914818	NM_019138	Cyp7b1	cytochrome P450, family 7, subfamily b, polypeptide 1
4.773342972	NM_021750	Csad	cysteine sulfinic acid decarboxylase
4.773342972	NM_001106103	Ogn	osteoglycin
4.75682846	NM_138826	Mt1a	metallothionein 1a
4.75682846	NM_001033656	Man1a	mannosidase 1, alpha
4.740371084	NM_001107524	Rgma	RGM domain family, member A
4.740371084	XM_216941	Matn2	matrilin 2
4.707626949	NM_001107084	Bcl6	B cell leukemia/lymphoma 6
4.691339797	NM_001013152	Rcl1	RNA terminal phosphate cyclase like 1
4.691339797	NM_001108068	Sbno2	strawberry notch homolog 2 (Drosophila)
4.691339797	NM_001107484	Dmpk	dystrophia myotonica protein kinase
4.691339797	NM_001031642	Serpinb1a	serine (or cysteine) proteinase inhibitor, clade B, member 1a
4.691339797	NM_001013192	Olfml1	olfactomedin like 1
4.675108994	NM_001005907	Efemp2	EGF containing fibulin like extracellular matrix protein 2
4.675108994	NM_021836	Junb	Jun B oncogene
4.675108994	NM_001107846	Steap2	six transmembrane epithelial antigen of the prostate 2
4.675108994	ENSRNOT00000060484	Pcdhb19	protocadherin beta 19
4.675108994	NM_017225	Pctp	phosphatidylcholine transfer protein
4.675108994	NM_001007759	Mar3	membrane associated ring finger (C3HC4) 3
4.675108994	NM_001105860	Fam128b	family with sequence similarity 128, member B
4.658934346	NM_001107624	Arid5b	AT rich interactive domain 5B (Mrf1 like)
4.626752736	NM_001011942	Cnnm2	cyclin M2
4.626752736	NM_001108173	Tbx18	T box18
4.626752736	NM_001014232	Cnrip1	cannabinoid receptor interacting protein 1
4.59479342	NM_001008321	Gadd45b	growth arrest and DNA damage inducible 45 beta
4.59479342
4.59479342	ENSRNOT00000024658	Slc28a2	solute carrier family 28 (sodium coupled nucleoside transporter), member 2
4.578896642	NM_001017453	Pik3ip1	phosphoinositide 3 kinase interacting protein 1
4.563054863	NM_022226	Lgmn	legumain
4.563054863	NM_001107857	Ephb6	Eph receptor B6
4.563054863	ENSRNOT00000029508	Mn1	meningioma 1
4.547267893	NM_001009674	Itm2c	integral membrane protein 2C
4.547267893	NM_001017467	Ly6e	lymphocyte antigen 6 complex, locus E
4.547267893	NM_138828	Apoe	apolipoprotein E
4.531535541	NM_012940	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1
4.531535541	NM_001039023	Net1	neuroepithelial cell transforming gene 1
4.531535541	NM_001106395	Foxo3a	forkhead box O3a
4.515857619	NM_021576	Nt5e	5 nucleotidase, ecto
4.515857619	NM_001005539	Smpdl3a	sphingomyelin phosphodiesterase, acid like 3A
4.469148552	NM_138889	Cdh13	cadherin 13
4.469148552	NM_012782	Bckdha	branched chain ketoacid dehydrogenase E1, alpha polypeptide
4.453686473	NM_001106694	Pink1	PTEN induced putative kinase 1
4.438277888	NM_001106485	Fkbp7	FK506 binding protein 7
4.438277888	NM_022617	Mpeg1	macrophage expressed gene 1
4.438277888	XM_574794	Armc2	armadillo repeat containing 2
4.422922613	NM_139192	Scd1	stearoyl Coenzyme A desaturase 1
4.422922613
4.407620464	NM_001012345	Dgat2	diacylglycerol O acyltransferase 2
4.407620464	NM_019286	Adh1	alcohol dehydrogenase 1 (class I)
4.407620464	NM_001013916	Cd302	CD302 molecule
4.392371255	NM_175757	Cryl1	crystallin, lambda 1
4.392371255	NM_031627	Nr1h3	nuclear receptor subfamily 1, group H, member 3
4.362030931	BC168183	Slc44a2	solute carrier family 44, member 2
4.34693945	NM_199376	Sil1	endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae)
4.331900182	ENSRNOT00000036745	Snx32	sorting nexin 32
4.316912946	BC079348	RGD1308114	similar to cDNA sequence AF397014
4.272261632	NM_031509	Gsta3	glutathione S transferase A3
4.272261632	NM_053596	Ece1	endothelin converting enzyme 1
4.25748073	ENSRNOT00000020379	Smtnl2	smoothelin like 2
4.242750965	NM_173114	Cipar1	castration induced prostatic apoptosis related protein 1
4.242750965	NM_001108317	Boc	biregional cell adhesion molecule related/down regulated by oncogenes (Cdon) binding protein
4.228072162	NM_212532	Ddah2	dimethylarginine dimethylaminohydrolase 2
4.228072162	NM_012589	Il6	interleukin 6
4.213444144	NM_001109441	LOC681383	similar to Protein C10orf11 homolog
4.198866734
4.184339759	NM_001013185	Cabc1	chaperone, ABC1 activity of bc1 complex like (S. pombe)
4.184339759	NM_001107177	Jarid1b	jumonji, AT rich interactive domain 1B (Rbp2 like)
4.184339759	BC166723	Tmtc4	transmembrane and tetratricopeptide repeat containing 4
4.169863043	NM_001034927	Sulf2	sulfatase 2
4.169863043	NM_214457	Phactr1	phosphatase and actin regulator 1
4.169863043	ENSRNOT00000027046	Pcdhga4	protocadherin gamma subfamily A, 4
4.169863043	NM_053021	Clu	clusterin
4.155436413	NM_138508	Scp2	sterol carrier protein 2
4.155436413	NM_022604	Esm1	endothelial cell specific molecule 1
4.141059695	NM_012715	Adm	adrenomedullin
4.141059695	ENSRNOT00000059584	Glt8d2	glycosyltransferase 8 domain containing 2
4.126732717	NM_001047851	Galns	galactosamine (N acetyl) 6 sulfate sulfatase
4.098227292	NM_001100576	Akr1c19	aldo keto reductase family 1, member C19
4.084048503	NM_012796	Gstt2	glutathione S transferase, theta 2
4.069918768	NM_013151	Plat	plasminogen activator, tissue
4.069918768	NM_012802	Pdgfra	platelet derived growth factor receptor, alpha polypeptide
4.069918768	NM_053388	Gjb6	gap junction protein, beta 6
4.069918768	NM_001107768	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
4.069918768	XM_001080212	Fam13c1	family with sequence similarity 13, member C1
4.069918768	NM_001107052	Arf4l	ADP ribosylation factor 4 like
4.055837919	BC100271	RGD1311122	similar to RIKEN cDNA 1110003E01
4.041805786	NM_001044294	Gabarapl1_predicted	gamma aminobutyric acid (GABA(A)) receptor associated protein like 1 (predicted)
4.013886994	NM_001025420	Lsp1	lymphocyte specific 1
4	NM_133584	Pde5a	phosphodiesterase 5A, cGMP specific
3.986161051	NM_053565	Socs3	suppressor of cytokine signaling 3
3.986161051	NM_080778	Nr2f2	nuclear receptor subfamily 2, group F, member 2
3.986161051	NM_001105725	Ccng2	cyclin G2
3.986161051	NM_133304	Heph	hephaestin
3.986161051	NM_057104	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2
3.958626626	ENSRNOT00000015172	RGD1561988	similar to Colorectal mutant cancer protein (MCC protein)
3.944930818	NM_013173	Slc11a2	solute carrier family 11 (proton coupled divalent metal ion transporters), member 2
3.944930818	NM_022236	Pde10a	phosphodiesterase 10A
3.944930818	NM_001008861	Usp11	ubiquitin specific peptidase 11
3.931282394	NM_001013069	Stard10	START domain containing 10
3.931282394	NM_012747	Stat3	signal transducer and activator of transcription 3
3.91768119	NM_031086	Pros1	protein S (alpha)
3.91768119	NM_173310	Galnac4s 6st	B cell RAG associated protein
3.91768119	ENSRNOT00000047514	Rnaset2	ribonuclease T2
3.91768119	ENSRNOT00000004694	Mr1	major histocompatibility complex, class I related
3.904127043	NM_001009709	Tmem140	transmembrane protein 140
3.904127043	NM_017060	Hrasls3	HRAS like suppressor 3
3.89061979	NM_001033688	Dsc2	desmocollin 2
3.89061979	NM_001014201	Cd320	CD320 molecule
3.89061979	NM_001106402	Lhfpl2	lipoma HMGIC fusion partner like 2
3.89061979	NM_001107939	Pappa	pregnancy associated plasma protein A
3.89061979
3.877159268	NM_030872	Pdk2	pyruvate dehydrogenase kinase, isoenzyme 2
3.863745316
3.863745316	NM_001105893	Ifnar1	interferon (alpha and beta) receptor 1
3.863745316	XM_001055717	RGD1561988	similar to Colorectal mutant cancer protein (MCC protein)
3.863745316
3.863745316	NM_001037355	Mettl7a	methyltransferase like 7A
3.863745316	NM_001014208	Yipf2	Yip1 domain family, member 2
3.863745316	NM_213629	Arhgap20	Rho GTPase activating protein 20
3.837056477	NM_012623	Abcb1b	ATP binding cassette, sub family B (MDR/TAP), member 1B
3.837056477	ENSRNOT00000014552	Thbs2	thrombospondin 2
3.837056477	NM_001098788	Dhx58	DEXH (Asp Glu X His) box polypeptide 58
3.810551992	NM_001025046	Fam131b	family with sequence similarity 131, member B
3.810551992	NM_012608	Mme	membrane metallo endopeptidase
3.797368484	NM_001012120	Naga	N acetyl galactosaminidase, alpha
3.797368484	NM_001025750	Plek	pleckstrin
3.784230587	NM_001005384	Osmr	oncostatin M receptor
3.784230587	NM_001109002	Smad6	MAD homolog 6 (Drosophila)
3.784230587	NM_001013940	Dync2li1	dynein cytoplasmic 2 light intermediate chain 1
3.771138144	NM_031525	Pdgfrb	platelet derived growth factor receptor, beta polypeptide
3.771138144	ENSRNOT00000025037	Svil	supervillin
3.771138144	NM_053904	Oplah	5 oxoprolinase (ATP hydrolysing)
3.758090997	NM_001107212	Adamts3	ADAM metallopeptidase with thrombospondin type 1, motif 3
3.758090997	NM_001034855	Gpr153_predicted	G protein coupled receptor 153 (predicted)
3.74508899	NM_001011903	Tpst1	protein tyrosine sulfotransferase 1
3.74508899	NM_001108854	Ikbke	inhibitor of kappaB kinase epsilon
3.732131966	NM_001107547	St5	suppression of tumorigenicity 5
3.732131966	ENSRNOT00000032786	Lrig3	leucine rich repeats and immunoglobulin like domains 3
3.71921977	ENSRNOT00000009066	Srgap3	SLIT ROBO Rho GTPase activating protein 3
3.71921977	NM_053819	Timp1	tissue inhibitor of metalloproteinase 1
3.71921977	NM_001107051	Ezh1	enhancer of zeste homolog 1 (Drosophila)
3.71921977	ENSRNOT00000034930	RGD1561113	similar to Hypothetical UPF0184 protein C9orf16 homolog
3.706352248	NM_001013427	Rarres2	retinoic acid receptor responder (tazarotene induced) 2
3.706352248	ENSRNOT00000028816	Ebf4	early B cell factor 4
3.706352248	NM_139096	Lgals3bp	lectin, galactoside binding, soluble, 3 binding protein
3.706352248	BC168183	Slc44a2	solute carrier family 44, member 2
3.706352248	XM_001059459	Rarb	retinoic acid receptor, beta
3.693529243	NM_031823	Wfs1	Wolfram syndrome 1 homolog (human)
3.680750602	NM_019370	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3
