probe set	Entrez Gene	Gene Symbol	Gene Title
202064_s_at	6400	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)
202079_s_at	22906	OIP106	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa
202081_at	9592	IER2	immediate early response 2
202085_at	9414	TJP2	tight junction protein 2 (zona occludens 2)
202106_at	2802	GOLGA3	golgi autoantigen, golgin subfamily a, 3
202119_s_at	8895	CPNE3	copine III
202128_at	9870	KIAA0317	KIAA0317
202130_at	8780	RIOK3	RIO kinase 3 (yeast) /// RIO kinase 3 (yeast)
202193_at	3985	LIMK2	LIM domain kinase 2
202207_at	10123	ARL7	ADP-ribosylation factor-like 7
202211_at	26286	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3
202286_s_at	4070	TACSTD2	tumor-associated calcium signal transducer 2
202369_s_at	9697	TRAM2	translocation associated membrane protein 2
202381_at	8754	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)
202421_at	3321	IGSF3	immunoglobulin superfamily, member 3
202459_s_at	9663	LPIN2	lipin 2
202460_s_at	9663	LPIN2	lipin 2
202544_at	2764	GMFB	glia maturation factor, beta
202546_at	8673	VAMP8	vesicle-associated membrane protein 8 (endobrevin)
202598_at	6284	S100A13	S100 calcium binding protein A13
202636_at	7844	RNF103	ring finger protein 103
202668_at	1948	EFNB2	ephrin-B2
202743_at	8503	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)
202753_at	9861	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6
202763_at	836	CASP3	caspase 3, apoptosis-related cysteine peptidase
202794_at	3628	INPP1	inositol polyphosphate-1-phosphatase
202820_at	196	AHR	aryl hydrocarbon receptor
202838_at	2517	FUCA1	fucosidase, alpha-L- 1, tissue
202948_at	3554	IL1R1	interleukin 1 receptor, type I
202962_at	23303	KIF13B	kinesin family member 13B
202969_at	8445	DYRK2	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
203006_at	3632	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa
203124_s_at	4891	SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2
203167_at	7077	TIMP2	TIMP metallopeptidase inhibitor 2
203180_at	220	ALDH1A3	aldehyde dehydrogenase 1 family, member A3
203224_at	55312	RFK	riboflavin kinase
203256_at	1001	CDH3	cadherin 3, type 1, P-cadherin (placental)
203304_at	25805	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
203343_at	7358	UGDH	UDP-glucose dehydrogenase
203397_s_at	2591	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
203415_at	10016	PDCD6	programmed cell death 6
203430_at	23593	HEBP2	heme binding protein 2
203455_s_at	6303	SAT	spermidine/spermine N1-acetyltransferase
203543_s_at	687	KLF9	Kruppel-like factor 9
203570_at	4016	LOXL1	lysyl oxidase-like 1
203642_s_at	22837	COBLL1	COBL-like 1
203675_at	4925	NUCB2	nucleobindin 2
203688_at	5311	PKD2	polycystic kidney disease 2 (autosomal dominant)
203747_at	360	AQP3	aquaporin 3
203757_s_at	4680	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
203759_at	6484	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
203907_s_at	9922	IQSEC1	IQ motif and Sec7 domain 1
203961_at	10529	NEBL	nebulette
203962_s_at	10529	NEBL	nebulette
203966_s_at	5494	PPM1A	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform /// protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform
204009_s_at	3845	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
204017_at	11015	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
204082_at	5090	PBX3	pre-B-cell leukemia transcription factor 3
204179_at	4151	MB	myoglobin
204201_s_at	5783	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)
204209_at	5130	PCYT1A	Phosphate cytidylyltransferase 1, choline, alpha
204305_at	4285	MIPEP	mitochondrial intermediate peptidase
204352_at	7188	TRAF5	TNF receptor-associated factor 5
204365_s_at	65055	C2orf23	chromosome 2 open reading frame 23
204378_at	8537	BCAS1	breast carcinoma amplified sequence 1
204404_at	6558	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2
204519_s_at	51090	PLLP	plasma membrane proteolipid (plasmolipin)
204796_at	2009	EML1	echinoderm microtubule associated protein like 1
204797_s_at	2009	EML1	echinoderm microtubule associated protein like 1
204942_s_at	222	ALDH3B2	aldehyde dehydrogenase 3 family, member B2
205066_s_at	5167	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
205083_at	316	AOX1	aldehyde oxidase 1
205110_s_at	2258	FGF13	fibroblast growth factor 13
205206_at	3730	KAL1	Kallmann syndrome 1 sequence
205220_at	8843	GPR109B	G protein-coupled receptor 109B /// G protein-coupled receptor 109B
205248_at	9980	C21orf5	chromosome 21 open reading frame 5
205258_at	3625	INHBB	inhibin, beta B (activin AB beta polypeptide)
205355_at	36	ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain
205417_s_at	1605	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)
205442_at	9848	MFAP3L	microfibrillar-associated protein 3-like
205669_at	4685	NCAM2	neural cell adhesion molecule 2
205709_s_at	1040	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
205780_at	638	BIK	BCL2-interacting killer (apoptosis-inducing)
206020_at	9306	SOCS6	suppressor of cytokine signaling 6
206043_s_at	9914	KIAA0703	KIAA0703 gene product
206091_at	4148	MATN3	matrilin 3
206199_at	1087	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7
206303_s_at	11163 /// 440672	NUDT4 /// NUDT4P1	nudix (nucleoside diphosphate linked moiety X)-type motif 4 /// nudix (nucleoside diphosphate linked moiety X)-type motif 4 pseudogene 1
206385_s_at	288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
206482_at	5753	PTK6	PTK6 protein tyrosine kinase 6
206546_at	10388	SYCP2	synaptonemal complex protein 2
206558_at	6493	SIM2	single-minded homolog 2 (Drosophila)
206794_at	2066	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
206860_s_at	54468	FLJ20323	hypothetical protein FLJ20323
207018_s_at	5874	RAB27B	RAB27B, member RAS oncogene family
207121_s_at	5597	MAPK6	mitogen-activated protein kinase 6
207265_s_at	11015	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
207275_s_at	2180	ACSL1	acyl-CoA synthetase long-chain family member 1
207357_s_at	55568	GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
207522_s_at	489	ATP2A3	ATPase, Ca++ transporting, ubiquitous
207655_s_at	29760	BLNK	B-cell linker
207802_at	10321	CRISP3	cysteine-rich secretory protein 3
207847_s_at	4582	MUC1	mucin 1, transmembrane
207949_s_at	3382	ICA1	islet cell autoantigen 1, 69kDa
208063_s_at	10753	CAPN9	calpain 9
208622_s_at	7430	VIL2	villin 2 (ezrin)
208623_s_at	7430	VIL2	villin 2 (ezrin)
208659_at	1192	CLIC1	chloride intracellular channel 1
208724_s_at	5861	RAB1A	RAB1A, member RAS oncogene family
208731_at	5862	RAB2	RAB2, member RAS oncogene family
208862_s_at	1500	CTNND1	catenin (cadherin-associated protein), delta 1
208924_at	26994	RNF11	ring finger protein 11
209039_x_at	10938	EHD1	EH-domain containing 1
209064_x_at	10605	PAIP1	poly(A) binding protein interacting protein 1
209105_at	8648	NCOA1	nuclear receptor coactivator 1
209106_at	8648	NCOA1	nuclear receptor coactivator 1
209107_x_at	8648	NCOA1	nuclear receptor coactivator 1
209114_at	10103	TSPAN1	tetraspanin 1
209173_at	10551	AGR2	anterior gradient 2 homolog (Xenopus laevis)
209206_at	9554	SEC22L1	SEC22 vesicle trafficking protein-like 1 (S. cerevisiae)
209207_s_at	9554	SEC22L1	SEC22 vesicle trafficking protein-like 1 (S. cerevisiae)
209222_s_at	9885	OSBPL2	oxysterol binding protein-like 2
209295_at	8795	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b
209306_s_at	23075	SWAP70	SWAP-70 protein
209341_s_at	3551	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
209369_at	306	ANXA3	annexin A3
209380_s_at	10057	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
209389_x_at	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)
209409_at	2887	GRB10	growth factor receptor-bound protein 10
209442_x_at	288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
209453_at	6548	SLC9A1	solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)
209471_s_at	2339	FNTA	farnesyltransferase, CAAX box, alpha
209493_at	23037	PDZK3	PDZ domain containing 3
209558_s_at	9026	HIP1R	huntingtin interacting protein-1-related
209590_at	655	BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)
209591_s_at	655	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)
209617_s_at	1501	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)
209628_at	55916	NXT2	nuclear transport factor 2-like export factor 2
209672_s_at	54468	FLJ20323	hypothetical protein FLJ20323
209684_at	54453	RIN2	Ras and Rab interactor 2
209696_at	2203	FBP1	fructose-1,6-bisphosphatase 1
209710_at	2624	GATA2	GATA binding protein 2
209733_at	286440	LOC286440	hypothetical protein LOC286440
209760_at	23240	KIAA0922	KIAA0922 protein
209910_at	8034	SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16
209990_s_at	9568	GPR51	G protein-coupled receptor 51
210002_at	2627	GATA6	GATA binding protein 6
210017_at	10892	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1
210045_at	3418	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial
210117_at	6674	SPAG1	sperm associated antigen 1
210139_s_at	5376	PMP22	peripheral myelin protein 22
210493_s_at	9848	MFAP3L	microfibrillar-associated protein 3-like
210547_x_at	3382	ICA1	islet cell autoantigen 1, 69kDa
210582_s_at	3985	LIMK2	LIM domain kinase 2
210592_s_at	6303	SAT	spermidine/spermine N1-acetyltransferase
210641_at	10753	CAPN9	calpain 9
211018_at	4047	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
211240_x_at	1500	CTNND1	catenin (cadherin-associated protein), delta 1
211325_x_at	171220	LOC171220	destrin-2 pseudogene
211383_s_at	22884	WDR37	WD repeat domain 37
211404_s_at	334	APLP2	amyloid beta (A4) precursor-like protein 2
211423_s_at	6309	SC5DL	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like
211538_s_at	3306	HSPA2	heat shock 70kDa protein 2
211612_s_at	3597	IL13RA1	interleukin 13 receptor, alpha 1 /// interleukin 13 receptor, alpha 1
211657_at	4680	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) /// carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
211689_s_at	7113	TMPRSS2	transmembrane protease, serine 2 /// transmembrane protease, serine 2
211695_x_at	4582	MUC1	mucin 1, transmembrane /// mucin 1, transmembrane
211724_x_at	54468	FLJ20323	hypothetical protein FLJ20323 /// hypothetical protein FLJ20323
211926_s_at	4627	MYH9	myosin, heavy polypeptide 9, non-muscle
212093_s_at	57509	MTUS1	mitochondrial tumor suppressor 1
212096_s_at	57509	MTUS1	mitochondrial tumor suppressor 1
212112_s_at	23673	STX12	syntaxin 12
212148_at	5087	PBX1	Pre-B-cell leukemia transcription factor 1
212150_at	23167	KIAA0143	KIAA0143 protein
212181_s_at	11163	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
212183_at	11163	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
212262_at	9444	QKI	quaking homolog, KH domain RNA binding (mouse)
212288_at	23048	FNBP1	formin binding protein 1
212305_s_at	348477 /// 375056 /// 440751	KIAA0268 /// UNQ6077 /// LOC440751	C219-reactive peptide /// AAAP6077 /// similar to C219-reactive peptide
212310_at	348477 /// 375056 /// 440751	KIAA0268 /// UNQ6077 /// LOC440751	C219-reactive peptide /// AAAP6077 /// similar to C219-reactive peptide
212319_at	9905	RUTBC1	RUN and TBC1 domain containing 1
212323_s_at	55187	VPS13D	vacuolar protein sorting 13D (yeast)
212325_at	22998	KIAA1102	KIAA1102 protein
212328_at	22998	KIAA1102	KIAA1102 protein
212364_at	4430	MYO1B	myosin IB
212386_at	6925	TCF4	Transcription factor 4
212387_at	NA	NA	NA
212458_at	200734	SPRED2	sprouty-related, EVH1 domain containing 2
212509_s_at	439921	MXRA7	matrix-remodelling associated 7
212521_s_at	5151	PDE8A	phosphodiesterase 8A
212522_at	5151	PDE8A	phosphodiesterase 8A
212535_at	4205	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)
212572_at	23012	STK38L	serine/threonine kinase 38 like
212614_at	84159	ARID5B	AT rich interactive domain 5B (MRF1-like)
212622_at	440026	TMEM41B	transmembrane protein 41B
212636_at	9444	QKI	quaking homolog, KH domain RNA binding (mouse)
212640_at	201562	PTPLB	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
212646_at	23180	RAFTLIN	raft-linking protein
212658_at	10184	LHFPL2	lipoma HMGIC fusion partner-like 2
212678_at	4763	NF1	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)
212735_at	9711	KIAA0226	KIAA0226
212751_at	7334	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)
212828_at	8871	SYNJ2	synaptojanin 2
212841_s_at	8495	PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)
212845_at	23034	SAMD4	sterile alpha motif domain containing 4
212856_at	23151	DIP	death-inducing-protein
212930_at	490	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1
212977_at	57007	CMKOR1	chemokine orphan receptor 1
212993_at	NA	NA	CDNA clone IMAGE:5311129
213036_x_at	489	ATP2A3	ATPase, Ca++ transporting, ubiquitous
213106_at	10396	ATP8A1	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1
213125_at	25903	OLFML2B	olfactomedin-like 2B
213150_at	3206	HOXA10	homeo box A10
213158_at	NA	NA	MRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)
213172_at	23508	TTC9	tetratricopeptide repeat domain 9
213174_at	23508	TTC9	tetratricopeptide repeat domain 9
213234_at	57613	KIAA1467	KIAA1467 protein
213236_at	23328	SASH1	SAM and SH3 domain containing 1
213243_at	157680	VPS13B	vacuolar protein sorting 13B (yeast)
213280_at	23108	GARNL4	GTPase activating Rap/RanGAP domain-like 4
213308_at	22941	SHANK2	SH3 and multiple ankyrin repeat domains 2
213440_at	5861	RAB1A	RAB1A, member RAS oncogene family
213455_at	283677	LOC283677	hypothetical LOC283677
213523_at	898	CCNE1	cyclin E1
213693_s_at	4582	MUC1	mucin 1, transmembrane
213798_s_at	10487	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)
213836_s_at	55062	WIPI49	WD40 repeat protein Interacting with phosphoInositides of 49kDa
213902_at	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
213912_at	23329	KIAA0984	KIAA0984 protein
213931_at	3398 /// 84099	ID2 /// ID2B	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein /// inhibitor of DNA binding 2B, dominant negative helix-loop-helix protein
213988_s_at	6303	SAT	spermidine/spermine N1-acetyltransferase
214046_at	NA	NA	MRNA; cDNA DKFZp686F1844 (from clone DKFZp686F1844)
214053_at	NA	NA	CDNA FLJ44318 fis, clone TRACH3000780
214058_at	4610	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)
214140_at	8034	SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16
214243_s_at	253190 /// 94009	SERHL /// SERHL2	serine hydrolase-like /// serine hydrolase-like 2
214733_s_at	54432	YIPF1	Yip1 domain family, member 1
214798_at	9914	KIAA0703	KIAA0703 gene product
214820_at	54014	BRWD1	bromodomain and WD repeat domain containing 1
214858_at	2817	GPC1	Pp14571 /// Glypican 1
214909_s_at	23564	DDAH2	dimethylarginine dimethylaminohydrolase 2
214967_at	NA	NA	NA
215314_at	288	ANK3	Ankyrin 3, node of Ranvier (ankyrin G)
215440_s_at	56271	BEXL1	brain expressed X-linked-like 1
215505_s_at	29966	STRN3	striatin, calmodulin binding protein 3
215716_s_at	490	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1
215749_s_at	64689	GORASP1	golgi reassembly stacking protein 1, 65kDa
215806_x_at	442532 /// 442670 /// 445347 /// 6967 /// 6983	TRGC2 /// TRGV9 /// LOC442532 /// LOC442670 /// TARP	T cell receptor gamma constant 2 /// T cell receptor gamma variable 9 /// similar to T-cell receptor gamma chain C region PT-gamma-1/2 /// similar to T-cell receptor gamma chain V region PT-gamma-1/2 precursor /// TCR gamma alternate reading frame protein
215828_at	463	ATBF1	AT-binding transcription factor 1
215855_s_at	7110	TMF1	TATA element modulatory factor 1
216176_at	387535	HCRP1	hepatocellular carcinoma-related HCRP1
216836_s_at	2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
217276_x_at	253190	SERHL2	serine hydrolase-like 2
217284_x_at	94009	SERHL	serine hydrolase-like
217551_at	441453	LOC441453	similar to olfactory receptor, family 7, subfamily A, member 17
217777_s_at	51495	HSPC121	butyrate-induced transcript 1
217803_at	64083	GOLPH3	golgi phosphoprotein 3 (coat-protein)
217819_at	51125	GOLGA7	golgi autoantigen, golgin subfamily a, 7
217837_s_at	51652	VPS24	vacuolar protein sorting 24 (yeast)
217873_at	51719	CAB39	calcium binding protein 39
217886_at	2060	EPS15	epidermal growth factor receptor pathway substrate 15
217892_s_at	51474	EPLIN	epithelial protein lost in neoplasm beta
217940_s_at	55739	FLJ10769	hypothetical protein FLJ10769
217966_s_at	116496	C1orf24	chromosome 1 open reading frame 24
217967_s_at	116496	C1orf24	chromosome 1 open reading frame 24
217979_at	27075	TSPAN13	Tetraspanin 13
217995_at	58472	SQRDL	sulfide quinone reductase-like (yeast)
218018_at	8566	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
218145_at	57761	TRIB3	tribbles homolog 3 (Drosophila)
218268_at	64786	TBC1D15	TBC1 domain family, member 15
218313_s_at	51809	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
218325_s_at	11083	DATF1	death associated transcription factor 1
218360_at	57403	RAB22A	RAB22A, member RAS oncogene family
218373_at	64400	FTS	fused toes homolog (mouse)
218374_s_at	57102	C12orf4	chromosome 12 open reading frame 4
218386_x_at	10600	USP16	ubiquitin specific peptidase 16
218421_at	64781	CERK	ceramide kinase
218434_s_at	65985	AACS	acetoacetyl-CoA synthetase
218454_at	79887	FLJ22662	hypothetical protein FLJ22662
218487_at	210	ALAD	aminolevulinate, delta-, dehydratase
218530_at	29109	FHOD1	formin homology 2 domain containing 1
218546_at	79762	C1orf115	chromosome 1 open reading frame 115
218562_s_at	55219	TMEM57	transmembrane protein 57
218606_at	55625	ZDHHC7	zinc finger, DHHC-type containing 7
218613_at	23362	PSD3	pleckstrin and Sec7 domain containing 3
218627_at	55332	FLJ11259	hypothetical protein FLJ11259
218651_s_at	55323	LARP6	La ribonucleoprotein domain family, member 6
218665_at	8322	FZD4	frizzled homolog 4 (Drosophila)
218686_s_at	64285	RHBDF1	rhomboid family 1 (Drosophila)
218706_s_at	65983	NS3TP2	HCV NS3-transactivated protein 2
218764_at	5583	PRKCH	protein kinase C, eta
218788_s_at	64754	SMYD3	SET and MYND domain containing 3
218803_at	55743	CHFR	checkpoint with forkhead and ring finger domains
218942_at	79837	PIP5K2C	phosphatidylinositol-4-phosphate 5-kinase, type II, gamma
219127_at	79170	MGC11242	hypothetical protein MGC11242
219142_at	65997	RASL11B	RAS-like, family 11, member B
219232_s_at	112399	EGLN3	egl nine homolog 3 (C. elegans)
219316_s_at	55640	C14orf58	chromosome 14 open reading frame 58
219370_at	56475	RPRM	reprimo, TP53 dependant G2 arrest mediator candidate
219377_at	64762	FAM59A	family with sequence similarity 59, member A
219440_at	10742	RAI2	retinoic acid induced 2
219527_at	54996	MOSC2	MOCO sulphurase C-terminal domain containing 2
219561_at	51226	COPZ2	coatomer protein complex, subunit zeta 2
219622_at	55647	RAB20	RAB20, member RAS oncogene family
219848_s_at	9668	ZNF432	zinc finger protein 432
219891_at	54858	PGPEP1	pyroglutamyl-peptidase I
220137_at	54621	FLJ20674	hypothetical protein FLJ20674
220180_at	80323	SE57-1	CTCL tumor antigen se57-1
220240_s_at	55002	TMCO3	transmembrane and coiled-coil domains 3
220241_at	55002	TMCO3	transmembrane and coiled-coil domains 3
220261_s_at	55146	ZDHHC4	zinc finger, DHHC-type containing 4
220318_at	55040	EPN3	epsin 3
220414_at	51806	CALML5	calmodulin-like 5
220990_s_at	406991 /// 81671	TMEM49 /// MIRN21	transmembrane protein 49 /// transmembrane protein 49 /// microRNA 21 /// microRNA 21
221019_s_at	81035	COLEC12	collectin sub-family member 12 /// collectin sub-family member 12
221031_s_at	81575	DKFZP434F0318	hypothetical protein DKFZp434F0318 /// hypothetical protein DKFZp434F0318
221245_s_at	81561	C2orf31	chromosome 2 open reading frame 31 /// chromosome 2 open reading frame 31
221511_x_at	9236	CCPG1	cell cycle progression 1
221577_x_at	9518	GDF15	growth differentiation factor 15
221584_s_at	3778	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
221790_s_at	26119	LDLRAP1	low density lipoprotein receptor adaptor protein 1
221861_at	NA	NA	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)
221896_s_at	25994	HIGD1A	HIG1 domain family, member 1A
222209_s_at	65084	FLJ22104	hypothetical protein FLJ22104
